neur0,input0,neur1,input1
0.9999006,0.0,0.53940976,0.0
0.9996191,-0.023341572,0.5742116,0.0
0.99871874,0.06001942,0.60465205,0.0
0.9960373,-0.044011157,0.6312988,0.0
0.98910934,0.06938572,0.6544795,0.0
0.9726411,0.007921729,0.67417425,0.0
0.9388889,-0.011951882,0.6899595,0.0
0.8871467,0.16384104,0.7014549,0.0
0.8168106,-0.20495197,0.7082566,0.0
0.7838691,0.43303415,0.7128397,0.0
0.7315141,-0.5067946,0.71439415,0.0
0.763533,0.80058074,0.7175191,0.0
0.70756084,-0.8909384,0.7175658,0.0
0.7750116,1.2295868,0.7210817,0.0
0.6967127,-1.3119537,0.7203827,0.0
0.78976387,1.6681343,0.72446954,0.0
0.68907076,-1.7139089,0.72321063,0.0
0.80288357,2.059234,0.72777426,0.0
0.68489647,-2.0413702,0.72614473,0.0
0.8129167,2.351599,0.7310148,0.0
0.6850221,-2.250058,0.7292397,0.0
0.81924087,2.509735,0.73421603,0.0
0.6895693,-2.3148463,0.73251885,0.0
0.82181245,2.52039,0.73740315,0.0
0.69791013,-2.2348893,0.73596865,0.0
0.8211081,2.3953745,0.7405924,0.0
0.708906,-2.0337934,0.73954344,0.0
0.81803995,2.1685526,0.7437901,0.0
0.7211728,-1.7545048,0.74317855,0.0
0.813869,1.889616,0.746999,0.0
0.73332804,-1.4506063,0.7468093,0.0
0.8099931,1.6135378,0.7502258,0.0
0.7441654,-1.1758648,0.75038576,0.0
0.807672,1.3903757,0.753481,0.0
0.75283927,-0.973768,0.7538812,0.0
0.80770105,1.254794,0.75677323,0.0
0.7590009,-0.8687541,0.75729173,0.0
0.8102273,1.219429,0.76010126,0.0
0.76285946,-0.8617016,0.7606295,0.0
0.81478536,1.273474,0.763452,0.0
0.76517236,-0.92975354,0.76391953,0.0
0.82044786,1.3840296,0.7668046,0.0
0.7670604,-1.031546,0.76719373,0.0
0.8260643,1.5028144,0.77013755,0.0
0.76975316,-1.1154834,0.7704856,0.0
0.83054566,1.577261,0.7734358,0.0
0.7743059,-1.1304362,0.7738246,0.0
0.83304614,1.56083,0.7766931,0.0
0.7813388,-1.0363833,0.7772279,0.0
0.8330754,1.4223452,0.77990866,0.0
0.79090995,-0.8127755,0.7806929,0.0
0.83057636,1.1528863,0.7830819,0.0
0.80255175,-0.4631364,0.7841955,0.0
0.8259575,0.76792824,0.7862107,0.0
0.81540674,-0.015077591,0.7876955,0.0
0.8201057,0.30600652,0.7892963,0.0
0.82847404,0.48583275,0.79115206,0.0
0.8142094,-0.18120778,0.79234886,0.0
0.8406821,0.9817318,0.7945324,0.0
0.8095752,-0.63429624,0.79538846,0.0
0.8512022,1.4165448,0.797825,0.0
0.8072108,-1.0023435,0.79844034,0.0
0.8594927,1.7453353,0.8010358,0.0
0.8076472,-1.2482175,0.801527,0.0
0.86538583,1.942102,0.80418354,0.0
0.8107792,-1.358185,0.8046576,0.0
0.8690705,2.005154,0.8072877,0.0
0.81600076,-1.3430084,0.8078237,0.0
0.8710487,1.9567809,0.8103624,0.0
0.82243496,-1.2350526,0.8110037,0.0
0.87205774,1.8385352,0.8134163,0.0
0.8291227,-1.0827291,0.8141692,0.0
0.87291515,1.7018526,0.8164533,0.0
0.8352142,-0.9392425,0.8172934,0.0
0.87438524,1.5986432,0.81947476,0.0
0.8401229,-0.85147166,0.8203583,0.0
0.8770133,1.5703152,0.82248145,0.0
0.8435589,-0.85195935,0.8233563,0.0
0.8809661,1.6382772,0.82546973,0.0
0.84556293,-0.9511235,0.8262878,0.0
0.8860454,1.8009216,0.82843137,0.0
0.8465164,-1.1352395,0.8291596,0.0
0.89176434,2.0330317,0.831355,0.0
0.8470801,-1.3685738,0.8319842,0.0
0.8974915,2.290489,0.83423084,0.0
0.84802365,-1.6017333,0.8347776,0.0
0.90260273,2.5200124,0.8370543,0.0
0.85009015,-1.7796508,0.83755827,0.0
0.90659636,2.6686513,0.8398282,0.0
0.8537488,-1.8549778,0.8403419,0.0
0.909159,2.6957893,0.84255934,0.0
0.85916,-1.7945051,0.8431376,0.0
0.9101937,2.5795627,0.84525555,0.0
0.86608714,-1.5891442,0.84594303,0.0
0.9098207,2.3230326,0.84792054,0.0
0.87402964,-1.254266,0.8487446,0.0
0.9083667,1.9527817,0.850553,0.0
0.88237655,-0.82608914,0.8515215,0.0
0.90635926,1.5148888,0.8531499,0.0
0.89047617,-0.35889286,0.8542515,0.0
0.9044163,1.0659578,0.85570836,0.0
0.89782935,0.09112695,0.8569182,0.0
0.9031525,0.6614468,0.8582296,0.0
0.9040837,0.4719294,0.859514,0.0
0.9030077,0.34602004,0.86071736,0.0
0.9090885,0.74761444,0.86204,0.0
0.9041459,0.14502528,0.8631754,0.0
0.91290283,0.9050566,0.864503,0.0
0.9064435,0.060329586,0.86560524,0.0
0.91575843,0.95454526,0.8669124,0.0
0.9095249,0.069318,0.8680042,0.0
0.91802275,0.9289488,0.86927634,0.0
0.91290015,0.13048068,0.87036645,0.0
0.9201175,0.87500674,0.8716007,0.0
0.9161083,0.194363,0.8726855,0.0
0.92247343,0.8453559,0.8738904,0.0
0.91877025,0.2093913,0.87495685,0.0
0.9253809,0.88551974,0.8761478,0.0
0.9206608,0.13671821,0.8771778,0.0
0.9289564,1.0258484,0.8783725,0.0
0.92172617,-0.04377389,0.87934756,0.0
0.9331197,1.2749441,0.880561,0.0
0.9221022,-0.3275717,0.881467,0.0
0.9376277,1.6161648,0.8827075,0.0
0.9220746,-0.68707454,0.883538,0.0
0.9421579,2.0121803,0.88480604,0.0
0.92204326,-1.0764208,0.8855644,0.0
0.9463801,2.4103763,0.88685274,0.0
0.92242837,-1.4403112,0.8875517,0.0
0.9500357,2.7551522,0.8888476,0.0
0.9235968,-1.7238129,0.8895076,0.0
0.95295477,2.9952695,0.89079463,0.0
0.9257328,-1.8839011,0.8914391,0.0
