fitness,g0,g1,g2,g3,g4,g5
-0.8194319,-0.5431381,0.4782711,-0.22446328,-0.037869856,-0.43542942,-0.20725036
-0.16649014,-0.84803945,-0.17778063,-0.81386673,0.43542737,0.10971557,0.1656245
-0.3836008,-0.2942548,-0.18405211,0.22860664,0.10029143,0.058858514,0.49842954
-0.33360577,0.19980985,-0.7947675,-0.23651421,0.73296356,0.27225754,0.4136545
-0.9033192,0.17331009,0.42600843,-0.254987,0.22910386,-0.011196971,-0.7220682
0.1743106,0.28408432,-0.40198293,-0.8405419,0.5331476,-0.0062901448,0.12538655
-0.52004457,0.18605435,0.573425,0.26337612,-0.14037448,0.4117399,-0.3487436
-0.33731392,0.6532651,-0.39606926,0.3797763,0.18171583,-0.11865592,0.43713456
-0.67113614,-0.15492137,-0.93052214,-0.093906045,0.6135923,0.9294449,-0.28154397
-0.32698125,-0.32934812,-0.7710623,-0.20297249,0.4733687,-0.60682166,0.5214721
-0.32843193,-0.6772961,-0.3785758,-0.3651856,0.2969984,0.2664258,0.16049878
0.06420095,-0.3606041,-0.03274381,-0.3160703,0.93862236,-0.68641526,0.30662414
-0.24381202,-0.2873106,0.08675492,-0.9202581,0.6870681,0.21719137,0.33671838
-1.5817932,0.3880008,-0.1714772,-0.60918546,-0.69991976,-0.22927094,-0.86071545
-0.40559444,0.106532216,-0.31603682,0.17488474,0.40522766,0.21343,0.32796803
-0.2511485,-0.7254026,0.07160996,-0.20121446,0.32280207,-0.14125326,0.2535202
-0.31041667,-0.3651695,-0.5923218,-0.51422065,0.119584434,-0.012518048,0.25710905
-0.4252719,0.34376466,-0.7544158,0.20836958,0.3156513,0.25776976,0.55810803
0.22625312,-0.33466545,0.17773397,-0.58354735,0.9577334,-0.05432889,0.10155392
-0.3624591,0.19336447,-0.21199138,-0.990916,0.12457681,0.40544215,-0.17116405
-0.49510357,0.8177876,-0.055649642,0.8183198,0.9325953,-0.81736135,0.37160754
-1.874477,-0.7326611,-0.033698145,0.8140385,-0.59204745,-0.054715518,-0.24268633
-0.47797167,0.49362355,-0.6977687,0.14975065,-0.09290813,0.66366893,0.3946699
-0.13225697,-0.67366064,-0.846103,-0.88213176,0.19900663,0.12994471,-0.036101427
-0.5678861,-0.2558382,0.22088863,-0.26303664,-0.21218717,0.6332085,-0.317396
-1.6329184,-0.16555937,-0.11254606,0.59856224,-0.5323196,-0.8679255,0.6112063
-0.37045917,0.54552454,0.075320125,0.84461045,-0.14095795,0.34452683,-0.6019587
-0.3079527,0.47490773,-0.06616423,0.19530503,0.6648788,-0.008484766,-0.01796474
-0.047904544,0.5184414,-0.50526965,-0.85657877,0.4617072,-0.07001603,0.3672315
-0.40036103,-0.3442101,0.5090486,0.25173163,0.5066794,-0.2593769,0.0034843187
-0.22613199,0.2600032,0.17330833,-0.43634892,0.43213862,0.48250255,-0.34580165
-0.60787576,0.15419804,-0.26648396,0.37363112,0.2497863,-0.7178782,-0.40639016
-0.75107026,-0.34108484,0.6261851,-0.3615987,-0.057492398,-0.051148836,0.32741806
0.108186044,0.068089485,-0.13055386,-0.45998073,0.63931346,-0.12104827,0.17061839
-0.38709927,0.6329071,0.356192,-0.44566223,0.42056233,0.42699584,0.5304013
-0.054615077,-0.6195067,0.45934424,-0.20520934,0.7841622,-0.7347111,0.2738711
-0.26616308,-0.98951256,-0.14070159,-0.29475364,0.64409447,0.0058404678,0.21802735
-0.43624374,0.32888067,-0.043931212,0.07242214,0.17806418,0.81427723,-0.15735748
-0.41028237,0.23285484,0.3033955,0.59979737,0.890269,0.0712028,0.3228914
-0.89727324,0.47967467,-0.41062248,0.32565942,-0.014051035,-0.7182796,-0.22089705
-0.40616488,-0.101438254,-0.16046792,0.19055128,0.53253216,0.07581058,0.3483243
0.19354355,-0.43262604,-0.18047106,-0.65447366,0.7057251,-0.053084206,0.12537992
-0.67210793,0.5935342,-0.6543991,0.20152582,-0.21845186,0.5254433,-0.9609601
-0.43406513,0.3412442,0.44424787,0.28354263,0.25428987,0.8953752,-0.15480083
-0.4960943,-0.73366874,-0.53192866,-0.3561489,-0.020449344,0.88537806,0.8429515
-0.4094396,0.58190894,0.30513534,-0.17981513,0.049084783,0.42802787,-0.25339445
-8.074577,0.63722,0.1831435,0.26889762,-0.75508827,0.37215322,0.48495257
0.07718573,-0.44195452,0.39171714,-0.7487148,0.5665456,0.21360326,-0.13453828
-0.36320192,0.025625948,0.8696042,0.25587887,0.39254725,-0.36787975,0.64399296
-0.48100296,0.39032003,-0.776325,-0.48153007,-0.114429116,0.098267555,0.054377317
-1.1404308,-0.4979968,-0.7309699,-0.005672749,0.675947,-0.5001187,-4.3468204E-4
-0.47571087,0.20994523,-0.41732293,0.61394715,-0.055232707,0.7021449,-0.22396098
-0.35999852,0.365986,-0.6220792,0.8146284,0.8128657,0.31949294,-0.367934
-0.37699538,0.7278151,-0.36557925,0.04232502,0.26493743,0.3547286,0.026544314
-0.46100265,0.3651936,-0.7938005,-0.6563631,0.1510784,-0.1214757,0.7010894
0.09323227,0.6606301,0.18183832,-0.64774716,0.64243835,0.030569196,0.04978834
-0.36513194,0.59879464,-0.99097306,-0.705237,0.47604233,0.27470863,0.8597867
-0.35840267,-0.12776807,-0.034420345,0.3383652,0.37689006,0.72636855,-0.4507085
-0.41492942,-0.11627078,0.32455513,-0.0048408024,-0.051259324,0.08315605,-0.42919323
-2.6899061,0.9541868,0.87147796,0.15923262,0.48887086,0.106818505,-0.070959255
-0.8444581,0.8469289,0.5440034,-0.07760489,-0.54107356,0.69780606,-0.89052683
-1.8436105,-0.27957085,-0.28748122,0.23506773,-0.23328143,0.109012485,-0.30712554
-0.8229239,-0.032212734,0.6659896,-0.12885553,-0.4663189,0.45170042,-0.41861203
-0.2833246,-0.06568494,-0.32870537,0.25336072,-0.028478265,0.14811355,-0.06278695
-0.34784278,0.16964921,0.5760727,-0.60284996,0.3289802,0.51534,0.100201726
0.12180823,-0.037411213,-0.60638773,-0.7203449,0.6627172,-0.38602805,0.5539565
-0.34964558,-0.768433,-0.0038920466,-0.43167222,0.4361152,0.2810159,0.35260746
-0.55832666,0.9686178,-0.9188411,-0.30464032,-0.088955745,0.96434885,0.15949976
-0.17851174,-0.104180045,-0.40450123,-0.94219273,0.47365668,0.013111491,0.36576664
-24.231277,-0.71073735,-0.08532702,0.2592315,-0.6515503,0.0412032,0.97817856
-0.3725456,-0.68855846,0.46482167,-0.32603085,0.6191857,0.34585172,0.41032168
-0.2917998,-0.318437,0.93768716,-0.8797365,0.47896504,0.7324729,-0.2799472
-0.5139737,0.21207106,0.8233067,-0.9211489,-0.10931723,0.9686805,-0.6679032
-0.337474,0.2387977,-0.148658,-0.52952677,0.77011955,0.15774275,0.59127957
-0.38564187,-0.42594853,-0.20571041,-0.077029735,0.6499306,0.1390851,0.4530726
0.016545793,-0.7267022,-0.5372127,-0.8621136,0.23021853,0.10327234,-0.1952428
-0.9441065,-0.31252438,-0.44394466,-0.54313034,0.69318396,-0.39934927,-0.1333884
-0.52987134,0.045368206,-0.6302815,0.14677228,0.2237341,-0.674113,-0.27893913
-0.03296177,-0.5504646,0.21864793,-0.30140662,0.86618555,-0.11394631,0.1075967
-0.040435027,-0.19965959,-0.031365093,-0.036630057,0.29591578,-0.15400581,0.06961745
-0.94078445,-0.50140053,0.45099288,-0.7003071,-0.40819287,-0.07764353,-0.25311518
-0.44738188,0.43904197,0.4393227,-0.12783343,-0.080386885,0.20116249,-0.12144303
-0.3549705,-0.7066458,-0.2640314,-0.052700955,0.5501526,0.014925532,0.23123729
-3.6285944,0.92586505,0.07180896,-0.37319213,-0.61825323,0.24782498,0.47565868
-0.18371187,0.04517162,-0.042366862,0.8041054,0.061513066,-0.0062411046,0.29213852
-1.4479859,-0.13898459,-0.1433605,-0.16801476,-0.2376009,-0.3361997,0.9152684
0.020069204,-0.51085216,-0.91556615,-0.44112948,0.35990834,0.08466136,-0.026167458
-0.46576977,0.19531226,0.35026622,-0.57078063,-0.05209503,0.66520035,0.14418639
-0.8349173,0.024320852,0.052225236,0.0030337477,-0.23549592,0.054574106,-0.8848055
-0.8087198,0.069926076,-0.18386069,-0.6051424,0.7278346,-0.60520405,-0.35995075
-9.553696,0.032224365,-0.505091,0.22692929,0.26305765,-0.019300502,-0.4104867
-0.66236955,0.26704666,0.52787846,0.49211326,0.00238579,-0.07247689,-0.4342464
-0.31012803,0.8626325,0.71460074,-0.9656829,0.35581607,0.55728567,-0.15790224
0.036720216,-0.046306197,0.0221926,-0.55918217,0.42469266,0.21524717,-0.20871447
-0.39243394,0.2060448,-0.18866618,-0.13969931,0.06621853,0.49260104,-0.65821373
-1.0987791,-0.03238911,-0.50561106,-0.82238793,0.8404407,-0.11764479,-0.08795323
-0.4196989,0.23603292,0.84221363,0.11291547,0.09985833,0.29327136,0.13241017
-0.31448177,0.06464231,0.15377364,-0.4366595,0.3331597,0.4158552,-0.027984766
-0.032943506,-0.8516181,0.46075168,-0.750423,0.33022922,0.27983055,-0.37695327
-8.750303,-0.92928255,-0.62925076,-0.14362097,0.73357147,0.1678964,-0.4608383
