Generation,Max fitness,Min fitness,Avg fitness,Variance
1,0.4884152,0.4826427,0.48619634,4.0904726E-4
2,0.48811686,0.32903343,0.34673524,0.22065073
3,0.48786685,0.3297164,0.3351767,0.02366308
4,0.33548003,0.28029096,0.28551814,0.017451791
5,0.28261468,0.27524093,0.27928627,2.419532E-4
6,0.29050344,0.2774333,0.2877961,0.0012365408
7,0.37652823,0.27933303,0.36204886,0.09708883
8,0.37566254,0.27933303,0.3462156,0.012426007
9,0.3767111,0.34362578,0.36297277,0.0045547388
10,0.36442748,0.3022648,0.30713642,0.024573646
