fitness,g0,g1,g2,g3,g4,g5
-0.35693222,-0.28807864,0.88082814,-0.045647502,0.24636917,-0.55984163,-0.4855864
-0.4166436,0.98392624,0.36410606,-0.7884851,0.058009967,-0.55782986,0.31539112
0.43676776,0.4152552,0.18042454,-0.6636921,0.6305081,-0.016217232,0.12002054
0.060898148,0.3765875,0.24314658,-0.39041382,0.3433774,0.62782437,-0.5144092
0.14039521,0.48534966,0.27180493,-0.35619643,0.36991966,0.37406456,-0.2542355
-0.51793844,-0.5768422,0.37152076,-0.08785253,-0.7003832,0.6829144,0.018619463
-0.009622851,0.64038837,0.971816,0.49720067,0.4625711,-0.1191481,-0.25420678
-0.07171176,0.09780108,-0.36152637,0.5544835,0.74425817,0.436151,0.46574768
-0.124325864,-0.275505,-0.29219827,-0.14430359,0.17598474,-0.3775609,0.48298618
0.45875877,-0.3304419,-0.6896238,-0.62924063,0.68144745,0.06523919,0.033558726
-0.009178022,0.4991839,0.39132312,-0.24198803,0.16314459,0.6841286,-0.7420351
-0.087271884,0.21091752,-0.8666845,-0.959034,0.13492075,0.8599392,-0.59335077
-0.33317733,0.09994006,-0.10476065,-0.4941757,0.51466155,-0.49364865,0.19670464
-0.4763568,0.20087838,0.6458377,-0.2838855,0.9485092,-0.9053705,-0.6806968
0.41006675,0.37197775,0.0559138,-0.60132414,0.84928834,0.007282734,0.060404267
-0.47514236,0.7345771,-0.69781226,0.6933121,-0.013498156,-0.058648467,0.17407957
-0.033777982,0.045235354,-0.08078227,0.5331208,0.4554902,0.089144446,-0.14566256
0.034962207,-0.01894552,-0.6573122,0.17477454,0.11396282,-0.20474264,0.06816044
-0.37297684,0.29457214,0.03737676,-0.658756,-0.010668954,-0.1779622,-0.16199088
-0.29980317,0.03798571,-0.8027958,-0.89867437,0.123568855,-0.1321129,0.09790945
0.33438057,0.01733314,-0.37045023,-0.76786387,0.77975184,0.12035826,0.027904503
-0.09645098,0.20093033,-0.52954537,0.09273205,-0.034888316,0.5041872,0.27294385
-0.06290535,0.121856295,0.7423449,0.17185876,0.24923928,0.8776004,-0.22633074
-0.102356255,-0.0025894335,-0.1906744,-0.103397965,0.3789789,-0.56974876,0.24974263
-0.6531185,0.029450536,0.3903372,-0.9174982,-0.35484982,-0.83242446,-0.28932574
-0.020209016,0.1158129,-0.18587412,-0.6751814,0.7981659,0.6860107,0.32167566
-0.9409684,0.394973,-0.73503965,0.7239732,-0.22345066,-0.5181571,0.64904714
-2.6687076,0.51649237,-0.249982,0.041697025,0.97033954,-0.034518063,-0.023185074
0.07570055,-0.015197799,0.6514713,0.25823212,0.41679177,-0.2028504,-0.12528075
-0.70443463,0.037873507,-0.0327845,-0.26313737,0.47600892,-0.2002239,-0.7034096
0.330485,-0.76410264,0.1816496,-0.48930526,0.6201656,0.22351621,-0.06732168
0.09215068,-0.22449882,0.3489401,-0.9110889,0.691032,0.3809639,0.20545954
-0.26971474,0.29997784,-0.664849,0.616245,0.5866017,0.8200722,0.47781545
0.033068713,0.08248283,-0.34192955,0.9520842,0.7972946,0.13298464,-0.51644003
-0.0064012026,0.41378495,-0.07311475,-0.15751009,-0.1310976,0.35995758,0.8008057
-0.032374464,-0.6696791,0.64991194,0.11022258,0.68207896,0.5683854,0.15027955
0.0671976,0.39671797,0.52846164,-0.43063763,0.20449989,0.537913,-0.7755787
-0.026887402,0.027279142,0.65141803,-0.09537255,0.43530214,0.075364105,0.2700788
0.5078518,-0.54263896,-0.29827607,-0.59267056,0.70563954,0.025063992,0.053855635
-0.055485066,0.35292274,0.3216614,-0.066233546,0.37219614,-0.10477543,0.51796836
-0.18040983,-0.22025804,-0.5956576,0.7929042,-0.15629435,0.6504787,-0.70142007
-0.08036075,0.7814474,0.29463452,-0.64874166,-0.03407463,0.35867655,0.20682302
-2.0598037,0.98367965,-0.7972432,-0.13599224,0.58102787,0.48864833,-0.14602137
0.14063635,-0.68381304,-0.40230164,-0.53212184,0.27785546,0.44758192,-0.46688193
-13.173938,0.9905044,-0.41264662,0.48212364,0.5681825,-0.06081231,-0.7328116
-1.9542732,-0.021714872,-0.27957508,-0.3188348,0.7117536,0.058060635,-0.6166717
0.38426918,0.5165775,-0.1421784,-0.4309947,0.64238524,-0.12221653,0.15831189
-1.513651,-0.30311108,-0.9662185,0.86167383,-0.22261167,0.09963533,-0.32857922
0.27177146,0.50884163,0.4664312,-0.9238566,0.78338754,-0.36308593,0.60970706
0.120128416,-0.2415092,-0.38363647,0.3918245,-0.018111262,0.11723869,0.33936578
-0.039481692,0.73485804,0.16741012,-0.29962146,0.15154654,0.45639062,0.07197893
-0.39565083,0.16028532,0.25037533,0.032592006,0.3823971,-0.82040536,-0.5802657
-0.06551153,0.48525295,0.8712996,-0.21398436,0.3077507,-0.71224046,0.7214615
-0.06526928,0.730585,-0.40653616,0.19661415,0.47857592,-0.008681178,0.5822709
0.42421696,0.9933615,0.055091355,-0.7283505,0.9744,-0.12516843,0.19354272
-0.09127253,-0.4244692,0.38541758,0.70810544,0.26965624,0.4097052,0.41826892
-1.0522516,0.25472084,-0.26372126,-0.24325964,-0.29341018,-0.22611648,-0.46608555
0.03444018,0.48714808,0.6546136,-0.005275527,0.8698797,-0.5265082,0.16245306
-0.10112351,0.31687465,-0.005298708,0.5471269,0.4068618,0.8761699,0.30508193
-0.05856911,0.91080403,0.49173585,0.67063624,-0.24096236,0.6681888,0.64005333
0.30248052,0.28853062,0.009463922,-0.54905,0.32700977,0.21565704,-0.20095965
-0.81044775,-0.5503512,0.4994616,0.48819223,-0.041674875,-0.031073093,0.64655125
-0.44789475,-0.24031565,0.33144674,-0.24735856,-0.04691124,-0.46448326,-0.5746978
0.34247148,-0.7081098,-0.21894944,-0.28537685,0.6291452,-0.32536393,0.2267946
-0.64816564,0.41244996,-0.93816817,0.73799765,-0.04537108,-0.11862622,-0.53128725
-1.6447772,-0.83863384,-0.14342356,0.8788276,-0.69981736,-0.39129215,0.022858739
-0.32580948,-0.9492734,0.37339732,-0.6001425,0.41112298,-0.4965481,0.20216987
-0.34820616,0.4630073,-0.40583903,-0.49870482,0.3898798,-0.68601197,0.919508
-0.7274732,-0.1456815,-0.2724325,0.5873984,-0.08824186,-0.2168721,-0.7437141
0.0330292,0.20938763,-0.69284576,-0.49264252,0.12224489,0.23048118,-0.048378695
0.45517036,-0.38211632,0.95351005,-0.6781555,0.59599835,0.11688328,-0.044542056
-0.09793479,0.006701656,-0.042453583,0.81042206,-0.023409184,0.6398925,0.21551216
-0.66736877,-0.49769008,0.1296616,0.28931892,-0.4518268,0.39393178,-0.73722464
-3.031371,-0.95293015,-0.38791543,0.6880817,0.8450193,-0.30171826,-0.4542824
-0.6711533,-0.7765337,0.22033523,0.016566029,-0.15549898,-0.5490282,0.5456309
-0.0854235,-0.8730837,0.52613705,-0.07322938,0.5716215,0.08259002,0.9195129
-1.033643,-0.08302854,-0.4210915,0.9295147,-0.12711859,-0.1385514,-0.1409019
0.22980934,-0.29504335,-0.17916222,-0.3066274,0.10997395,0.095320374,-0.12252381
-0.14485173,0.44662592,0.21760081,0.59332967,0.671468,0.93161315,0.51432776
-1.5716244,-0.5251593,-0.5825346,-0.3970517,-0.8433635,3.3032894E-4,-0.56260145
0.027091866,-0.3806062,0.024694746,-0.6954913,0.36286795,0.072154164,0.49177608
-2.437157,0.36627045,0.93174934,0.94367164,0.6802804,-0.11346735,-0.67874324
-0.41495007,-0.019043453,-0.3844926,-0.9299841,-0.44462827,0.15493831,-0.031802654
-0.068572104,-0.70193285,0.55245364,-0.56128556,0.11893475,0.90462613,-0.37805235
-0.19360417,0.024547352,-0.095105566,-0.4583848,0.50353074,-0.54940563,0.56850517
0.46387437,-0.7092012,-0.37798154,-0.55180514,0.49577892,0.21456625,-0.15456006
0.063328706,0.56171215,0.039507546,-0.038496405,0.41051856,-0.56340516,0.2994976
-0.10748962,-0.7498942,-0.28812432,0.3975448,0.24054016,0.780083,0.4689624
-0.14710885,0.32164994,-0.8491482,0.5662395,-0.18506475,0.7874674,0.14946432
0.21122587,-0.4285289,0.64230466,0.24420415,0.46801707,0.7106005,-0.7991808
-0.10590404,0.09487763,-0.63715434,-0.24547239,-0.004483938,0.58255017,0.12491325
0.08990416,0.14696561,0.2867094,-0.3651028,0.39862424,0.31874204,-0.044632077
-7.550641,0.17680846,-0.73578715,-0.24615188,0.9042376,0.17666645,-0.37685418
-0.3406871,0.11266022,0.5825122,-0.7591095,0.43084684,-0.49261957,-0.98318964
0.37203753,0.1734862,0.51607347,-0.91070735,0.32798013,0.03797599,0.1088593
-0.323126,-0.5591131,-0.22532004,-0.18561882,0.21129037,-0.26440793,-0.09294076
0.11088151,-0.07097935,-0.04808081,-0.7667402,0.73668075,-0.061521027,0.47753695
-5.812624,0.2585979,0.9170803,0.09178984,0.81500226,0.663397,-0.7112534
-0.4141467,0.25366077,-0.4297109,0.2544506,0.43625757,-0.58272266,-0.393725
-0.2488615,0.049735837,0.0016682429,0.6548735,0.3445544,-0.98568135,-0.2716515
