fitness,g0,g1
0.49745843,0.45114422,-0.45184755
0.4975349,0.22819102,0.12651312
0.49780926,0.85996795,-0.103955984
0.49799317,0.4551648,0.8279412
0.49706256,0.998786,-0.7437078
0.49763563,-0.8041853,-0.59710574
0.4972516,-0.5109129,0.96436846
0.4976397,-0.44387245,-0.42708945
0.49748465,0.8260199,-0.2982173
0.4975437,-0.14377952,0.15892065
0.49790084,0.7705457,0.6967908
0.4975886,0.3833946,0.46390128
0.49748006,0.12159634,-0.9668642
0.49756554,0.40409958,0.5643431
0.49766803,-0.24895132,-0.70661676
0.49753755,0.56762195,-0.0129054785
0.4975641,0.28433025,0.26341343
0.49778748,0.3343103,0.7481433
0.4975493,0.309466,-0.07536602
0.49716642,0.5611477,-0.77009964
0.49746487,-0.50261927,0.46047413
0.49754325,-0.122513294,-0.12645423
0.49764705,-0.48373127,-0.49627578
0.4975426,-0.0162431,0.16300166
0.49757978,-0.25379813,-0.49035656
0.49772638,0.5397904,0.65749717
0.4969326,0.9393717,-0.9840348
0.4976939,-0.6700083,-0.33917558
0.4975279,-0.832592,-0.20894909
0.4975973,0.23819292,0.48808444
0.497454,-0.9796889,-0.19928193
0.49757382,0.15375328,0.41885543
0.4971995,-0.61567676,0.73258615
0.4975266,-0.49030674,0.16872811
0.49780738,0.8353565,0.35519266
0.49787194,0.43912137,0.8842269
0.49753875,0.14631009,0.22879672
0.4972685,-0.46616554,0.7120712
0.49769914,-0.49015582,-0.66182315
0.4975411,0.05665338,-0.23690975
0.49785078,0.5781683,0.717741
0.4985063,0.9590564,0.79110396
0.49751326,-0.7779578,0.52265036
0.4979025,0.65087485,0.9224241
0.49754244,0.0020567179,0.08466089
0.49769664,0.30266738,0.7094778
0.49752593,0.02409339,-0.89635444
0.4976553,0.22014213,0.9644115
0.49813214,-0.61380243,-0.8653109
0.496976,0.97941816,-0.8663671
0.49771836,0.4794346,0.6670058
0.4975098,0.3709538,0.034634113
0.4974533,0.4941331,-0.62235904
0.49756598,-0.16446197,0.046034217
0.4975313,0.02195263,-0.98238015
0.49721682,0.531263,-0.7379004
0.49701074,0.94908917,-0.7803955
0.497217,0.47679102,-0.8491961
0.49791119,-0.6640686,-0.9838772
0.4974897,0.71622753,-0.24550974
0.49768472,-0.521521,-0.6425698
0.49814063,0.95091283,0.9721998
0.49751797,-0.15316379,0.4180689
0.49730122,-0.41655385,0.96272576
0.49754366,0.0960933,-0.018815398
0.4979231,-0.38074708,-0.7925403
0.49753296,0.8449087,-0.3103342
0.49764225,0.37100852,0.27208865
0.49761114,0.4171027,0.45316613
0.49717048,-0.5887687,0.806208
0.4970525,-0.758423,0.8000728
0.49733528,-0.2816434,0.8199122
0.4974452,-0.8941275,0.4634844
0.4971658,-0.53839445,0.77642477
0.49749264,0.958676,-0.009740353
0.49756718,0.369959,0.5398314
0.49766922,-0.5434096,-0.33779955
0.49710873,-0.86944807,0.7169777
0.49740273,0.9504808,-0.48157
0.49754527,0.761798,-0.56740487
0.4976349,0.10670626,0.76803124
0.49753973,-0.5934415,0.076716304
0.4973805,0.8585539,-0.61799467
0.49752158,0.49066854,0.06344259
0.49763504,-0.11681557,-0.846385
0.49712172,0.69213045,-0.8598716
0.4974743,-0.7005968,0.016173005
0.49763376,0.6662904,0.28604054
0.49754223,-0.218431,-0.09265959
0.49752378,-0.02769208,0.73955977
0.4974182,-0.21504676,0.9689957
0.49743176,0.14623225,-0.807016
0.4977461,-0.9221388,-0.62826264
0.49751264,0.3659973,-0.30600417
0.49747878,-0.7241709,0.5530838
0.49719593,0.65364873,-0.7071407
0.49754554,0.5732088,0.1584307
0.49757242,0.060113788,0.9744054
0.49752632,0.36745238,-0.5261694
0.49753708,-0.22217059,-0.08613002
