neur0,input0,neur1,input1
0.45829386,0.0,0.49409688,0.0
0.41290483,0.0041172584,0.51864445,0.0
0.37253025,0.008234517,0.53920966,0.0
0.33719248,0.012351776,0.55646855,0.0
0.30665746,0.016469033,0.570999,0.0
0.2805387,0.020586291,0.58328646,0.0
0.25837684,0.024703551,0.5937336,0.0
0.23969463,0.02882081,0.60267216,0.0
0.22403066,0.032938067,0.61037433,0.0
0.21095857,0.037055325,0.61706287,0.0
0.2000956,0.041172583,0.62292,0.0
0.19110511,0.045289844,0.62809455,0.0
0.18369512,0.049407102,0.63270867,0.0
0.17761499,0.05352436,0.63686216,0.0
0.17265113,0.05764162,0.64063704,0.0
0.16862255,0.06175888,0.6441004,0.0
0.16537654,0.065876134,0.6473077,0.0
0.1627846,0.06999339,0.6503042,0.0
0.16073889,0.07411065,0.6531273,0.0
0.15914908,0.078227915,0.65580785,0.0
0.1579396,0.082345165,0.6583711,0.0
0.15704729,0.08646243,0.660838,0.0
0.15641944,0.09057969,0.6632257,0.0
0.15601203,0.09469695,0.6655485,0.0
0.15578842,0.098814204,0.66781795,0.0
0.155718,0.10293146,0.6700437,0.0
0.15577526,0.10704872,0.6722337,0.0
0.155939,0.11116598,0.6743944,0.0
0.15619148,0.11528324,0.6765313,0.0
0.15651798,0.1194005,0.67864865,0.0
0.15690622,0.12351776,0.68075,0.0
0.15734595,0.12763502,0.68283844,0.0
0.15782864,0.13175227,0.6849162,0.0
0.15834719,0.13586953,0.6869853,0.0
0.15889566,0.13998678,0.6890473,0.0
0.1594691,0.14410405,0.6911034,0.0
0.16006342,0.1482213,0.6931547,0.0
0.16067514,0.15233856,0.69520193,0.0
0.1613014,0.15645583,0.69724566,0.0
0.16193981,0.16057308,0.6992864,0.0
0.16258834,0.16469033,0.7013245,0.0
0.16324532,0.1688076,0.7033602,0.0
0.16390932,0.17292486,0.7053936,0.0
0.16457918,0.17704211,0.70742494,0.0
0.1652539,0.18115938,0.7094542,0.0
0.16593266,0.18527663,0.71148133,0.0
0.16661471,0.1893939,0.71350634,0.0
0.16729951,0.19351114,0.7155291,0.0
0.16798651,0.19762841,0.71754956,0.0
0.1686753,0.20174567,0.7195676,0.0
0.1693655,0.20586292,0.72158307,0.0
0.17005682,0.20998017,0.7235958,0.0
0.17074896,0.21409744,0.7256057,0.0
0.17144172,0.2182147,0.72761256,0.0
0.17213486,0.22233196,0.72961617,0.0
0.17282823,0.2264492,0.7316164,0.0
0.17352168,0.23056649,0.733613,0.0
0.17421505,0.23468374,0.73560584,0.0
0.17490824,0.238801,0.7375947,0.0
0.17560112,0.24291825,0.7395795,0.0
0.1762936,0.24703552,0.74155986,0.0
0.17698558,0.25115275,0.7435357,0.0
0.177677,0.25527003,0.7455068,0.0
0.17836778,0.25938728,0.747473,0.0
0.1790578,0.26350453,0.7494341,0.0
0.17974706,0.26762182,0.7513899,0.0
0.18043545,0.27173907,0.75334024,0.0
0.18112293,0.27585632,0.75528485,0.0
0.18180947,0.27997357,0.75722367,0.0
0.18249497,0.28409085,0.7591564,0.0
0.1831794,0.2882081,0.76108295,0.0
0.1838627,0.29232535,0.7630032,0.0
0.18454483,0.2964426,0.76491684,0.0
0.18522575,0.30055988,0.76682377,0.0
0.18590541,0.30467713,0.7687238,0.0
0.18658376,0.30879438,0.77061677,0.0
0.18726078,0.31291166,0.77250254,0.0
0.18793638,0.3170289,0.7743809,0.0
0.18861055,0.32114616,0.7762518,0.0
0.18928327,0.3252634,0.77811503,0.0
0.18995447,0.32938066,0.7799704,0.0
0.19062412,0.33349794,0.78181785,0.0
0.1912922,0.3376152,0.78365713,0.0
0.19195867,0.34173247,0.7854882,0.0
0.19262347,0.34584972,0.7873109,0.0
0.19328658,0.34996697,0.7891251,0.0
0.19394797,0.35408422,0.7909307,0.0
0.19460762,0.35820147,0.7927275,0.0
0.19526547,0.36231875,0.79451543,0.0
0.19592151,0.366436,0.79629433,0.0
0.19657572,0.37055326,0.7980642,0.0
0.19722803,0.37467054,0.7998247,0.0
0.19787844,0.3787878,0.80157596,0.0
0.19852693,0.38290504,0.8033178,0.0
0.19917347,0.3870223,0.8050501,0.0
0.199818,0.39113954,0.8067727,0.0
0.20046054,0.39525682,0.8084856,0.0
0.20110102,0.39937407,0.8101888,0.0
0.20173945,0.40349135,0.81188196,0.0
0.2023758,0.4076086,0.8135652,0.0
0.20301004,0.41172585,0.8152384,0.0
0.20364216,0.4158431,0.8169014,0.0
0.20427214,0.41996035,0.8185542,0.0
0.20489994,0.42407763,0.82019675,0.0
0.20552555,0.42819488,0.8218289,0.0
0.20614897,0.43231216,0.8234506,0.0
0.20677015,0.4364294,0.8250619,0.0
0.2073891,0.44054666,0.82666266,0.0
0.2080058,0.4446639,0.8282528,0.0
0.2086202,0.44878116,0.8298324,0.0
0.20923233,0.4528984,0.8314012,0.0
0.20984216,0.4570157,0.8329593,0.0
0.21044965,0.46113297,0.8345067,0.0
0.21105483,0.46525022,0.83604324,0.0
0.21165766,0.46936747,0.837569,0.0
0.21225813,0.47348472,0.8390838,0.0
0.20404845,-0.47155154,0.8403307,0.0
0.19715884,-0.46743432,0.8413562,0.0
0.19138952,-0.46331704,0.84219867,0.0
0.18656877,-0.4591998,0.8428897,0.0
0.18254969,-0.4550825,0.84345573,0.0
0.1792072,-0.4509653,0.84391856,0.0
0.17643513,-0.446848,0.8442963,0.0
0.1741435,-0.44273072,0.844604,0.0
0.17225626,-0.4386135,0.8448544,0.0
0.17070927,-0.43449622,0.8450579,0.0
0.16944842,-0.43037897,0.8452233,0.0
0.16842815,-0.4262617,0.84535795,0.0
0.16761012,-0.42214447,0.84546787,0.0
0.16696212,-0.4180272,0.8455583,0.0
0.16645704,-0.4139099,0.8456334,0.0
0.16607213,-0.4097927,0.8456968,0.0
0.16578826,-0.4056754,0.8457515,0.0
0.16558944,-0.4015582,0.84580004,0.0
0.16546214,-0.39744088,0.84584445,0.0
0.16539511,-0.39332366,0.8458865,0.0
0.16537885,-0.38920638,0.8459277,0.0
0.16540541,-0.38508916,0.84596914,0.0
0.16546813,-0.38097188,0.84601194,0.0
0.1655614,-0.3768546,0.84605694,0.0
0.1656805,-0.37273738,0.84610486,0.0
0.16582154,-0.36862007,0.84615624,0.0
0.1659812,-0.36450285,0.84621155,0.0
0.16615671,-0.36038557,0.8462712,0.0
0.16634573,-0.35626835,0.8463356,0.0
0.16654633,-0.35215107,0.84640497,0.0
0.16675688,-0.3480338,0.84647954,0.0
0.166976,-0.34391657,0.84655946,0.0
0.16720253,-0.33979926,0.84664494,0.0
0.16743551,-0.33568203,0.846736,0.0
0.16767412,-0.33156475,0.8468328,0.0
0.16791771,-0.32744753,0.84693545,0.0
0.16816567,-0.32333025,0.84704393,0.0
0.16841753,-0.31921297,0.8471583,0.0
0.1686729,-0.31509575,0.84727854,0.0
0.16893142,-0.31097847,0.8474048,0.0
0.16919282,-0.30686122,0.84753686,0.0
0.16945684,-0.30274394,0.8476749,0.0
0.16972329,-0.29862672,0.8478189,0.0
0.16999198,-0.29450944,0.8479688,0.0
0.17026278,-0.29039222,0.8481246,0.0
0.17053556,-0.28627494,0.8482863,0.0
0.17081022,-0.28215766,0.84845376,0.0
0.17108667,-0.2780404,0.8486271,0.0
0.17136481,-0.27392313,0.8488062,0.0
0.1716446,-0.2698059,0.84899104,0.0
0.17192598,-0.26568863,0.8491816,0.0
0.17220888,-0.2615714,0.8493778,0.0
0.17249328,-0.25745413,0.84957963,0.0
0.17277914,-0.25333685,0.8497871,0.0
0.1730664,-0.24921961,0.85000014,0.0
0.17335509,-0.24510233,0.85021865,0.0
0.17364512,-0.2409851,0.8504426,0.0
0.1739365,-0.23686782,0.850672,0.0
0.1742292,-0.2327506,0.8509067,0.0
0.17452322,-0.2286333,0.8511468,0.0
0.1748185,-0.22451602,0.8513922,0.0
