Generation,Max fitness,Min fitness,Avg fitness,Variance
1,0.22937687,-12.084602,-1.0201925,410.40887
2,0.22937687,-12.084602,-0.75573844,348.86966
3,0.40971977,-12.484698,-0.83698344,470.90472
4,0.40971977,-12.484698,-0.5441589,282.0307
5,0.40971977,-18.605644,-0.81905717,599.9811
6,0.40971977,-8.176842,-0.4987225,147.92451
7,0.40971977,-9.384946,-0.5225568,191.54135
8,0.40971977,-32.718277,-1.127462,1396.3397
9,0.40971977,-40.934757,-1.2123278,2023.911
10,0.46832028,-21.224174,-0.8915493,858.31586
11,0.46832028,-28.89647,-0.90107095,1229.9996
12,0.46832028,-32.681114,-1.0655366,1466.9287
13,0.46832028,-11.945954,-0.5835397,316.85742
14,0.46832028,-13.511001,-0.5189179,272.89297
15,0.46832028,-8.826339,-0.48001236,220.80779
16,0.46832028,-16.278109,-0.72970587,478.31204
17,0.46832028,-12.585555,-0.63161325,287.9214
18,0.46832028,-10.168733,-0.652596,255.18042
19,0.46832028,-48.41548,-0.870543,2351.4517
20,0.46832028,-10.172733,-0.5470217,234.47058
21,0.46832028,-12.406572,-0.595764,239.53793
22,0.46832028,-46.07708,-1.3480312,3246.317
23,0.46832028,-25.169445,-0.8713619,1001.3303
24,0.46832028,-25.169445,-0.7893209,1195.0334
25,0.46832028,-20.264929,-0.61263,533.6781
26,0.46832028,-11.25932,-0.767322,445.666
27,0.46832028,-10.00758,-0.43551257,169.32623
28,0.46832028,-13.302032,-0.5324883,253.98703
29,0.46832028,-17.10036,-0.8458118,684.4286
30,0.46832028,-24.85636,-0.7215274,780.3587
31,0.46832028,-11.396143,-0.5563253,308.09082
32,0.46832028,-9.409525,-0.5553569,178.59158
33,0.46832028,-11.15546,-0.67947584,327.14374
34,0.46832028,-12.905068,-0.64496636,359.91824
35,0.46832028,-12.905068,-0.5065466,317.00946
36,0.46832028,-10.635662,-0.5396767,258.09686
37,0.46832028,-8.13946,-0.5141361,225.21715
38,0.46832028,-14.237454,-0.5241989,296.9464
39,0.46832028,-17.960756,-0.60965085,513.01825
40,0.46832028,-17.960756,-0.7448619,812.84674
41,0.46832028,-11.924585,-0.56980836,341.6842
42,0.46832028,-24.298473,-0.9573493,1333.841
43,0.46832028,-2.486139,-0.28900892,38.187336
44,0.46832028,-26.490772,-0.80545014,966.76776
45,0.46832028,-16.573606,-0.62593716,388.16412
46,0.46832028,-8.97717,-0.55853117,208.55194
47,0.46832028,-3.160072,-0.33446425,49.38617
48,0.46832028,-14.40413,-0.47791177,291.6978
49,0.46832028,-8.003585,-0.42137223,136.3115
50,0.46832028,-6.9462147,-0.2723025,88.48668
51,0.46832028,-9.481313,-0.59280586,273.60898
52,0.46832028,-9.0991955,-0.5412861,213.95895
53,0.46832028,-10.691494,-0.556475,241.60324
54,0.46832028,-16.075163,-0.5147036,321.13324
55,0.46832028,-21.855036,-0.81443113,739.0684
56,0.46832028,-6.5563354,-0.6002426,191.6564
57,0.46832028,-13.89825,-0.50776094,258.8385
58,0.46832028,-6.9263167,-0.46209842,147.35771
59,0.46832028,-8.440994,-0.62314194,244.22807
60,0.46832028,-8.814308,-0.4776445,195.6624
61,0.46832028,-29.848827,-0.78441286,1093.7822
62,0.46832028,-30.771353,-1.0681702,1999.0132
63,0.46832028,-17.3259,-0.6737404,499.0252
64,0.46832028,-11.563818,-0.63981646,366.35754
65,0.46832028,-9.076359,-0.5158027,245.48303
66,0.46832028,-16.550583,-0.79810524,560.63666
67,0.46832028,-17.512571,-0.64785194,435.6794
68,0.46832028,-12.013982,-0.654151,397.95865
69,0.46832028,-8.179139,-0.35706452,97.00966
70,0.46832028,-13.839082,-0.64893323,486.39337
71,0.46832028,-16.993017,-0.5660775,492.0972
72,0.46832028,-9.197697,-0.3132689,106.082184
73,0.46832028,-7.5502453,-0.42649543,142.37772
74,0.46832028,-8.278722,-0.44889954,196.03522
75,0.46832028,-29.128359,-0.73160464,1024.525
76,0.46832028,-15.3333645,-0.5963641,440.95844
77,0.46832028,-20.40718,-0.4793352,448.2963
78,0.46832028,-10.035859,-0.5094354,302.29956
79,0.46832028,-10.035859,-0.49750268,281.13992
80,0.46832028,-17.33816,-0.9570158,884.02075
81,0.46832028,-10.983241,-0.5815895,330.9873
82,0.46832028,-21.21195,-1.0471939,1060.4591
83,0.46832028,-29.163311,-0.9058475,1256.3905
84,0.46832028,-7.2465906,-0.39712498,92.17037
85,0.46832028,-15.180016,-0.46932384,260.74927
86,0.46832028,-28.539663,-0.71970457,900.8687
87,0.46832028,-12.521206,-0.4712633,237.51268
88,0.46832028,-18.722279,-0.6664142,510.29062
89,0.46832028,-19.795574,-0.6208772,726.18933
90,0.46832028,-18.010883,-0.6649635,503.3466
91,0.46832028,-17.907555,-0.5702538,453.7578
92,0.46832028,-14.204992,-0.5499908,295.15826
93,0.46832028,-10.944589,-0.6434381,332.12396
94,0.46832028,-16.90297,-0.5036667,378.51315
95,0.46832028,-16.90297,-0.4292059,331.26614
96,0.46832028,-15.810749,-0.46946853,318.45868
97,0.46832028,-25.00791,-0.57649106,685.26904
98,0.46832028,-14.112478,-0.6191145,437.0457
99,0.46832028,-27.586939,-0.6922577,826.2223
100,0.46832028,-7.91205,-0.42373422,130.96014
