neur0,input0,neur1,input1
0.4585551,0.0,0.49041972,0.0
0.366719,0.039989334,0.5280791,0.0
0.27989095,0.07991469,0.5596633,0.0
0.20097819,0.119712204,0.5860591,0.0
0.13136277,0.15931821,0.60814124,0.0
0.071229085,0.19866931,0.62669706,0.0
0.020012135,0.23770262,0.6423972,0.0
-0.023222975,0.27635565,0.655795,0.0
-0.059526652,0.31456655,0.6673383,0.0
-0.089921206,0.3522742,0.6773866,0.0
-0.11533284,0.38941833,0.6862272,0.0
-0.13656828,0.42593947,0.69408995,0.0
-0.15431467,0.46177918,0.70115894,0.0
-0.16915,0.4968801,0.707582,0.0
-0.1815574,0.5311862,0.71347845,0.0
-0.19193953,0.5646424,0.7189446,0.0
-0.20063177,0.59719545,0.72405875,0.0
-0.20791379,0.628793,0.7288843,0.0
-0.21401906,0.65938467,0.73347294,0.0
-0.21914299,0.68892145,0.7378667,0.0
-0.22344936,0.7173561,0.7420998,0.0
-0.2270758,0.7446431,0.7461999,0.0
-0.23013818,0.7707389,0.7501895,0.0
-0.23273423,0.7956016,0.7540866,0.0
-0.23494649,0.8191916,0.7579056,0.0
-0.2368447,0.84147096,0.76165795,0.0
-0.23848802,0.8624042,0.76535255,0.0
-0.23992649,0.88195777,0.7689963,0.0
-0.24120258,0.90010047,0.7725944,0.0
-0.24235229,0.9168031,0.7761506,0.0
-0.24340613,0.9320391,0.77966744,0.0
-0.24439001,0.94578403,0.7831465,0.0
-0.24532583,0.95801586,0.7865888,0.0
-0.24623218,0.9687151,0.78999454,0.0
-0.24712472,0.9778646,0.79336333,0.0
-0.2480167,0.98544973,0.79669464,0.0
-0.24891923,0.99145836,0.7999875,0.0
-0.24984172,0.99588084,0.80324066,0.0
-0.2507919,0.99871016,0.8064529,0.0
-0.25177628,0.9999417,0.8096226,0.0
-0.25280023,0.9995736,0.8127483,0.0
-0.2538681,0.9976064,0.81582856,0.0
-0.25498343,0.99404323,0.81886166,0.0
-0.25614905,0.98888975,0.82184625,0.0
-0.25736713,0.9821543,0.82478076,0.0
-0.2586393,0.9738476,0.82766384,0.0
-0.25996676,0.963983,0.8304942,0.0
-0.26135024,0.9525762,0.83327055,0.0
-0.26279014,0.93964547,0.8359919,0.0
-0.26428655,0.92521155,0.83865714,0.0
-0.26583928,0.9092974,0.8412654,0.0
-0.2674479,0.8919287,0.8438158,0.0
-0.2691117,0.873133,0.8463078,0.0
-0.27082986,0.85294056,0.84874076,0.0
-0.2726013,0.8313835,0.8511142,0.0
-0.2744249,0.80849636,0.85342777,0.0
-0.27629933,0.78431594,0.8556813,0.0
-0.2782231,0.75888073,0.85787445,0.0
-0.2801946,0.7322315,0.86000735,0.0
-0.2822122,0.70441085,0.8620799,0.0
-0.28427404,0.67546326,0.86409223,0.0
-0.28637826,0.645435,0.8660446,0.0
-0.28852296,0.6143742,0.8679372,0.0
-0.29070595,0.58233064,0.8697704,0.0
-0.2929252,0.5493555,0.8715446,0.0
-0.29517844,0.51550144,0.87326026,0.0
-0.29746348,0.48082274,0.87491786,0.0
-0.29977793,0.4453748,0.876518,0.0
-0.30211937,0.40921414,0.87806135,0.0
-0.3044854,0.37239906,0.8795485,0.0
-0.3068735,0.3349882,0.88098013,0.0
-0.30928117,0.29704145,0.882357,0.0
-0.31170574,0.25861946,0.88367987,0.0
-0.3141446,0.21978377,0.88494956,0.0
-0.31659517,0.18059623,0.8861668,0.0
-0.31905463,0.14112,0.8873325,0.0
-0.3215203,0.101418026,0.88844746,0.0
-0.32398945,0.061553795,0.88951254,0.0
-0.32645926,0.02159109,0.8905287,0.0
-0.32892692,-0.018406155,0.8914967,0.0
-0.33138973,-0.058373954,0.89241755,0.0
-0.33384472,-0.0982486,0.89329207,0.0
-0.33628917,-0.13796584,0.8941212,0.0
-0.3387202,-0.17746235,0.8949059,0.0
-0.341135,-0.21667498,0.89564717,0.0
-0.34353077,-0.25554097,0.89634573,0.0
-0.34590465,-0.29399815,0.89700264,0.0
-0.34825388,-0.3319852,0.89761883,0.0
-0.35057566,-0.36944094,0.8981952,0.0
-0.35286725,-0.40630564,0.8987328,0.0
-0.3551259,-0.44252035,0.8992324,0.0
-0.35734895,-0.47802714,0.8996951,0.0
-0.3595337,-0.51276916,0.90012175,0.0
-0.3616775,-0.54669106,0.90051335,0.0
-0.36377785,-0.5797382,0.9008709,0.0
-0.36583212,-0.61185783,0.9011953,0.0
-0.36783788,-0.6429987,0.9014875,0.0
-0.36979267,-0.67311084,0.90174854,0.0
-0.37169412,-0.7021462,0.9019793,0.0
-0.3735399,-0.73005825,0.90218097,0.0
-0.37532783,-0.7568025,0.90235436,0.0
-0.37705564,-0.7823359,0.9025005,0.0
-0.37872133,-0.8066177,0.90262043,0.0
-0.38032275,-0.8296091,0.9027152,0.0
-0.38185802,-0.8512733,0.9027859,0.0
-0.3833253,-0.87157565,0.90283346,0.0
-0.3847228,-0.8904837,0.90285903,0.0
-0.3860488,-0.90796715,0.9028636,0.0
-0.3873017,-0.92399806,0.9028484,0.0
-0.38848004,-0.9385509,0.9028145,0.0
-0.38958243,-0.9516021,0.902763,0.0
-0.39060754,-0.96313095,0.90269506,0.0
-0.39155418,-0.97311896,0.9026118,0.0
-0.39242133,-0.9815503,0.90251446,0.0
-0.39320797,-0.98841125,0.9024042,0.0
-0.39391324,-0.99369097,0.9022823,0.0
-0.39453638,-0.99738103,0.90214986,0.0
-0.3950768,-0.99947554,0.90200824,0.0
-0.39553398,-0.99997103,0.9018587,0.0
-0.39590752,-0.9988668,0.90170246,0.0
-0.3961972,-0.9961646,0.9015408,0.0
-0.39640284,-0.9918688,0.9013752,0.0
-0.39652443,-0.9859861,0.90120673,0.0
-0.39656213,-0.9785261,0.9010369,0.0
-0.3965161,-0.96950066,0.900867,0.0
-0.3963868,-0.9589243,0.90069836,0.0
-0.39617467,-0.94681376,0.90053236,0.0
-0.39588037,-0.9331886,0.9003703,0.0
-0.39550465,-0.9180705,0.9002136,0.0
-0.39504844,-0.9014837,0.9000635,0.0
-0.3945127,-0.88345474,0.89992154,0.0
-0.39389867,-0.8640124,0.89978886,0.0
-0.39320758,-0.84318787,0.8996669,0.0
-0.39244086,-0.8210144,0.8995569,0.0
-0.39159995,-0.7975275,0.8994602,0.0
-0.39068663,-0.77276444,0.89937806,0.0
-0.38970262,-0.7467654,0.89931166,0.0
-0.38864982,-0.71957165,0.8992623,0.0
-0.38753024,-0.6912268,0.89923114,0.0
-0.38634604,-0.6617761,0.8992193,0.0
-0.38509944,-0.6312667,0.8992278,0.0
-0.3837928,-0.5997474,0.8992578,0.0
-0.38242856,-0.56726867,0.89931023,0.0
-0.38100928,-0.53388244,0.8993861,0.0
-0.37953758,-0.4996421,0.8994862,0.0
-0.37801623,-0.46460244,0.8996114,0.0
-0.376448,-0.4288195,0.8997625,0.0
-0.37483582,-0.39235055,0.89994013,0.0
-0.37318265,-0.3552535,0.90014493,0.0
-0.37149152,-0.31758854,0.90037745,0.0
-0.36976555,-0.2794155,0.9006381,0.0
-0.36800793,-0.24079546,0.90092736,0.0
-0.3662218,-0.2017902,0.9012455,0.0
-0.36441046,-0.16246213,0.9015927,0.0
-0.36257717,-0.12287415,0.90196913,0.0
-0.36072525,-0.08308959,0.90237486,0.0
-0.3588581,-0.043172114,0.90280986,0.0
-0.35697904,-0.0031855688,0.903274,0.0
-0.35509145,0.036806073,0.90376705,0.0
-0.3531987,0.076738834,0.9042887,0.0
-0.3513042,0.11654883,0.9048387,0.0
-0.3494113,0.15617284,0.9054165,0.0
-0.34752336,0.19554654,0.90602154,0.0
-0.34564376,0.2346074,0.9066533,0.0
-0.34377572,0.27329293,0.907311,0.0
-0.3419226,0.31154126,0.90799403,0.0
-0.34008762,0.3492912,0.9087014,0.0
-0.33827397,0.38648236,0.9094323,0.0
-0.33648482,0.4230552,0.91018575,0.0
-0.33472326,0.45895126,0.9109608,0.0
-0.3329923,0.4941131,0.91175634,0.0
-0.33129498,0.52848446,0.9125712,0.0
-0.32963416,0.56201035,0.91340435,0.0
-0.32801268,0.5946376,0.9142545,0.0
-0.3264333,0.62631303,0.9151205,0.0
-0.32489872,0.6569866,0.9160011,0.0
-0.32341152,0.6866091,0.9168949,0.0
-0.32197425,0.7151332,0.9178008,0.0
-0.32058927,0.7425132,0.9187173,0.0
-0.31925893,0.76870537,0.9196433,0.0
-0.31798548,0.79366773,0.92057735,0.0
-0.31677106,0.81736046,0.92151815,0.0
-0.31561765,0.8397455,0.92246443,0.0
-0.31452724,0.8607872,0.9234148,0.0
-0.3135016,0.88045186,0.92436814,0.0
-0.3125425,0.8987079,0.9253231,0.0
-0.3116515,0.91552645,0.9262784,0.0
-0.31083015,0.9308801,0.927233,0.0
-0.3100798,0.94474465,0.92818546,0.0
-0.30940175,0.9570977,0.92913485,0.0
-0.30879715,0.96791965,0.93007994,0.0
-0.3082671,0.9771931,0.93101966,0.0
-0.30781242,0.9849033,0.931953,0.0
-0.30743402,0.99103785,0.93287903,0.0
-0.30713257,0.99558693,0.93379664,0.0
-0.30690864,0.9985433,0.934705,0.0
-0.3067627,0.99990225,0.9356033,0.0
-0.3066951,0.99966156,0.93649065,0.0
-0.30670607,0.9978216,0.9373663,0.0
-0.30679572,0.9943853,0.9382295,0.0
-0.30696404,0.98935825,0.9390796,0.0
-0.30721086,0.98274845,0.93991584,0.0
-0.307536,0.9745664,0.9407378,0.0
-0.30793905,0.96482533,0.94154483,0.0
-0.3084196,0.9535407,0.9423365,0.0
-0.30897695,0.94073063,0.94311225,0.0
-0.30961046,0.92641556,0.94387174,0.0
-0.31031933,0.9106185,0.9446146,0.0
-0.3111026,0.8933646,0.9453404,0.0
-0.3119592,0.8746815,0.9460489,0.0
-0.312888,0.8545991,0.94673985,0.0
-0.3138877,0.83314955,0.94741297,0.0
-0.31495693,0.8103671,0.9480681,0.0
-0.31609428,0.7862883,0.9487051,0.0
-0.3172981,0.7609516,0.9493238,0.0
-0.31856677,0.7343975,0.94992405,0.0
-0.3198985,0.70666856,0.95050585,0.0
-0.3212914,0.67780906,0.9510692,0.0
-0.3227435,0.6478645,0.9516139,0.0
-0.3242528,0.61688423,0.9521401,0.0
-0.3258171,0.584917,0.95264775,0.0
-0.3274342,0.5520141,0.95313686,0.0
-0.3291018,0.5182281,0.9536075,0.0
-0.33081752,0.48361304,0.95405984,0.0
-0.33257887,0.4482243,0.9544938,0.0
-0.33438337,0.4121185,0.9549097,0.0
-0.33622843,0.37535337,0.9553074,0.0
-0.33811134,0.33798778,0.9556872,0.0
-0.34002945,0.3000815,0.9560492,0.0
-0.34197998,0.26169512,0.95639354,0.0
-0.3439601,0.2228901,0.95672035,0.0
-0.3459669,0.1837285,0.9570298,0.0
