neur0,input0,neur1,input1
0.9999006,-0.0,0.53940976,0.0
0.9996205,-0.004176543,0.5742117,0.0
0.9987072,-0.008353086,0.6046514,0.0
0.99602485,-0.012529629,0.6312974,0.0
0.9889045,-0.016706172,0.6544658,0.0
0.9720061,-0.020882716,0.674125,0.0
0.93746346,-0.025059259,0.6898354,0.0
0.88114226,-0.029235803,0.70101583,0.0
0.81552655,-0.033412345,0.70778155,0.0
0.76570046,-0.037588887,0.71144086,0.0
0.74102795,-0.041765433,0.71357584,0.0
0.73230046,-0.045941975,0.7151283,0.0
0.7300969,-0.050118517,0.716476,0.0
0.7300938,-0.05429506,0.7177462,0.0
0.7307774,-0.058471605,0.7189791,0.0
0.7316627,-0.06264815,0.7201874,0.0
0.73259795,-0.06682469,0.7213752,0.0
0.7335359,-0.07100124,0.72254384,0.0
0.7344619,-0.075177774,0.72369385,0.0
0.7353714,-0.07935432,0.72482544,0.0
0.736263,-0.083530866,0.725939,0.0
0.7371365,-0.08770741,0.72703445,0.0
0.73799187,-0.09188395,0.7281121,0.0
0.73882914,-0.09606049,0.72917205,0.0
0.7396485,-0.100237034,0.7302144,0.0
0.74045014,-0.104413584,0.73123944,0.0
0.7412342,-0.10859012,0.7322471,0.0
0.74200064,-0.11276667,0.73323774,0.0
0.74274987,-0.11694321,0.7342114,0.0
0.7434818,-0.121119745,0.73516816,0.0
0.7441967,-0.1252963,0.7361083,0.0
0.7448947,-0.12947284,0.73703176,0.0
0.74557585,-0.13364938,0.7379389,0.0
0.74624044,-0.13782592,0.7388296,0.0
0.7468884,-0.14200248,0.7397042,0.0
0.74752,-0.146179,0.74056274,0.0
0.7481354,-0.15035555,0.74140537,0.0
0.74873453,-0.15453209,0.74223214,0.0
0.74931765,-0.15870865,0.7430433,0.0
0.74988496,-0.16288519,0.74383885,0.0
0.7504365,-0.16706173,0.74461895,0.0
0.7509723,-0.17123826,0.74538374,0.0
0.75149256,-0.17541482,0.7461334,0.0
0.7519975,-0.17959136,0.74686784,0.0
0.75248694,-0.1837679,0.7475874,0.0
0.75296134,-0.18794444,0.748292,0.0
0.75342065,-0.19212098,0.7489819,0.0
0.7538648,-0.19629753,0.74965715,0.0
0.7542943,-0.20047407,0.7503178,0.0
0.7547089,-0.20465063,0.75096405,0.0
0.75510883,-0.20882717,0.7515959,0.0
0.75549424,-0.21300371,0.75221354,0.0
0.75586516,-0.21718024,0.75281703,0.0
0.7562218,-0.2213568,0.75340647,0.0
0.756564,-0.22553334,0.75398195,0.0
0.75689214,-0.22970988,0.75454354,0.0
0.75720614,-0.23388642,0.75509137,0.0
0.75750625,-0.23806296,0.75562555,0.0
0.7577923,-0.24223949,0.75614613,0.0
0.7580646,-0.24641605,0.75665313,0.0
