neur0,input0,neur1,input1
0.45848873,0.0,0.48414883,0.0
0.40154278,0.039989334,0.50574857,0.0
0.34920755,0.07991469,0.5242025,0.0
0.30210486,0.119712204,0.5399487,0.0
0.2604213,0.15931821,0.5533919,0.0
0.22402743,0.19866931,0.5648935,0.0
0.19259211,0.23770262,0.5747688,0.0
0.16567522,0.27635565,0.5832881,0.0
0.14279366,0.31456655,0.5906807,0.0
0.12346428,0.3522742,0.59713995,0.0
0.10722937,0.38941833,0.6028281,0.0
0.0936696,0.42593947,0.6078807,0.0
0.08240932,0.46177918,0.61241126,0.0
0.07311697,0.4968801,0.6165143,0.0
0.06550286,0.5311862,0.6202689,0.0
0.059315667,0.5646424,0.6237408,0.0
0.05433841,0.59719545,0.62698483,0.0
0.05038435,0.628793,0.6300467,0.0
0.047293115,0.65938467,0.6329643,0.0
0.044927202,0.68892145,0.635769,0.0
0.043168783,0.7173561,0.6384868,0.0
0.04191696,0.7446431,0.64113903,0.0
0.041085333,0.7707389,0.64374304,0.0
0.040599927,0.7956016,0.6463131,0.0
0.040397372,0.8191916,0.64886034,0.0
0.04042339,0.84147096,0.65139395,0.0
0.040631436,0.8624042,0.65392077,0.0
0.040981613,0.88195777,0.65644616,0.0
0.041439686,0.90010047,0.65897393,0.0
0.04197626,0.9168031,0.6615067,0.0
0.042566083,0.9320391,0.66404617,0.0
0.043187466,0.94578403,0.666593,0.0
0.04382176,0.95801586,0.66914725,0.0
0.04445293,0.9687151,0.67170835,0.0
0.045067184,0.9778646,0.6742752,0.0
0.045652658,0.98544973,0.67684627,0.0
0.04619917,0.99145836,0.6794197,0.0
0.046697963,0.99588084,0.6819934,0.0
0.04714155,0.99871016,0.68456495,0.0
0.047523513,0.9999417,0.68713194,0.0
0.04783839,0.9995736,0.6896916,0.0
0.048081536,0.9976064,0.6922412,0.0
0.048249055,0.99404323,0.69477797,0.0
0.048337672,0.98888975,0.697299,0.0
0.048344694,0.9821543,0.6998015,0.0
0.048267942,0.9738476,0.70228255,0.0
0.04810567,0.963983,0.70473933,0.0
0.047856554,0.9525762,0.7071691,0.0
0.047519647,0.93964547,0.70956904,0.0
0.04709433,0.92521155,0.7119365,0.0
0.046580292,0.9092974,0.71426886,0.0
0.04597751,0.8919287,0.71656364,0.0
0.04528623,0.873133,0.7188184,0.0
0.044506934,0.85294056,0.7210308,0.0
0.043640334,0.8313835,0.7231985,0.0
0.042687356,0.80849636,0.7253194,0.0
0.04164914,0.78431594,0.7273914,0.0
0.040527,0.75888073,0.7294127,0.0
0.039322443,0.7322315,0.7313813,0.0
0.038037144,0.70441085,0.7332955,0.0
0.03667294,0.67546326,0.7351537,0.0
0.03523182,0.645435,0.73695433,0.0
0.033715934,0.6143742,0.7386959,0.0
0.032127563,0.58233064,0.7403772,0.0
0.030469129,0.5493555,0.7419968,0.0
0.028743178,0.51550144,0.7435538,0.0
0.02695238,0.48082274,0.745047,0.0
0.02509952,0.4453748,0.7464754,0.0
0.023187494,0.40921414,0.74783826,0.0
0.021219306,0.37239906,0.7491347,0.0
0.019198047,0.3349882,0.75036407,0.0
0.017126916,0.29704145,0.75152576,0.0
0.015009182,0.25861946,0.7526192,0.0
0.012848202,0.21978377,0.75364393,0.0
0.010647404,0.18059623,0.75459963,0.0
0.008410287,0.14112,0.75548595,0.0
0.006140408,0.101418026,0.7563026,0.0
0.0038413813,0.061553795,0.75704944,0.0
0.0015168674,0.02159109,0.75772643,0.0
-8.294294E-4,-0.018406155,0.7583335,0.0
-0.0031937687,-0.058373954,0.7588706,0.0
-0.005572383,-0.0982486,0.7593379,0.0
-0.007961476,-0.13796584,0.75973547,0.0
-0.010357238,-0.17746235,0.7600635,0.0
-0.012755849,-0.21667498,0.7603224,0.0
-0.015153483,-0.25554097,0.7605124,0.0
-0.017546317,-0.29399815,0.7606338,0.0
-0.01993054,-0.3319852,0.76068723,0.0
-0.022302348,-0.36944094,0.760673,0.0
-0.024657965,-0.40630564,0.76059175,0.0
-0.026993638,-0.44252035,0.76044405,0.0
-0.029305646,-0.47802714,0.7602306,0.0
-0.03159031,-0.51276916,0.7599521,0.0
-0.033843998,-0.54669106,0.7596094,0.0
-0.036063123,-0.5797382,0.75920326,0.0
-0.038244154,-0.61185783,0.7587346,0.0
-0.04038363,-0.6429987,0.75820446,0.0
-0.042478148,-0.67311084,0.7576138,0.0
-0.044524387,-0.7021462,0.75696373,0.0
-0.04651909,-0.73005825,0.75625545,0.0
-0.04845909,-0.7568025,0.7554902,0.0
-0.05034132,-0.7823359,0.7546692,0.0
-0.052162785,-0.8066177,0.7537939,0.0
-0.053920597,-0.8296091,0.75286573,0.0
-0.055611968,-0.8512733,0.7518862,0.0
-0.057234213,-0.87157565,0.7508569,0.0
-0.058784764,-0.8904837,0.7497795,0.0
-0.060261156,-0.90796715,0.74865574,0.0
-0.061661053,-0.92399806,0.7474875,0.0
-0.06298223,-0.9385509,0.7462766,0.0
-0.06422259,-0.9516021,0.7450251,0.0
-0.065380156,-0.96313095,0.74373496,0.0
-0.06645311,-0.97311896,0.74240845,0.0
-0.06743972,-0.9815503,0.74104774,0.0
-0.068338424,-0.98841125,0.7396551,0.0
-0.0691478,-0.99369097,0.7382329,0.0
-0.069866545,-0.99738103,0.73678374,0.0
-0.07049353,-0.99947554,0.73531,0.0
-0.07102772,-0.99997103,0.7338144,0.0
-0.07146828,-0.9988668,0.73229957,0.0
-0.0718145,-0.9961646,0.73076826,0.0
-0.072065815,-0.9918688,0.7292234,0.0
-0.07222181,-0.9859861,0.72766775,0.0
-0.07228224,-0.9785261,0.7261043,0.0
-0.07224698,-0.96950066,0.7245362,0.0
-0.07211609,-0.9589243,0.7229663,0.0
-0.07188976,-0.94681376,0.72139794,0.0
-0.07156833,-0.9331886,0.71983415,0.0
-0.07115232,-0.9180705,0.7182781,0.0
-0.070642374,-0.9014837,0.71673316,0.0
-0.07003929,-0.88345474,0.71520245,0.0
-0.06934402,-0.8640124,0.7136893,0.0
-0.06855767,-0.84318787,0.71219707,0.0
-0.067681484,-0.8210144,0.710729,0.0
-0.06671686,-0.7975275,0.7092883,0.0
-0.06566533,-0.77276444,0.70787835,0.0
-0.06452858,-0.7467654,0.7065024,0.0
-0.06330841,-0.71957165,0.70516354,0.0
-0.06200677,-0.6912268,0.7038651,0.0
-0.06062577,-0.6617761,0.70261025,0.0
-0.059167597,-0.6312667,0.701402,0.0
-0.057634603,-0.5997474,0.70024335,0.0
-0.056029253,-0.56726867,0.69913733,0.0
-0.05435412,-0.53388244,0.69808674,0.0
-0.052611906,-0.4996421,0.6970944,0.0
-0.05080541,-0.46460244,0.69616294,0.0
-0.048937544,-0.4288195,0.6952949,0.0
-0.047011323,-0.39235055,0.6944929,0.0
-0.04502985,-0.3552535,0.693759,0.0
-0.04299632,-0.31758854,0.6930956,0.0
-0.040914025,-0.2794155,0.69250464,0.0
-0.03878632,-0.24079546,0.69198805,0.0
-0.036616646,-0.2017902,0.6915475,0.0
-0.034408502,-0.16246213,0.6911847,0.0
-0.03216546,-0.12287415,0.69090086,0.0
-0.029891144,-0.08308959,0.69069743,0.0
-0.027589224,-0.043172114,0.6905753,0.0
-0.025263418,-0.0031855688,0.6905354,0.0
-0.022917481,0.036806073,0.69057846,0.0
-0.020555202,0.076738834,0.6907049,0.0
-0.018180389,0.11654883,0.69091505,0.0
-0.01579687,0.15617284,0.6912091,0.0
-0.013408493,0.19554654,0.69158685,0.0
-0.011019105,0.2346074,0.6920482,0.0
-0.008632555,0.27329293,0.6925925,0.0
-0.0062526814,0.31154126,0.69321924,0.0
-0.003883313,0.3492912,0.69392747,0.0
-0.0015282575,0.38648236,0.6947163,0.0
8.087026E-4,0.4230552,0.69558436,0.0
0.0031238177,0.45895126,0.69653034,0.0
0.005413375,0.4941131,0.69755274,0.0
0.0076737064,0.52848446,0.6986497,0.0
0.009901193,0.56201035,0.69981945,0.0
