fitness,g0,g1,g2,g3,g4,g5
-0.10416863,0.11373976,-0.13394669,0.33284804,0.15861358,0.73162144,0.26047766
-0.2963955,-0.35176086,-0.019261243,0.335715,-0.20797116,0.47171175,-0.6832386
-0.033561718,0.36850742,-0.5402069,0.5908379,0.638818,0.100816764,0.07096982
-0.029060626,-0.53535616,0.24383241,0.28299874,0.8066448,0.07760571,0.1398155
-0.16732632,-0.103585355,0.07821565,0.33401918,-0.30152518,0.96078515,-0.074295335
-0.01806195,-0.07660222,-0.30987,0.13149561,0.37549937,-0.030912971,0.055237766
0.05534751,-0.52156883,-0.8654979,0.8080166,0.07572446,-0.121092916,-0.69619745
0.34388527,0.22294576,-0.03509493,-0.7541572,0.24026875,0.24569328,-0.51235956
0.3556025,-0.34118766,-0.44521987,-0.4351149,0.18560012,0.13213563,-0.1438565
0.041091137,-0.68174857,0.14413704,-0.48007149,0.32159242,0.17334089,0.20547523
-0.37817115,-0.2074772,0.8642878,-0.31654772,0.4189617,-0.76721007,-0.80451447
0.051666256,-0.657605,0.008771308,-0.36655796,0.42165565,-0.16794111,0.3976459
-0.8691703,-0.81534505,0.04369116,-0.078829035,0.3501841,-0.05819118,-0.30144712
0.06511549,0.026733935,-0.4605246,0.21227862,0.27811718,-0.28330258,-0.0662421
-0.41420224,0.57282215,0.266874,-0.028815065,0.10078972,-0.19851832,-0.7135863
-0.06700656,-0.71395266,-0.17470798,-0.2738677,0.45662042,0.29178235,0.76545465
-0.14958844,0.4159608,-0.5329393,0.13782646,-0.18721473,0.8354827,0.36263734
-0.038991354,-0.093862295,-0.65637827,0.51280713,0.06354751,0.37102467,-0.54426247
0.38161865,-0.52535796,-0.17710577,-0.5906375,0.57102424,-0.3235938,0.44494423
0.1239748,-0.24902533,0.01745689,-0.5474224,0.7859856,-0.7112697,0.6671425
-0.5177426,0.01709283,-0.7934446,-0.5326152,0.08994953,-0.7852956,0.83052486
0.14430667,0.3293363,0.22162831,0.09454656,0.080902964,0.23113114,-0.7582868
-0.052877218,-0.046285603,-0.03176609,-0.10204114,0.107614726,0.16081709,0.3609051
0.116956025,-0.17044896,0.2149007,-0.53756875,0.49030554,0.358361,-0.05751717
-0.44186664,-0.6222117,-0.9798475,-0.7291752,0.1295818,-0.5849075,-0.084371805
-0.4133918,-0.17453957,-0.24180321,0.515921,0.021209026,-0.4924393,-0.14807394
-1.1119833,0.6053542,0.46804807,-0.2449106,-0.35605308,0.17048359,0.3131894
-0.01985632,-0.2724936,0.22216684,0.018693352,-0.047099434,0.04827469,-0.61814034
-0.34980306,-0.17708,0.5015999,-0.31074354,0.44679952,-0.10153873,-0.16030994
0.20119463,-0.19255663,0.21188276,-0.24695894,0.13216572,0.29256395,-0.9220916
0.0015316684,0.49641863,0.89215285,-0.015567256,0.16911124,-0.25820604,0.14548671
-0.7228102,-0.44585705,0.22561744,0.39392674,-0.16772424,-0.84486824,0.14424789
0.38697323,-0.34346804,0.6725004,-0.661114,0.60652125,0.033079367,0.08391145
-0.31258094,-0.09185367,0.71809435,-0.94762623,0.8017438,0.03746628,-0.27577224
-0.04349092,-0.6932431,0.2750715,0.18228972,0.37670627,0.6877739,-0.10286447
0.525932,-0.8209913,-0.6064318,-0.69378877,0.5188309,0.1302454,-0.055267785
0.045279894,-0.28451958,-0.6067474,-0.20397376,0.4815576,-0.338987,0.3488735
0.042490195,0.16595891,-0.6064875,0.7975226,0.30907908,0.54071575,-0.7869227
-0.11445385,0.17668745,0.41802484,0.065596916,0.16597146,0.9550835,0.6415206
-0.730259,0.42407495,-0.13699436,-0.33257872,-0.67547375,0.5167638,-0.34912497
-3.2657156,-0.29969692,0.44555128,0.7832086,-0.5117978,0.3723626,0.7057512
0.34731957,0.2646103,0.21361208,-0.70083666,0.28923044,0.0720544,-0.020292997
-4.6964355,0.439272,0.8835466,0.6451843,-0.9290763,0.19378214,0.5050142
0.007970403,0.5172196,-0.5726606,0.55708706,-0.14969897,0.34819323,4.233122E-4
0.2574256,0.71293235,-0.45410943,-0.2222627,0.4608451,-0.16061498,0.16474195
0.026413713,0.17207515,0.7078057,0.26027763,0.3817805,-0.48982897,-0.12731299
0.3924964,-0.17688634,0.16923992,-0.7924133,0.6037911,0.4470508,-0.485419
-0.0734628,-0.031051483,-0.7698937,0.3207434,0.066744015,0.1717141,0.6745254
0.036857534,-0.51572895,-0.063905,-0.52730113,0.95189637,0.48558632,0.24480419
-0.16852582,-0.022317993,-0.90891725,-0.49383888,-0.12019164,0.021752385,-0.24360523
-0.070605434,-0.31184766,-0.4611998,-0.95156586,-0.24817258,0.03628223,-0.11346563
-1.0222783,0.14204103,-0.8843393,-0.74443066,-0.5607065,-0.68913406,-0.72988486
-0.77674913,0.8563719,0.004848193,-0.49088264,-0.4819789,-0.16140671,0.33111298
