neur0,input0,neur1,input1
0.9999006,0.0,0.53940976,0.0
0.99962103,0.0037663057,0.5742118,0.0
0.9987128,0.0075326115,0.6046518,0.0
0.9960588,0.011298917,0.6312999,0.0
0.98906016,0.015065223,0.65447754,0.0
0.9725769,0.018831529,0.67416877,0.0
0.93913096,0.022597834,0.6899681,0.0
0.8848248,0.02636414,0.70133686,0.0
0.82134265,0.030130446,0.70838827,0.0
0.7724983,0.03389675,0.7123656,0.0
0.7479271,0.037663057,0.7148051,0.0
0.7393378,0.041429363,0.71665126,0.0
0.73755944,0.04519567,0.7182971,0.0
0.73818207,0.04896198,0.7198794,0.0
0.73959905,0.05272828,0.72144294,0.0
0.7412762,0.056494586,0.723002,0.0
0.74303955,0.060260892,0.72456115,0.0
0.74483263,0.0640272,0.72612184,0.0
0.7466369,0.0677935,0.72768426,0.0
0.7484459,0.07155981,0.7292485,0.0
0.7502576,0.075326115,0.73081434,0.0
0.7520709,0.07909242,0.7323817,0.0
0.7538855,0.08285873,0.7339504,0.0
0.7557012,0.08662503,0.7355201,0.0
0.7575176,0.09039134,0.7370909,0.0
0.75933456,0.09415764,0.7386623,0.0
0.761152,0.09792396,0.7402344,0.0
0.7629697,0.101690255,0.7418068,0.0
0.7647873,0.10545656,0.7433795,0.0
0.76660484,0.10922287,0.7449522,0.0
0.76842207,0.11298917,0.74652475,0.0
0.77023876,0.11675548,0.74809706,0.0
0.77205473,0.120521784,0.74966884,0.0
0.7738698,0.1242881,0.75124,0.0
0.77568394,0.1280544,0.7528103,0.0
0.7774967,0.13182071,0.75437963,0.0
0.7793081,0.135587,0.75594777,0.0
0.781118,0.1393533,0.75751466,0.0
0.7829261,0.14311962,0.75908,0.0
0.7847322,0.14688593,0.76064366,0.0
0.78653634,0.15065223,0.76220554,0.0
0.78833807,0.15441854,0.76376545,0.0
0.7901375,0.15818484,0.7653232,0.0
0.79193443,0.16195114,0.7668787,0.0
0.7937285,0.16571745,0.7684317,0.0
0.7955196,0.16948377,0.76998216,0.0
0.7973077,0.17325006,0.77152985,0.0
0.79909265,0.17701636,0.7730746,0.0
0.8008741,0.18078268,0.7746164,0.0
0.8026522,0.18454897,0.77615494,0.0
0.8044265,0.18831529,0.7776902,0.0
0.806197,0.1920816,0.7792219,0.0
0.80796343,0.19584791,0.78075004,0.0
0.8097259,0.1996142,0.7822745,0.0
0.81148404,0.20338051,0.783795,0.0
0.8132378,0.20714682,0.78531146,0.0
0.814987,0.21091312,0.78682375,0.0
0.8167315,0.21467943,0.7883318,0.0
0.81847125,0.21844573,0.78983545,0.0
0.82020605,0.22221203,0.79133457,0.0
0.8219357,0.22597834,0.79282904,0.0
0.82366025,0.22974466,0.7943187,0.0
0.8114927,-0.22935878,0.7952597,0.0
0.8054246,-0.22559246,0.7959202,0.0
0.8027716,-0.22182617,0.79644763,0.0
0.8018487,-0.21805985,0.7969159,0.0
0.80176204,-0.21429354,0.7973602,0.0
0.8020726,-0.21052726,0.7977971,0.0
0.80257225,-0.20676094,0.7982343,0.0
0.80316365,-0.20299463,0.7986753,0.0
0.80380136,-0.19922833,0.7991217,0.0
0.80446434,-0.19546202,0.79957414,0.0
0.8051426,-0.1916957,0.80003303,0.0
0.8058317,-0.18792942,0.80049837,0.0
0.8065292,-0.18416311,0.8009702,0.0
0.8072341,-0.18039681,0.80144846,0.0
0.8079459,-0.1766305,0.80193317,0.0
0.8086643,-0.17286418,0.8024242,0.0
0.80938905,-0.16909787,0.8029215,0.0
0.8101201,-0.16533156,0.80342495,0.0
0.8108573,-0.16156527,0.8039345,0.0
0.81160057,-0.15779898,0.8044501,0.0
0.8123498,-0.15403266,0.8049717,0.0
0.81310487,-0.15026635,0.80549914,0.0
0.8138659,-0.14650004,0.80603236,0.0
0.8146326,-0.14273372,0.80657125,0.0
0.81540483,-0.13896745,0.8071158,0.0
0.8161827,-0.13520114,0.80766594,0.0
0.8169661,-0.13143483,0.8082216,0.0
0.81775486,-0.12766851,0.8087826,0.0
0.8185489,-0.12390221,0.80934894,0.0
0.8193482,-0.120135896,0.8099205,0.0
0.82015264,-0.11636961,0.8104972,0.0
0.8209622,-0.11260331,0.811079,0.0
0.8217767,-0.10883699,0.8116658,0.0
0.822596,-0.10507068,0.81225747,0.0
0.82342017,-0.101304375,0.812854,0.0
0.8242491,-0.09753806,0.8134553,0.0
0.8250826,-0.09377178,0.81406116,0.0
0.82592064,-0.09000547,0.8146717,0.0
0.8267632,-0.08623916,0.8152867,0.0
0.82761014,-0.08247285,0.81590605,0.0
0.8284612,-0.07870654,0.8165298,0.0
0.82931656,-0.07494023,0.81715775,0.0
0.8301761,-0.07117392,0.8177899,0.0
0.83103955,-0.06740764,0.8184261,0.0
0.831907,-0.063641325,0.8190663,0.0
0.8327783,-0.05987502,0.8197104,0.0
0.8336533,-0.056108706,0.82035834,0.0
0.834532,-0.052342396,0.82101,0.0
0.8354143,-0.048576087,0.8216653,0.0
0.8363001,-0.044809803,0.82232416,0.0
0.83718926,-0.041043494,0.82298654,0.0
0.8380817,-0.037277184,0.8236523,0.0
0.83897746,-0.033510875,0.8243214,0.0
0.83987635,-0.029744564,0.8249937,0.0
0.84077823,-0.025978254,0.82566917,0.0
0.84168315,-0.02221197,0.82634765,0.0
0.84259087,-0.018445661,0.82702917,0.0
0.84350145,-0.014679351,0.8277136,0.0
0.8444147,-0.0109130405,0.82840085,0.0
0.8453306,-0.0071467306,0.82909083,0.0
0.846249,-0.0033804202,0.82978344,0.0
0.8471698,3.8586237E-4,0.8304786,0.0
0.84809303,0.0041521727,0.8311762,0.0
0.8490186,0.007918483,0.8318763,0.0
0.84994614,0.011684793,0.83257866,0.0
0.850876,0.0154511025,0.8332833,0.0
0.8518077,0.019217413,0.83399004,0.0
0.85274136,0.022983722,0.83469886,0.0
0.85367686,0.026750034,0.8354097,0.0
0.8546142,0.030516343,0.83612245,0.0
0.85555315,0.034282655,0.836837,0.0
0.8564936,0.038048908,0.8375533,0.0
0.8574357,0.041815218,0.8382713,0.0
0.8583791,0.045581527,0.8389909,0.0
0.8593239,0.04934784,0.839712,0.0
0.86026996,0.05311415,0.84043455,0.0
0.86121714,0.05688046,0.84115845,0.0
0.86216545,0.06064677,0.84188366,0.0
0.8631148,0.06441308,0.84261006,0.0
0.864065,0.06817939,0.84333754,0.0
0.8650161,0.0719457,0.84406614,0.0
0.8659679,0.07571201,0.84479564,0.0
0.8669205,0.07947832,0.8455261,0.0
0.8678736,0.08324463,0.8462573,0.0
0.8688273,0.08701088,0.8469894,0.0
0.8697814,0.090777196,0.8477221,0.0
0.8707358,0.09454351,0.8484554,0.0
0.8716906,0.098309815,0.8491893,0.0
0.87264556,0.10207613,0.84992355,0.0
0.8736006,0.105842434,0.85065824,0.0
0.87455577,0.10960875,0.8513932,0.0
0.8755109,0.11337505,0.8521285,0.0
0.876466,0.117141366,0.85286397,0.0
0.87742084,0.12090768,0.8535995,0.0
0.8783755,0.124673985,0.8543351,0.0
0.87932986,0.12844029,0.85507065,0.0
0.88028383,0.1322066,0.8558062,0.0
0.8812373,0.13597286,0.85654145,0.0
0.8821903,0.13973917,0.85727656,0.0
0.88314265,0.14350548,0.85801136,0.0
0.8840944,0.1472718,0.85874575,0.0
0.88504535,0.1510381,0.8594798,0.0
0.88599545,0.15480441,0.86021334,0.0
0.8869447,0.15857072,0.86094636,0.0
0.887893,0.16233703,0.8616787,0.0
0.8888404,0.16610335,0.8624104,0.0
0.8897866,0.16986965,0.8631414,0.0
0.8907317,0.17363596,0.86387163,0.0
0.89167553,0.17740227,0.864601,0.0
0.8926182,0.18116853,0.86532944,0.0
0.89355946,0.18493484,0.866057,0.0
0.8944993,0.18870115,0.86678344,0.0
0.8954377,0.19246747,0.8675088,0.0
0.8963746,0.19623376,0.8682331,0.0
0.89730984,0.20000008,0.86895615,0.0
0.8982435,0.20376639,0.869678,0.0
0.89917535,0.2075327,0.8703985,0.0
0.9001055,0.21129902,0.8711177,0.0
0.9010338,0.21506532,0.87183553,0.0
0.9019602,0.21883163,0.8725519,0.0
0.9028847,0.22259794,0.87326676,0.0
0.90380716,0.22636425,0.87398005,0.0
0.9047276,0.23013051,0.8746917,0.0
0.8977849,-0.22897291,0.8752057,0.0
0.8926654,-0.22520661,0.87557536,0.0
