fitness,g0,g1
0.28639987,0.07158499,-0.52073723
0.28691623,-0.5792101,-0.3202146
0.2866129,-0.63609415,-0.2189199
0.28651896,-0.32261077,-0.38978478
0.40745804,0.7031443,-0.4920096
0.2867413,0.8584551,0.98844165
0.28643087,-0.058519296,-0.022036713
0.28652525,-0.403142,-0.6769498
0.28673646,0.95556366,0.60729367
0.2864349,-0.014224672,0.42422646
0.28654063,0.53138745,-0.07804336
0.28652975,-0.2671494,-0.8321939
0.28644314,-0.029963503,-0.12953791
0.28645316,0.076498255,0.9582402
0.2865653,0.39356267,0.5633425
0.2862691,-0.8873955,0.34417254
0.28649798,-0.50692296,-0.30526486
0.28679875,0.92307514,0.6829413
0.2865305,0.28208822,0.57143193
0.28637677,-0.4737051,-0.11028389
0.28677043,0.68257457,0.72145134
0.28635022,0.30836663,-0.8334986
0.28644222,0.022061542,0.55382663
0.28660387,0.5548518,0.8339759
0.28638607,-0.26930892,0.67799175
0.28664312,0.71266913,0.14987902
0.28644696,-0.37771642,0.2303945
0.28666818,-0.36131313,-0.640143
0.407684,-0.20337284,0.17292902
0.28669304,-0.6905865,-0.9920552
0.28664342,0.5906641,0.6064265
0.28643373,-0.28008232,-0.14239213
0.286496,-0.1988498,-0.9555984
0.2864428,-0.6810567,-0.18847382
0.28645635,-0.22698371,-0.16882756
0.28699946,-0.922658,-0.48056927
0.28613082,0.18752186,-0.0049934387
0.2873653,-0.844714,-0.12026321
0.40773034,-0.07802636,-0.9435105
0.40779072,-0.41145265,-0.13880892
0.28657144,0.7494629,0.6776028
0.28643405,-0.28655002,0.23750491
0.28669223,-0.82196677,-0.6923143
0.2864345,-0.01921773,0.09362235
0.28641865,0.061526697,-0.5690981
0.2866565,-0.5204925,-0.9627392
0.28662422,-0.7381458,-0.6345912
0.2865571,0.47760937,0.5098349
0.2864039,-0.11994925,-0.037574172
0.28647056,-0.2898473,-0.55850196
0.28688446,0.7816066,-0.03957393
0.2865276,0.28989953,0.4426864
0.2867572,-0.92064077,-0.82417375
0.28635135,-0.31810257,0.58904654
0.28654528,0.32862705,0.21915005
0.2865122,0.51551974,0.4707504
0.40801382,0.5071648,0.96864176
0.28639168,0.64927953,0.034737837
0.2872406,0.6286861,-0.19999821
0.2864122,0.07655156,-0.86946505
0.40780923,-0.2558714,-0.4027192
0.28647953,-0.7377232,-0.15449212
0.2866425,-0.84236455,-0.37656644
0.28667364,0.71790266,0.6145907
0.28654987,-0.5387504,-0.37471735
0.2866334,-0.49229804,-0.6824864
0.2867003,0.909566,0.60524404
0.28659776,0.5926273,0.6120947
0.28653476,-0.3157389,-0.6242483
0.40784758,-0.33510435,-0.6916542
0.40819103,-0.83170205,-0.98884124
0.33765712,0.14766133,-0.87415195
0.28640503,-0.21058296,0.9589129
0.2862482,-0.7602558,0.4671037
0.2866477,0.5455024,0.8036363
0.28658405,-0.51905024,-0.7710823
0.40769738,0.13589208,0.13057661
0.28656036,0.41421738,0.9728208
0.2863625,-0.9139365,0.38192832
0.40779796,-0.74618,-0.35596976
0.4080036,0.61426544,0.6434668
0.28694803,0.79932886,0.5603924
0.4076257,-0.33277842,0.46349484
0.286456,0.12526679,0.43603772
0.40768507,0.015171609,-0.3544075
0.2865961,0.6911921,0.36610043
0.28623357,0.9775788,-0.55342937
0.2863504,-0.32286024,0.40984765
0.28660747,0.51452625,0.8070818
0.28663945,-0.7791397,-0.27200475
0.2864512,-0.06881145,-0.20596407
0.40774214,0.1754602,0.08592832
0.2866438,0.71331227,0.82323444
0.40793833,0.2866079,0.9206669
0.28665254,-0.9625485,-0.21990666
0.4077347,0.9219389,-0.14538838
0.28669864,-0.72895247,-0.57369906
0.28666252,-0.7259786,-0.5298099
0.28642693,-0.06421721,0.6380104
0.28644502,0.23167735,0.43805763
