Generation,Max fitness,Min fitness,Avg fitness,Variance
1,0.1879344,-10.914482,-0.73541564,168.9303
2,0.1879344,-19.31416,-0.9430165,704.54517
3,0.22633922,-9.294095,-0.5737277,117.44315
4,0.22633922,-28.4857,-1.0403851,1192.2671
5,0.22633922,-14.197354,-0.9889888,459.19275
6,0.22633922,-17.620632,-0.99047273,689.9972
7,0.22633922,-14.573239,-0.8767099,390.89804
8,0.22633922,-5.8078117,-0.5471926,87.054276
9,0.27603406,-10.917023,-0.7499923,305.35614
10,0.27603406,-7.336767,-0.67799276,176.2305
11,0.35310498,-7.336767,-0.3633236,121.10156
12,0.35310498,-18.665922,-0.74698037,554.0644
13,0.35310498,-12.858516,-0.590152,372.88196
14,0.35310498,-5.619058,-0.31742755,60.829376
15,0.35310498,-10.196249,-0.5260681,215.72821
16,0.35310498,-14.178052,-0.46640795,269.26328
17,0.35310498,-4.3717403,-0.32494086,42.532597
18,0.35310498,-14.798784,-0.73112273,461.89224
19,0.35310498,-14.810788,-0.4935814,259.90552
20,0.35310498,-17.16308,-0.79430026,538.41534
21,0.32656592,-23.606297,-0.8170588,749.42944
22,0.32656592,-24.724072,-0.67172575,718.8365
23,0.32656592,-11.896609,-0.47464943,180.93027
24,0.32656592,-15.661128,-0.9876611,758.37726
25,0.32656592,-33.317326,-0.9468248,1373.0906
26,0.32656592,-19.653173,-0.9286666,731.4914
27,0.32656592,-19.646765,-0.96905595,846.6818
28,0.32656592,-19.646765,-0.6890476,550.34863
29,0.32656592,-23.914963,-0.912165,1068.6326
30,0.32656592,-24.436514,-0.8529675,972.2365
31,0.3343927,-27.245974,-0.8747773,1017.0328
32,0.3343927,-15.229082,-0.77972364,492.01816
33,0.3343927,-6.93382,-0.30714816,67.07163
34,0.3343927,-5.9816313,-0.41808274,101.2601
35,0.3343927,-24.998352,-0.82233346,788.95953
36,0.3343927,-5.8960896,-0.4188039,64.98436
37,0.3343927,-10.187806,-0.6251068,286.4522
38,0.3343927,-8.208364,-0.46979335,111.27965
39,0.3343927,-9.039467,-0.521244,149.12657
40,0.3343927,-16.30585,-0.76963717,447.74823
41,0.30337504,-4.5671587,-0.49272546,76.692764
42,0.30337504,-12.517265,-0.62022394,285.86313
43,0.30337504,-15.095,-0.8098207,451.79886
44,0.30337504,-4.5440855,-0.41338402,62.689766
45,0.30337504,-9.228942,-0.5199374,165.5964
46,0.30337504,-8.632209,-0.6490381,238.4276
47,0.30337504,-11.379277,-0.4179739,157.00763
48,0.30337504,-24.383093,-0.86676246,809.9171
49,0.30337504,-24.383093,-0.8720385,840.446
50,0.30337504,-24.383093,-0.7088128,668.7099
51,0.30337504,-22.727827,-1.2380586,1059.0299
52,0.2759449,-5.782309,-0.5309822,97.81464
53,0.2759449,-8.788573,-0.6431718,189.46832
54,0.2759449,-9.323462,-0.65613365,217.63731
55,0.2759449,-21.689293,-0.75601596,531.6718
56,0.2759449,-21.689293,-1.1560769,1391.1011
57,0.2759449,-5.3702364,-0.40840036,57.782673
58,0.2759449,-4.494112,-0.5149721,82.00713
59,0.2759449,-17.867752,-0.98371714,745.75397
60,0.2759449,-38.375694,-1.3814025,2540.1514
61,0.37052086,-38.375694,-0.77829725,1551.6604
62,0.37052086,-17.570976,-0.60580134,578.88055
63,0.37052086,-17.033686,-0.6193353,498.7967
64,0.37052086,-43.532814,-1.3758453,2811.3232
65,0.37052086,-19.489828,-0.6431368,470.23077
66,0.37052086,-15.217668,-0.75183606,393.55475
67,0.37052086,-23.35786,-0.7900116,681.22815
68,0.37052086,-9.811512,-0.5064843,211.28375
69,0.37052086,-15.35621,-0.4968105,290.4006
70,0.37052086,-17.33701,-0.55667055,402.38248
71,0.36395153,-20.410936,-0.81498533,620.2331
72,0.316336,-35.85774,-1.1243278,1765.1794
73,0.316336,-9.86657,-0.60745513,253.8926
74,0.316336,-8.714936,-0.7241308,313.6461
75,0.316336,-15.025154,-0.96138144,591.98303
76,0.316336,-9.953399,-0.6768548,226.5137
77,0.316336,-10.015814,-0.45196125,132.30142
78,0.316336,-12.4515915,-0.90421504,458.30014
79,0.316336,-18.066212,-0.7004544,507.01285
80,0.316336,-6.766563,-0.53132075,126.26579
81,0.30627227,-16.03057,-0.7171799,434.90643
82,0.29585007,-10.843719,-0.61304647,193.01572
83,0.29585007,-14.655246,-0.80472046,419.61945
84,0.29585007,-23.810442,-1.1505007,1141.5657
85,0.29585007,-9.058013,-0.6423631,241.99916
86,0.32340556,-13.356434,-0.86978316,461.66638
87,0.32340556,-13.356434,-0.7442276,388.86447
88,0.32340556,-17.204184,-0.65044695,374.8531
89,0.32340556,-21.457952,-0.96731895,840.9385
90,0.32340556,-13.789718,-0.9266324,460.79285
91,0.28488776,-17.795696,-0.90176964,542.1376
92,0.25520563,-31.821112,-1.041106,1142.5374
93,0.25520563,-10.470102,-0.795541,272.3867
94,0.25520563,-10.470102,-0.63980955,190.04979
95,0.25520563,-13.743721,-0.82301813,435.23087
96,0.25520563,-7.166411,-0.51556134,76.69051
97,0.25520563,-14.564476,-0.95260024,543.95496
98,0.25520563,-6.405981,-0.6739837,115.89203
99,0.25520563,-26.863214,-0.9891821,1130.1484
100,0.25520563,-13.75395,-0.77674985,403.13394
