Generation,Max fitness,Min fitness,Avg fitness,Variance
1,0.506629,0.5046449,0.5056892,2.0928068E-5
2,0.5064847,0.35121322,0.37029475,0.22675745
3,0.5055212,0.3444897,0.34957707,0.05062638
4,0.50510913,0.3246039,0.32967734,0.035657756
5,0.32602513,0.25651875,0.26808527,0.057986505
6,0.3396618,0.25726947,0.33146545,0.04725098
7,0.33820647,0.3169552,0.32123372,0.0058307564
8,0.33817828,0.2855326,0.29542035,0.015648544
9,0.4156924,0.2867291,0.3871659,0.14395252
10,0.41493285,0.2867291,0.34716076,0.059477687
