neur0,input0,neur1,input1
0.45940772,0.0,0.49173498,0.0
0.4313141,0.03103525,0.5141503,0.0
0.4055085,0.0620705,0.53389156,0.0
0.3819877,0.09310575,0.55130464,0.0
0.36069667,0.124141,0.5666972,0.0
0.34154323,0.15517624,0.58034027,0.0
0.32441017,0.1862115,0.5924708,0.0
0.30916545,0.21724674,0.6032952,0.0
0.29566982,0.248282,0.6129928,0.0
0.28378263,0.27931726,0.62171876,0.0
0.27336597,0.31035247,0.6296075,0.0
0.2642875,0.34138775,0.6367755,0.0
0.25642207,0.372423,0.6433234,0.0
0.24965301,0.40345824,0.6493385,0.0
0.24387236,0.43449348,0.6548963,0.0
0.23898101,0.46552876,0.6600625,0.0
0.23488858,0.496564,0.6648938,0.0
0.23151296,0.5275993,0.66943973,0.0
0.2287799,0.5586345,0.6737431,0.0
0.22662239,0.58966976,0.67784125,0.0
0.22498013,0.62070495,0.68176645,0.0
0.223799,0.65174025,0.685547,0.0
0.22303048,0.6827755,0.68920726,0.0
0.22263114,0.71381074,0.69276845,0.0
0.21290173,-0.72930944,0.6957973,0.0
0.20438276,-0.6982742,0.6983687,0.0
0.19695637,-0.66723895,0.7005478,0.0
0.190514,-0.6362037,0.70239127,0.0
0.18495637,-0.60516846,0.70394856,0.0
0.18019316,-0.5741332,0.705263,0.0
0.17614253,-0.5430979,0.7063725,0.0
0.17273057,-0.51206267,0.7073104,0.0
0.16989075,-0.4810274,0.7081059,0.0
0.1675633,-0.44999218,0.70878494,0.0
0.16569464,-0.41895694,0.70937014,0.0
0.16423674,-0.3879217,0.70988166,0.0
0.16314672,-0.35688645,0.7103372,0.0
0.16238625,-0.3258512,0.7107525,0.0
0.16192116,-0.29481596,0.71114135,0.0
0.16172093,-0.2637807,0.71151614,0.0
0.1617584,-0.23274547,0.71188754,0.0
0.16200936,-0.20171013,0.7122653,0.0
0.16245225,-0.17067489,0.71265775,0.0
0.16306792,-0.13963966,0.7130725,0.0
0.16383931,-0.108604416,0.71351606,0.0
0.16475123,-0.07756917,0.71399415,0.0
0.16579019,-0.046533927,0.71451193,0.0
0.16694419,-0.015498686,0.71507376,0.0
0.16820253,0.015536556,0.7156836,0.0
0.16955575,0.046571888,0.7163447,0.0
0.17099538,0.07760704,0.71705997,0.0
0.17251393,0.10864237,0.71783185,0.0
0.17410468,0.13967752,0.7186624,0.0
0.17576168,0.17071286,0.7195534,0.0
0.17747965,0.20174801,0.72050625,0.0
0.17925386,0.23278335,0.72152215,0.0
0.18108007,0.2638185,0.7226019,0.0
0.18295453,0.29485384,0.7237461,0.0
0.1848739,0.325889,0.7249554,0.0
0.18683511,0.3569243,0.7262298,0.0
0.1888355,0.38795963,0.7275695,0.0
0.19087264,0.41899478,0.72897434,0.0
0.19294436,0.45003012,0.7304441,0.0
0.19504869,0.48106527,0.73197836,0.0
0.19718383,0.51210064,0.73357654,0.0
0.19934821,0.54313576,0.7352381,0.0
0.20154035,0.57417107,0.7369622,0.0
0.2037589,0.60520625,0.7387481,0.0
0.20600267,0.63624156,0.7405946,0.0
0.20827052,0.66727674,0.7425009,0.0
0.21056142,0.69831204,0.74446577,0.0
0.21287441,0.7293474,0.74648803,0.0
0.20551622,-0.7137729,0.7481796,0.0
0.1991191,-0.6827375,0.749588,0.0
0.1935879,-0.6517024,0.7507546,0.0
0.18883565,-0.62066704,0.7517158,0.0
0.18478343,-0.5896319,0.7525034,0.0
0.18135971,-0.55859655,0.75314546,0.0
0.1784999,-0.5275614,0.7536667,0.0
0.17614591,-0.4965261,0.7540889,0.0
0.17424542,-0.46549094,0.7544314,0.0
0.17275155,-0.4344556,0.7547113,0.0
0.17162222,-0.40342027,0.7549436,0.0
0.17081983,-0.3723851,0.75514185,0.0
0.1703107,-0.34134978,0.7553178,0.0
0.17006479,-0.31031466,0.7554821,0.0
0.17005521,-0.27927932,0.755644,0.0
0.170258,-0.24824415,0.75581187,0.0
0.17065178,-0.21720883,0.75599307,0.0
0.1712175,-0.18617368,0.756194,0.0
0.17193817,-0.15513834,0.75642043,0.0
0.17279862,-0.12410319,0.75667745,0.0
0.1737854,-0.093067855,0.7569695,0.0
0.1748865,-0.062032703,0.75730056,0.0
0.17609118,-0.030997371,0.7576739,0.0
0.17738993,3.7958333E-5,0.75809264,0.0
0.17877425,0.031073112,0.7585593,0.0
0.1802366,0.062108267,0.7590761,0.0
0.18177019,0.093143776,0.75964487,0.0
0.18336904,0.12417893,0.7602672,0.0
0.1850278,0.15521409,0.7609444,0.0
0.18674167,0.18624924,0.76167756,0.0
0.18850638,0.21728474,0.76246744,0.0
0.19031812,0.2483199,0.7633147,0.0
0.1921735,0.27935505,0.7642199,0.0
