Generation,Max fitness,Min fitness,Avg fitness,Variance
1,0.44077045,0.4195468,0.42629966,0.0029300607
2,0.44062838,0.36530882,0.38064644,0.033787973
3,0.42853785,0.27267453,0.2982407,0.093663484
4,0.37386796,0.27294993,0.3576206,0.06715529
5,0.37386796,0.2820079,0.29160473,0.059649732
6,0.3682218,0.2826352,0.3046621,0.012644503
7,0.31996155,0.28382662,0.30776,0.0013671382
8,0.35632223,0.30599385,0.34890696,0.024633981
9,0.36503547,0.30811062,0.35414258,0.004254561
10,0.36003226,0.32419634,0.3295896,0.005494778
