Generation,Max fitness,Min fitness,Avg fitness,Variance
1,-1.4516002,-26.852734,-3.2229586,1031.5712
2,-1.4485534,-16.908228,-2.7649527,356.34073
3,-1.4485534,-13.258617,-2.857351,371.67938
4,-1.4485534,-7.8365984,-2.530403,155.47917
5,-1.4485534,-6.00189,-2.4069552,80.10798
6,-1.4485534,-29.826921,-2.771087,957.257
7,-1.4485534,-10.111354,-2.4872503,161.20328
8,-1.4485534,-9.2768345,-2.4483254,157.0961
9,-1.4485534,-22.145144,-2.6367285,650.05457
10,-1.4485534,-14.64809,-2.6946075,437.35776
11,-1.4485534,-11.346905,-2.7894316,292.6191
12,-1.4485534,-11.530404,-2.4955761,198.87202
13,-1.2588472,-19.521704,-3.0096009,833.9576
14,-1.2588472,-13.999519,-2.7167509,358.4693
15,-1.2588472,-12.753261,-2.5700812,277.6481
16,-1.2588472,-12.753261,-2.558368,234.21611
17,-1.2588472,-17.172297,-2.4796655,352.2051
18,-1.2588472,-15.979073,-2.5615473,394.14346
19,-1.2588472,-25.647995,-2.6029367,679.32806
20,-1.2588472,-23.665855,-2.8838282,729.3522
21,-0.49324283,-10.056759,-1.802464,187.41817
22,-0.49324283,-8.129439,-1.6753509,134.56023
23,-0.49324283,-5.2712274,-1.6082975,85.72237
24,-0.49324283,-21.801472,-2.1286387,711.0772
25,-0.49324283,-9.714397,-1.8015358,229.92847
26,-0.49324283,-12.590419,-1.6953305,221.15363
27,-0.49324283,-18.05631,-2.0547063,692.624
28,-0.49324283,-14.97176,-2.1315205,697.5983
29,-0.49324283,-13.866692,-1.7153834,244.1484
30,-0.49324283,-14.685643,-1.5704398,232.2397
31,-0.49324283,-17.472607,-1.655905,315.1527
32,-0.49324283,-21.575285,-1.7790712,504.1006
33,-0.49324283,-8.273307,-1.6142726,193.82774
34,-0.49324283,-12.538475,-1.6341417,204.48422
35,-0.49324283,-9.754821,-1.6772445,203.48616
36,-0.49324283,-14.29497,-2.0368547,644.2373
37,-0.49324283,-14.29497,-1.836817,466.74203
38,-0.49324283,-24.375942,-1.923089,822.93115
39,-0.49324283,-14.29497,-1.6996353,295.1453
40,-0.49324283,-10.49696,-1.8458589,338.1299
41,-0.46110168,-10.389361,-1.4738226,157.26318
42,-0.41375613,-15.65868,-1.6913341,422.31146
43,-0.41375613,-15.050824,-1.7763859,475.86508
44,-0.41375613,-29.754528,-1.8423185,984.55304
45,-0.41375613,-23.605366,-1.9503284,852.7415
46,-0.41375613,-19.372438,-1.7794511,527.3856
47,-0.41375613,-11.000071,-1.6558397,294.91867
48,-0.41375613,-17.864609,-1.7992678,535.1301
49,-0.3842203,-6.5214033,-1.4635376,95.292076
50,-0.3842203,-15.903398,-1.7805474,499.62256
51,-0.3842203,-4.073279,-1.3759471,48.734352
52,-0.3842203,-13.584746,-1.6939697,383.3882
53,-0.3842203,-8.339339,-1.5461732,155.2102
54,-0.3842203,-9.253925,-1.6021854,188.60985
55,-0.3842203,-8.356014,-1.6211323,210.4492
56,-0.3842203,-9.6813965,-1.4885026,156.69856
57,-0.3842203,-16.309578,-1.8619714,464.0121
58,-0.3842203,-20.498892,-2.053803,825.8601
59,-0.3842203,-37.685776,-1.9518814,1496.146
60,-0.3842203,-14.011866,-1.6595852,351.76956
61,-0.5629934,-9.867663,-1.6774778,150.02106
62,-0.575018,-5.807548,-1.5589578,59.199387
63,-0.575018,-8.622794,-1.5303279,80.28056
64,-0.575018,-17.36773,-1.8236594,345.32513
65,-0.575018,-4.281216,-1.6419668,58.10843
66,-0.575018,-10.02992,-1.82119,215.20401
67,-0.575018,-28.69745,-2.0211632,825.75464
68,-0.575018,-28.69745,-2.104797,1055.7985
69,-0.575018,-9.606402,-1.6515405,113.52581
70,-0.575018,-9.955517,-1.7809622,161.79034
71,-0.575018,-25.697609,-2.1688964,825.3658
72,-0.575018,-11.763264,-1.8946747,259.13007
73,-0.575018,-24.873795,-2.0954487,832.04376
74,-0.575018,-22.065691,-2.1030073,702.9453
75,-0.575018,-5.8183656,-1.7521652,112.38225
76,-0.575018,-11.336523,-2.0210228,285.11923
77,-0.575018,-28.019611,-1.8440294,737.37634
78,-0.575018,-11.772822,-1.9737673,309.71957
79,-0.575018,-6.9679675,-1.7799367,130.94182
80,-0.575018,-10.076178,-1.6794325,145.1299
81,-0.66647834,-11.58586,-1.9599109,228.88725
82,-0.6689263,-8.486582,-1.9625691,141.22952
83,-0.6689263,-11.009477,-1.8695592,165.70036
84,-0.6689263,-14.539578,-2.083457,267.5826
85,-0.6689263,-9.5575905,-1.8777655,136.76884
