fitness,g0,g1,g2,g3,g4,g5
0.33198255,-0.3816741,0.022802344,-0.8774531,-0.5839534,0.44711876,-0.5336698
0.33250827,0.7516007,-0.2912929,-0.25747237,-0.11139142,-0.75887036,-0.4136995
0.3323916,0.5481177,0.25144243,0.504856,-0.2207913,0.19309193,0.33399078
0.3310069,-0.70116657,0.98323864,-0.07979965,0.28870463,-0.119172335,-0.2499243
0.33331087,0.18670881,0.22232619,0.16022015,0.40925983,0.024802877,-0.65676415
0.33834136,0.76993555,0.20109904,-0.23767146,-0.08134079,-0.005595663,-0.1687324
0.33138576,-0.3308606,-0.74698836,-0.1913848,-0.66932255,-0.5170091,0.5510053
0.33231398,-0.28555447,-0.80770814,0.21244037,-0.4257731,0.31148633,0.5103642
0.33036414,-0.5926031,0.4306149,0.58022666,0.5191542,-0.55027044,0.5148096
0.33410487,-0.25241444,0.08419347,0.7343915,0.31235597,0.059754252,0.69660026
0.3344831,-0.3219061,-0.78608525,0.14308256,0.9472808,-0.4709831,-0.48103058
0.33961067,0.39465988,0.02843241,-0.71412027,-0.66165143,0.99796546,0.07892164
0.33060744,0.044607528,-0.48741758,-0.055795193,0.079655826,0.32728848,-0.4200876
0.33747792,0.30341685,0.6728576,-0.051741406,-0.08678508,-0.9978519,-0.39806572
0.33400556,-0.7519292,-0.8783276,-0.40245235,0.9349268,-0.3262573,-0.07391372
0.33911967,0.04373622,0.6931094,-0.5320386,-0.11300402,-0.8337698,-0.38610587
0.30120516,-0.41508085,-0.84252065,-0.21574101,0.008278608,0.019733341,0.9679445
0.30138946,0.33505347,-0.33022228,0.9572891,-0.88328934,-0.56141824,-0.7355251
0.33344424,-0.23889534,0.13055082,-0.15606736,-0.17528778,0.41584265,0.24966994
0.32957292,-0.7801095,0.27561522,0.09674296,0.83356065,-0.3845991,0.2821509
0.3421565,0.3326888,0.20047867,0.7444912,0.086383685,-0.8056881,-0.21674153
0.33128443,0.38990015,0.6944263,0.14230098,-0.02845931,0.3125704,-0.47957292
0.33469602,0.5661867,0.49691275,-0.340739,-0.5909334,-0.027796648,0.71960914
0.30190584,-0.54736453,-0.0390275,0.7201544,-0.96167374,0.50119525,0.24296503
0.33683988,0.46318188,0.44163123,-0.21508017,-0.51739526,-0.39953232,-0.2675459
0.33519882,-0.49290743,-0.10411534,0.6133775,-0.7308311,-0.26771885,-0.1926932
0.33660278,-0.43396175,0.5151065,0.94439673,0.23279773,0.13097338,0.802523
0.33687532,-0.4063151,-0.23581862,-0.0018068198,0.697507,0.46483496,0.2939723
0.31698814,-0.038665883,0.7678336,-0.19583808,0.086200766,0.059763696,-0.44005358
0.3296109,0.76251084,-0.4752235,-0.7751208,0.8036425,0.018902251,-0.43241212
0.3342571,-0.51389563,-0.5634888,-0.31044734,0.5813399,0.29343703,0.20483679
0.33003405,0.7644203,-0.9162727,0.11325645,-0.59328526,0.3079935,-0.23940042
0.30176678,0.31626126,0.0010069609,0.60471296,-0.73894525,-0.5855486,-0.13872197
0.3367686,-0.40106323,0.766653,-0.78879106,-0.2935518,0.75830644,0.8491335
0.3305747,0.3555642,-0.15010114,0.0759626,0.52979463,-0.012928816,0.17056498
0.33899006,-0.19290116,0.6135302,0.7607758,0.2638873,-0.5443127,-0.108015895
0.3348843,-0.3231019,-0.1749953,0.43166026,0.48009074,-0.22669935,0.5336531
0.33070502,0.38011214,-0.079732575,0.06699146,0.78925824,0.06301554,-0.7074352
0.33491233,-0.17739336,-0.83954126,-0.071623325,0.6682086,0.7007558,0.48517796
