Generation,Max fitness,Min fitness,Avg fitness,Variance
1,0.33175525,-10.325522,-0.57035786,263.8823
2,0.4009504,-4.994922,-0.22316937,53.33694
3,0.4009504,-9.163494,-0.2667342,123.98988
4,0.46281546,-7.7627864,-0.1598256,83.9645
5,0.46281546,-15.689661,-0.40730166,350.87466
6,0.46281546,-12.567705,-0.47037286,329.67746
7,0.46281546,-16.256166,-0.40228382,451.84686
8,0.49794465,-7.0577,-0.31089538,158.19348
9,0.49794465,-15.232708,-0.5955003,419.12094
10,0.49794465,-10.804586,-0.38103446,201.07265
11,0.49794465,-14.632488,-0.3732206,316.04266
12,0.49794465,-14.398499,-0.5790304,410.9941
13,0.50292355,-6.498285,-0.12847497,64.36478
14,0.50292355,-26.186207,-0.7252236,1018.884
15,0.50292355,-26.186207,-0.33130687,703.39685
16,0.50292355,-23.429646,-0.3224885,607.538
17,0.50292355,-6.95202,-0.15971176,71.68429
18,0.50292355,-9.093661,-0.17939126,125.2149
19,0.50292355,-9.185718,-0.28495574,164.84804
20,0.50292355,-9.185718,-0.33937207,228.43716
21,0.5052129,-34.748524,-0.59216785,1478.9589
22,0.5052129,-10.849351,-0.36048403,279.2532
23,0.5052129,-13.790806,-0.29237747,278.6687
24,0.5052129,-5.5261693,-0.17044856,61.528587
25,0.5052129,-8.397299,-0.21725698,129.94458
26,0.5052129,-18.883934,-0.4439135,511.5837
27,0.5052129,-4.3853893,-0.19664185,77.42312
28,0.527147,-16.05155,-0.5444852,496.7982
29,0.527147,-13.048511,-0.9451166,877.3987
30,0.527147,-9.774384,-0.40719798,352.54684
31,0.52664393,-12.738799,-0.39557612,361.11978
32,0.52664393,-16.962965,-0.40889397,515.22644
33,0.52664393,-8.40552,-0.13793811,141.4341
34,0.52664393,-14.786254,-0.41000798,595.92584
35,0.52664393,-13.33841,-0.094182566,200.42001
36,0.52664393,-17.34043,-0.44594046,517.797
37,0.52664393,-10.018484,-0.2766494,219.82216
38,0.5588058,-5.423774,-0.19510046,95.69379
39,0.5588058,-10.143687,-0.2940644,178.24019
40,0.5767845,-12.6634,-0.23226923,284.11734
41,0.57770246,-16.17258,-0.62504923,725.8659
42,0.57770246,-10.765353,-0.19618362,182.74628
43,0.6104293,-6.825821,-0.1868178,129.86005
44,0.6104293,-1.8770609,-0.05234885,32.374336
45,0.6104293,-7.2502685,-0.17887715,95.296104
46,0.6104293,-14.192904,-0.4161726,446.30417
47,0.6104293,-1.5098631,-0.013488565,22.540012
48,0.6104293,-18.563211,-0.37475774,533.3523
49,0.6104293,-8.123309,-0.16271001,133.6586
50,0.6104293,-13.909857,-0.27156886,236.1059
51,0.6104293,-8.351529,-0.16697818,135.75494
52,0.610696,-9.105312,-0.19759157,147.31564
53,0.610696,-3.057812,-0.040234003,43.646275
54,0.610696,-30.212685,-0.8814992,1850.1317
55,0.610696,-18.82912,-0.7390004,947.5982
56,0.610696,-9.713422,-0.46821114,328.8431
57,0.610696,-19.19191,-0.46543193,566.71027
58,0.610696,-24.086983,-0.3162869,669.5017
59,0.610696,-12.648014,-0.32450417,262.82507
60,0.610696,-4.337908,-0.07587962,49.1506
61,0.60972404,-11.039253,-0.45281163,320.94452
62,0.60972404,-19.51592,-0.6189537,735.7442
63,0.60972404,-33.586964,-0.9687935,2385.356
64,0.60972404,-10.503371,-0.4215465,317.23718
65,0.60972404,-14.016305,-0.48027748,441.6129
66,0.60972404,-16.048515,-0.55416197,657.62775
67,0.60972404,-15.690061,-0.4432682,459.498
68,0.60972404,-8.390049,-0.35354415,190.78629
69,0.60972404,-4.74015,-0.066784,59.160328
70,0.60972404,-7.060712,-0.2532716,152.98828
71,0.60972404,-5.5650873,-0.19471256,101.025406
72,0.6115005,-17.721163,-0.48649716,472.89386
73,0.6115005,-7.6598744,-0.19682044,136.66263
74,0.6115005,-15.481662,-0.3114866,330.89044
75,0.6115005,-8.112235,-0.31477544,170.4932
76,0.6115005,-13.711473,-0.43137997,341.54858
77,0.6115005,-9.21202,-0.3264634,186.2816
78,0.6115005,-14.785011,-0.6549442,774.63043
79,0.6115005,-17.595085,-0.3384863,378.02048
80,0.6115005,-5.2316675,-0.14665514,74.65505
81,0.61149454,-13.964023,-0.2713312,335.83148
82,0.61149454,-16.235886,-0.23429388,323.58798
83,0.61149454,-11.289574,-0.39434078,265.4649
84,0.61149454,-13.756277,-0.49359497,446.9813
85,0.61149454,-14.650974,-0.3882869,382.87173
86,0.61149454,-5.2775316,-0.017368643,56.86088
87,0.61149454,-3.2068043,-0.083304666,47.09826
88,0.61149454,-7.93498,-0.2511885,210.85327
89,0.61149454,-7.93498,-0.15846887,169.4121
90,0.61149454,-21.018059,-0.42947128,653.2218
91,0.609552,-11.378073,-0.53855544,491.87646
92,0.609552,-10.011236,-0.2608412,202.09874
93,0.609552,-17.336126,-0.31332353,413.4611
94,0.609552,-17.618141,-0.4706099,544.3757
95,0.609552,-17.618141,-0.48092473,560.9753
96,0.609552,-7.7660747,-0.1759416,98.04481
97,0.609552,-5.859289,-0.105577506,61.658306
98,0.609552,-8.281134,-0.29435202,181.96654
99,0.609552,-12.271182,-0.347061,356.20462
100,0.609552,-10.704815,-0.25170168,184.43645
