fitness,g0,g1,g2,g3,g4,g5
0.5154717,-0.3983382,0.1780923,-0.72840184,0.85748553,0.34192824,-0.17806588
0.051397625,0.061317086,0.14312637,0.13107207,-0.039203048,-0.1142021,-0.45329577
0.17227003,-0.4529309,0.016480684,-0.43193495,0.07016623,0.35741168,-0.1789364
0.090619124,0.10741784,-0.3167976,-0.11726952,0.14759186,0.7422259,0.75006235
0.14190714,0.52898234,-0.044775493,0.29351485,0.20460409,0.16707201,0.06474139
0.37641484,-0.16785999,-0.44009054,-0.72671986,0.5496976,-0.026990652,0.31912503
0.22040012,0.2683621,-0.49811387,-0.041474253,0.18299055,0.5829464,-0.91156876
0.5253737,-0.06982591,-0.6946453,-0.67585605,0.2814796,-0.088448234,0.41987786
0.12637134,-0.17633682,0.21306233,0.5909083,0.18966329,0.1286703,-0.0926913
-0.04610217,0.25353023,0.30715027,0.22490656,0.2769377,-0.9852839,-0.3639619
0.26499152,0.8393678,-0.60835695,-0.29459158,-0.030301588,0.037963986,-0.3878669
0.3532166,0.016675893,0.30912647,0.28478855,0.16738294,-0.1842113,0.8576201
-0.5957945,0.19131911,0.17897208,-0.006671548,-0.18143094,-0.48549116,-0.54710466
-0.24810784,-0.2328942,-0.2308948,0.9681102,-0.3070479,0.50081235,-0.92462516
0.30005303,0.7487667,-0.43481606,-0.772067,0.77163106,-0.08555405,0.5735085
0.18014188,0.18247576,-0.45848924,0.029788733,0.54496354,0.33915657,0.2735103
0.48000047,-0.2158988,-0.86428094,-0.6612243,0.11385318,0.03458355,0.25942227
-0.4536938,-0.2076639,0.2570627,0.5411393,0.4078724,-0.44103816,-0.55302745
0.5639446,-0.7440486,-0.0040722704,-0.61855954,0.71556383,-0.28232598,0.34716502
0.16866863,-0.6538252,0.4308738,0.7859729,0.44957206,-0.92614794,0.5734137
0.23633617,-0.36909583,-0.047511578,0.6840239,0.26876163,-0.5339684,0.8436546
-0.19195923,0.3386155,0.29910094,0.1290456,0.17551087,-0.2971552,-0.31542683
0.11247251,-0.66712976,0.38074803,0.89073265,0.61104923,0.076438084,0.0066139656
0.16273259,0.052633733,0.5934506,0.18550973,0.5268951,-0.84881485,-0.12462495
0.19965282,0.5968502,0.33142838,0.48552617,0.49265084,-0.18587004,-0.24525404
-0.19179066,-0.45927396,-0.03045922,0.51725525,0.08294439,-0.7651764,-0.24971215
0.4126218,-0.46449444,0.05043041,-0.98324573,0.25449094,-0.11906768,0.8400562
0.27860883,0.6729075,-0.59172463,0.22639549,0.11981786,0.31218195,-0.6461087
0.0655586,-0.10790348,0.764167,-0.12739553,-0.16490547,0.46685156,-0.005941391
-4.3678513,0.5396027,-0.5394086,0.18063626,-0.7825134,-0.22609177,0.543775
-0.38916397,-0.05964816,-0.57960176,-0.09487473,-0.16439253,-0.6374797,-0.49030006
0.11997382,-0.655679,0.046785355,0.8192575,0.38035738,-0.056298614,0.67409605
0.59946275,-0.9784421,-0.09408355,-0.5146362,0.37587053,0.30624202,-0.34983045
