Generation,Max fitness,Min fitness,Avg fitness,Variance
1,0.49146256,0.4796891,0.48653945,3.5380773E-4
2,0.49010468,0.2744159,0.3103642,0.3868327
3,0.49010468,0.27446023,0.28976575,0.12323452
4,0.37595826,0.28166863,0.35799432,0.11241138
5,0.3743111,0.28335363,0.3432719,0.022780411
6,0.3737128,0.3235327,0.35290122,0.005052856
7,0.35838407,0.3042927,0.32100582,0.018343542
8,0.35709816,0.31338528,0.32219455,0.0018077245
9,0.32435274,0.31351703,0.31619906,5.1631784E-4
10,0.37975198,0.31445336,0.37074262,0.044200636
