neur0,input0,neur1,input1
0.45883054,0.0,0.5087224,0.0
0.41729465,0.008937257,0.5404459,0.0
0.38042185,0.017870659,0.5664638,0.0
0.34813553,0.026796354,0.58784926,0.0
0.32017368,0.035710488,0.60548425,0.0
0.29616833,0.044609223,0.62008464,0.0
0.27570495,0.05348872,0.6322278,0.0
0.25836203,0.062345147,0.64237785,0.0
0.24373592,0.071174696,0.6509085,0.0
0.2314545,0.07997356,0.65812063,0.0
0.22118323,0.08873795,0.66425717,0.0
0.2126267,0.097464085,0.6695151,0.0
0.20552741,0.10614822,0.6740542,0.0
0.19966295,0.114786625,0.6780049,0.0
0.19484256,0.12337559,0.68147385,0.0
0.19090343,0.13191141,0.68454826,0.0
0.18770714,0.14039043,0.6872999,0.0
0.18513644,0.148809,0.68978786,0.0
0.1830921,0.15716355,0.6920607,0.0
0.1814904,0.16545048,0.69415873,0.0
0.18026079,0.17366624,0.696115,0.0
0.17934377,0.18180732,0.6979571,0.0
0.17868935,0.18987028,0.6997075,0.0
0.17825541,0.19785163,0.7013852,0.0
0.17800657,0.20574799,0.70300555,0.0
0.1779131,0.21355604,0.7045814,0.0
0.17794994,0.2212724,0.7061233,0.0
0.17809609,0.22889386,0.70763993,0.0
0.17833383,0.23641716,0.7091385,0.0
0.17864832,0.2438391,0.71062475,0.0
0.17902699,0.2511566,0.7121035,0.0
0.17945932,0.25836653,0.7135785,0.0
0.1799364,0.2654659,0.715053,0.0
0.1804507,0.2724517,0.71652937,0.0
0.18099587,0.279321,0.7180096,0.0
0.18156658,0.286071,0.7194952,0.0
0.18215826,0.29269883,0.7209872,0.0
0.18276705,0.2992017,0.72248656,0.0
0.18338963,0.305577,0.7239938,0.0
0.18402323,0.31182206,0.7255092,0.0
0.18466543,0.3179343,0.72703314,0.0
0.18531413,0.32391125,0.72856545,0.0
0.18596761,0.3297504,0.7301061,0.0
0.18662429,0.33544943,0.7316549,0.0
0.18728285,0.34100598,0.7332115,0.0
0.18794209,0.34641784,0.73477566,0.0
0.188601,0.3516828,0.73634684,0.0
0.18925868,0.35679886,0.73792464,0.0
0.18991432,0.3617638,0.7395085,0.0
0.19056717,0.3665758,0.74109787,0.0
0.1912166,0.37123296,0.74269223,0.0
0.19186203,0.37573346,0.74429095,0.0
0.19250289,0.38007545,0.7458935,0.0
0.19313872,0.38425738,0.7474991,0.0
0.19376907,0.3882776,0.74910724,0.0
0.19439349,0.3921346,0.7507173,0.0
0.19501159,0.39582697,0.7523285,0.0
0.19562301,0.39935333,0.7539404,0.0
0.19622742,0.40271235,0.7555522,0.0
0.19682446,0.40590286,0.7571633,0.0
0.19741385,0.40892377,0.7587731,0.0
0.19799528,0.41177398,0.7603809,0.0
0.19856846,0.41445255,0.76198626,0.0
0.19913313,0.41695863,0.76358837,0.0
0.19968905,0.41929132,0.76518667,0.0
0.20023596,0.42145005,0.7667805,0.0
0.20077361,0.423434,0.7683694,0.0
0.20130181,0.42524272,0.7699528,0.0
0.2018203,0.42687565,0.7715299,0.0
0.2023289,0.42833254,0.7731004,0.0
0.20282741,0.42961293,0.77466357,0.0
0.20331563,0.4307166,0.776219,0.0
0.20379339,0.43164358,0.7777661,0.0
0.20426051,0.43239355,0.7793044,0.0
0.20471682,0.4329667,0.7808333,0.0
0.20516217,0.4333631,0.7823524,0.0
0.2055964,0.43358293,0.7838612,0.0
0.20601936,0.43362638,0.78535926,0.0
0.20643093,0.43349385,0.7868461,0.0
0.20683098,0.4331858,0.78832126,0.0
0.20721939,0.4327027,0.7897844,0.0
0.20759605,0.43204513,0.7912351,0.0
0.20796084,0.43121377,0.7926729,0.0
0.20831369,0.4302094,0.79409736,0.0
0.20865448,0.4290328,0.7955083,0.0
0.20898317,0.42768487,0.7969053,0.0
0.20929964,0.42616668,0.7982879,0.0
0.20960386,0.42447922,0.7996559,0.0
0.20989574,0.4226236,0.80100894,0.0
0.21017525,0.4206012,0.8023467,0.0
0.21044235,0.41841313,0.803669,0.0
0.21069698,0.41606084,0.8049754,0.0
0.21093912,0.41354582,0.8062658,0.0
0.21116877,0.41086945,0.8075398,0.0
0.21138588,0.40803346,0.8087973,0.0
0.21159045,0.40503952,0.810038,0.0
0.21178252,0.4018893,0.81126165,0.0
0.21196203,0.3985846,0.8124681,0.0
0.21212906,0.3951273,0.8136572,0.0
0.21228358,0.3915194,0.81482875,0.0
0.21242563,0.38776284,0.8159826,0.0
