neur0,input0,neur1,input1
0.9999006,0.0,0.53940976,0.0
0.9996215,0.010659152,0.5742118,0.0
0.99871755,0.021312572,0.6046521,0.0
0.996088,0.031954538,0.6313021,0.0
0.9891933,0.04257932,0.65448755,0.0
0.9730623,0.053181212,0.67420596,0.0
0.9405408,0.06375452,0.6900805,0.0
0.88793343,0.07429357,0.701608,0.0
0.82627684,0.0847927,0.70890117,0.0
0.7783146,0.095246285,0.71315,0.0
0.75385016,0.10564872,0.71584994,0.0
0.7453572,0.115994446,0.7179458,0.0
0.7439045,0.12627794,0.71984273,0.0
0.74502057,0.1364937,0.7216855,0.0
0.74702084,0.14663626,0.7235228,0.0
0.749327,0.15670024,0.72537017,0.0
0.75174445,0.16668025,0.7272323,0.0
0.7542069,0.17657106,0.7291101,0.0
0.7566912,0.18636738,0.7310035,0.0
0.75918883,0.19606405,0.7329118,0.0
0.76169574,0.20565592,0.7348342,0.0
0.76420987,0.21513797,0.7367698,0.0
0.7667297,0.22450523,0.7387177,0.0
0.7692539,0.23375276,0.740677,0.0
0.77178115,0.24287574,0.7426469,0.0
0.7743104,0.25186938,0.7446263,0.0
0.7768403,0.26072907,0.74661434,0.0
0.7793697,0.26945022,0.7486102,0.0
0.7818975,0.27802828,0.7506129,0.0
0.7844224,0.28645885,0.75262153,0.0
0.78694326,0.2947377,0.75463516,0.0
0.789459,0.3028605,0.7566529,0.0
0.7919684,0.31082323,0.7586738,0.0
0.7944704,0.3186218,0.76069707,0.0
0.7969639,0.32625234,0.7627218,0.0
0.7994477,0.33371097,0.76474696,0.0
0.8019208,0.34099412,0.76677185,0.0
0.8043821,0.34809807,0.7687956,0.0
0.80683064,0.35501945,0.77081734,0.0
0.8092654,0.36175483,0.77283615,0.0
0.8116852,0.36830097,0.7748513,0.0
0.8140893,0.3746548,0.7768621,0.0
0.81647664,0.3808133,0.77886754,0.0
0.81884634,0.38677353,0.780867,0.0
0.8211975,0.3925328,0.7828597,0.0
0.82352924,0.39808843,0.7848448,0.0
0.82584065,0.403438,0.7868217,0.0
0.828131,0.40857902,0.7887897,0.0
0.8303995,0.41350943,0.79074806,0.0
0.83264536,0.41822693,0.7926962,0.0
0.83486784,0.4227296,0.7946334,0.0
0.83706623,0.42701566,0.79655904,0.0
0.8392399,0.43108332,0.7984726,0.0
0.84138817,0.43493107,0.8003734,0.0
0.84351045,0.4385574,0.8022609,0.0
0.84560615,0.4419611,0.80413455,0.0
0.8476746,0.445141,0.805994,0.0
0.84971553,0.448096,0.8078385,0.0
0.8517282,0.45082536,0.8096677,0.0
0.85371226,0.4533281,0.81148124,0.0
0.85566723,0.45560387,0.8132785,0.0
0.8575927,0.45765203,0.81505924,0.0
0.8594884,0.45947233,0.816823,0.0
0.8613539,0.46106464,0.81856936,0.0
0.86318886,0.4624288,0.8202981,0.0
0.86499304,0.4635649,0.8220088,0.0
0.8667661,0.46447334,0.82370114,0.0
0.8685079,0.46515432,0.8253749,0.0
0.8702181,0.4656084,0.82702976,0.0
0.8718967,0.4658363,0.8286655,0.0
0.87354344,0.4658387,0.83028185,0.0
0.87515813,0.46561658,0.8318787,0.0
0.87674075,0.46517098,0.8334558,0.0
0.8782912,0.4645031,0.835013,0.0
0.87980944,0.4636143,0.83655,0.0
0.8812954,0.46250597,0.8380668,0.0
0.882749,0.46117976,0.8395633,0.0
0.8841704,0.4596373,0.84103936,0.0
0.88555956,0.45788047,0.8424949,0.0
0.88691646,0.45591128,0.8439298,0.0
0.8882413,0.45373183,0.845344,0.0
0.88953406,0.45134428,0.8467375,0.0
0.8907949,0.44875103,0.8481102,0.0
0.8920238,0.44595453,0.84946215,0.0
0.89322114,0.44295725,0.85079336,0.0
0.89438695,0.43976206,0.8521037,0.0
0.89552134,0.43637165,0.8533933,0.0
0.8966246,0.43278903,0.8546622,0.0
0.8976969,0.42901716,0.8559104,0.0
0.8987385,0.4250592,0.8571379,0.0
0.8997495,0.42091838,0.85834485,0.0
0.90073025,0.41659805,0.8595312,0.0
0.9016809,0.41210166,0.8606972,0.0
0.9026018,0.4074328,0.8618428,0.0
0.90349317,0.40259495,0.8629681,0.0
0.90435535,0.39759204,0.8640732,0.0
0.9051885,0.39242777,0.86515826,0.0
0.90599304,0.38710603,0.8662234,0.0
0.9067693,0.38163093,0.8672687,0.0
0.90751755,0.37600642,0.86829424,0.0
0.90823805,0.3702367,0.86930025,0.0
0.90893126,0.364326,0.8702868,0.0
0.9095974,0.35827854,0.8712541,0.0
0.9102369,0.35209885,0.87220216,0.0
0.91085005,0.3457911,0.8731313,0.0
0.9114372,0.33936006,0.8740415,0.0
0.9119988,0.33281016,0.87493306,0.0
0.91253513,0.3261459,0.8758061,0.0
0.91304666,0.31937218,0.8766608,0.0
0.9135336,0.31249344,0.8774973,0.0
0.9139965,0.30551463,0.87831575,0.0
0.9144357,0.29844052,0.87911636,0.0
0.91485155,0.29127586,0.87989926,0.0
0.9152444,0.28402564,0.8806647,0.0
0.9156148,0.27669463,0.8814128,0.0
0.91596305,0.26928788,0.8821438,0.0
0.91628957,0.2618104,0.8828578,0.0
0.91659474,0.25426695,0.883555,0.0
0.91687906,0.24666277,0.8842357,0.0
0.91714287,0.23900275,0.8848999,0.0
0.9173866,0.23129192,0.88554794,0.0
0.9176107,0.2235354,0.8861799,0.0
0.9178156,0.21573813,0.88679606,0.0
0.9180017,0.20790523,0.8873966,0.0
0.91816944,0.20004176,0.8879816,0.0
0.9183192,0.1921526,0.8885513,0.0
0.9184516,0.18424296,0.889106,0.0
0.9185669,0.17631775,0.8896458,0.0
0.9186655,0.16838202,0.89017093,0.0
0.918748,0.16044077,0.8906815,0.0
0.91881484,0.15249883,0.8911778,0.0
0.9188664,0.14456126,0.8916599,0.0
0.91890305,0.13663287,0.89212817,0.0
0.9189254,0.1287186,0.89258265,0.0
0.9189338,0.120823264,0.8930236,0.0
0.91892874,0.1129516,0.8934513,0.0
0.9189107,0.10510841,0.89386576,0.0
0.9188801,0.09729835,0.8942673,0.0
0.9188374,0.08952617,0.8946561,0.0
0.91878307,0.08179638,0.89503235,0.0
0.91871756,0.07411344,0.89539623,0.0
0.9186413,0.06648206,0.89574796,0.0
0.91855484,0.05890655,0.8960877,0.0
0.9184586,0.05139124,0.8964157,0.0
0.9183529,0.043940492,0.8967321,0.0
0.91823834,0.036558453,0.89703715,0.0
0.9181154,0.029249353,0.897331,0.0
0.9179844,0.022017248,0.8976138,0.0
0.9178459,0.014866086,0.8978859,0.0
0.91770035,0.0077998703,0.89814746,0.0
0.9175481,8.223751E-4,0.8983986,0.0
0.9173897,-0.0060626674,0.89863956,0.0
0.91722554,-0.012851591,0.8988705,0.0
0.9170561,-0.019540697,0.8990917,0.0
0.9168818,-0.026126629,0.8993034,0.0
