neur0,input0,neur1,input1
0.45832372,0.0,0.5056533,0.0
0.41181123,0.039989334,0.5409347,0.0
0.3700607,0.07991469,0.5702972,0.0
0.3332113,0.119712204,0.5947999,0.0
0.30113667,0.15931821,0.6153402,0.0
0.27353957,0.19866931,0.6326627,0.0
0.25002846,0.23770262,0.6473776,0.0
0.23017314,0.27635565,0.65998125,0.0
0.21354157,0.31456655,0.6708761,0.0
0.19972235,0.3522742,0.68038803,0.0
0.18833676,0.38941833,0.6887811,0.0
0.17904402,0.42593947,0.69626945,0.0
0.17154229,0.46177918,0.70302707,0.0
0.16556706,0.4968801,0.7091952,0.0
0.16088845,0.5311862,0.714889,0.0
0.15730774,0.5646424,0.720202,0.0
0.15465383,0.59719545,0.7252105,0.0
0.15277982,0.628793,0.7299762,0.0
0.15155976,0.65938467,0.7345491,0.0
0.15088585,0.68892145,0.73896974,0.0
0.15066591,0.7173561,0.7432704,0.0
0.15082105,0.7446431,0.7474768,0.0
0.15128377,0.7707389,0.75160927,0.0
0.15199634,0.7956016,0.7556834,0.0
0.15290928,0.8191916,0.7597112,0.0
0.15398015,0.84147096,0.7637014,0.0
0.15517256,0.8624042,0.76766026,0.0
0.15645519,0.88195777,0.7715918,0.0
0.15780109,0.90010047,0.7754984,0.0
0.159187,0.9168031,0.779381,0.0
0.16059287,0.9320391,0.78323936,0.0
0.1620013,0.94578403,0.7870723,0.0
0.16339722,0.95801586,0.79087806,0.0
0.16476755,0.9687151,0.79465413,0.0
0.16610089,0.9778646,0.7983978,0.0
0.16738734,0.98544973,0.8021058,0.0
0.16861825,0.99145836,0.805775,0.0
0.16978605,0.99588084,0.8094018,0.0
0.17088419,0.99871016,0.8129829,0.0
0.17190692,0.9999417,0.81651473,0.0
0.17284924,0.9995736,0.819994,0.0
0.1737068,0.9976064,0.82341737,0.0
0.17447588,0.99404323,0.82678175,0.0
0.17515324,0.98888975,0.83008415,0.0
0.17573614,0.9821543,0.83332175,0.0
0.17622226,0.9738476,0.836492,0.0
0.1766097,0.963983,0.8395926,0.0
0.17689689,0.9525762,0.84262115,0.0
0.17708261,0.93964547,0.8455759,0.0
0.17716599,0.92521155,0.848455,0.0
0.17714643,0.9092974,0.851257,0.0
0.17702363,0.8919287,0.8539805,0.0
0.17679752,0.873133,0.85662436,0.0
0.1764683,0.85294056,0.8591877,0.0
0.17603645,0.8313835,0.86166984,0.0
0.17550261,0.80849636,0.86407006,0.0
0.1748677,0.78431594,0.8663881,0.0
0.17413284,0.75888073,0.8686236,0.0
0.17329931,0.7322315,0.87077653,0.0
0.17236868,0.70441085,0.8728469,0.0
0.17134263,0.67546326,0.87483484,0.0
0.17022303,0.645435,0.8767407,0.0
0.16901198,0.6143742,0.8785647,0.0
0.16771168,0.58233064,0.88030744,0.0
0.16632456,0.5493555,0.88196933,0.0
0.16485316,0.51550144,0.883551,0.0
0.1633002,0.48082274,0.8850531,0.0
0.1616685,0.4453748,0.88647634,0.0
0.15996104,0.40921414,0.8878215,0.0
0.15818097,0.37239906,0.88908935,0.0
0.1563315,0.3349882,0.8902806,0.0
0.15441598,0.29704145,0.8913962,0.0
0.15243787,0.25861946,0.8924369,0.0
0.15040071,0.21978377,0.89340365,0.0
0.14830819,0.18059623,0.8942971,0.0
0.14616403,0.14112,0.89511836,0.0
0.14397204,0.101418026,0.89586806,0.0
0.14173612,0.061553795,0.8965471,0.0
0.13946024,0.02159109,0.8971563,0.0
0.13714838,-0.018406155,0.89769644,0.0
0.1348046,-0.058373954,0.8981683,0.0
0.13243303,-0.0982486,0.89857274,0.0
0.13003777,-0.13796584,0.89891046,0.0
0.127623,-0.17746235,0.8991821,0.0
0.1251929,-0.21667498,0.8993885,0.0
0.12275164,-0.25554097,0.8995303,0.0
0.12030342,-0.29399815,0.8996082,0.0
0.117852435,-0.3319852,0.89962286,0.0
0.115402855,-0.36944094,0.89957494,0.0
0.11295884,-0.40630564,0.8994651,0.0
0.11052453,-0.44252035,0.8992939,0.0
0.108104005,-0.47802714,0.89906204,0.0
0.10570135,-0.51276916,0.89877015,0.0
0.103320576,-0.54669106,0.8984189,0.0
0.100965634,-0.5797382,0.8980088,0.0
0.09864045,-0.61185783,0.8975406,0.0
0.09634885,-0.6429987,0.89701504,0.0
0.09409462,-0.67311084,0.8964327,0.0
0.09188144,-0.7021462,0.89579433,0.0
0.08971293,-0.73005825,0.89510065,0.0
0.08759263,-0.7568025,0.8943525,0.0
0.085523956,-0.7823359,0.8935507,0.0
0.08351025,-0.8066177,0.8926961,0.0
0.08155478,-0.8296091,0.8917897,0.0
0.07966064,-0.8512733,0.89083236,0.0
0.07783088,-0.87157565,0.88982534,0.0
0.0760684,-0.8904837,0.8887697,0.0
0.074375995,-0.90796715,0.88766664,0.0
0.07275634,-0.92399806,0.8865175,0.0
0.071212,-0.9385509,0.88532376,0.0
0.06974539,-0.9516021,0.88408685,0.0
0.06835881,-0.96313095,0.8828084,0.0
0.06705443,-0.97311896,0.8814901,0.0
0.06583427,-0.9815503,0.8801339,0.0
0.06470024,-0.98841125,0.87874174,0.0
0.0636541,-0.99369097,0.8773156,0.0
0.06269747,-0.99738103,0.8758578,0.0
0.061831832,-0.99947554,0.87437063,0.0
0.061058525,-0.99997103,0.8728566,0.0
0.060378745,-0.9988668,0.8713184,0.0
0.05979355,-0.9961646,0.8697587,0.0
0.059303857,-0.9918688,0.86818045,0.0
0.058910426,-0.9859861,0.8665866,0.0
0.058613885,-0.9785261,0.8649804,0.0
0.05841471,-0.96950066,0.86336505,0.0
0.05831323,-0.9589243,0.86174405,0.0
0.05830963,-0.94681376,0.8601209,0.0
0.058403965,-0.9331886,0.8584993,0.0
0.05859613,-0.9180705,0.8568829,0.0
0.05888588,-0.9014837,0.8552757,0.0
0.059272833,-0.88345474,0.85368156,0.0
0.059756465,-0.8640124,0.8521045,0.0
0.060336094,-0.84318787,0.8505487,0.0
0.06101092,-0.8210144,0.84901816,0.0
0.061779987,-0.7975275,0.8475172,0.0
0.06264221,-0.77276444,0.84605,0.0
0.06359636,-0.7467654,0.8446208,0.0
