fitness,g0,g1,g2,g3,g4,g5
-0.9049385,0.7828081,-0.24479514,0.60805076,0.08961141,0.23171985,-0.34840408
-1.9219089,-0.65460074,-0.77656615,-0.69811577,-0.31060243,-0.4865934,0.17351145
-1.3082304,0.20489906,-0.21464479,-0.06751594,-0.47777772,0.8031188,-0.66037935
-0.41941014,-0.547225,-0.22014666,0.114517525,0.29194403,-0.25679454,0.010680903
-0.8755213,-0.040023834,-0.1558994,0.11632655,0.64917165,0.4641555,0.15576121
-11.433263,0.5183677,0.105479814,-0.2475588,-0.5104576,0.43123993,0.60577464
-1.0300502,-0.37771484,-0.950245,0.22740576,0.18229271,-0.46249288,0.124510646
-0.8184674,0.66746855,-0.5020127,-0.19532564,0.08942282,-0.23037112,0.40211385
-0.9556939,0.78328186,0.0194758,-0.14917724,-2.1028519E-4,0.66015863,0.39479193
-5.796901,0.5362009,0.24073581,0.5260833,-0.36352363,0.014154275,0.5885692
-0.94157374,0.22201347,0.05644744,-0.23045608,-0.26877677,0.7170681,0.90117687
-1.0667467,0.072775096,-0.04877945,-0.084953114,0.13269767,-0.53049994,-0.5251738
-1.2461699,-0.8542209,-0.40160188,-0.5672238,-0.40391943,0.89638835,-0.3768872
0.19210269,-0.2318504,0.28136507,-0.48459223,0.7791668,-0.118044734,0.1520717
-0.761918,0.03848429,0.044683177,-0.9495556,0.4992895,-0.11023961,0.6574425
-10.180755,-0.1789868,-0.81488484,0.71839046,0.67636096,0.16050951,-0.78078353
-2.6882179,-0.8605601,0.28128147,0.039677687,-0.3845229,0.49282905,0.20183961
-0.8720311,0.13055733,0.3957374,0.14317723,0.5210558,0.7467269,-0.21729141
-2.4036083,0.7076447,-0.32610464,0.21606195,-0.89741594,-0.96533173,-0.15743104
-1.1666281,0.21966684,-0.48278734,-0.108078405,0.108677104,-0.6836429,-0.5308329
-0.76338935,0.6538183,-0.41828582,-0.63839686,0.6144465,-0.43414336,0.7263655
-9.892056,0.031067606,0.5696211,0.38420814,0.61019856,0.07908593,-0.65340227
-0.19929251,0.38863686,-0.53283983,-0.5797249,0.69724625,0.24215092,-0.13320476
-0.92935634,0.04312005,0.5439944,0.6307883,0.40429637,-0.033905216,-0.19086407
0.102121,-0.40107247,0.10224503,-0.37107322,0.7469643,-0.19516441,0.1810803
-2.8975897,-0.3863961,-0.71333057,-0.11033463,-0.38697755,-0.8092487,-0.17457972
-0.89523023,-0.1371717,0.52135676,-0.08528447,-0.01611866,0.24741286,0.45975035
-0.89852136,-0.1877809,0.56414515,-0.6213318,0.28905532,0.25117585,-0.6829753
-1.0968908,0.29123646,0.011859264,-0.5509339,-0.2496375,0.5415585,-0.29078028
-0.94221234,0.1492461,0.2803619,0.24628897,-0.115294196,0.5928234,0.2889737
-1.0755669,-0.46918657,0.34757757,0.3698463,0.023069471,-0.28462785,0.006600819
0.09513035,-0.3207313,-0.72112465,-0.43142173,0.45905086,-0.078576,0.18233633
-11.936119,-0.4160509,-0.9395593,0.48875478,-0.4585665,0.049482495,0.7176441
-10.154021,0.3704465,-0.5314145,0.014219755,0.2499239,0.15294264,-0.7584991
-0.94459933,0.5139329,-0.06788288,0.36836386,0.43869555,0.31459793,0.8200931
-0.8782079,-0.003907082,-0.84944725,0.12288589,0.038601767,0.08933599,0.40768218
-0.731665,-0.21210471,0.8353048,-0.53798956,0.21797048,-0.15541981,0.20354867
-0.89779884,0.29113638,-0.085689135,0.35413343,0.50772774,0.05110232,0.11954311
-0.945003,0.113606244,0.96439004,0.5514797,0.8350201,-0.1641556,0.43403754
-0.26031172,0.6439874,0.7429359,-0.5057803,0.38875395,-0.043391544,0.15533835
-4.4760447,0.3727414,-0.049915012,-0.051480293,-0.39439777,-0.08024517,0.9060708
-0.39798564,-0.49536705,-0.48849556,0.061274815,0.61278945,-0.7356512,0.08669003
-0.85793275,-0.3933457,-0.14138651,0.5743438,0.18759917,0.39857534,-0.48572275
-1.8130037,-0.9298017,0.55568045,-0.20607027,-0.14233962,-0.29024085,0.110927835
-0.4250362,-0.029420255,0.29955328,-0.05267024,0.31789163,-0.5208372,0.2831171
-10.193986,-0.4671691,-0.73381305,0.28485617,0.5855725,0.35537001,-0.53779006
-0.8218888,-0.65089226,-0.4316,-0.36146334,0.057626344,-0.0341755,-0.2844573
-0.94328225,-0.22395952,0.6791372,0.40915385,0.7554764,-0.037342787,0.58153665
-0.15939772,0.115157485,0.14602149,-0.95401865,0.54844475,0.07277763,-0.035594553
-0.9681472,0.9157202,0.62235606,0.3431195,0.77543646,-0.614414,0.32137227
-0.86507493,0.7631561,0.05531542,-0.2072754,0.96536994,0.45087072,0.46504137
-1.0411656,-0.89764124,-0.0043519563,-0.33661813,-0.10831639,0.09495652,-0.25927922
-5.026697,0.32512337,0.22314993,0.3444709,0.40139258,0.32048646,-0.6919522
-0.82791907,-0.7403122,0.42568478,-0.15737173,0.8407612,-0.17384481,0.1480179
-1.3962735,0.72769123,-0.25161657,-0.1545438,-0.52551603,0.6279927,0.1436798
-0.5138968,0.16892631,-0.3124739,-0.17190799,0.45404324,0.004920602,0.072390035
-0.009614362,-0.46700054,0.59049684,-0.5642585,0.51015,0.07864277,0.005448968
-0.7802718,0.15032423,0.08122946,-0.12953171,0.39236313,0.57398486,-0.5125564
-0.84178156,-0.56464756,-0.094448805,-0.53750145,0.57677245,0.81814206,-0.25662363
-1.1171976,-0.59902585,0.15271594,0.14781708,0.17867851,-0.91978943,0.06608076
-0.64112455,-0.44716996,-0.604327,-0.86632687,0.9666604,-0.14402421,0.37476134
-0.8974811,0.008462043,0.99225444,-0.43741283,0.81433946,-0.58366126,0.72311145
-31.319456,0.28518283,-0.9725929,0.49087903,0.9814383,-0.03249061,-0.7853248
-1.0388972,0.11393467,-0.66183335,0.461035,0.1876578,-0.5475213,0.31599888
-0.04591026,-0.0028622788,-0.67929465,-0.4709822,0.44368392,-0.24285008,0.38475198
-2.1997366,-0.67968285,0.5857255,0.34671605,-0.27385926,0.30518565,-0.10615045
-0.83962595,0.26377267,0.4501303,-0.044368982,0.47315076,0.8928462,-0.56513387
-1.3306006,-0.21843958,0.42997307,-0.27553412,0.01925026,-0.9893479,0.54519343
-1.0994378,-0.38721725,0.56221867,0.0664575,-0.13423789,-0.16031694,-0.72535926
-0.24952114,0.72132546,0.7741267,-0.30941045,0.59732556,0.08482547,4.4107548E-4
-0.95489126,0.6415445,-0.14279518,0.6549941,0.50554156,-0.5513716,-0.21326865
-13.442201,0.08656168,-0.23491248,0.43237376,0.5746175,-0.029511936,-0.7122375
-0.98863906,-0.22583398,0.021109484,0.42400885,0.33315703,-0.14279899,-0.22719276
-2.5550988,0.09483726,0.3342959,-0.2909994,0.17876565,0.27239752,-0.76827425
-0.10895426,-0.75782466,-0.88777494,-0.22176796,0.39392364,-0.43931478,0.3886179
-0.8960598,-0.23328549,-0.5341139,-0.62824774,0.06305407,0.20825924,0.44653094
-0.76944876,0.56310016,-0.7667968,0.30540952,0.25618863,-0.59794194,-0.52701867
-0.95745635,-0.67550063,-0.3111678,0.08805167,0.07747543,0.75760686,-0.25085708
-0.96395093,-0.551202,-0.40312436,0.76386416,0.36592773,0.52864856,0.34806153
-0.8298263,0.9000844,-0.12710756,0.11663357,0.41898993,-0.9156069,0.07424112
-1.0109856,0.20817956,0.18775415,-0.19579446,-0.08483806,0.71228766,-0.80174816
