Generation,Max fitness,Min fitness,Avg fitness,Variance
1,-0.31645966,-9.027839,-1.7139686,261.56616
2,-0.31645966,-15.854992,-1.4617712,368.7815
3,-0.31645966,-27.435503,-1.631321,963.0665
4,-0.16903195,-27.435503,-1.4266274,778.15674
5,-0.14864688,-9.693058,-1.1411191,159.2897
6,-0.14864688,-11.80988,-1.1943814,274.62265
7,-0.14864688,-11.017549,-1.2217118,261.39508
8,-0.14864688,-11.433244,-1.3016269,325.22406
9,-0.14864688,-13.033094,-1.4214283,403.46436
10,-0.14864688,-19.909668,-1.7848539,1076.4391
11,-0.29721755,-9.553337,-1.3100265,160.23283
12,-0.29721755,-10.39637,-1.3681337,191.4727
13,-0.29721755,-9.625114,-1.3224657,152.58467
14,-0.29721755,-28.11391,-1.6788795,925.5673
15,-0.29721755,-16.770493,-1.3577707,343.30798
16,-0.26031482,-15.691253,-1.7247043,656.16095
17,-0.26031482,-16.450615,-1.4607747,373.9854
18,-0.26031482,-20.39658,-1.4226167,452.4162
19,-0.26031482,-20.39658,-1.589245,514.36127
20,-0.25099456,-36.903103,-1.832978,1487.7662
21,-0.19711156,-41.304943,-2.0560591,2206.3918
22,-0.08709448,-10.558065,-1.2763486,182.65276
23,-0.08709448,-26.779243,-1.8985295,1277.5441
24,-0.08709448,-12.825983,-1.5371319,363.55515
25,-0.08709448,-15.334834,-1.6568505,442.1616
26,-0.08709448,-17.53673,-1.371903,441.07935
27,-0.08709448,-14.359692,-1.5834459,478.58774
28,-0.08709448,-23.8344,-1.544204,732.5152
29,-0.08709448,-9.486431,-1.4042962,282.20728
30,-0.08709448,-7.592392,-1.1953789,160.00296
31,-0.10118188,-29.320341,-1.7123986,1339.3901
32,-0.10118188,-13.436132,-1.3056636,271.39664
33,-0.10118188,-15.96566,-1.4389205,365.6275
34,-0.10118188,-9.26,-1.4253659,245.1438
35,-0.10118188,-6.847522,-1.3466194,145.95912
36,-0.10118188,-13.27412,-1.444718,274.57898
37,-0.10118188,-15.595137,-1.3875206,432.28265
38,-0.10118188,-9.124316,-1.3496273,180.27156
39,-0.10118188,-13.687594,-1.5131063,394.13715
40,-0.10118188,-12.858263,-1.383602,210.24731
41,-0.07008299,-13.7644205,-1.5072218,312.85568
42,-0.07008299,-7.4959345,-1.3333282,127.93539
43,-0.07008299,-20.996443,-1.9423543,1177.4933
44,-0.07008299,-16.551476,-1.5678792,418.25998
45,-0.07008299,-18.437014,-1.729587,729.6404
46,-0.07008299,-9.907076,-1.308227,172.48512
47,-0.07008299,-23.059715,-1.8393807,1109.7969
48,-0.07008299,-15.220065,-1.5905429,458.4511
49,-0.07008299,-14.798292,-2.0493174,774.6142
50,-0.07008299,-17.451477,-1.949822,768.4459
51,-0.07022294,-11.268108,-1.5340774,305.73114
52,-0.07326233,-8.203004,-1.4901361,233.4504
53,-0.07326233,-14.182989,-1.742231,485.76312
54,-0.07326233,-10.813772,-1.516277,301.24594
55,-0.07326233,-15.606961,-1.4973956,567.1317
56,-0.07326233,-13.760307,-1.5497409,335.87064
57,-0.07326233,-10.548941,-1.4582736,253.4624
58,-0.07326233,-14.043357,-1.5763528,331.19714
59,-0.07326233,-14.043357,-1.4799161,315.3624
60,-0.07326233,-4.3704476,-1.202664,66.22193
61,-0.13268496,-13.337785,-1.8581305,558.31635
62,-0.13268496,-31.443975,-1.8954235,1141.3969
63,-0.13268496,-31.443975,-2.2294705,1901.196
