fitness,g0,g1,g2,g3,g4,g5
0.50344884,-0.9950039,0.042120993,0.40074527,0.47878233,0.761661,-0.21290779
0.35487118,0.008673714,-0.0502292,-0.5975398,0.31649244,0.4212023,-0.22729127
0.35776404,0.46174276,-0.11660906,-0.9303006,0.7288813,0.16686428,0.5171968
0.35189864,0.15288708,-0.7381885,-0.16373515,-0.26953027,-0.3009375,-0.084455706
0.34635204,-0.30414987,-0.8607906,0.5422198,-0.910919,-0.040215503,0.8736722
0.3630527,0.7124967,0.3192172,-0.44550154,-0.16314098,0.21128865,0.12126409
0.358568,-0.9151634,-0.5702546,0.21721226,0.066431105,-0.07937859,0.15714426
0.3611209,-0.43591332,-0.6099168,-0.44098273,0.11147376,-0.12597059,0.030726591
0.3673579,0.9130987,0.29463184,-0.8913589,-0.12539655,0.07187597,0.32136106
0.36556804,0.8381715,0.27904665,-0.44482902,-0.40646863,-0.2670984,-0.74704677
0.4850896,0.39708912,-0.4605562,0.2486148,-0.4153396,-0.98997957,0.05272535
0.37229675,0.62904114,-0.16642985,0.5189305,0.40824595,0.26019737,-0.05209565
0.45940134,0.44289017,-0.07199653,-0.59881496,0.027108595,-0.50332755,0.7368752
0.38033798,0.55234903,0.66092193,0.0011365414,0.653799,-0.020759422,0.8284648
0.36121413,0.2604264,-0.83239704,-0.41456208,0.081548095,-0.2976442,0.55166197
0.35682216,0.46177638,0.07552903,0.4479554,0.92545164,0.92544,0.061987847
0.37083617,0.08528768,-0.49627623,0.45065105,-0.4598649,0.024129586,-0.40574756
0.40878624,-0.67139065,0.045026258,-0.37313205,0.69290435,0.13080221,-0.0064086053
0.38155836,-0.63395596,0.11446796,0.9805605,-0.5275288,0.18150362,0.014285774
0.3499502,-0.36669314,0.74141467,0.06374571,0.827829,0.20426807,-0.051095366
0.3568831,0.1075232,0.2690872,-0.35790002,-0.29740736,-0.31346476,-0.85851026
0.47931892,0.5776736,-0.46015188,-0.9485727,0.36844027,-0.6506898,0.0710212
0.35202777,0.19616115,-0.5228975,-0.22295192,0.3673972,0.4266105,0.31056538
0.3626521,0.6011757,0.33765292,0.5137898,0.48819816,0.03541554,0.4788729
0.35388112,0.40727535,0.298238,0.0916549,-0.087428436,-0.16525233,0.37477326
0.38219735,0.29965898,0.051656824,-0.51795334,0.8179825,-0.1655283,-0.5884469
0.36502835,-0.86626065,-0.16604781,0.92545086,-0.9703957,-0.48441097,-0.5073258
0.3981761,0.7300758,0.46996742,-0.6378861,0.109989524,0.869409,0.06817901
0.35149226,0.22798482,-0.26277223,-0.34344283,0.77028203,-0.5003202,-0.18274456
0.34550345,-0.012962222,-0.23953868,0.3847804,-0.49797457,-0.064617276,0.09483385
0.3855447,-0.9542515,0.97308797,-0.38435164,-0.52251077,0.56298095,0.033915523
0.35853493,-0.48249975,-0.12466843,-0.11511306,-0.23750156,-0.83751494,-0.8582558
0.496624,-0.6369895,0.065175265,0.90873075,-0.20027828,0.6974764,0.57153404
0.3574694,-0.4670843,-0.061646655,0.3389599,0.5522292,0.3046739,-0.18710433
0.35242388,0.1067052,0.2563676,0.015175235,-0.15885663,-0.28150347,-0.51191723
0.26068878,0.5767596,0.16982757,-0.4267909,-0.5915773,0.078016624,0.49011865
0.41231763,0.8413751,0.11805189,-0.8953356,0.04920756,0.47406924,-0.5848197
0.38632116,-0.12677525,-0.31385761,-0.45149723,-0.20683435,-0.28259867,0.020513296
0.35443664,0.4214946,0.4216565,-0.07585311,0.19523326,-0.05268708,0.22003922
