neur0,input0,neur1,input1
0.45917878,0.0,0.5037721,0.0
0.4257472,0.039989334,0.5272347,0.0
0.39701968,0.07991469,0.54664004,0.0
0.37266865,0.119712204,0.562776,0.0
0.35227138,0.15931821,0.57628375,0.0
0.33537072,0.19866931,0.5876817,0.0
0.32151443,0.23770262,0.5973879,0.0
0.31027815,0.27635565,0.6057391,0.0
0.30127716,0.31456655,0.6130066,0.0
0.29417077,0.3522742,0.619409,0.0
0.28866205,0.38941833,0.62512314,0.0
0.28449544,0.42593947,0.63029146,0.0
0.28145266,0.46177918,0.6350294,0.0
0.27934846,0.4968801,0.63943005,0.0
0.27802628,0.5311862,0.6435688,0.0
0.27735436,0.5646424,0.64750636,0.0
0.27722186,0.59719545,0.65129167,0.0
0.27753568,0.628793,0.65496397,0.0
0.2782178,0.65938467,0.6585545,0.0
0.2792026,0.68892145,0.66208816,0.0
0.28043506,0.7173561,0.6655844,0.0
0.28186888,0.7446431,0.6690583,0.0
0.283465,0.7707389,0.67252153,0.0
0.2851905,0.7956016,0.6759826,0.0
0.2870174,0.8191916,0.6794477,0.0
0.28892204,0.84147096,0.6829209,0.0
0.29088417,0.8624042,0.6864047,0.0
0.29288647,0.88195777,0.68990034,0.0
0.29491395,0.90010047,0.6934079,0.0
0.29695383,0.9168031,0.69692653,0.0
0.2989948,0.9320391,0.70045465,0.0
0.3010271,0.94578403,0.70399016,0.0
0.30304205,0.95801586,0.70753056,0.0
0.3050321,0.9687151,0.7110728,0.0
0.30699044,0.9778646,0.7146138,0.0
0.3089111,0.98544973,0.7181501,0.0
0.3107886,0.99145836,0.7216781,0.0
0.31261805,0.99588084,0.72519416,0.0
0.3143951,0.99871016,0.7286947,0.0
0.31611574,0.9999417,0.7321759,0.0
0.3177763,0.9995736,0.7356342,0.0
0.31937358,0.9976064,0.7390659,0.0
0.3209045,0.99404323,0.74246746,0.0
0.3223664,0.98888975,0.7458354,0.0
0.32375678,0.9821543,0.7491665,0.0
0.3250735,0.9738476,0.75245726,0.0
0.32631454,0.963983,0.75570476,0.0
0.32747808,0.9525762,0.75890595,0.0
0.32856265,0.93964547,0.76205796,0.0
0.32956678,0.92521155,0.7651581,0.0
0.33048934,0.9092974,0.7682039,0.0
0.33132938,0.8919287,0.7711929,0.0
0.33208606,0.873133,0.77412283,0.0
0.33275878,0.85294056,0.77699167,0.0
0.33334708,0.8313835,0.77979743,0.0
0.3338507,0.80849636,0.78253835,0.0
0.33426955,0.78431594,0.78521276,0.0
0.3346037,0.75888073,0.78781927,0.0
0.33485338,0.7322315,0.7903564,0.0
0.33501902,0.70441085,0.792823,0.0
0.33510113,0.67546326,0.79521805,0.0
0.33510044,0.645435,0.7975405,0.0
0.33501777,0.6143742,0.7997895,0.0
0.33485422,0.58233064,0.80196446,0.0
0.33461088,0.5493555,0.8040647,0.0
0.3342891,0.51550144,0.8060898,0.0
0.3338903,0.48082274,0.8080393,0.0
0.33341604,0.4453748,0.809913,0.0
0.332868,0.40921414,0.8117106,0.0
0.3322481,0.37239906,0.8134321,0.0
0.3315582,0.3349882,0.81507736,0.0
0.33080038,0.29704145,0.8166465,0.0
0.32997683,0.25861946,0.8181397,0.0
0.32908985,0.21978377,0.819557,0.0
0.32814178,0.18059623,0.82089883,0.0
0.32713515,0.14112,0.82216537,0.0
0.32607248,0.101418026,0.8233571,0.0
0.32495645,0.061553795,0.82447433,0.0
0.32378975,0.02159109,0.8255176,0.0
0.3225752,-0.018406155,0.8264874,0.0
0.3213157,-0.058373954,0.8273844,0.0
0.32001418,-0.0982486,0.8282091,0.0
0.31867355,-0.13796584,0.82896215,0.0
0.31729686,-0.17746235,0.8296443,0.0
0.31588724,-0.21667498,0.8302563,0.0
0.31444776,-0.25554097,0.83079875,0.0
0.31298158,-0.29399815,0.8312726,0.0
0.3114918,-0.3319852,0.8316786,0.0
0.3099816,-0.36944094,0.8320177,0.0
0.30845428,-0.40630564,0.83229077,0.0
0.30691293,-0.44252035,0.8324987,0.0
0.3053608,-0.47802714,0.83264256,0.0
0.30380103,-0.51276916,0.83272326,0.0
0.30223688,-0.54669106,0.8327419,0.0
0.30067146,-0.5797382,0.83269966,0.0
0.29910794,-0.61185783,0.83259755,0.0
0.29754943,-0.6429987,0.8324368,0.0
0.29599902,-0.67311084,0.8322186,0.0
0.29445976,-0.7021462,0.8319443,0.0
0.2929347,-0.73005825,0.83161515,0.0
0.29142672,-0.7568025,0.83123255,0.0
0.2899388,-0.7823359,0.830798,0.0
0.28847384,-0.8066177,0.83031285,0.0
0.2870346,-0.8296091,0.8297788,0.0
0.28562382,-0.8512733,0.8291973,0.0
0.28424424,-0.87157565,0.82857007,0.0
0.28289846,-0.8904837,0.82789886,0.0
0.281589,-0.90796715,0.82718545,0.0
0.28031838,-0.92399806,0.8264317,0.0
0.27908894,-0.9385509,0.82563955,0.0
0.27790308,-0.9516021,0.824811,0.0
0.27676302,-0.96313095,0.82394814,0.0
0.27567095,-0.97311896,0.8230531,0.0
0.2746289,-0.9815503,0.8221281,0.0
0.2736389,-0.98841125,0.8211755,0.0
0.27270287,-0.99369097,0.8201976,0.0
0.27182257,-0.99738103,0.8191968,0.0
0.27099982,-0.99947554,0.81817573,0.0
0.27023622,-0.99997103,0.8171369,0.0
0.26953328,-0.9988668,0.8160829,0.0
0.2688925,-0.9961646,0.8150165,0.0
0.26831523,-0.9918688,0.8139406,0.0
0.2678027,-0.9859861,0.8128578,0.0
0.2673561,-0.9785261,0.81177115,0.0
0.26697648,-0.96950066,0.81068355,0.0
0.26666483,-0.9589243,0.80959797,0.0
0.26642203,-0.94681376,0.8085175,0.0
0.26624882,-0.9331886,0.80744517,0.0
0.2661459,-0.9180705,0.806384,0.0
0.26611382,-0.9014837,0.8053372,0.0
0.266153,-0.88345474,0.80430776,0.0
0.26626393,-0.8640124,0.80329895,0.0
0.26644674,-0.84318787,0.80231386,0.0
0.26670164,-0.8210144,0.80135554,0.0
0.26702866,-0.7975275,0.80042714,0.0
0.2674278,-0.77276444,0.7995317,0.0
0.26789886,-0.7467654,0.79867226,0.0
0.2684416,-0.71957165,0.7978518,0.0
0.2690556,-0.6912268,0.7970732,0.0
0.26974043,-0.6617761,0.7963394,0.0
0.27049547,-0.6312667,0.79565316,0.0
0.2713201,-0.5997474,0.79501706,0.0
0.27221343,-0.56726867,0.79443383,0.0
0.2731746,-0.53388244,0.7939059,0.0
0.27420264,-0.4996421,0.7934357,0.0
0.2752964,-0.46460244,0.7930254,0.0
0.2764546,-0.4288195,0.7926771,0.0
0.27767602,-0.39235055,0.79239285,0.0
0.27895913,-0.3552535,0.79217446,0.0
0.28030238,-0.31758854,0.7920236,0.0
0.28170422,-0.2794155,0.7919417,0.0
0.2831628,-0.24079546,0.7919302,0.0
0.28467634,-0.2017902,0.7919902,0.0
0.28624287,-0.16246213,0.79212266,0.0
0.28786033,-0.12287415,0.7923284,0.0
0.28952664,-0.08308959,0.7926081,0.0
0.2912395,-0.043172114,0.792962,0.0
0.29299662,-0.0031855688,0.79339045,0.0
0.29479557,0.036806073,0.7938934,0.0
0.29663387,0.076738834,0.7944707,0.0
0.2985089,0.11654883,0.7951221,0.0
0.30041808,0.15617284,0.7958468,0.0
0.30235866,0.19554654,0.79664433,0.0
0.30432782,0.2346074,0.7975135,0.0
0.30632266,0.27329293,0.7984534,0.0
0.30834034,0.31154126,0.79946256,0.0
0.3103778,0.3492912,0.80053955,0.0
0.31243208,0.38648236,0.8016828,0.0
0.31450006,0.4230552,0.8028903,0.0
0.31657863,0.45895126,0.80416036,0.0
0.31866464,0.4941131,0.8054907,0.0
0.32075492,0.52848446,0.8068791,0.0
0.32284626,0.56201035,0.8083232,0.0
0.32493547,0.5946376,0.80982053,0.0
0.32701927,0.62631303,0.81136847,0.0
0.32909447,0.6569866,0.81296426,0.0
0.33115783,0.6866091,0.8146052,0.0
0.3332061,0.7151332,0.81628835,0.0
0.3352361,0.7425132,0.81801087,0.0
0.33724466,0.76870537,0.8197696,0.0
0.3392286,0.79366773,0.82156175,0.0
0.3411848,0.81736046,0.82338405,0.0
0.34311017,0.8397455,0.8252335,0.0
0.34500173,0.8607872,0.827107,0.0
0.34685647,0.88045186,0.8290014,0.0
