neur0,input0,neur1,input1
0.45912302,0.0,0.50236064,0.0
0.38609082,-0.070657566,0.548765,0.0
0.31602424,-0.13416621,0.5874168,0.0
0.25071055,-0.1838967,0.6194208,0.0
0.19129057,-0.2142213,0.64585644,0.0
0.13831684,-0.22092283,0.66770273,0.0
0.091885164,-0.20150158,0.6858082,0.0
0.05177802,-0.15535685,0.70088774,0.0
0.017585417,-0.08383126,0.7135338,0.0
-0.011207476,0.009886801,0.7242327,0.0
-0.03516348,0.12099436,0.7333814,0.0
-0.054859385,0.24342251,0.74130243,0.0
-0.07086671,0.37027678,0.74825644,0.0
-0.08374078,0.49433833,0.7544523,0.0
-0.09401356,0.60858727,0.7600552,0.0
-0.10218763,0.70671284,0.7651933,0.0
-0.10872986,0.7835713,0.7699635,0.0
-0.11406435,0.8355596,0.7744362,0.0
-0.118565165,0.86087674,0.7786597,0.0
-0.12254921,0.859654,0.78266513,0.0
-0.12627041,0.8339454,0.7864701,0.0
-0.12991577,0.78757834,0.790083,0.0
-0.13360427,0.7258749,0.79350644,0.0
-0.13738883,0.65526533,0.79674065,0.0
-0.14126152,0.5828203,0.7997862,0.0
-0.1451621,0.5157367,0.8026464,0.0
-0.14898914,0.4608158,0.8053284,0.0
-0.1526131,0.42396712,0.807845,0.0
-0.15589064,0.40978032,0.8102139,0.0
-0.15867916,0.42119065,0.8124584,0.0
-0.16085044,0.4592658,0.81460613,0.0
-0.16230287,0.5231278,0.81668776,0.0
-0.16297114,0.6100172,0.81873584,0.0
-0.16283318,0.7154921,0.8207825,0.0
-0.16191359,0.8337513,0.822858,0.0
-0.16028374,0.95805645,0.82498854,0.0
-0.15805829,1.0812188,0.8271949,0.0
-0.1553883,1.1961236,0.82949126,0.0
-0.1524517,1.2962449,0.83188385,0.0
-0.1494413,1.376121,0.8343713,0.0
-0.14655173,1.4317496,0.8369449,0.0
-0.14396566,1.4608791,0.839589,0.0
-0.14184102,1.4631715,0.8422832,0.0
-0.1402998,1.4402268,0.84500337,0.0
-0.13941926,1.3954668,0.8477241,0.0
-0.13922682,1.333886,0.8504202,0.0
-0.13969827,1.2616881,0.85306895,0.0
-0.14075989,1.1858363,0.85565126,0.0
-0.14229432,1.1135463,0.8581531,0.0
-0.14414945,1.051761,0.86056614,0.0
-0.1461498,1.0066488,0.86288816,0.0
-0.14810954,0.98315185,0.8651227,0.0
-0.14984606,0.9846293,0.8672787,0.0
-0.15119317,1.0126114,0.8693698,0.0
-0.1520131,1.0666894,0.8714128,0.0
-0.15220629,1.144544,0.8734267,0.0
-0.15171851,1.2421142,0.8754308,0.0
-0.15054478,1.3538922,0.8774438,0.0
-0.14872979,1.4733227,0.8794816,0.0
-0.14636488,1.5932791,0.881557,0.0
-0.14358169,1.7065825,0.883678,0.0
-0.14054279,1.806519,0.8858477,0.0
-0.13743006,1.8873335,0.88806385,0.0
-0.13443153,1.9446409,0.8903194,0.0
-0.13172753,1.9757491,0.89260286,0.0
-0.12947756,1.9798524,0.89489955,0.0
-0.12780844,1.9580908,0.89719254,0.0
-0.12680487,1.9134659,0.89946425,0.0
-0.12650333,1.8506242,0.9016975,0.0
-0.12688932,1.7755167,0.903877,0.0
-0.12789853,1.6949697,0.90599,0.0
-0.12942177,1.6161869,0.90802735,0.0
-0.13131295,1.5462257,0.90998375,0.0
-0.13340004,1.4914855,0.9118581,0.0
-0.13549753,1.4572415,0.9136531,0.0
-0.13742003,1.4472623,0.91537505,0.0
-0.13899559,1.4635346,0.9170334,0.0
-0.14007798,1.5061204,0.9186395,0.0
-0.14055713,1.5731521,0.9202062,0.0
-0.14036693,1.6609659,0.92174655,0.0
-0.13948989,1.7643708,0.92327315,0.0
-0.13795853,1.8770237,0.924797,0.0
-0.135853,1.9918897,0.9263269,0.0
-0.13329564,2.101756,0.9278686,0.0
-0.13044214,2.1997523,0.9294249,0.0
-0.12747051,2.2798507,0.93099517,0.0
-0.12456816,2.3373048,0.93257576,0.0
-0.12191822,2.3689928,0.9341602,0.0
-0.11968609,2.3736453,0.93574,0.0
-0.11800726,2.3519375,0.93730533,0.0
-0.11697729,2.3064384,0.93884575,0.0
-0.116644785,2.2414258,0.94035125,0.0
-0.11700783,2.1625748,0.9418127,0.0
-0.1180142,2.0765455,0.9432227,0.0
-0.1195653,1.9904993,0.94457597,0.0
-0.12152353,1.9115783,0.9458695,0.0
-0.123722434,1.8463862,0.94710284,0.0
-0.12597892,1.8005083,0.948278,0.0
-0.12810665,1.7781069,0.949399,0.0
-0.12992944,1.7816184,0.95047176,0.0
-0.131294,1.8115747,0.9515036,0.0
-0.13208078,1.8665667,0.9525025,0.0
-0.13221258,1.9433451,0.95347685,0.0
-0.13165994,2.0370572,0.9544347,0.0
-0.13044333,2.1415982,0.9553832,0.0
-0.12863177,2.250058,0.9563282,0.0
-0.12633795,2.3552182,0.9572739,0.0
-0.12371034,2.45008,0.95822257,0.0
-0.12092252,2.528371,0.9591745,0.0
-0.11816066,2.5850022,0.96012825,0.0
-0.11560998,2.6164365,0.96108043,0.0
-0.113441184,2.620946,0.96202654,0.0
-0.11179786,2.5987372,0.9629611,0.0
-0.11078594,2.5519369,0.96387833,0.0
-0.11046584,2.4844365,0.96477234,0.0
-0.110848084,2.4016101,0.96563804,0.0
-0.11189254,2.3099244,0.9664709,0.0
-0.113511495,2.2164679,0.9672678,0.0
-0.11557614,2.1284368,0.968027,0.0
-0.11792619,2.0526104,0.96874803,0.0
-0.120381564,1.9948628,0.96943194,0.0
-0.12275561,1.959732,0.97008115,0.0
-0.12486862,1.9500914,0.970699,0.0
-0.12656075,1.9669425,0.97128993,0.0
-0.12770349,2.0093405,0.97185874,0.0
-0.12820874,2.0744643,0.97241044,0.0
-0.12803517,2.15782,0.97295016,0.0
-0.12719108,2.2535686,0.9734823,0.0
-0.12573396,2.3549502,0.97401077,0.0
-0.123766385,2.4547744,0.9745384,0.0
-0.121428885,2.5459428,0.97506696,0.0
-0.11888978,2.6219656,0.9755971,0.0
-0.11633316,2.6774325,0.9761283,0.0
-0.11394544,2.708405,0.9766588,0.0
-0.11190175,2.7127047,0.97718644,0.0
-0.110353075,2.6900692,0.9777079,0.0
-0.10941508,2.642174,0.97822,0.0
-0.10915962,2.5725064,0.9787191,0.0
-0.10960942,2.4861178,0.9792022,0.0
