neur0,input0,neur1,input1
0.9999006,0.0,0.53940976,0.0
0.99961585,-0.070657566,0.57421136,0.0
0.9986614,-0.13416621,0.604648,0.0
0.99575603,-0.1838967,0.63127714,0.0
0.98774254,-0.2142213,0.6543769,0.0
0.9680993,-0.22092283,0.673818,0.0
0.9274727,-0.20150158,0.6889986,0.0
0.8633247,-0.15535685,0.69928056,0.0
0.795924,-0.08383126,0.7051245,0.0
0.7541508,0.009886801,0.7083435,0.0
0.74079067,0.12099436,0.7106538,0.0
0.74228036,0.24342251,0.7129019,0.0
0.74937207,0.37027678,0.71538395,0.0
0.75832194,0.49433833,0.718178,0.0
0.76767343,0.60858727,0.72127974,0.0
0.7767296,0.70671284,0.724649,0.0
0.7850627,0.7835713,0.7282265,0.0
0.79237545,0.8355596,0.7319429,0.0
0.79846454,0.86087674,0.7357251,0.0
0.8032123,0.859654,0.739501,0.0
0.8065867,0.8339454,0.74320394,0.0
0.80864257,0.78757834,0.74677634,0.0
0.80952257,0.7258749,0.75017285,0.0
0.80945575,0.65526533,0.75336295,0.0
0.80875,0.5828203,0.7563329,0.0
0.8077759,0.5157367,0.75908685,0.0
0.8069409,0.4608158,0.7616467,0.0
0.8066524,0.42396712,0.7640503,0.0
0.8072783,0.40978032,0.7663488,0.0
0.80910826,0.42119065,0.76860166,0.0
0.81232584,0.4592658,0.7708717,0.0
0.8169927,0.5231278,0.77321935,0.0
0.82304823,0.6100172,0.77569747,0.0
0.8303226,0.7154921,0.77834713,0.0
0.8385595,0.8337513,0.7811947,0.0
0.8474448,0.95805645,0.7842505,0.0
0.8566376,1.0812188,0.7875091,0.0
0.8658002,1.1961236,0.790951,0.0
0.8746226,1.2962449,0.7945456,0.0
0.8828414,1.376121,0.7982539,0.0
0.89025074,1.4317496,0.8020327,0.0
0.8967068,1.4608791,0.8058372,0.0
0.90212613,1.4631715,0.80962414,0.0
0.9064809,1.4402268,0.8133535,0.0
0.9097939,1.3954668,0.8169907,0.0
0.91213405,1.333886,0.820507,0.0
0.91361445,1.2616881,0.82388103,0.0
0.9143927,1.1858363,0.82709897,0.0
0.9146705,1.1135463,0.8301552,0.0
0.91468996,1.051761,0.8330527,0.0
0.91472334,1.0066488,0.835803,0.0
0.9150525,0.98315185,0.83842546,0.0
0.9159406,0.9846293,0.84094614,0.0
0.9175989,1.0126114,0.8433951,0.0
0.92015815,1.0666894,0.84580386,0.0
0.92364997,1.144544,0.84820205,0.0
0.92800474,1.2421142,0.85061467,0.0
0.9330653,1.3538922,0.85305977,0.0
0.9386129,1.4733227,0.8555473,0.0
0.94439924,1.5932791,0.85807914,0.0
0.9501784,1.7065825,0.8606499,0.0
0.95573294,1.806519,0.8632484,0.0
0.96089214,1.8873335,0.86586004,0.0
0.9655396,1.9446409,0.86846817,0.0
0.96961254,1.9757491,0.87105614,0.0
0.97309506,1.9798524,0.8736086,0.0
0.9760069,1.9580908,0.87611216,0.0
0.9783924,1.9134659,0.87855595,0.0
0.98031044,1.8506242,0.8809317,0.0
0.9818271,1.7755167,0.8832335,0.0
0.98301095,1.6949697,0.8854578,0.0
0.98393124,1.6161869,0.88760304,0.0
0.9846568,1.5462257,0.8896694,0.0
0.9852564,1.4914855,0.8916588,0.0
0.9857975,1.4572415,0.8935742,0.0
0.98634464,1.4472623,0.8954201,0.0
0.98695433,1.4635346,0.89720154,0.0
0.98766994,1.5061204,0.8989243,0.0
0.9885152,1.5731521,0.90059406,0.0
0.98949045,1.6609659,0.9022161,0.0
0.99057245,1.7643708,0.9037949,0.0
0.9917188,1.8770237,0.9053337,0.0
0.9928765,1.9918897,0.90683454,0.0
0.9939921,2.101756,0.90829843,0.0
0.99502045,2.1997523,0.90972537,0.0
0.99593085,2.2798507,0.91111493,0.0
0.9967084,2.3373048,0.91246635,0.0
0.9973523,2.3689928,0.91377914,0.0
0.99787223,2.3736453,0.91505295,0.0
0.99828386,2.3519375,0.9162877,0.0
0.9986051,2.3064384,0.9174838,0.0
0.9988535,2.2414258,0.9186418,0.0
0.99904495,2.1625748,0.91976255,0.0
0.9991928,2.0765455,0.9208472,0.0
0.9993078,1.9904993,0.9218967,0.0
0.99939865,1.9115783,0.92291236,0.0
0.99947214,1.8463862,0.9238955,0.0
0.9995334,1.8005083,0.92484736,0.0
0.9995865,1.7781069,0.9257692,0.0
0.9996343,1.7816184,0.9266622,0.0
0.99967885,1.8115747,0.92752767,0.0
0.99972105,1.8665667,0.9283667,0.0
0.99976134,1.9433451,0.9291804,0.0
0.9997994,2.0370572,0.9299697,0.0
0.99983466,2.1415982,0.9307357,0.0
0.9998665,2.250058,0.9314793,0.0
0.9998942,2.3552182,0.9322012,0.0
0.99991757,2.45008,0.9329023,0.0
0.9999367,2.528371,0.9335834,0.0
0.99995184,2.5850022,0.9342451,0.0
