fitness,g0,g1,g2,g3,g4,g5
0.33999026,0.41810662,-0.04621756,0.41315338,0.33163992,0.70141697,0.9559959
0.34692818,0.7754639,0.050573826,0.06416706,-0.30118722,0.011641891,0.70579594
0.3437725,0.18276222,0.5661109,0.8012012,0.6595197,-0.54886234,-0.6897047
0.34655124,-0.2463843,0.4638315,0.39152038,0.03564538,-0.33779785,4.3950486E-4
0.35164487,0.6680211,0.026388656,0.4427306,-0.5197029,0.2879828,0.8817291
0.3459168,-0.22015059,-0.35430962,0.8074563,0.29424846,0.8583889,0.9100813
0.34594294,0.33273292,-0.19513926,0.26978862,0.22248514,-0.46785587,-0.007925533
0.34201017,0.07239754,0.30561092,0.38629335,-0.59590065,0.42118704,0.8142579
0.2889937,0.9687513,0.41373563,-0.04972288,-0.91722816,0.81260073,-0.5701792
0.3425082,-0.52824414,0.61413056,0.12066346,0.37622103,-0.19916445,-0.06330792
0.335243,-0.48853332,0.059801154,0.10304254,-0.3792639,-0.8024119,0.06043899
0.34154314,-0.13518931,-0.428299,-0.6130982,-0.64125043,0.9723126,-0.1770284
0.34364408,-0.5521996,-0.11271845,0.08235335,0.14008844,-0.25028238,0.6592707
0.34328213,0.33714306,0.36441106,-0.66782796,0.74149925,-0.13766275,-0.047213566
0.34199348,0.41578975,-0.622412,0.37193885,0.6932711,0.13925007,0.754134
0.34519336,-0.6934981,-0.260218,-0.045147855,-0.5708086,-0.14746538,0.9221788
0.34259796,0.095528506,-0.03527676,-0.37997487,-0.08692584,0.014415026,-0.7171382
0.34215713,-0.10580492,-0.35709754,-0.60723543,-0.43326414,0.0797503,-0.022604108
0.34630194,-0.8264491,-0.096283264,-0.26566407,0.5149096,0.9009945,0.43628094
0.34747788,-0.9636047,0.18583713,0.36266837,0.2976547,0.99863136,0.24155684
0.33919784,-0.4642933,-0.36041254,-0.5313891,0.0067989826,-0.3820665,0.6053949
0.34111246,-0.39911747,0.76844555,-0.37286663,0.5906334,-0.07975477,-0.33592162
0.3384928,-0.06772075,0.2929148,-0.6598114,0.0019813776,0.50198895,-0.12265755
0.34761515,-0.5047165,-0.038996298,-0.013735294,-0.5046648,-0.31744564,0.96208966
0.3491108,-0.36198378,0.15726042,0.29643497,0.63838667,0.8120455,0.04239839
0.3773798,0.13255608,-0.2927842,-0.2439,0.035274588,0.20124649,0.35194725
0.3440018,-0.016479556,0.4913797,0.2187573,-0.27784038,0.6837112,0.27413648
0.33988822,0.28493658,-0.07976185,0.18685308,-0.11448065,-0.24630515,-0.9925843
0.34628767,0.97149277,0.06822459,0.12976952,0.050603542,-0.17282614,0.28943262
0.34407663,0.82278854,0.80896896,-0.004501581,-0.5425937,-0.28431487,-0.07296927
0.34610057,-0.39689025,-0.34034452,-0.09935562,-0.7272517,0.5614381,0.056420565
0.35351348,-0.42553258,0.6595892,-0.8475691,-0.036991276,-0.7933567,-0.15913
0.34414756,-0.044347048,0.12219784,-0.46362278,-0.2219742,0.33731738,0.27718142
0.34618518,-0.013612165,-0.85830593,0.2192552,-0.41525602,0.7430505,0.051948655
0.28823316,0.032151338,0.8814305,-0.25320455,-0.58369255,0.065159984,0.55707014
0.28822932,-0.13856769,-0.93767923,0.28541458,-0.618172,0.2701884,-0.25127363
0.34672627,-0.8082423,-0.0038973955,-0.94352627,-0.46681282,0.2828562,-0.18909441
0.34582865,-0.76955354,-0.4199994,0.8413911,0.28934813,-0.7047876,0.60867906
0.34303993,-0.014070104,-0.7866957,0.09360341,0.46060997,0.37529153,0.40085617
0.34272024,0.13449481,0.11774167,0.23494402,0.3698126,-0.1591742,0.5578367
0.3418347,0.37195218,-0.5339669,0.10071222,0.2777641,-0.0059759617,-0.03574844
0.34046182,-0.05970982,-0.87169737,0.8108554,-0.6296506,-0.2888544,0.75302434
0.2874417,0.056778908,-0.37668493,0.7486471,0.10148311,-0.07737998,-0.1460557
0.34257925,0.035277247,0.3463463,-0.18138452,-0.513304,0.16372351,0.19197877
0.33259502,0.24348378,-0.5731417,-0.22936581,0.50269157,0.68269116,-0.033029318
0.34257546,-0.54418296,-0.51218504,-0.2528927,0.5309189,0.10922518,0.5646351
0.34742072,0.5274757,0.043217428,-0.0041671037,-0.6052299,-0.17746222,-0.4339596
0.34484398,-0.60817564,-0.10453323,-0.9227648,-0.54141814,0.62437236,-0.22431223
0.3450304,0.06942594,0.38283587,-0.44385564,0.7605244,-0.20759635,-0.027419461
0.3435125,0.084875144,-0.08041252,-0.44868028,-0.13595884,0.43235973,0.67817986
0.34492424,0.031219224,-0.41908765,0.9147106,0.3453784,0.6521675,0.7735596
0.34402606,0.026157504,-0.64627904,0.8053078,0.6409856,-0.2005078,-0.05479462
0.34367675,-0.48359832,-0.43737265,-0.3876234,-0.5230912,0.088669114,0.5158528
0.34608844,-0.8896369,-0.29868722,-0.08432132,0.6355384,-0.14814603,-0.0072505474
0.35353395,-0.095571555,0.39921725,-0.8047346,0.76453835,-0.8708157,-0.026186943
0.3426843,0.060400587,-0.084674,-0.72495383,0.48138508,0.8519142,0.3649313
0.35129616,-0.67284244,-0.13729699,0.5094818,0.00778788,-0.19871238,-0.022214912
0.34309164,0.20305316,-0.2526364,0.462228,0.13069043,-0.15994489,-0.7428879
0.34114748,0.31426358,-0.10755063,-0.4468804,-0.36265555,-0.53096783,0.21609175
0.33700618,-0.85152006,-0.3507175,-0.635066,0.043437243,0.7924714,-0.5511317
0.34220293,0.14988433,0.1895255,-0.4001245,0.27950752,0.29777762,0.08477896
0.33673617,-0.12711772,0.009805848,-0.29876423,-0.85894024,-0.33081767,0.018600525
0.2882575,-0.095358275,0.8692797,0.35900483,0.39031526,0.04111386,-0.27573502
0.34875783,0.68650913,0.8048393,-0.4049912,-0.032613076,0.18163376,0.4501001
0.34338865,-0.255578,0.71690464,0.62815684,0.11922615,0.15104052,-0.99159855
0.33615434,-0.07057798,-0.14460742,-0.79983073,0.15506628,-0.54616624,0.19546059
0.34636372,0.031340346,0.44633743,-0.3931827,-0.07184808,0.5833563,0.0038277586
0.28840807,-0.03541524,-0.05871454,-0.8037334,0.38544187,-0.11687145,0.21504682
0.34350508,0.67580473,0.37338796,-0.19795476,-0.34949714,0.31436116,-0.39907515
0.3438359,-0.7311309,-0.4239465,-0.2884295,-0.21995887,-0.07941361,0.9607331
0.3435508,0.29599598,-0.861586,-0.0087224245,-0.7264975,0.6019521,0.3120555
0.34397832,0.99090433,0.410337,0.07815188,-0.6009326,-0.009057257,-0.23194939
0.3528406,-0.2945979,-0.1397126,-0.68147624,-0.017137017,-0.3890735,-0.6068718
0.3402444,0.5886783,-0.5092156,-0.1097807,-0.71799463,0.39214566,-0.5684729
0.34155104,0.00870312,0.24657197,-0.29203868,0.41253316,0.20390755,0.5492589
0.3433395,-0.44898602,-0.1135236,0.1870358,-0.124333985,-0.35274845,-0.5166075
0.34354156,0.20272517,-0.5159226,0.7174149,-0.121358216,-0.4769559,-0.008892138
0.34865868,-0.48977977,-0.009386659,0.13302468,0.24993218,0.7145953,0.4082201
0.34314594,-0.39741525,-0.73816603,-0.075653136,-0.28855366,-0.1731782,-0.3659225
0.33745587,0.18363965,-0.6515006,0.39794332,-0.17445064,0.63800913,-0.30362794
0.3418688,-0.9811573,0.87500364,0.02342701,-0.80486244,0.8085287,0.77795315
0.34260723,0.41254038,-0.08220613,-0.17685656,-0.33758235,-0.8604214,-0.22647516
0.3424666,0.22452717,0.5013682,0.6676417,0.3570235,0.6729294,-0.37409538
0.34471318,-0.018936591,0.8751846,0.18753052,-0.4082773,-0.3026625,-0.041867174
0.34360152,-0.6025714,-0.26552767,0.6338823,-0.2785016,-0.546607,-0.31041375
0.34076083,-0.26997828,0.07949487,0.38206434,0.1878779,-0.44287577,0.6652664
0.34358528,-0.45141298,-0.30311275,-0.08541136,-0.78563255,-0.02463911,-0.6223366
0.34337893,-0.29486993,0.24094222,-0.180416,0.71914893,0.9423723,0.3873853
0.3441045,-0.36726883,0.4108501,0.7753764,0.4858874,0.7130003,0.39140785
0.3390575,0.5308054,-0.13134977,0.2916785,-0.21060759,0.01811266,-0.27876315
0.35039568,0.4919076,0.025770728,0.19301274,0.87376267,-0.5250485,-0.75250417
0.34676006,-0.79955184,-0.044117067,-0.76980174,-0.27424115,-0.27240607,-0.2545296
0.34034413,0.53679866,-0.5777378,0.073277116,0.0038644455,-0.53744674,0.52851593
0.3457086,-0.35729516,-0.26955348,0.84990025,-0.63696176,-0.46647763,-0.006462158
0.346843,-0.22320409,-0.43963668,-0.21762027,0.15348685,0.3259555,0.029014826
0.34011573,0.7435111,-0.42535654,0.0071074963,-0.6981733,0.07599541,0.74563354
0.34028336,0.8380862,-0.4030471,-0.13373494,0.54252833,0.8027508,0.7912051
0.288596,-0.9893324,0.21230657,-0.31257406,-0.120619334,-0.31703055,0.45025662
0.34199026,-0.09791028,0.5327099,0.14203116,0.1510607,-0.09083277,0.3330991
0.34123155,-0.8995168,-0.9824634,0.8146439,-0.25038692,0.1479299,0.5644554
