neur0,input0,neur1,input1
0.45980006,0.0,0.49940062,0.0
0.4207456,0.0029197182,0.5356097,0.0
0.38376537,0.0057970695,0.5671232,0.0
0.3491039,0.008590072,0.5945202,0.0
0.31689778,0.011257531,0.6183393,0.0
0.28719297,0.013759401,0.63906616,0.0
0.25996375,0.01605716,0.65713054,0.0
0.2351313,0.01811419,0.6729072,0.0
0.21257971,0.019896068,0.6867196,0.0
0.19216974,0.021370955,0.69884527,0.0
0.17374921,0.022509828,0.70952123,0.0
0.15716113,0.0232868,0.71894956,0.0
0.14224946,0.02367936,0.72730225,0.0
0.1288631,0.02366858,0.7347258,0.0
0.11685842,0.02323933,0.7413448,0.0
0.10610083,0.02238036,0.747266,0.0
0.096465535,0.02108454,0.75258017,0.0
0.08783782,0.019348852,0.7573652,0.0
0.08011285,0.017174467,0.76168805,0.0
0.07319537,0.014566772,0.765606,0.0
0.06699914,0.011535324,0.7691685,0.0
0.061446376,0.0080938265,0.77241826,0.0
0.05646712,0.0042599663,0.77539206,0.0
0.051998585,5.5372715E-5,0.778122,0.0
0.047984567,-0.0044946223,0.7806357,0.0
0.04437482,-0.009361185,0.7829573,0.0
0.04112453,-0.014512129,0.7851078,0.0
0.038193792,-0.019912295,0.7871055,0.0
0.035547122,-0.025523722,0.78896636,0.0
0.03315303,-0.03130608,0.7907045,0.0
0.030983629,-0.03721688,0.79233205,0.0
0.02901425,-0.043211985,0.79385996,0.0
0.027223133,-0.049245816,0.7952976,0.0
0.025591115,-0.05527189,0.7966535,0.0
0.024101363,-0.06124314,0.797935,0.0
0.02273913,-0.06711231,0.79914874,0.0
0.021491526,-0.07283248,0.80030054,0.0
0.02034732,-0.078357264,0.8013958,0.0
0.019296752,-0.0836415,0.8024391,0.0
0.018331375,-0.088641405,0.8034348,0.0
0.017443897,-0.09331515,0.8043867,0.0
0.016628044,-0.09762308,0.8052983,0.0
0.015878437,-0.10152823,0.80617297,0.0
0.015190482,-0.10499661,0.8070135,0.0
0.014560259,-0.10799748,0.80782276,0.0
0.013984433,-0.11050375,0.8086032,0.0
0.013460169,-0.11249213,0.80935735,0.0
0.01298505,-0.1139435,0.8100874,0.0
0.012557012,-0.11484302,0.8107954,0.0
0.012174277,-0.11518037,0.81148356,0.0
0.011835292,-0.11494981,0.8121537,0.0
0.011538682,-0.11415033,0.81280774,0.0
0.0112832,-0.1127858,0.81344736,0.0
0.011067687,-0.110864766,0.8140743,0.0
0.010891029,-0.10840066,0.8146902,0.0
0.010752129,-0.10541161,0.81529653,0.0
0.01064988,-0.10192044,0.81589484,0.0
0.0105831325,-0.09795441,0.81648654,0.0
0.010550676,-0.09354514,0.81707305,0.0
0.010551224,-0.08872837,0.8176556,0.0
0.010583399,-0.08354371,0.8182354,0.0
0.010645715,-0.07803437,0.8188136,0.0
0.010736577,-0.07224681,0.8193913,0.0
0.010854272,-0.06623052,0.8199695,0.0
0.010996967,-0.060037374,0.820549,0.0
0.011162705,-0.053721555,0.8211307,0.0
0.011349416,-0.04733903,0.82171524,0.0
0.0115549145,-0.040946923,0.82230335,0.0
0.011776908,-0.034603387,0.8228956,0.0
0.012013009,-0.028366918,0.8234923,0.0
0.012260739,-0.022296054,0.8240938,0.0
0.012517547,-0.016448598,0.8247004,0.0
0.012780823,-0.010881554,0.82531226,0.0
0.013047905,-0.0056504374,0.8259294,0.0
0.013316106,-8.087121E-4,0.8265517,0.0
0.013582724,0.0035923868,0.827179,0.0
0.013845064,0.0075045414,0.8278112,0.0
0.014100448,0.01088253,0.82844776,0.0
0.014346248,0.013684902,0.82908833,0.0
0.0145798875,0.015874129,0.8297324,0.0
0.014798876,0.01741698,0.83037937,0.0
0.015000817,0.01828489,0.8310285,0.0
0.015183434,0.01845425,0.83167917,0.0
0.01534458,0.017906524,0.83233047,0.0
0.015482262,0.016628645,0.8329816,0.0
0.015594651,0.01461301,0.8336315,0.0
0.015680106,0.011857629,0.8342794,0.0
0.015737176,0.008366309,0.8349242,0.0
0.015764626,0.004148558,0.835565,0.0
0.015761431,-7.803738E-4,0.8362006,0.0
0.015726808,-0.0063995197,0.83683014,0.0
0.015660206,-0.012682386,0.83745253,0.0
0.015561316,-0.019596957,0.83806676,0.0
0.015430087,-0.027106002,0.83867174,0.0
0.015266714,-0.03516733,0.83926654,0.0
0.015071645,-0.043733902,0.83985025,0.0
0.014845586,-0.05275424,0.8404219,0.0
0.014589487,-0.06217292,0.8409807,0.0
0.014304545,-0.07193068,0.8415258,0.0
0.013992193,-0.081965,0.84205645,0.0
0.013654098,-0.092210464,0.842572,0.0
0.01329214,-0.10259937,0.8430718,0.0
0.012908412,-0.11306202,0.84355533,0.0
0.012505195,-0.12352739,0.8440222,0.0
0.012084951,-0.1339235,0.844472,0.0
0.011650301,-0.14417829,0.84490436,0.0
0.011204007,-0.15421966,0.8453193,0.0
0.010748956,-0.16397643,0.84571654,0.0
0.01028814,-0.17337856,0.84609616,0.0
0.009824625,-0.182358,0.8464583,0.0
0.009361539,-0.190849,0.84680307,0.0
