neur0,input0,neur1,input1
0.45890293,0.0,0.49758726,0.0
0.4160861,0.039989334,0.5287336,0.0
0.37675413,0.07991469,0.55544436,0.0
0.3411214,0.119712204,0.5783755,0.0
0.30921584,0.15931821,0.59810966,0.0
0.28092882,0.19866931,0.61515313,0.0
0.25606036,0.23770262,0.6299393,0.0
0.23435672,0.27635565,0.6428355,0.0
0.2155382,0.31456655,0.6541511,0.0
0.19931917,0.3522742,0.6641455,0.0
0.18542115,0.38941833,0.6730363,0.0
0.1735809,0.42593947,0.6810052,0.0
0.16355477,0.46177918,0.6882046,0.0
0.15512075,0.4968801,0.6947619,0.0
0.14807864,0.5311862,0.70078385,0.0
0.14224945,0.5646424,0.70635974,0.0
0.13747405,0.59719545,0.7115647,0.0
0.13361153,0.628793,0.71646136,0.0
0.13053767,0.65938467,0.72110224,0.0
0.12814303,0.68892145,0.7255312,0.0
0.12633146,0.7173561,0.72978497,0.0
0.12501861,0.7446431,0.7338939,0.0
0.12413045,0.7707389,0.7378831,0.0
0.12360207,0.7956016,0.74177337,0.0
0.12337659,0.8191916,0.7455816,0.0
0.12340417,0.84147096,0.7493216,0.0
0.12364106,0.8624042,0.75300425,0.0
0.12404895,0.88195777,0.7566382,0.0
0.12459417,0.90010047,0.76023024,0.0
0.12524721,0.9168031,0.7637852,0.0
0.12598215,0.9320391,0.76730675,0.0
0.12677617,0.94578403,0.7707972,0.0
0.12760924,0.95801586,0.77425796,0.0
0.12846376,0.9687151,0.7776896,0.0
0.12932418,0.9778646,0.7810919,0.0
0.13017687,0.98544973,0.7844643,0.0
0.13100982,0.99145836,0.7878055,0.0
0.13181244,0.99588084,0.79111403,0.0
0.13257542,0.99871016,0.79438806,0.0
0.1332906,0.9999417,0.7976256,0.0
0.13395077,0.9995736,0.8008246,0.0
0.13454968,0.9976064,0.8039827,0.0
0.13508181,0.99404323,0.8070977,0.0
0.13554238,0.98888975,0.8101672,0.0
0.13592726,0.9821543,0.81318897,0.0
0.13623288,0.9738476,0.81616086,0.0
0.13645624,0.963983,0.8190806,0.0
0.13659476,0.9525762,0.82194614,0.0
0.13664632,0.93964547,0.8247556,0.0
0.13660921,0.92521155,0.827507,0.0
0.1364821,0.9092974,0.8301987,0.0
0.13626403,0.8919287,0.8328291,0.0
0.13595426,0.873133,0.8353967,0.0
0.13555247,0.85294056,0.83790016,0.0
0.13505857,0.8313835,0.84033823,0.0
0.1344727,0.80849636,0.8427099,0.0
0.13379532,0.78431594,0.8450143,0.0
0.13302709,0.75888073,0.84725046,0.0
0.13216892,0.7322315,0.84941787,0.0
0.13122189,0.70441085,0.8515159,0.0
0.13018735,0.67546326,0.853544,0.0
0.12906678,0.645435,0.855502,0.0
0.1278619,0.6143742,0.85738957,0.0
0.12657456,0.58233064,0.8592067,0.0
0.12520683,0.5493555,0.8609531,0.0
0.1237609,0.51550144,0.862629,0.0
0.122239135,0.48082274,0.86423445,0.0
0.120644055,0.4453748,0.8657697,0.0
0.11897831,0.40921414,0.8672348,0.0
0.117244676,0.37239906,0.86863035,0.0
0.11544608,0.3349882,0.8699565,0.0
0.113585554,0.29704145,0.87121373,0.0
0.111666255,0.25861946,0.8724025,0.0
0.10969141,0.21978377,0.8735233,0.0
0.10766439,0.18059623,0.8745766,0.0
0.10558864,0.14112,0.875563,0.0
0.103467666,0.101418026,0.87648314,0.0
0.101305105,0.061553795,0.8773375,0.0
0.099104606,0.02159109,0.8781268,0.0
0.09686992,-0.018406155,0.8788516,0.0
0.09460485,-0.058373954,0.87951255,0.0
0.092313215,-0.0982486,0.8801104,0.0
0.08999892,-0.13796584,0.8806457,0.0
0.08766588,-0.17746235,0.8811192,0.0
0.08531803,-0.21667498,0.8815316,0.0
0.08295935,-0.25554097,0.8818836,0.0
0.08059381,-0.29399815,0.88217586,0.0
0.07822539,-0.3319852,0.8824091,0.0
0.07585809,-0.36944094,0.88258404,0.0
0.07349585,-0.40630564,0.8827014,0.0
0.07114266,-0.44252035,0.88276196,0.0
0.06880243,-0.47802714,0.88276637,0.0
0.06647909,-0.51276916,0.88271546,0.0
0.06417648,-0.54669106,0.88261,0.0
0.061898455,-0.5797382,0.8824508,0.0
0.059648786,-0.61185783,0.8822387,0.0
0.057431202,-0.6429987,0.8819744,0.0
0.05524936,-0.67311084,0.88165885,0.0
0.05310686,-0.7021462,0.88129294,0.0
0.051007234,-0.73005825,0.88087755,0.0
0.048953924,-0.7568025,0.8804136,0.0
0.046950303,-0.7823359,0.8799022,0.0
0.044999644,-0.8066177,0.87934417,0.0
0.043105133,-0.8296091,0.8787408,0.0
0.041269857,-0.8512733,0.87809306,0.0
0.03949681,-0.87157565,0.8774022,0.0
0.037788857,-0.8904837,0.8766694,0.0
0.036148787,-0.90796715,0.875896,0.0
0.034579244,-0.92399806,0.87508327,0.0
0.033082765,-0.9385509,0.87423265,0.0
0.03166177,-0.9516021,0.8733457,0.0
0.030318558,-0.96313095,0.8724238,0.0
0.029055288,-0.97311896,0.87146884,0.0
0.027873999,-0.9815503,0.87048227,0.0
0.026776588,-0.98841125,0.869466,0.0
0.025764823,-0.99369097,0.868422,0.0
0.024840336,-0.99738103,0.867352,0.0
0.02400462,-0.99947554,0.86625814,0.0
0.023259018,-0.99997103,0.86514264,0.0
0.022604736,-0.9988668,0.8640076,0.0
0.02204284,-0.9961646,0.8628553,0.0
0.021574244,-0.9918688,0.8616882,0.0
0.021199722,-0.9859861,0.8605088,0.0
0.020919895,-0.9785261,0.8593195,0.0
0.020735238,-0.96950066,0.85812306,0.0
0.020646079,-0.9589243,0.85692215,0.0
0.020652594,-0.94681376,0.85571957,0.0
0.02075482,-0.9331886,0.8545181,0.0
0.020952633,-0.9180705,0.8533207,0.0
0.021245768,-0.9014837,0.8521304,0.0
0.021633817,-0.88345474,0.8509501,0.0
0.022116214,-0.8640124,0.849783,0.0
0.022692256,-0.84318787,0.8486321,0.0
0.023361092,-0.8210144,0.84750056,0.0
0.024121726,-0.7975275,0.84639156,0.0
0.024973027,-0.77276444,0.8453082,0.0
0.025913713,-0.7467654,0.84425366,0.0
0.026942372,-0.71957165,0.84323114,0.0
0.028057449,-0.6912268,0.8422438,0.0
0.02925726,-0.6617761,0.8412946,0.0
0.030539984,-0.6312667,0.8403867,0.0
0.031903673,-0.5997474,0.839523,0.0
0.03334625,-0.56726867,0.8387065,0.0
0.034865525,-0.53388244,0.83794004,0.0
0.03645917,-0.4996421,0.83722633,0.0
0.03812475,-0.46460244,0.83656806,0.0
0.039859716,-0.4288195,0.8359677,0.0
0.0416614,-0.39235055,0.83542776,0.0
0.043527044,-0.3552535,0.8349504,0.0
0.04545377,-0.31758854,0.83453774,0.0
0.047438603,-0.2794155,0.8341918,0.0
0.049478486,-0.24079546,0.8339143,0.0
0.05157026,-0.2017902,0.83370686,0.0
0.05371069,-0.16246213,0.83357084,0.0
0.055896457,-0.12287415,0.83350754,0.0
0.058124166,-0.08308959,0.8335179,0.0
0.06039035,-0.043172114,0.8336028,0.0
0.06269148,-0.0031855688,0.8337627,0.0
0.065023966,0.036806073,0.83399814,0.0
0.06738417,0.076738834,0.8343092,0.0
0.0697684,0.11654883,0.8346959,0.0
0.07217292,0.15617284,0.83515775,0.0
0.07459395,0.19554654,0.83569443,0.0
0.0770277,0.2346074,0.8363052,0.0
0.07947034,0.27329293,0.83698905,0.0
0.081918016,0.31154126,0.8377449,0.0
0.08436687,0.3492912,0.8385713,0.0
0.08681305,0.38648236,0.8394668,0.0
0.089252666,0.4230552,0.8404296,0.0
0.091681875,0.45895126,0.8414578,0.0
0.094096825,0.4941131,0.8425492,0.0
0.09649369,0.52848446,0.84370166,0.0
0.09886865,0.56201035,0.8449127,0.0
0.10121795,0.5946376,0.8461797,0.0
0.103537835,0.62631303,0.8475001,0.0
0.10582462,0.6569866,0.84887093,0.0
0.10807465,0.6866091,0.8502894,0.0
0.11028435,0.7151332,0.85175246,0.0
0.11245019,0.7425132,0.853257,0.0
0.114568695,0.76870537,0.8547998,0.0
0.116636485,0.79366773,0.85637784,0.0
0.11865024,0.81736046,0.8579877,0.0
0.12060676,0.8397455,0.8596262,0.0
0.12250288,0.8607872,0.86129004,0.0
0.12433557,0.88045186,0.86297596,0.0
0.1261019,0.8987079,0.86468065,0.0
0.127799,0.91552645,0.86640096,0.0
0.12942418,0.9308801,0.8681336,0.0
0.1309748,0.94474465,0.8698755,0.0
0.13244838,0.9570977,0.87162346,0.0
0.13384254,0.96791965,0.8733746,0.0
0.13515504,0.9771931,0.8751258,0.0
0.13638376,0.9849033,0.8768743,0.0
0.13752669,0.99103785,0.87861735,0.0
0.13858204,0.99558693,0.8803522,0.0
0.13954808,0.9985433,0.8820763,0.0
0.14042325,0.99990225,0.8837872,0.0
0.14120613,0.99966156,0.8854825,0.0
0.14189546,0.9978216,0.8871599,0.0
0.14249013,0.9943853,0.88881737,0.0
0.14298917,0.98935825,0.8904528,0.0
0.1433918,0.98274845,0.8920644,0.0
0.14369734,0.9745664,0.89365023,0.0
0.14390533,0.96482533,0.8952087,0.0
0.14401539,0.9535407,0.89673835,0.0
0.1440274,0.94073063,0.89823765,0.0
0.14394131,0.92641556,0.89970523,0.0
0.14375728,0.9106185,0.9011399,0.0
0.14347562,0.8933646,0.90254056,0.0
0.1430968,0.8746815,0.9039062,0.0
0.14262144,0.8545991,0.90523595,0.0
0.14205034,0.83314955,0.9065289,0.0
0.14138441,0.8103671,0.90778434,0.0
0.14062479,0.7862883,0.9090017,0.0
0.13977271,0.7609516,0.91018033,0.0
0.1388296,0.7343975,0.9113198,0.0
0.137797,0.70666856,0.91241974,0.0
0.13667662,0.67780906,0.9134797,0.0
0.13547035,0.6478645,0.91449946,0.0
0.13418013,0.61688423,0.9154788,0.0
0.13280812,0.584917,0.9164176,0.0
0.13135661,0.5520141,0.9173157,0.0
0.129828,0.5182281,0.918173,0.0
0.12822482,0.48361304,0.91898954,0.0
0.12654974,0.4482243,0.91976523,0.0
0.12480554,0.4121185,0.9205003,0.0
0.12299509,0.37535337,0.9211946,0.0
0.12112144,0.33798778,0.92184836,0.0
0.11918765,0.3000815,0.9224617,0.0
0.11719696,0.26169512,0.9230348,0.0
0.11515268,0.2228901,0.9235677,0.0
0.11305819,0.1837285,0.9240607,0.0
0.11091696,0.14427298,0.924514,0.0
0.108732544,0.10458665,0.9249278,0.0
0.10650858,0.064733006,0.92530227,0.0
0.104248755,0.024775807,0.92563766,0.0
0.1019568,-0.015221031,0.9259342,0.0
0.0996365,-0.05519352,0.92619216,0.0
0.09729173,-0.09507771,0.9264118,0.0
0.094926335,-0.13480979,0.9265933,0.0
0.092544235,-0.17432621,0.92673695,0.0
0.09014936,-0.21356376,0.92684305,0.0
0.08774565,-0.25245965,0.92691183,0.0
0.08533708,-0.29095164,0.92694354,0.0
0.0829276,-0.32897907,0.9269385,0.0
0.08052117,-0.3664793,0.92689687,0.0
0.07812174,-0.40339324,0.9268191,0.0
0.07573324,-0.43966186,0.92670536,0.0
0.07335959,-0.4752271,0.926556,0.0
0.07100465,-0.51003206,0.9263713,0.0
0.06867227,-0.5440211,0.9261516,0.0
0.066366255,-0.57713985,0.9258972,0.0
0.06409035,-0.60933524,0.92560846,0.0
0.061848246,-0.64055586,0.9252857,0.0
0.059643578,-0.67075175,0.92492944,0.0
0.057479914,-0.6998746,0.9245399,0.0
0.055360746,-0.72787774,0.9241176,0.0
0.053289488,-0.75471646,0.923663,0.0
0.051269475,-0.78034776,0.92317665,0.0
0.049303956,-0.8047307,0.92265886,0.0
0.047396075,-0.82782626,0.9221103,0.0
0.04554889,-0.84959745,0.9215316,0.0
0.04376535,-0.8700095,0.92092335,0.0
0.0420483,-0.8890297,0.9202862,0.0
0.04040047,-0.90662766,0.9196208,0.0
0.038824484,-0.9227752,0.918928,0.0
0.037322838,-0.93744653,0.9182086,0.0
0.03589791,-0.9506181,0.9174634,0.0
0.03455195,-0.9622689,0.91669345,0.0
0.03328709,-0.9723805,0.91589963,0.0
0.03210531,-0.9809363,0.915083,0.0
0.031008484,-0.9879227,0.9142447,0.0
0.029998327,-0.99332875,0.9133859,0.0
0.029076425,-0.99714565,0.91250783,0.0
0.02824422,-0.9993673,0.9116118,0.0
0.027503012,-0.9999902,0.9106992,0.0
0.02685396,-0.99901336,0.90977144,0.0
0.026298074,-0.99643826,0.90883017,0.0
0.025836218,-0.9922691,0.9078768,0.0
0.02546911,-0.98651254,0.9069131,0.0
0.025197318,-0.9791778,0.90594083,0.0
0.02502126,-0.97027653,0.90496176,0.0
0.024941206,-0.959823,0.9039777,0.0
0.024957277,-0.947834,0.9029907,0.0
0.02506944,-0.93432873,0.90200263,0.0
0.02527752,-0.9193287,0.90101564,0.0
0.025581185,-0.9028579,0.9000318,0.0
0.025979958,-0.88494277,0.8990533,0.0
0.026473215,-0.8656119,0.89808226,0.0
0.027060186,-0.84489626,0.89712095,0.0
0.027739951,-0.82282895,0.8961717,0.0
0.028511452,-0.7994453,0.8952368,0.0
0.02937348,-0.77478266,0.89431846,0.0
0.030324694,-0.74888057,0.89341915,0.0
0.031363606,-0.7217805,0.89254117,0.0
0.032488607,-0.69352496,0.8916868,0.0
0.033697933,-0.6641606,0.8908584,0.0
0.0349897,-0.63373375,0.8900583,0.0
0.036361896,-0.6022931,0.88928866,0.0
0.037812367,-0.56988883,0.8885518,0.0
0.039338864,-0.53657293,0.8878498,0.0
0.040938992,-0.5023986,0.8871849,0.0
0.042610258,-0.46742055,0.88655907,0.0
0.044350047,-0.43169472,0.8859742,0.0
0.046155643,-0.39527828,0.88543236,0.0
0.048024207,-0.35822946,0.8849352,0.0
0.049952824,-0.32060757,0.88448447,0.0
0.05193847,-0.28247276,0.88408166,0.0
