Generation,Max fitness,Min fitness,Avg fitness,Variance
1,0.13718657,-12.733334,-1.1331693,394.43964
2,0.17484194,-26.422676,-1.4848083,1411.4875
3,0.17484194,-7.251524,-0.7640958,120.092224
4,0.17484194,-15.447132,-1.0399513,457.47418
5,0.17484194,-4.454764,-0.5096349,45.858448
6,0.17484194,-18.199308,-1.3980643,1052.5135
7,0.17484194,-9.005348,-0.7888163,161.50351
8,0.17484194,-12.314754,-0.5953753,193.74997
9,0.17484194,-14.875903,-0.73090607,336.0255
10,0.17484194,-14.875903,-1.0484754,545.60693
11,0.19432737,-8.364381,-0.6325888,143.20387
12,0.19432737,-15.448287,-0.82173467,382.3579
13,0.20734215,-8.802498,-0.65810835,162.3666
14,0.20734215,-11.684793,-0.823842,311.8949
15,0.20734215,-19.437965,-0.7365825,447.43967
16,0.23818813,-13.653861,-0.81169325,341.29718
17,0.23818813,-5.2755036,-0.61880374,82.15126
18,0.23818813,-8.142134,-0.59808296,132.50523
19,0.23818813,-16.224306,-0.8412653,412.67786
20,0.23818813,-8.529545,-0.5567102,119.36735
21,0.21356612,-20.422945,-0.7899974,481.76025
22,0.21356612,-12.846868,-1.0271301,443.0756
23,0.23724195,-23.558449,-0.93941605,721.4049
24,0.23724195,-15.571421,-0.88280004,372.99905
25,0.23724195,-14.05879,-0.9003876,415.2304
26,0.23724195,-12.477849,-0.81478655,256.45947
27,0.23724195,-9.011816,-0.7886257,164.12338
28,0.23724195,-20.932564,-0.75171095,476.17123
29,0.23724195,-10.058695,-0.964189,400.14587
30,0.38145444,-12.89706,-0.85749483,331.59607
31,0.40921795,-9.616463,-0.60705817,180.70815
32,0.40921795,-2.5545013,-0.36896756,32.527935
33,0.40921795,-15.037265,-0.66368216,331.78958
34,0.40921795,-5.44013,-0.42168537,67.157425
35,0.40921795,-12.894931,-0.5507982,196.71362
36,0.40921795,-8.74049,-0.7567246,225.02002
37,0.40921795,-7.1738715,-0.52630043,98.77378
38,0.40921795,-12.697701,-0.9695716,470.5738
39,0.40921795,-8.395563,-0.7010241,204.98865
40,0.40921795,-36.576122,-1.2860215,2104.0288
41,0.40921795,-21.521303,-0.99385643,797.25134
42,0.38796988,-14.590448,-0.84851766,355.67218
43,0.38796988,-14.590448,-0.8567302,403.04865
44,0.38796988,-30.33408,-0.98756754,1139.0914
45,0.38796988,-30.777895,-1.1123104,1318.0767
46,0.38796988,-30.777895,-0.9704389,1051.748
47,0.38796988,-17.887499,-0.917071,515.6642
48,0.38796988,-6.8804626,-0.6510573,118.528175
49,0.38796988,-13.581056,-1.0288482,529.71954
50,0.38796988,-18.814878,-1.1185193,739.33325
51,0.40933093,-16.825102,-0.7498847,388.86548
52,0.40933093,-28.131428,-1.356955,1456.0223
53,0.40933093,-16.825102,-0.9929332,544.6078
54,0.40933093,-16.575258,-1.0857131,545.3779
55,0.40933093,-20.814129,-1.1210625,717.2376
56,0.40933093,-8.814153,-0.6764724,165.0671
57,0.40933093,-8.342883,-0.69027346,161.17975
58,0.40933093,-10.49439,-0.88749015,327.1194
59,0.40933093,-16.904764,-1.1405145,696.4954
60,0.40933093,-7.314791,-0.53377795,105.02345
61,0.40933093,-14.275395,-0.7651027,289.91504
62,0.3702638,-10.79693,-0.92495227,282.10413
63,0.3702638,-36.288197,-1.1813455,1541.155
64,0.3702638,-36.288197,-1.2541134,1448.0935
65,0.3702638,-10.849536,-1.1167587,401.01743
66,0.3702638,-14.57895,-0.7585046,322.04803
67,0.3702638,-16.529367,-1.0414717,615.9781
68,0.3702638,-13.863307,-0.9213627,510.26413
69,0.3702638,-17.035374,-1.0636511,678.15
70,0.4233743,-3.8509033,-0.5951592,67.22264
71,0.42639524,-9.246294,-0.598872,156.19193
72,0.42639524,-16.615019,-0.9458964,629.75616
73,0.42639524,-7.4140487,-0.63552314,150.76945
74,0.42639524,-27.789108,-1.0099094,966.4275
75,0.42639524,-11.606211,-0.92830986,341.58636
76,0.42639524,-10.03184,-0.7969331,193.32254
77,0.42639524,-20.001865,-0.9328726,576.56836
78,0.42639524,-13.773225,-0.7952323,356.44345
79,0.42639524,-7.5158625,-0.54886156,129.02017
80,0.42639524,-15.12848,-0.61199427,259.73578
81,0.4259438,-14.689672,-0.84767115,418.5228
82,0.4259438,-13.021297,-0.81764114,277.8566
83,0.4259438,-10.511716,-1.0378199,350.13098
84,0.4259438,-9.488479,-0.7474344,166.76154
85,0.4259438,-12.110198,-1.0317407,484.07187
86,0.4259438,-8.814395,-0.81020075,227.50063
87,0.4259438,-21.474241,-1.1960479,1010.05774
88,0.4259438,-8.1064625,-0.788322,165.80533
89,0.4259438,-6.6235657,-0.7374287,131.4126
90,0.4259438,-11.245376,-0.8821021,364.10263
91,0.44126773,-17.156733,-0.8249548,431.67172
