Generation,Max fitness,Min fitness,Avg fitness,Variance
1,-0.24827325,-16.134224,-1.6726978,675.1654
2,-0.20054197,-8.171024,-1.0994369,223.09152
3,-0.1853904,-16.160814,-1.258903,559.9018
4,-0.08035405,-13.338972,-0.9877497,226.17963
5,-0.053455774,-11.196593,-0.8895615,181.62949
6,-0.053455774,-8.085164,-0.9169323,163.72372
7,-0.053455774,-15.694012,-1.0564458,436.13132
8,-0.053455774,-24.263247,-1.0027802,624.03174
9,-0.053455774,-7.68261,-0.87025964,119.70579
10,-0.053455774,-26.376123,-1.1400771,738.4384
11,-0.007873988,-5.7501125,-0.8007384,88.257484
12,-0.007873988,-15.987796,-0.9450559,316.78345
13,-0.007873988,-6.70147,-0.7587793,97.472404
14,-0.007873988,-12.5900135,-1.0775322,408.49942
15,0.06506445,-21.669565,-1.2075905,812.2694
16,0.06506445,-17.884508,-1.0320809,530.4539
17,0.06506445,-17.884508,-1.4623504,1066.672
18,0.06506445,-13.691956,-1.26922,580.3313
19,0.06506445,-9.972775,-0.9574146,292.86594
20,0.06506445,-17.4995,-1.2160692,600.3292
21,0.06506445,-20.2663,-1.0585468,501.55545
22,0.035569854,-20.2663,-1.5595914,1046.2898
23,0.035569854,-25.674603,-1.3739434,1126.7893
24,0.035569854,-45.32771,-1.382699,2157.3464
25,0.035569854,-28.401577,-1.2179034,1043.8802
26,0.035569854,-15.009915,-0.96277446,334.51447
27,0.035569854,-7.1604404,-0.74933183,89.87521
28,0.035569854,-14.528564,-0.99168676,279.50247
29,0.035569854,-6.4972987,-0.92772126,136.7463
30,0.035569854,-26.07081,-1.277936,942.7882
31,0.025583806,-26.07081,-1.7043284,1348.9243
32,0.08086575,-17.900436,-1.1073093,527.9087
33,0.08086575,-8.761435,-1.0628856,270.82773
34,0.14170365,-31.274553,-1.3134794,1150.7439
35,0.14170365,-6.9013276,-1.1093719,221.70459
36,0.14170365,-15.479505,-1.2516336,649.7561
37,0.14170365,-20.45259,-1.2789934,725.1881
38,0.14170365,-12.945956,-0.8951263,224.49287
39,0.14170365,-15.277126,-1.3290722,578.0227
40,0.14170365,-4.6824164,-0.7987267,79.20897
41,0.167015,-20.571714,-1.2039084,640.42535
42,0.167015,-17.515854,-1.0619483,470.12198
43,0.167015,-33.31259,-1.4632704,1600.3907
44,0.167015,-23.442455,-1.3339761,989.386
45,0.167015,-10.34793,-0.9143081,245.25198
46,0.167015,-25.860298,-1.0911311,1002.0766
47,0.167015,-42.822617,-1.1590915,1887.5748
48,0.167015,-7.8532906,-0.8470704,165.16714
49,0.167015,-24.571804,-1.1857765,883.0877
50,0.167015,-20.293358,-1.1816227,652.67554
51,0.19489622,-12.897565,-0.97207147,346.98413
52,0.19489622,-22.810915,-1.0726892,708.83746
53,0.19489622,-10.382732,-0.70395136,137.55536
54,0.19489622,-14.334883,-0.9197014,320.8132
55,0.19489622,-15.278158,-0.8514909,322.6891
56,0.19489622,-7.9980793,-0.72322536,106.48859
57,0.19489622,-17.128254,-1.14276,531.3263
58,0.19489622,-17.128254,-1.1672093,628.36774
59,0.19489622,-20.911488,-1.052698,521.3224
60,0.19489622,-20.596775,-1.0611972,574.16766
61,0.20003416,-8.51571,-0.8958097,209.07532
62,0.20003416,-14.601438,-1.1370271,560.45465
63,0.20003416,-10.272417,-0.965278,224.86337
64,0.20003416,-8.9992075,-0.840798,199.39145
65,0.20003416,-10.735692,-0.90508074,254.05301
66,0.20003416,-25.378738,-1.0370488,713.7422
67,0.20003416,-17.391531,-1.0068523,643.4498
68,0.20003416,-21.21351,-1.2925754,1200.8536
69,0.20003416,-13.731214,-0.88467735,283.40512
70,0.20003416,-15.050404,-1.0404928,499.25186
71,0.24129689,-9.182742,-0.68382996,178.86192
72,0.24129689,-26.238514,-1.3006977,1386.6821
73,0.24129689,-15.585889,-0.7526958,306.99512
74,0.24129689,-21.489334,-1.0732971,637.5176
75,0.24129689,-10.787825,-0.85803324,275.94095
76,0.24129689,-10.787825,-0.76071936,221.98836
77,0.24129689,-9.034486,-0.7019204,135.45596
78,0.24129689,-10.202357,-0.6907923,155.4905
79,0.24129689,-15.521187,-1.0417501,514.3329
80,0.24129689,-15.521187,-0.9053659,398.08453
81,0.15204225,-17.474405,-1.1444036,586.2918
82,0.15204225,-20.279793,-1.1772302,599.16077
83,0.15204225,-20.122356,-1.207348,617.64636
84,0.15204225,-5.4934435,-0.76072586,87.50355
85,0.15204225,-20.18421,-1.2126414,778.10614
86,0.15204225,-11.573797,-0.76726824,234.89651
87,0.15204225,-17.486202,-1.0302849,409.2076
88,0.15204225,-8.010908,-1.0495534,262.6794
89,0.15204225,-16.080235,-1.0681081,489.7341
90,0.15204225,-18.815388,-1.1975205,685.35913
91,0.14119555,-36.314735,-2.0999155,2640.6646
92,0.14119555,-16.080235,-1.1899818,456.3435
93,0.14119555,-19.784681,-1.2543571,720.6228
94,0.14119555,-19.639982,-1.5193063,879.18146
95,0.14119555,-4.88628,-0.8154746,93.24816
96,0.14119555,-27.435026,-1.4408998,1232.8927
97,0.14119555,-9.490495,-0.8417008,142.62338
98,0.14119555,-8.49121,-0.85533834,133.56473
99,0.14119555,-9.883233,-0.8753014,169.3834
100,0.14119555,-21.82126,-1.2330356,939.7737
101,0.14425685,-7.630785,-0.86169225,148.18411
102,0.16936855,-8.734314,-0.8309549,135.30353
103,0.16936855,-6.56272,-0.7216081,101.89506
104,0.16936855,-12.919306,-0.8192337,229.79794
105,0.16936855,-12.919306,-0.92223734,291.96805
106,0.16936855,-15.308883,-1.3922441,526.348
107,0.16936855,-11.12763,-0.96148944,227.42366
108,0.16936855,-10.307037,-0.8471697,204.62784
109,0.16936855,-7.743437,-0.9072892,195.42477
110,0.16936855,-20.22797,-1.0579867,589.40674
111,0.16538966,-9.948323,-1.1161139,295.54614
112,0.16538966,-29.404583,-1.2478099,954.5758
113,0.16538966,-29.404583,-1.2057186,972.3554
114,0.16538966,-29.404583,-1.2425305,968.8349
115,0.1849797,-14.920979,-1.1856296,327.41837
116,0.1849797,-19.072166,-1.2718388,790.94073
117,0.1849797,-12.544304,-1.100314,352.19223
118,0.1849797,-18.463514,-1.1505239,529.5223
119,0.1849797,-16.199272,-1.3038468,499.73904
120,0.1849797,-16.199272,-1.333216,528.99146
121,0.19080102,-15.295968,-1.1936445,471.06473
122,0.19080102,-15.295968,-1.0489554,399.49036
123,0.19733849,-11.917511,-1.0489991,343.16684
124,0.19733849,-26.887226,-1.561432,1183.106
125,0.19733849,-30.336077,-1.4446325,1222.5105
126,0.19733849,-12.750609,-1.2778949,439.32574
127,0.19733849,-13.799574,-1.192873,550.0444
128,0.19733849,-11.623717,-0.98019356,255.52658
129,0.19733849,-10.083645,-0.99993086,323.15073
130,0.19733849,-7.8317223,-0.82418215,151.95906
131,0.24577007,-13.675736,-0.9092107,324.04236
132,0.24577007,-13.675736,-0.822601,241.56035
133,0.24615328,-20.643898,-0.86281556,479.26608
134,0.24615328,-17.008987,-1.0426147,611.45886
135,0.24615328,-9.289911,-0.9753494,213.18494
136,0.24615328,-13.222544,-0.9958162,272.55267
137,0.24615328,-16.02411,-1.3136386,745.4897
138,0.24615328,-21.910616,-1.0616564,674.4623
139,0.24615328,-3.8502526,-0.6063297,52.91465
140,0.24615328,-13.784768,-0.9927712,324.23212
141,0.27020234,-13.784768,-1.1491995,523.11206
142,0.27020234,-25.314367,-1.1257143,865.7603
143,0.27020234,-8.968311,-0.9728906,299.2038
144,0.27020234,-10.519868,-1.0259856,330.72266
145,0.27020234,-5.8657904,-0.58150965,77.38156
146,0.27020234,-4.9743333,-0.673285,104.388725
147,0.27020234,-12.388096,-1.0272532,449.72623
148,0.27020234,-4.6757708,-0.7531272,111.47368
149,0.27020234,-17.888287,-0.8653755,461.72702
150,0.27020234,-31.10677,-0.93215257,974.24805
151,0.24406067,-14.061869,-0.8483672,273.3264
152,0.22318132,-13.21253,-1.2157764,564.0423
153,0.22318132,-14.586987,-1.0328034,469.951
154,0.22318132,-21.321037,-1.026901,586.42285
155,0.22318132,-48.79839,-1.2823465,2590.516
156,0.22318132,-16.83684,-1.131829,557.5361
157,0.22318132,-20.639154,-1.5924103,1322.6733
158,0.22318132,-21.126528,-1.273478,808.0323
159,0.22318132,-17.919388,-1.1367316,670.2514
160,0.22318132,-9.279754,-0.7863206,148.01439
161,0.30640137,-16.565832,-1.0303146,624.2626
162,0.30640137,-16.565832,-0.7590176,342.66556
