neur0,input0,neur1,input1
0.9999006,0.0,0.53940976,0.0
0.9996245,0.05479822,0.574212,0.0
0.9987475,0.10768725,0.6046544,0.0
0.9962638,0.1568626,0.63131535,0.0
0.9899597,0.20072317,0.6545461,0.0
0.97571176,0.23795837,0.6744124,0.0
0.9478092,0.26761842,0.6906727,0.0
0.90308124,0.2891643,0.70296746,0.0
0.84901637,0.30249384,0.71135926,0.0
0.80320865,0.30794322,0.71673983,0.0
0.77634305,0.30626315,0.72037655,0.0
0.76481134,0.2985717,0.7231966,0.0
0.76109153,0.28628603,0.7256575,0.0
0.76050794,0.2710374,0.72794276,0.0
0.7610457,0.254574,0.7301205,0.0
0.7619816,0.23865774,0.7322177,0.0
0.76310927,0.22496028,0.73424935,0.0
0.7644123,0.21496496,0.7362282,0.0
0.76593715,0.20987982,0.7381685,0.0
0.7677421,0.21056704,0.740086,0.0
0.76987547,0.21749268,0.7419979,0.0
0.7723664,0.23069966,0.74392134,0.0
0.77522063,0.24980561,0.7458723,0.0
0.77841955,0.27402562,0.7478651,0.0
0.7819209,0.30221874,0.7499104,0.0
0.7856625,0.3329547,0.75201553,0.0
0.78956527,0.36459926,0.7541833,0.0
0.7935391,0.39540932,0.7564122,0.0
0.797487,0.42363682,0.75869626,0.0
0.8013117,0.44763207,0.76102555,0.0
0.8049195,0.4659416,0.76338667,0.0
0.808226,0.47739553,0.7657635,0.0
0.8111597,0.48117828,0.7681381,0.0
0.81366545,0.47687912,0.7704914,0.0
0.81570727,0.4645198,0.77280456,0.0
0.8172704,0.4445567,0.77505946,0.0
0.8183622,0.41785842,0.77723974,0.0
0.81901264,0.38565984,0.7793316,0.0
0.81927353,0.34949437,0.78132457,0.0
0.8192168,0.311109,0.7832118,0.0
0.81893116,0.27236807,0.7849906,0.0
0.81851786,0.23514824,0.78666246,0.0
0.8180846,0.20123431,0.78823316,0.0
0.81773967,0.17221895,0.7897123,0.0
0.8175845,0.14941388,0.79111284,0.0
0.8177073,0.13377722,0.7924504,0.0
0.8181772,0.12586005,0.7937423,0.0
0.8190403,0.12577683,0.7950064,0.0
0.8203166,0.13320081,0.7962604,0.0
0.8220003,0.1473838,0.7975205,0.0
0.8240601,0.16720083,0.7988009,0.0
0.82644254,0.1912155,0.8001125,0.0
0.8290761,0.21776292,0.8014629,0.0
0.83187604,0.2450464,0.802856,0.0
0.8347496,0.2712399,0.80429196,0.0
0.83760136,0.2945932,0.8057671,0.0
0.8403385,0.31353188,0.8072746,0.0
0.8428752,0.3267461,0.80880487,0.0
0.84513646,0.33326554,0.8103462,0.0
0.847062,0.33251262,0.8118854,0.0
0.8486077,0.3243341,0.8134088,0.0
0.849749,0.3090076,0.81490237,0.0
0.85048074,0.28722277,0.8163533,0.0
0.85081875,0.26003918,0.8177499,0.0
0.85079914,0.2288222,0.8190826,0.0
0.8504773,0.19516125,0.8203444,0.0
0.84992546,0.16077527,0.8215311,0.0
0.84922934,0.12741052,0.8226419,0.0
0.84848285,0.096737355,0.8236789,0.0
0.8477826,0.070249766,0.82464767,0.0
0.8472214,0.049177505,0.8255563,0.0
0.84688133,0.03441155,0.82641524,0.0
0.8468281,0.026450679,0.8272368,0.0
0.84710664,0.025369987,0.8280337,0.0
0.8477375,0.03081388,0.8288189,0.0
0.84871626,0.042015232,0.82960457,0.0
0.85001427,0.057837248,0.8304012,0.0
0.85158116,0.076838195,0.83121693,0.0
0.8533483,0.0973523,0.83205754,0.0
0.855234,0.11758602,0.83292544,0.0
0.85714793,0.13572066,0.83382016,0.0
0.8589962,0.15001673,0.8347382,0.0
0.8606866,0.15891528,0.83567315,0.0
0.8621326,0.16112715,0.8366163,0.0
0.86325693,0.15570995,0.8375568,0.0
0.8639951,0.14212283,0.83848256,0.0
0.8642983,0.12025953,0.8393805,0.0
0.86413515,0.090456955,0.8402373,0.0
0.8634945,0.053478375,0.84104,0.0
0.8623863,0.010472178,0.84177667,0.0
0.8608427,-0.037091356,0.8424369,0.0
0.85891825,-0.087500565,0.84301233,0.0
0.8566884,-0.13889806,0.84349746,0.0
0.8542463,-0.18938252,0.8438895,0.0
0.85169864,-0.23711532,0.84418905,0.0
0.8491585,-0.28042144,0.84440005,0.0
0.8467383,-0.31788072,0.84452957,0.0
0.8445414,-0.34840545,0.8445873,0.0
0.8426548,-0.3712983,0.8445854,0.0
0.84114325,-0.38628697,0.8445373,0.0
0.8400453,-0.39353552,0.84445727,0.0
0.83937114,-0.3936286,0.84435934,0.0
0.83910394,-0.38753477,0.8442565,0.0
0.8392017,-0.3765438,0.84416014,0.0
0.8396018,-0.36218864,0.8440793,0.0
0.8402259,-0.34615248,0.8440204,0.0
0.84098506,-0.33016664,0.8439868,0.0
0.84178585,-0.31590775,0.84397894,0.0
0.84253544,-0.30489606,0.8439943,0.0
0.8431468,-0.29840508,0.84402794,0.0
0.843543,-0.29738438,0.8440725,0.0
0.8436611,-0.30240256,0.8441192,0.0
0.8434559,-0.3136115,0.844158,0.0
0.84290206,-0.33073592,0.84417844,0.0
0.84199625,-0.3530873,0.84417045,0.0
0.84075844,-0.37960237,0.84412473,0.0
0.83923185,-0.4089043,0.8440338,0.0
0.8374816,-0.43938005,0.84389216,0.0
0.83559215,-0.4692756,0.84369725,0.0
0.8336626,-0.4967962,0.8434495,0.0
0.83180124,-0.5202112,0.8431525,0.0
0.8301178,-0.5379555,0.8428134,0.0
0.8287168,-0.5487207,0.8424419,0.0
0.8276896,-0.5515342,0.84205073,0.0
0.8271084,-0.54581636,0.84165424,0.0
0.8270216,-0.53141785,0.841268,0.0
0.8274509,-0.50863135,0.8409078,0.0
0.8283905,-0.47817785,0.84058887,0.0
0.82980853,-0.44116956,0.84032506,0.0
0.8316501,-0.39904898,0.8401279,0.0
0.8338407,-0.35351083,0.84000623,0.0
0.83629227,-0.3064084,0.83996576,0.0
0.8389074,-0.25965178,0.84000885,0.0
0.84158605,-0.21510151,0.84013456,0.0
0.8442296,-0.1744663,0.8403385,0.0
0.84674597,-0.13921052,0.84061396,0.0
0.8490541,-0.11047217,0.8409514,0.0
0.8510866,-0.089003876,0.84133977,0.0
0.8527929,-0.07513347,0.8417668,0.0
0.85414094,-0.06874921,0.8422197,0.0
0.85511875,-0.06931017,0.842686,0.0
0.8557348,-0.075882964,0.84315383,0.0
0.8560182,-0.08719732,0.843613,0.0
0.85601765,-0.10172523,0.8440551,0.0
0.85579914,-0.117769614,0.84447426,0.0
0.85544336,-0.13356698,0.8448671,0.0
