neur0,input0,neur1,input1
0.4595665,-0.0,0.49232286,0.0
0.41071504,-0.015389223,0.52468514,0.0
0.36395082,-0.030777007,0.5529193,0.0
0.31980985,-0.046161912,0.5774867,0.0
0.27863866,-0.061542504,0.59883237,0.0
0.24061511,-0.07691734,0.61736953,0.0
0.20577967,-0.092284985,0.6334715,0.0
0.17406899,-0.10764401,0.6474688,0.0
0.1453471,-0.12299297,0.6596501,0.0
0.11943203,-0.13833043,0.67026514,0.0
0.09611628,-0.15365496,0.67952865,0.0
0.0751823,-0.16896515,0.6876246,0.0
0.056413103,-0.18425953,0.69470996,0.0
0.03959938,-0.19953671,0.70091885,0.0
0.02454379,-0.21479523,0.70636576,0.0
0.0110633075,-0.2300337,0.7111486,0.0
-0.0010097843,-0.24525069,0.71535105,0.0
-0.01182783,-0.2604448,0.71904486,0.0
-0.021528304,-0.27561453,0.7222917,0.0
-0.030234663,-0.29075858,0.7251446,0.0
-0.038057365,-0.30587548,0.7276494,0.0
-0.045094967,-0.32096383,0.72984546,0.0
-0.051435236,-0.33602226,0.7317671,0.0
-0.05715622,-0.3510493,0.73344404,0.0
-0.06232724,-0.36604366,0.734902,0.0
-0.06700982,-0.38100386,0.73616356,0.0
-0.07125853,-0.39592856,0.7372483,0.0
-0.075121775,-0.41081634,0.7381733,0.0
-0.07864245,-0.42566586,0.73895353,0.0
-0.08185858,-0.44047576,0.73960215,0.0
-0.08480389,-0.4552446,0.74013066,0.0
-0.087508224,-0.46997106,0.74054915,0.0
-0.08999808,-0.4846538,0.7408665,0.0
-0.09229691,-0.49929148,0.7410905,0.0
-0.09442553,-0.5138827,0.741228,0.0
-0.09640236,-0.5284262,0.7412851,0.0
-0.09824374,-0.5429205,0.741267,0.0
-0.09996418,-0.5573643,0.7411786,0.0
-0.1015765,-0.5717564,0.7410238,0.0
-0.10309209,-0.58609545,0.7408064,0.0
-0.10452105,-0.60038006,0.74052954,0.0
-0.10587231,-0.614609,0.7401961,0.0
