fitness,g0,g1,g2,g3,g4,g5
0.40626726,-0.59282005,0.6240387,-0.2662171,-0.6585245,-0.35730708,-0.34929395
0.35860062,0.048728943,0.4464323,-0.29481855,0.07379837,0.95314234,0.2592138
0.3567694,0.30440253,-0.27429065,0.9553639,0.07368606,0.5919326,-0.05497697
0.35846406,-0.5596732,-0.02310873,-0.49660853,0.20932798,0.28320104,0.10995101
0.36199343,0.36738655,0.17692684,0.47403276,0.21232079,0.8696392,0.28143793
0.35627857,0.032307774,-0.08503883,0.32124215,0.68316245,-0.115422845,-0.8687929
0.35560554,-0.94912595,0.17964117,0.1352835,-0.79026455,-0.2914432,0.017511649
0.3586048,-0.44101647,-0.3296206,0.25080854,-0.1658275,-0.3910028,-0.08149886
0.35967165,-0.7123341,-0.016057735,0.48858508,0.49564138,0.5176973,0.35977143
0.35519776,-0.019064456,0.28682184,0.6274098,-0.69847476,-0.10296113,-0.69796824
0.3553045,0.052762188,-0.034209616,0.54596406,-0.061230958,-0.38080558,-0.5674379
0.35968444,-0.60217476,-0.14939463,-0.6437103,-0.100736886,0.7035831,0.48528275
0.35859394,0.064698294,0.025791442,-0.33602858,-0.071043015,0.10529098,0.2611927
0.36006212,0.021235095,0.77479017,0.089221254,-0.6545262,0.9051845,0.23357809
0.35733616,0.101678014,0.34026492,-0.73043245,-0.8060647,0.08036392,0.30726713
0.35562477,0.05527699,-0.7260408,0.4306921,-0.6200555,-0.1754886,-0.4230759
0.35603407,0.6408481,-0.86999756,-0.5327739,0.7475339,0.9898162,0.64849025
0.35790345,0.77791804,0.09545036,-0.31621262,0.6876339,0.22313066,-0.051356606
0.3608674,0.29411125,-0.012428921,-0.9393438,-0.17202246,0.38469243,-0.46802017
0.35358232,0.02978223,-0.34149754,0.37889743,-0.15420479,0.36819685,-0.2147764
0.35513347,0.15101475,0.59516764,-0.061989427,0.681128,-0.53520924,0.5272819
0.4059952,-0.08763945,0.47184974,-0.6228953,0.6623037,0.8569335,0.9794486
0.36069998,0.71568865,0.3001669,-0.10616383,-0.5927494,-0.69979084,-0.13912228
0.3593828,-0.7009427,-0.5305991,-0.32648492,0.3040359,-0.57076055,-0.11463931
0.35911128,0.024116324,0.14059749,-0.98527855,-0.10703959,-0.6504741,0.18201028
0.3600218,0.14907877,0.1407641,-0.57638115,-0.042709924,0.9066388,0.18250635
0.3551558,-0.1887002,0.5483664,-0.52238625,0.41062823,0.35896194,0.48633027
0.3560828,0.5785775,0.065388486,0.7827317,0.08836718,0.13354589,0.021492684
0.36049128,-0.46211368,-0.34589618,-0.6799522,-0.30202898,0.27042687,0.28440633
0.35992554,0.43679953,0.42113543,-0.08527458,-0.30611506,0.8311874,0.3107305
0.3562352,0.51559377,0.29339036,0.24987257,-0.04025745,0.6604582,-0.31121814
0.35716134,0.26383162,0.31245172,-0.40595287,-0.7272176,-0.040937424,0.24801044
0.3574417,-0.21740618,0.11201499,-0.42772666,-0.9856351,0.6107414,0.24219838
0.3544181,-0.7937403,-0.9427598,-0.3879398,0.10735464,0.14708829,0.62377876
0.40498802,0.47225744,-0.27290785,-0.16138695,0.20687886,-0.43090343,-0.3545661
0.3586676,-0.9238885,0.24838038,0.6001706,0.05541877,0.8730703,-0.15791903
0.36132285,-0.80151474,-0.71502775,-0.22838998,0.58868265,0.98067635,0.16280766
0.4089391,0.6235947,-0.3786725,-0.4304954,-0.005298086,0.19038193,0.57846254
0.35300535,0.7875477,-0.10922656,-0.31355503,0.785648,0.9506734,0.5677076
0.42535242,-0.8175483,-0.49222666,-0.3691768,-0.42979586,0.67335045,0.0118291285
0.35724157,-0.2540225,0.023970628,0.5568968,-0.52241766,-0.14265834,-0.8301909
0.35750273,-0.6897993,0.7271136,0.28280997,0.17710921,0.1928488,0.038119838
0.35995388,-0.33956894,0.03958392,0.36574554,0.47920826,0.76788396,0.10199845
0.35949874,-0.7144285,-0.19407818,-0.12984943,0.5799126,-0.34827852,-0.34055904
0.35916126,0.7963431,0.3770914,0.19121619,0.34656584,-0.6033753,-0.7730225
