Generation,Max fitness,Min fitness,Avg fitness,Variance
1,0.5844721,0.55856675,0.5707538,0.0015619263
2,0.5759351,0.38223338,0.43466118,0.34788775
3,0.5715337,0.26639992,0.3199745,0.23337725
4,0.43268132,0.27533874,0.36068645,0.045495454
5,0.42529812,0.3557887,0.3881601,0.016515095
6,0.42423174,0.31314984,0.36252755,0.027190857
7,0.40924108,0.32001486,0.37453023,0.024572855
8,0.3998901,0.2827533,0.32451287,0.066004574
9,0.392913,0.2918748,0.3162323,0.014273643
10,0.37646022,0.31021535,0.3600081,0.021433225
11,0.45180786,0.31248805,0.414328,0.05623026
12,0.4332452,0.23181963,0.3122953,0.19732292
13,0.4167877,0.27424657,0.38223538,0.11198722
14,0.4236354,0.29679134,0.39432114,0.016236551
15,0.44827116,0.37802047,0.40470406,0.008001064
16,0.41816184,0.33805713,0.35306096,0.051394608
17,0.40944496,0.31612146,0.3477882,0.027496835
18,0.38846493,0.2867035,0.30847415,0.040412817
19,0.3561866,0.2961429,0.3197259,0.01860959
20,0.3807441,0.2961429,0.31950292,0.007610871
