fitness,g0,g1,g2,g3,g4,g5
0.16958207,-0.79912806,0.32240182,-0.8723656,0.24707669,-0.007890084,0.24603845
-2.4972994,-0.75342,-0.44207603,-0.643938,0.7844908,-0.0653388,-0.7079019
-0.4368148,-0.0760373,0.34082204,-0.50227493,-0.10889491,0.04553107,-0.1450094
-0.36206433,-0.47135025,-0.13853817,0.3191486,-0.1697937,0.5827134,0.30040064
-0.68814826,-0.30972028,0.37372205,0.6101363,-0.017240167,-0.3148751,0.45860755
-0.31030327,-0.08208124,0.5697181,-0.5776506,0.073545285,0.5113272,-0.9139026
0.30000964,-0.9817176,0.20228124,-0.8054785,0.38918874,0.12580729,-0.089117505
-0.23875913,0.86239004,-0.8799778,-0.5402292,-0.0010843277,0.11352257,-0.5657099
-4.439815,0.46061805,-0.67515236,0.19068134,0.24146022,0.116040654,-0.22818519
-0.9227375,-0.14232612,-0.45232368,0.25651827,-0.06506267,-0.13614412,0.23804334
-0.7731187,-0.24010013,0.47133633,-0.8830437,-0.110001266,-0.06856559,0.6560237
-0.61872923,0.42025024,-0.011068754,-0.96014225,-0.32760248,0.9903807,-0.757348
-0.36484346,-0.36617136,0.3684642,-0.21566033,0.0114864,0.4725896,-0.059991904
-0.2196158,0.124402404,-0.26399642,0.09565061,0.62312454,-0.16450927,0.029151015
-0.31704065,0.8035585,0.4941126,-0.14084136,0.19228555,0.31475633,0.110119
-0.59508294,0.85936314,0.18172313,0.47867894,0.056726705,-0.47554684,0.22319917
-1.3492904,0.88316983,0.023611847,0.069984615,-0.4655819,-0.88068587,-0.6670334
0.19910057,0.4348812,-0.4684991,-0.8937344,0.41551572,0.003535985,0.19847986
-0.3237233,0.3406124,0.54045475,0.26753563,0.47713283,0.24926303,-0.065236464
-0.35831326,-0.11605334,-0.41745403,0.37859356,0.18291727,0.07434397,0.17405173
-0.3504532,-0.4290944,-0.9978205,0.08516295,0.068696246,0.28919652,0.043279875
-0.7799045,0.41950202,0.72906625,-0.44528374,0.39994377,-0.014668997,-0.20495638
0.326339,-0.07086003,-0.37835264,-0.7322074,0.76964176,-0.24812543,0.354893
-1.9433184,0.0026802428,0.29338765,0.6219112,-0.6945604,0.24694303,0.07775073
-1.5448343,0.8905163,0.6866886,0.047724195,-0.31536025,0.06900128,-0.083488345
-0.5754372,-0.05340626,0.17640817,-0.5453489,-0.018833837,-0.050691366,0.32525888
-0.38630223,-0.32472742,-0.73031694,0.7079096,0.41771537,0.015770938,0.26159903
-0.5461808,-0.23907465,-0.82408226,-0.38614014,-0.2670109,0.84746516,0.15021035
