fitness,g0,g1,g2,g3,g4,g5
-1.239628,-0.2746224,0.1415243,-0.2654824,0.32959497,-0.77374744,0.2992913
-1.2947432,0.23378031,0.05631042,0.86077213,0.525972,-0.97571176,-0.68238646
-0.9820238,0.06681956,0.6611019,-0.78052866,0.21309882,-0.17859022,0.16416612
-1.4210242,0.47039536,-0.34392476,-0.10756338,-0.54343694,0.76367855,-0.1384009
-0.4562202,0.09681959,-0.5174763,-0.37854898,0.79297525,-0.29240063,0.23698814
-2.5490792,0.3372433,-0.3374963,-0.050370205,-0.70501655,0.07132024,-0.5204995
-1.151872,-0.3345482,0.964719,0.4224838,-0.039491594,0.8299813,-0.6315622
-2.292104,0.19568805,0.046860803,0.77486265,-0.5802178,-0.822258,-0.26490858
-1.031103,0.056563552,-0.68201166,-0.46147302,0.2815152,0.59311414,-0.47021878
-2.456151,-0.23718151,0.7981205,0.40329129,-0.68220836,-0.24890499,-0.1768
-0.9834461,0.17682782,0.91504407,-0.6356932,0.6523856,0.35045987,0.26671758
-1.1408385,-0.41740057,0.18348709,0.1905981,0.01607498,-0.047485296,0.33278304
-1.7288542,0.45178488,-0.1148082,0.20779172,-0.2833182,0.05793334,-0.89279014
-0.73547274,-0.26356417,-0.17146522,-0.41159207,0.13773093,0.076474994,0.037016217
-2.1333272,0.6295366,0.76261765,-0.17811532,-0.4898235,-0.0914768,-0.59338135
-0.75708723,-0.6183787,-0.2055234,-0.6372296,0.63494754,0.3639232,-0.2088559
-1.1764444,-0.66010576,0.11839213,-0.14042573,0.06711377,0.9693002,-0.29826415
-0.26850638,-0.17282784,0.117809966,-0.90660906,0.51393485,0.06652952,0.016066307
-1.5883011,0.43294954,-0.6143069,0.21449877,-0.5684723,0.6962649,-0.3819151
-2.1422248,0.80125016,-0.576631,-0.6549439,-0.17846902,-0.82922375,0.22225475
-6.1741457,0.3501405,0.08603182,0.4647242,-0.7315997,0.6211518,0.62644523
-2.5734031,0.69679695,0.053947166,-0.018146992,-0.67958564,-0.13162576,-0.9092462
-0.2211726,-0.37161726,-0.11587153,-0.9412914,0.6660416,-0.09929083,0.28490868
-0.8905289,-0.06008124,0.22601761,-0.6209112,0.34010243,0.50264853,-0.5609903
-2.6589005,0.30168062,-0.2666144,0.008834004,-0.827157,0.31301236,-0.27644008
-1.0121274,-0.70070887,-0.20640036,-0.04873123,0.48192155,0.06420615,0.13054273
-1.4506354,-0.1492765,-0.57840526,-0.2902585,0.92511714,0.8479871,0.5628431
-1.7844166,-0.09280234,0.09644146,-0.062033378,-0.06951833,-0.4885556,-0.2894867
-1.4867641,-0.73798496,-0.04403522,-0.8029202,-0.1255259,0.17418602,0.841466
-0.25810406,-0.12012626,-0.05650127,-0.72833836,0.73691934,-0.2598201,0.37902403
-0.8661363,-0.4438069,0.27220252,-0.7185197,0.669257,0.39473274,-0.087119736
-1.0715271,-0.56394744,0.0011040174,-0.1699481,-0.002879262,0.17224424,-0.23545265
-1.7863824,0.68550056,0.24386334,-0.15890679,-0.07651729,-0.8385915,-0.43843862
-0.49232852,0.18228197,-0.032422084,-0.47317314,0.75343555,-0.6147527,0.48914206
-0.4611025,0.32756957,-0.15918317,-0.7202726,0.32775438,0.023158882,0.09717793
-1.0816522,-0.40642133,-0.85938203,-0.47681078,0.35938707,0.39914873,0.39273435
-1.2342386,-0.46709478,-0.22557856,0.48920524,0.5558407,-0.87613046,-0.23828398
-1.6404507,-0.34447536,-0.3599409,0.25835404,0.7843423,0.42911246,-0.07364869
-1.1307567,0.34340012,-0.24317841,0.026829643,0.6050129,0.59594125,0.29735306
-1.5073295,0.25946188,0.40761873,-0.3216548,-0.685421,0.78836775,-0.18985471
-1.2660851,0.45505455,-0.7976009,-0.9140941,0.05261159,-0.2557566,0.9470717
-0.52105623,0.6188195,-0.5701922,-0.87236476,0.24166878,-0.0029805645,0.2261675
-1.094046,0.6059516,0.026831537,0.60306376,-0.033624955,0.32409337,0.84004366
-2.6344268,0.37709588,-0.091954544,0.9581383,-0.30855998,0.010477351,0.829542
-1.1520383,0.4562707,0.1428752,0.2887042,0.08749486,0.7687215,0.010931389
-1.0053715,-0.8990431,-0.11991644,-0.7051286,0.11344385,-0.0022489415,-0.90337706
-2.5645216,0.62675655,0.07347272,0.48922646,-0.7759707,-0.5753398,0.1967685
-1.1212999,0.19787155,-0.6746215,0.6989445,0.6599287,0.13360274,0.19268116
-1.0800499,0.7962033,-0.48058498,-0.4235395,0.06040132,0.40272126,-0.19152716
-1.0462747,0.2827072,-0.9179055,0.40930793,0.84932125,-0.945806,-0.27998877
-0.19411156,0.22770615,-0.38027403,-0.95046383,0.6142646,0.1921546,-0.19011194
-1.7323018,0.42652452,0.122564,-0.55331904,-0.77497727,0.6704843,-0.6370482
-2.5814562,-0.1273089,0.85564226,0.37845019,-0.663376,0.18085742,-0.15197921
-1.0142989,-0.24322577,-0.49033418,0.079810105,0.4392536,-0.16704735,0.0841099
-1.6446648,0.2580009,-0.6975025,0.10724509,0.006945464,-0.8013004,0.07167902
-0.7598153,0.19360813,0.0039990153,-0.5030615,0.1512819,0.02975485,0.20852627
-1.123925,-0.29934958,0.3567903,0.45069867,0.35978854,-0.03112793,0.40482128
-1.0104233,-0.578028,-0.12512507,0.070664525,0.041879416,0.23086296,-0.98222345
-2.0232236,0.48026347,0.38556555,-0.12698036,-0.14815904,-0.1670315,-0.22014278
-1.0293498,0.29296154,0.4705245,-0.21745747,0.47482315,0.121538304,0.27511492
-1.5701312,-0.63874775,-0.07411466,0.47346237,-0.04520325,-0.530566,-0.21767984
-2.4188516,0.4485438,-0.51002204,-0.63596535,-0.65134287,0.08233865,-0.31394497
-0.74862367,0.9714971,-0.5805953,-0.8446933,0.6124923,0.4936937,-0.6039894
-1.1412776,0.04823473,0.57526934,0.8288722,0.5908451,0.20862693,0.38613534
-2.006222,-0.32560173,0.17803442,0.2505443,-0.24706328,-0.28457448,-0.38351044
-9.600249,-0.62101054,-0.8053597,-0.2694668,0.8199283,0.021743998,-0.6923534
-4.4201565,-0.18892853,0.091531396,0.18097533,0.28683412,-0.13577485,-0.35012782
-0.30831453,-0.976777,0.10414908,-0.8596094,0.98464954,0.60610586,-0.4832644
