neur0,input0,neur1,input1
0.45862344,0.0,0.48316061,0.0
0.39720857,0.039989334,0.50768745,0.0
0.33958575,0.07991469,0.52889115,0.0
0.2866838,0.119712204,0.5471834,0.0
0.23896746,0.15931821,0.56296027,0.0
0.19652992,0.19866931,0.57658637,0.0
0.15920193,0.23770262,0.5883867,0.0
0.12665057,0.27635565,0.59864503,0.0
0.09845675,0.31456655,0.6076054,0.0
0.07416978,0.3522742,0.61547583,0.0
0.053342503,0.38941833,0.6224326,0.0
0.03555189,0.42593947,0.6286243,0.0
0.020409621,0.46177918,0.63417643,0.0
0.0075662164,0.4968801,0.6391945,0.0
-0.0032887126,0.5311862,0.64376724,0.0
-0.012428402,0.5646424,0.6479696,0.0
-0.020091966,0.59719545,0.65186447,0.0
-0.026487852,0.628793,0.65550494,0.0
-0.03179732,0.65938467,0.65893555,0.0
-0.03617775,0.68892145,0.662194,0.0
-0.0397657,0.7173561,0.6653117,0.0
-0.04267959,0.7446431,0.66831505,0.0
-0.04502211,0.7707389,0.67122614,0.0
-0.046882354,0.7956016,0.6740633,0.0
-0.0483376,0.8191916,0.67684174,0.0
-0.049454916,0.84147096,0.67957395,0.0
-0.050292537,0.8624042,0.68227,0.0
-0.050901033,0.88195777,0.68493813,0.0
-0.051324334,0.90010047,0.6875847,0.0
-0.05160061,0.9168031,0.6902148,0.0
-0.051763028,0.9320391,0.6928321,0.0
-0.051840417,0.94578403,0.69543934,0.0
-0.05185782,0.95801586,0.6980382,0.0
-0.051836997,0.9687151,0.7006298,0.0
-0.051796824,0.9778646,0.70321435,0.0
-0.05175369,0.98544973,0.70579165,0.0
-0.051721774,0.99145836,0.7083611,0.0
-0.051713362,0.99588084,0.71092147,0.0
-0.05173905,0.99871016,0.7134715,0.0
-0.05180796,0.9999417,0.71600944,0.0
-0.051927928,0.9995736,0.7185335,0.0
-0.052105628,0.9976064,0.7210417,0.0
-0.05234674,0.99404323,0.7235317,0.0
-0.052656043,0.98888975,0.72600144,0.0
-0.05303752,0.9821543,0.7284485,0.0
-0.053494453,0.9738476,0.73087066,0.0
