neur0,input0,neur1,input1
0.9999006,-0.0,0.53940976,0.0
0.99961895,-0.02588643,0.5742116,0.0
0.99869186,-0.05176905,0.60465026,0.0
0.99593055,-0.077644065,0.6312903,0.0
0.9884679,-0.10350767,0.6544329,0.0
0.97038686,-0.12935604,0.67400134,0.0
0.9326923,-0.15518543,0.6894567,0.0
0.87060666,-0.180992,0.7000969,0.0
0.7991301,-0.20677203,0.70605433,0.0
0.74695796,-0.23252171,0.70883256,0.0
0.72222334,-0.2582373,0.7101326,0.0
0.71307635,-0.28391504,0.7108749,0.0
0.7095924,-0.30955124,0.71139175,0.0
0.7077736,-0.33514214,0.711784,0.0
0.70636886,-0.36068407,0.7120807,0.0
0.7050185,-0.38617334,0.71229005,0.0
0.7036225,-0.41160625,0.7124146,0.0
0.7021535,-0.43697926,0.7124553,0.0
0.7006045,-0.46228868,0.7124123,0.0
0.6989738,-0.4875309,0.712286,0.0
0.6972612,-0.51270235,0.7120765,0.0
0.6954669,-0.5377995,0.7117838,0.0
0.6935912,-0.5628189,0.711408,0.0
0.6916341,-0.587757,0.71094906,0.0
0.68959606,-0.61261034,0.71040684,0.0
0.68747693,-0.6373755,0.7097813,0.0
0.6852769,-0.6620489,0.7090722,0.0
0.68299603,-0.68662745,0.7082793,0.0
0.68063426,-0.71110773,0.7074024,0.0
0.6781915,-0.7354863,0.7064411,0.0
0.6756676,-0.7597601,0.70539504,0.0
0.6730622,-0.7839258,0.70426387,0.0
0.67037535,-0.8079802,0.70304704,0.0
0.6676067,-0.83192015,0.701744,0.0
0.66475576,-0.8557426,0.70035434,0.0
0.66182226,-0.87944436,0.6988772,0.0
0.6588056,-0.90302247,0.6973121,0.0
0.65570545,-0.926474,0.69565827,0.0
0.65252113,-0.94979584,0.69391495,0.0
0.6492522,-0.9729854,0.6920813,0.0
0.6458977,-0.9960395,0.69015634,0.0
0.6424571,-1.0189555,0.6881393,0.0
0.63892967,-1.0417304,0.68602926,0.0
0.6353145,-1.0643618,0.683825,0.0
0.6316107,-1.0868468,0.68152565,0.0
0.62781733,-1.1091831,0.6791299,0.0
0.62393326,-1.1313677,0.67663676,0.0
0.61995775,-1.1533983,0.67404485,0.0
0.6158895,-1.1752723,0.671353,0.0
0.61172724,-1.1969874,0.6685598,0.0
0.60747,-1.2185411,0.6656639,0.0
0.6031163,-1.2399313,0.6626639,0.0
0.5986648,-1.2611556,0.65955824,0.0
0.5941142,-1.2822117,0.6563454,0.0
0.5894629,-1.3030972,0.6530239,0.0
0.5847096,-1.3238106,0.64959204,0.0
0.5798525,-1.3443494,0.646048,0.0
0.57489026,-1.3647115,0.6423902,0.0
