fitness,g0,g1,g2,g3,g4,g5
-0.3589085,-0.19844894,-0.42834395,-0.7187389,0.23461053,-0.068412885,0.4266092
-0.8082507,-0.20341414,-0.27402246,-0.66563547,0.8706273,0.04689184,0.41175076
-0.9944161,0.08947301,0.91517633,0.16183539,0.35415646,0.5517697,0.5752226
-1.5800023,0.95654213,0.22548541,0.356688,-0.15110828,-0.44816765,-0.070043474
-10.808878,-0.033086643,-0.072437555,-0.0883615,0.6364961,0.3546955,-0.24734981
-0.9656966,0.57450336,0.5509946,0.9336642,0.43084466,-0.52630687,-0.34550583
-0.9514198,0.035196617,0.10149301,0.39292172,0.037419915,0.20536244,-0.14908731
-0.96849364,-0.05881252,-0.17641217,0.67276555,-0.03245926,0.33544308,0.20800817
-1.7186552,0.62130976,-0.63227236,0.8874331,-0.158271,-0.8361764,-0.8161845
-1.8411996,-0.15724584,0.25001672,-0.055621404,0.48766935,-0.59019417,-0.22157118
-1.0521975,0.07046779,-0.8576131,0.036887523,0.12433577,0.7270402,0.08505934
-0.8987132,0.55923694,-0.08283064,0.41435492,-0.05135703,0.20619766,0.5916579
-0.88165313,0.16124865,-0.13798396,-0.7924845,0.84146315,0.563592,0.027437134
-0.9822232,0.26009792,0.19154155,0.49993816,0.8557739,-0.35819814,0.23801239
-1.6994754,-0.14877854,0.3556921,-0.84415746,-0.7621293,0.39941108,0.20126705
-0.987787,0.10474751,-0.9250996,0.85360813,0.08520831,0.28958282,0.17134055
-0.09387196,0.37893498,0.18265575,-0.9153407,0.8483703,0.15469655,-0.07425218
-1.1633424,0.06616681,0.2979126,-0.6315773,0.17688398,-0.90473396,-0.13592534
-2.817458,-0.21046774,-0.8304732,0.4796717,-0.8812336,0.1448664,-0.515023
-0.9745802,-0.46979994,-0.19454333,0.15757227,-0.003682139,0.3306328,0.24479191
-0.79394674,0.25741178,0.65577424,-0.31572923,0.36519063,0.43809876,-0.35257092
-0.14474545,0.6053405,-0.5376053,-0.7074947,0.6487052,0.05209042,0.035231665
-3.360236,-0.030798933,-0.3356087,0.8185016,-0.6618905,0.68441164,0.010189966
-1.1155342,0.5709158,0.45827124,-0.83510196,0.47899786,-0.8967746,-0.2013769
-3.4686248,0.8352623,-0.46482876,-0.83277196,0.53600013,0.44095948,-0.82219994
