neur0,input0,neur1,input1
0.45920476,0.0,0.4921452,0.0
0.41564792,-0.053794876,0.5199101,0.0
0.3746274,-0.10692623,0.5439564,0.0
0.3364467,-0.15873894,0.5647428,0.0
0.30125567,-0.2085945,0.582691,0.0
0.2690809,-0.25587928,0.5981795,0.0
0.2398579,-0.30001283,0.6115427,0.0
0.21345969,-0.34045565,0.6230722,0.0
0.18972094,-0.37671697,0.63302076,0.0
0.16845629,-0.4083631,0.6416064,0.0
0.14947382,-0.43502313,0.64901686,0.0
0.13258404,-0.45639712,0.6554137,0.0
0.11760581,-0.4722615,0.66093636,0.0
0.104369536,-0.4824744,0.66570526,0.0
0.09271862,-0.48698056,0.669825,0.0
0.08250983,-0.4858159,0.6733865,0.0
0.073612705,-0.479108,0.6764695,0.0
0.06590859,-0.46707916,0.67914385,0.0
0.059289385,-0.45004606,0.6814711,0.0
0.05365618,-0.4284169,0.6835057,0.0
0.048917864,-0.40269035,0.685296,0.0
0.044989854,-0.37344927,0.6868846,0.0
0.041792903,-0.34135377,0.6883095,0.0
0.039252058,-0.30713433,0.6896041,0.0
0.03729576,-0.27158087,0.69079775,0.0
0.035855144,-0.23553073,0.69191605,0.0
0.03486346,-0.19985697,0.69298106,0.0
0.034255676,-0.16545188,0.6940114,0.0
0.03396824,-0.13321316,0.69502246,0.0
0.033938985,-0.10402602,0.6960265,0.0
0.034107156,-0.0787459,0.6970328,0.0
0.03441359,-0.05818206,0.6980477,0.0
0.034800947,-0.04307896,0.69907486,0.0
0.03521411,-0.03409958,0.7001153,0.0
0.035600595,-0.03180921,0.70116764,0.0
0.03591104,-0.036660343,0.7022281,0.0
0.036099743,-0.048978984,0.70329106,0.0
0.03612521,-0.06895411,0.70434886,0.0
0.035950687,-0.09662762,0.70539254,0.0
0.03554472,-0.1318874,0.7064116,0.0
0.034881607,-0.17446573,0.70739466,0.0
0.03394187,-0.2239377,0.7083295,0.0
0.032712597,-0.27972394,0.70920366,0.0
0.031187735,-0.34109908,0.7100043,0.0
0.029368253,-0.40719882,0.71071905,0.0
0.0272622,-0.4770352,0.71133566,0.0
0.02488465,-0.54951245,0.71184283,0.0
0.022257494,-0.62344676,0.7122302,0.0
0.019409109,-0.6975877,0.71248865,0.0
0.016373873,-0.77064437,0.7126104,0.0
0.0131915575,-0.84130937,0.7125896,0.0
0.009906586,-0.9082883,0.7124219,0.0
0.006567164,-0.97032666,0.7121052,0.0
0.003224312,-1.0262396,0.71163934,0.0
-6.9187954E-5,-1.0749379,0.71102643,0.0
-0.003259931,-1.1154575,0.7102707,0.0
-0.0062950472,-1.1469815,0.7093787,0.0
-0.009123394,-1.1688635,0.7083591,0.0
-0.011696738,-1.1806481,0.7072229,0.0
-0.0139708845,-1.1820827,0.70598274,0.0
-0.015906785,-1.173134,0.7046535,0.0
-0.01747152,-1.1539918,0.7032514,0.0
-0.018639212,-1.1250721,0.7017942,0.0
-0.019391764,-1.0870137,0.7003006,0.0
-0.019719481,-1.0406706,0.69879,0.0
-0.019621518,-0.98709875,0.69728214,0.0
-0.01910613,-0.92753816,0.69579667,0.0
-0.018190756,-0.8633899,0.69435257,0.0
-0.016901882,-0.79618937,0.69296795,0.0
-0.0152747035,-0.7275752,0.6916593,0.0
-0.01335258,-0.6592551,0.69044113,0.0
-0.011186299,-0.59297025,0.68932587,0.0
-0.008833126,-0.53045493,0.68832296,0.0
-0.006355715,-0.4734,0.687439,0.0
-0.0038208303,-0.42341238,0.6866772,0.0
-0.0012979668,-0.38197738,0.68603736,0.0
0.0011421558,-0.35042062,0.68551576,0.0
0.0034291379,-0.32987678,0.68510514,0.0
0.0054944856,-0.3212585,0.6847949,0.0
0.007273191,-0.32523006,0.6845711,0.0
0.008705262,-0.34218737,0.68441695,0.0
0.009737174,-0.37224296,0.684313,0.0
0.01032321,-0.41521627,0.6842376,0.0
0.01042665,-0.47063276,0.68416744,0.0
0.010020797,-0.5377258,0.68407786,0.0
0.009089767,-0.61545277,0.68394345,0.0
0.007629112,-0.7025062,0.6837388,0.0
0.0056461548,-0.7973429,0.68343866,0.0
0.0031600848,-0.8982124,0.6830186,0.0
2.0178524E-4,-1.0031924,0.68245584,0.0
-0.0031866175,-1.11023,0.6817292,0.0
-0.0069524734,-1.217185,0.6808197,0.0
-0.011033601,-1.321878,0.67971134,0.0
-0.015359509,-1.4221377,0.6783909,0.0
-0.019852867,-1.5158529,0.6768487,0.0
