fitness,g0,g1,g2,g3,g4,g5
0.3373709,-0.7996464,-0.53956574,0.34748673,0.082404,0.6257103,0.46182117
0.337452,-0.3736147,-0.1636673,0.7156767,0.14476922,0.8776079,-0.16643625
0.33047605,-0.19324811,-0.04935919,-0.22271283,-0.56373185,-0.34772447,-0.6543207
0.33199504,-0.35657904,0.6296309,-0.58063495,-0.40362763,-0.36994648,-0.30498776
0.3481772,-0.9273616,-0.22514883,0.086500145,0.025351167,0.94058424,0.13293228
0.43045238,-0.9343449,0.0129073905,0.33764306,0.16089492,0.14872128,0.90077996
0.3266772,0.38580903,0.42884684,-0.110325575,0.17698905,-0.73291427,0.56840295
0.3305168,-0.09833648,-0.34982195,0.6925869,0.28782937,0.79058033,-0.45419493
0.29607317,0.7752774,-0.77528876,0.612985,-0.0346047,-0.046934143,0.08688213
0.3228945,0.32221097,-0.17165801,-0.12899224,-0.82268196,-0.72873324,0.5051013
0.33985755,-0.67592674,-0.15141855,-0.94938487,0.4504307,-0.3638757,-0.10889285
0.33939257,0.68630683,0.106378354,-0.49486935,0.18732953,-0.011300564,-0.21716411
0.34756848,0.80035496,-0.30558634,-0.90855944,0.11926676,0.60306275,0.024043877
0.33050922,-0.013647795,0.49188933,0.67553043,0.49655685,-0.0058617024,0.8183339
0.32547182,-0.055566117,0.80036265,-0.44872567,-0.1755109,0.8136822,-0.1787229
0.33077437,0.4203654,0.3945695,0.18270168,-0.18361893,0.12345433,0.13194294
0.30876756,0.8534539,-0.3014232,0.63987255,-0.102179065,-0.048994943,0.06409278
0.33480826,-0.891467,0.13145064,-0.34410104,0.21736823,-0.20192069,-0.0536778
0.47297195,0.8734687,-0.05260384,-0.7653072,0.020335214,0.58149165,0.15342627
0.3297909,-0.46722263,-0.020419383,0.44562203,0.80146605,-0.11013082,-0.044407047
0.33510515,-0.20706034,0.54790574,-0.92111987,-0.25137922,0.17006683,0.5231278
0.3468379,-0.35002288,-0.7402034,0.18177247,-0.018909173,0.5979624,-0.02770605
0.3267438,0.34709948,-0.11430475,-0.22301714,0.5323186,-0.098067276,-0.08318138
0.32830617,-0.10698249,0.5670704,0.36094606,-0.6105208,-0.29690444,-0.39549962
0.32877764,0.013732051,-0.064649105,-0.34100315,0.38622788,-0.42383245,-0.35308304
0.4137555,0.7771292,-0.21019349,-0.9997587,0.031243693,-0.20216069,0.083388984
0.2723938,-0.07894523,0.7829763,-0.5211949,0.41997638,0.44544163,-0.71608526
0.3222494,-0.57157314,0.06841376,0.08201031,0.36597478,0.0382391,0.06287101
0.32571328,0.93750846,-0.33201954,-0.21151054,0.49184012,-0.94853634,-0.56254685
0.43957216,0.9684424,-0.017597022,-0.769639,-0.41404462,-0.7016565,-0.44384113
0.34307745,0.9849262,0.033549152,-0.015516174,-0.6281996,-0.3549433,-0.5322796
0.34110934,-0.9358795,-0.6897005,0.61530834,0.09971564,0.09361193,-0.884132
0.32889578,0.315604,0.16718638,0.2599299,-0.37203264,-0.6261773,0.49167442
0.27500868,-0.88500327,0.24609298,-0.2035064,0.1148678,-0.5160892,-0.60340434
0.35083425,0.35475266,-0.8497783,0.906731,0.24891774,0.8628375,0.10280323
0.29285434,-0.2591788,0.012769462,-0.61750877,0.089572296,0.09719095,0.46703658
0.2868066,-0.16830564,0.13787775,0.299654,0.5182164,0.1898593,-0.53480005
0.33434573,0.51736933,0.3409102,-0.37608996,-0.41453803,-0.41873237,-0.3452641
0.3314394,0.92949414,0.7868877,-0.27641493,-0.67809653,0.28090867,0.7973842
0.29791397,-0.64839524,-0.20959648,0.21327168,-0.7261134,-0.93377775,-0.22143665
0.3974968,0.35519943,0.78491455,-0.75887,0.015302482,0.7961301,-0.5487735
0.3281728,0.05342183,-0.12597193,0.14933158,0.045700025,-0.5347485,0.7901234
0.33235458,-0.8537306,-0.23415546,-0.98080266,-0.002798813,0.0877006,-0.25480413
0.3338129,0.06590885,-0.42455542,0.41888365,0.09735739,-0.2590548,0.46477124
0.4336294,-0.9550633,-0.33362177,-0.3783061,-0.10716405,-0.97812325,0.013186236
0.33397573,-0.5497125,0.8144198,0.87823874,0.29855058,0.47213537,0.5185787
0.3280165,0.4811037,0.66457176,-0.29656586,-0.5800533,0.5515315,-0.39578176
0.33286148,-0.46937183,-0.3318019,-0.45591652,-0.2829253,0.314203,-0.88110626
0.34238654,-0.9390348,-0.1903063,0.9523204,0.21719682,0.085570276,0.62922025
0.33376905,0.31400672,0.13640761,0.6382477,-0.84067446,-0.34425628,-0.39759514
0.400112,0.7386937,-0.030337619,0.59097624,-0.043851648,0.16884282,-0.44446334
0.34045213,0.64078164,0.16789494,-0.26323807,-0.20051868,0.7082631,0.26945773
0.27840096,-0.023990184,-0.094597265,0.47213575,-0.7752134,0.3742663,-0.030430214
0.3355779,0.18606338,0.5656613,-0.6656865,-0.38454774,-0.28797567,-0.090605356
0.3360418,0.5855566,0.7498457,0.8696974,0.21486107,-0.08615458,0.2841738
0.32813656,-0.08821205,0.71543074,-0.29975414,-0.84632814,0.16528206,-0.503949
0.33306012,0.47325242,0.061628554,-0.5370008,-0.7494757,-0.41691864,0.021575741
0.32486326,0.06399357,0.22007453,0.35090277,-0.36948186,0.41000873,-0.3149758
0.40679345,-0.84593177,0.011828466,0.37145165,-0.67049134,-0.034524243,-0.17515443
0.3387955,-0.36475313,-0.1111522,0.40472186,0.365011,0.80794674,0.39788318
0.33237812,0.15675937,0.26784512,-0.5514432,-0.46713212,-0.56981224,-0.7615301
0.3351463,0.44898483,0.17886584,-0.8621353,-0.6097118,-0.5228821,-0.7482487
0.34070808,0.33412954,0.7179088,0.9297517,0.18168592,-0.70892483,-0.30528617
0.34059304,-0.2601277,-0.38866654,-0.71560234,-0.04635143,0.56636965,0.7774401
0.34013224,-0.7171839,-0.94195884,0.9909605,0.2818408,0.60081434,0.039181206
0.3342394,0.6420847,0.59971094,0.40776718,0.70477384,0.3742172,0.037925806
0.3298587,0.097254395,0.058109276,0.19809198,-0.242154,-0.63609725,-0.47791505
0.33739066,-0.1128006,0.38790736,-0.44250405,0.07765407,-0.5958125,-0.09433022
0.34490895,-0.9597776,-0.05905263,-0.2051114,0.23851538,-0.50809556,-0.14643376
0.33345884,0.97200716,0.4497158,0.048712786,-0.12224277,-0.4591585,-0.38165432
0.32862177,-0.1649627,0.2988129,-0.20705442,-0.21462092,-0.0544761,0.405954
0.3420458,0.69329077,0.13520455,-0.3934039,-0.38763842,0.15203156,0.45027986
0.33993006,0.38067538,0.31838244,-0.44275004,0.4517715,0.77324027,0.083802864
0.32961866,-0.43419027,-0.010149481,0.8602144,0.929249,0.3130563,0.0599709
0.3280695,-0.26285648,0.35221916,-0.037961997,-0.6183733,-0.50405,-0.95008534
0.31236985,0.22940323,0.53665197,-0.02420175,-0.30225876,-0.64328814,0.04468751
0.3323179,-0.73608893,-0.398896,0.033301618,0.6240248,-0.14462975,-0.35633904
0.33141693,-0.33949107,-0.45241058,0.461256,0.525583,0.066196404,0.28435573
0.29243723,-0.29630113,0.4016899,0.10275893,0.70301634,0.97618616,-0.07045114
0.330746,0.40342823,0.39933792,0.04079938,0.8375682,0.07470856,0.1793434
0.32581747,-0.109859735,-0.7236605,0.30132732,-0.43786547,-0.67616594,0.84878296
0.41224915,0.5277753,0.5435739,-0.8399654,0.019035222,0.09456684,0.8243943
0.39489788,0.23854887,-0.1865182,-0.73565465,0.04391212,-0.47561404,0.025718331
0.32819918,0.060287237,0.20074676,-0.19954754,0.62521994,0.19210355,0.01708367
0.3241746,0.536804,-0.9957136,-0.5103533,0.96614957,0.46633935,-0.36627617
0.33624887,0.5297111,0.078109264,-0.10346831,0.06662691,-0.065224245,-0.1592427
0.32933444,-0.63411736,0.5954652,-0.43474403,-0.61195123,-0.17898738,-0.058700494
0.3301551,-0.2347116,-0.03180647,-0.3485665,0.64465135,-0.022325832,0.030421238
0.3339204,-0.5964837,-0.5702839,-0.49951673,-0.153337,-0.43239182,0.16579062
0.3289595,0.44066674,0.6108567,-0.11093807,-0.8715204,0.062529325,-0.100528955
0.33281076,0.003230967,0.27725855,0.4007892,0.37020493,-0.9907859,-0.5813096
0.3511812,0.16238908,0.25050592,0.51894444,0.05529808,-0.9612922,-0.037963122
0.32467943,0.5211877,-0.44613135,0.12307733,-0.3731221,-0.1449589,0.28792867
0.3307305,-0.11565781,0.68027294,-0.16452873,-0.5865016,0.32307762,0.26599157
0.33941138,-0.7458342,-0.14818859,0.059147593,-0.082393214,-0.21451974,-0.52432144
0.3362175,0.9073932,0.371085,-0.43192577,-0.074661136,-0.7876243,0.45582137
0.32562006,0.0063372254,0.054541048,-0.029716397,0.49947706,0.43621784,-0.2942473
0.3354062,0.40406036,0.14745745,-0.40254313,-0.21226436,0.6074812,-0.12541896
0.38326207,-0.22676097,-0.5020658,0.2147628,0.30273783,0.95688176,-0.007758498
0.34257513,-0.29696164,-0.76737523,-0.3490423,-0.028446548,-0.83108205,-0.080235586
