neur0,input0,neur1,input1
0.45875928,0.0,0.5018345,0.0
0.4193103,0.039989334,0.5272416,0.0
0.38501626,0.07991469,0.5482585,0.0
0.35566837,0.119712204,0.56571966,0.0
0.33088356,0.15931821,0.58031327,0.0
0.3101928,0.19866931,0.5926006,0.0
0.29310194,0.23770262,0.60303676,0.0
0.27913022,0.27635565,0.6119894,0.0
0.26783183,0.31456655,0.6197554,0.0
0.25880602,0.3522742,0.6265742,0.0
0.25170028,0.38941833,0.6326393,0.0
0.24620892,0.42593947,0.6381067,0.0
0.24206972,0.46177918,0.6431029,0.0
0.23905948,0.4968801,0.6477296,0.0
0.23698917,0.5311862,0.65206933,0.0
0.23569931,0.5646424,0.6561884,0.0
0.23505574,0.59719545,0.6601402,0.0
0.23494579,0.628793,0.6639676,0.0
0.23527484,0.65938467,0.6677047,0.0
0.2359636,0.68892145,0.67137843,0.0
0.23694542,0.7173561,0.6750101,0.0
0.23816442,0.7446431,0.67861605,0.0
0.23957354,0.7707389,0.6822087,0.0
0.24113311,0.7956016,0.68579745,0.0
0.24280965,0.8191916,0.68938875,0.0
0.24457484,0.84147096,0.6929871,0.0
0.2464046,0.8624042,0.696595,0.0
0.24827835,0.88195777,0.7002137,0.0
0.25017858,0.90010047,0.7038431,0.0
0.25209022,0.9168031,0.70748234,0.0
0.25400016,0.9320391,0.7111295,0.0
0.25589716,0.94578403,0.71478224,0.0
0.25777137,0.95801586,0.7184377,0.0
0.25961417,0.9687151,0.72209257,0.0
0.26141798,0.9778646,0.72574335,0.0
0.26317614,0.98544973,0.7293863,0.0
0.2648827,0.99145836,0.7330176,0.0
0.26653242,0.99588084,0.7366333,0.0
0.26812056,0.99871016,0.7402293,0.0
0.26964292,0.9999417,0.7438018,0.0
0.27109578,0.9995736,0.7473467,0.0
0.2724757,0.9976064,0.7508602,0.0
0.27377975,0.99404323,0.75433856,0.0
0.2750052,0.98888975,0.75777805,0.0
0.27614966,0.9821543,0.7611753,0.0
0.27721104,0.9738476,0.7645267,0.0
0.27818748,0.963983,0.7678292,0.0
0.27907738,0.9525762,0.77107966,0.0
0.2798794,0.93964547,0.7742751,0.0
0.28059235,0.92521155,0.7774129,0.0
0.28121534,0.9092974,0.78049046,0.0
0.28174767,0.8919287,0.7835054,0.0
0.2821888,0.873133,0.78645545,0.0
0.28253847,0.85294056,0.78933865,0.0
0.2827965,0.8313835,0.7921531,0.0
0.282963,0.80849636,0.7948971,0.0
0.2830382,0.78431594,0.7975691,0.0
0.28302258,0.75888073,0.8001677,0.0
0.2829167,0.7322315,0.8026917,0.0
0.2827214,0.70441085,0.80514,0.0
0.2824376,0.67546326,0.8075117,0.0
0.28206643,0.645435,0.8098059,0.0
0.2816092,0.6143742,0.8120221,0.0
0.28106734,0.58233064,0.8141596,0.0
0.28044242,0.5493555,0.81621796,0.0
0.27973625,0.51550144,0.8181969,0.0
0.27895063,0.48082274,0.82009625,0.0
0.27808762,0.4453748,0.82191586,0.0
0.27714938,0.40921414,0.8236556,0.0
0.27613822,0.37239906,0.8253156,0.0
0.2750565,0.3349882,0.82689595,0.0
0.27390683,0.29704145,0.82839686,0.0
0.27269176,0.25861946,0.8298186,0.0
0.27141407,0.21978377,0.83116144,0.0
