Generation,Max fitness,Min fitness,Avg fitness,Variance
1,-1.713676,-20.01628,-3.5230222,721.2119
2,-1.3329673,-25.434849,-3.0163593,684.2631
3,-1.3329673,-12.693238,-2.8177733,314.45792
4,-1.3329673,-11.591932,-2.740652,258.22394
5,-1.3329673,-8.695336,-2.6364532,135.47342
6,-1.3329673,-10.592506,-2.6261086,176.67902
7,-1.3329673,-8.563931,-2.564544,140.80574
8,-1.3329673,-17.814325,-2.6319926,319.2144
9,-1.3329673,-15.827114,-2.595689,291.33807
10,-1.3329673,-15.901499,-2.6239638,295.34268
11,-1.1564751,-22.402437,-2.789309,763.9959
12,-1.098035,-15.901499,-2.987638,680.5401
13,-1.098035,-11.013519,-2.4144871,173.07558
14,-1.098035,-8.716755,-2.3903875,148.6625
15,-1.098035,-15.733661,-2.4800596,322.49817
16,-1.098035,-7.7172413,-2.3308256,131.797
17,-1.098035,-24.132788,-2.9446738,1116.504
18,-1.098035,-11.909158,-2.314054,174.7496
19,-1.098035,-22.350098,-2.7828085,888.35645
20,-1.098035,-11.568995,-2.5420103,312.8825
21,-0.8798965,-9.591206,-2.2920384,204.66344
22,-0.8798965,-15.904873,-2.431768,621.4547
23,-0.8798965,-14.603686,-2.1756563,295.9457
24,-0.8798965,-10.085159,-2.214214,229.52565
25,-0.8798965,-7.8213506,-2.1514654,122.48978
26,-0.8798965,-10.09266,-2.1388104,197.898
27,-0.8798965,-9.630525,-2.2082064,211.298
28,-0.8798965,-7.7385235,-2.1803443,167.71637
29,-0.8798965,-15.904309,-2.2141016,334.9169
30,-0.8798965,-15.512765,-2.453139,432.05133
31,-0.77867836,-9.342417,-2.0566244,193.51245
32,-0.77867836,-28.198381,-2.4695616,1355.3662
33,-0.77867836,-10.478822,-1.985794,192.73428
34,-0.77867836,-12.518401,-2.2682393,390.31107
35,-0.77867836,-14.774406,-2.2047694,397.28934
36,-0.77867836,-13.290001,-2.485486,408.66077
37,-0.77867836,-22.398853,-2.5668585,901.73676
38,-0.77867836,-9.686053,-2.1414979,251.67287
39,-0.77867836,-10.626679,-2.171805,319.60068
40,-0.77867836,-14.154963,-2.2585888,457.53934
41,-0.7084669,-7.360036,-1.8796467,136.00253
42,-0.7084669,-27.372347,-2.2446952,841.6393
43,-0.7084669,-11.424692,-1.9621757,198.72717
44,-0.7084669,-5.949592,-1.8955406,87.867325
45,-0.7084669,-10.729318,-1.9383576,153.65878
46,-0.7084669,-17.633566,-2.0868185,363.9701
47,-0.7084669,-22.373394,-2.7430947,1174.1709
48,-0.7084669,-14.616708,-2.031549,337.00818
49,-0.7084669,-11.996207,-2.065789,320.08475
50,-0.7084669,-10.255691,-1.9757785,149.3257
51,-0.7819349,-12.435217,-2.2517796,274.2295
52,-0.7819349,-19.356543,-2.4278011,510.7856
53,-0.7819349,-25.157242,-2.4643934,932.7186
54,-0.7819349,-10.085048,-2.217997,273.0607
55,-0.7819349,-17.437014,-2.224996,483.24466
56,-0.7819349,-17.243963,-2.1911886,342.5236
57,-0.7819349,-9.861775,-2.0443761,182.69832
58,-0.71739775,-24.21943,-2.2111163,647.27386
59,-0.71739775,-14.304,-2.237971,342.82712
60,-0.71739775,-28.991196,-2.3430421,935.8805
61,-0.5907558,-13.689811,-1.9809594,311.84457
62,-0.54567033,-6.120102,-1.7386705,121.29032
63,-0.54567033,-14.246339,-1.9408554,359.00797
64,-0.54567033,-29.02987,-2.8541546,2250.741
65,-0.54567033,-29.02987,-2.3593438,1137.7131
66,-0.54567033,-10.486032,-2.0782592,276.70776
67,-0.54567033,-10.866958,-1.8311673,190.37729
68,-0.54567033,-22.791275,-2.1079922,618.6164
69,-0.54567033,-14.122603,-1.8041289,253.79366
70,-0.54567033,-10.036947,-1.7363259,165.37695
71,-0.49464497,-15.202285,-2.091792,462.36447
72,-0.49464497,-23.093811,-2.139408,661.58923
73,-0.49464497,-21.493176,-2.0237908,523.855
74,-0.49464497,-11.508209,-1.7919426,203.98935
75,-0.49464497,-16.23386,-2.2432008,488.91153
76,-0.49464497,-14.024829,-2.0007386,333.2108
77,-0.49464497,-21.81647,-2.310008,832.0371
78,-0.49464497,-16.023727,-2.068359,350.00903
79,-0.49464497,-16.945509,-1.9697871,343.15002
80,-0.49464497,-19.296347,-2.4447494,965.47107
81,-0.5034265,-22.873909,-2.3404062,869.65784
