neur0,input0,neur1,input1
0.9999006,-0.0,0.53940976,0.0
0.9996149,-0.08416928,0.5742113,0.0
0.9986498,-0.1682501,0.60464716,0.0
0.9956665,-0.2521541,0.6312707,0.0
0.98721236,-0.3357932,0.65433884,0.0
0.96559423,-0.41907963,0.6736379,0.0
0.918269,-0.5019261,0.68831944,0.0
0.8389692,-0.58424604,0.69732565,0.0
0.75227654,-0.66595334,0.7009488,0.0
0.6967297,-0.74696296,0.70133775,0.0
0.6730309,-0.8271906,0.7004191,0.0
0.6622768,-0.9065532,0.69896346,0.0
0.65473247,-0.9849688,0.6971707,0.0
0.6476995,-1.0623565,0.6950831,0.0
0.64058393,-1.1386374,0.692708,0.0
0.63327,-1.2137332,0.69004554,0.0
0.6257396,-1.2875681,0.6870941,0.0
0.61799216,-1.3600672,0.6838518,0.0
0.6100304,-1.4311582,0.68031645,0.0
0.601857,-1.5007697,0.6764856,0.0
0.59347445,-1.5688335,0.6723568,0.0
0.5848848,-1.6352825,0.6679274,0.0
0.57609,-1.7000521,0.66319454,0.0
0.56709146,-1.7630801,0.6581555,0.0
0.5578905,-1.8243066,0.6528075,0.0
0.5484884,-1.8836739,0.6471475,0.0
0.53888583,-1.9411271,0.6411729,0.0
0.52908367,-1.9966137,0.6348808,0.0
0.5190824,-2.0500836,0.62826866,0.0
0.508883,-2.1014905,0.62133414,0.0
0.49848586,-2.150789,0.6140748,0.0
0.4878914,-2.197938,0.6064889,0.0
0.47710055,-2.2428994,0.5985746,0.0
0.46611392,-2.285637,0.5903306,0.0
0.45493275,-2.3261178,0.5817561,0.0
0.44355813,-2.3643126,0.5728505,0.0
0.43199146,-2.4001946,0.563614,0.0
0.42023483,-2.4337404,0.5540471,0.0
0.40829033,-2.4649296,0.544151,0.0
0.3961606,-2.4937449,0.5339276,0.0
0.38384882,-2.5201719,0.5233795,0.0
0.37135884,-2.5442,0.51251,0.0
0.35869485,-2.5658214,0.5013232,0.0
0.3458617,-2.5850317,0.48982406,0.0
0.33286506,-2.6018295,0.47801837,0.0
0.31971118,-2.6162171,0.46591285,0.0
0.30640715,-2.628199,0.45351517,0.0
0.2929606,-2.6377842,0.4408339,0.0
0.27938035,-2.6449838,0.42787856,0.0
0.26567554,-2.6498125,0.41465968,0.0
0.2518563,-2.652288,0.40118867,0.0
0.23793352,-2.6524317,0.38747796,0.0
0.22391899,-2.650267,0.37354097,0.0
0.20982511,-2.6458209,0.35939196,0.0
0.19566509,-2.639124,0.34504604,0.0
0.18145268,-2.6302087,0.33051926,0.0
0.16720252,-2.6191113,0.31582835,0.0
0.15292953,-2.6058702,0.30099085,0.0
0.13864937,-2.5905278,0.28602487,0.0
0.124378175,-2.573127,0.27094918,0.0
0.11013222,-2.5537157,0.25578308,0.0
0.09592841,-2.5323431,0.2405462,0.0
0.08178345,-2.5090618,0.2252585,0.0
0.067714594,-2.4839256,0.20994024,0.0
0.053738743,-2.456992,0.19461173,0.0
0.03987287,-2.42832,0.17929335,0.0
0.026133882,-2.397971,0.16400538,0.0
0.012538138,-2.3660085,0.14876795,0.0
-8.981533E-4,-2.3324986,0.13360085,0.0
-0.014159334,-2.297508,0.11852353,0.0
-0.027230354,-2.2611072,0.103554964,0.0
-0.040096767,-2.2233667,0.088713534,0.0
-0.05274481,-2.184359,0.07401702,0.0
-0.06516161,-2.144159,0.05948243,0.0
-0.07733507,-2.102842,0.045126006,0.0
-0.08925412,-2.0604858,0.030963108,0.0
-0.10090859,-2.017168,0.017008197,0.0
-0.112289354,-1.9729683,0.003274771,0.0
-0.12338832,-1.9279671,-0.010224674,0.0
-0.13419855,-1.8822457,-0.023478674,0.0
-0.14471407,-1.8358861,-0.03647681,0.0
-0.15493011,-1.7889711,-0.04920972,0.0
-0.16484307,-1.7415841,-0.061669134,0.0
-0.17445019,-1.6938084,-0.07384783,0.0
-0.18375015,-1.6457285,-0.08573966,0.0
-0.19274235,-1.5974278,-0.09733951,0.0
-0.20142755,-1.5489913,-0.10864333,0.0
-0.2098073,-1.5005028,-0.11964803,0.0
-0.21788423,-1.4520462,-0.13035154,0.0
-0.22566192,-1.4037051,-0.14075272,0.0
-0.23314488,-1.3555633,-0.15085135,0.0
-0.24033843,-1.3077029,-0.1606481,0.0
-0.24724868,-1.2602062,-0.17014444,0.0
-0.2538827,-1.2131546,-0.17934273,0.0
-0.26024812,-1.1666285,-0.18824604,0.0
-0.26635337,-1.1207074,-0.19685817,0.0
-0.27220744,-1.0754695,-0.20518361,0.0
-0.27782,-1.030992,-0.21322751,0.0
-0.28320125,-0.9873509,-0.22099565,0.0
-0.28836182,-0.9446201,-0.22849435,0.0
-0.29331306,-0.9028729,-0.23573053,0.0
-0.2980665,-0.8621805,-0.24271156,0.0
-0.30263418,-0.82261205,-0.24944532,0.0
-0.30702847,-0.78423524,-0.25594014,0.0
-0.3112621,-0.74711615,-0.26220474,0.0
-0.315348,-0.71131796,-0.26824826,0.0
-0.31929946,-0.6769024,-0.27408016,0.0
-0.32312992,-0.6439291,-0.27971026,0.0
-0.32685313,-0.6124547,-0.28514874,0.0
-0.3304827,-0.5825341,-0.29040593,0.0
-0.33403268,-0.55421966,-0.2954926,0.0
-0.33751717,-0.52756107,-0.3004196,0.0
-0.34095016,-0.5026053,-0.30519813,0.0
-0.34434596,-0.479397,-0.3098395,0.0
-0.34771863,-0.45797843,-0.31435522,0.0
-0.3510825,-0.43838766,-0.318757,0.0
-0.3544515,-0.42066142,-0.32305658,0.0
-0.35783994,-0.4048328,-0.327266,0.0
-0.36126179,-0.39093265,-0.3313972,0.0
-0.3647309,-0.37898815,-0.3354623,0.0
-0.36826116,-0.3690231,-0.33947346,0.0
-0.37186605,-0.36105967,-0.34344286,0.0
-0.37555918,-0.35511583,-0.3473827,0.0
-0.37935367,-0.3512066,-0.35130507,0.0
-0.38326254,-0.3493442,-0.35522217,0.0
-0.38729852,-0.34953734,-0.35914597,0.0
-0.39147395,-0.35179198,-0.3630885,0.0
-0.39580104,-0.35611057,-0.36706147,0.0
-0.4002914,-0.3624925,-0.37107664,0.0
-0.4049565,-0.3709342,-0.3751454,0.0
-0.40980706,-0.38142845,-0.37927902,0.0
-0.41485348,-0.39396527,-0.38348848,0.0
-0.4201059,-0.40853176,-0.38778442,0.0
-0.42557347,-0.42511117,-0.39217725,0.0
-0.43126515,-0.4436841,-0.3966769,0.0
-0.43718892,-0.46422833,-0.401293,0.0
-0.4433526,-0.4867181,-0.40603465,0.0
-0.44976267,-0.511125,-0.4109105,0.0
-0.45642534,-0.5374171,-0.41592863,0.0
-0.46334597,-0.5655602,-0.4210966,0.0
-0.4705289,-0.5955174,-0.42642134,0.0
-0.4779778,-0.627248,-0.43190917,0.0
-0.4856954,-0.66070884,-0.4375656,0.0
