Generation,Max fitness,Min fitness,Avg fitness,Variance
1,0.44935924,-44.3024,-1.6544104,3320.7625
2,0.49516523,-23.956123,-0.68071395,602.4437
3,0.49516523,-7.4258575,-0.5166473,139.55507
4,0.49516523,-29.311829,-0.7758648,942.68634
5,0.49516523,-12.240273,-0.5577234,254.63606
6,0.49516523,-16.525068,-0.5880181,372.9247
7,0.49516523,-5.3362646,-0.40337428,89.50576
8,0.49516523,-14.526307,-0.6475464,384.26324
9,0.49516523,-21.734669,-0.5628311,570.30884
10,0.49516523,-12.294984,-0.32017067,171.51407
11,0.51754385,-18.602833,-1.065875,1127.7002
12,0.51754385,-10.992817,-0.72595006,361.78787
13,0.51754385,-47.894497,-1.186665,2792.1206
14,0.51754385,-13.547238,-0.6554354,377.22784
15,0.51754385,-22.861998,-0.5534801,565.97
16,0.51754385,-13.388037,-0.6305414,318.65604
17,0.51754385,-9.737363,-0.6015463,221.36693
18,0.51754385,-9.263753,-0.457413,157.13647
19,0.51754385,-6.083938,-0.25367147,69.71712
20,0.51754385,-7.7809277,-0.27670652,97.57505
21,0.50721437,-18.663334,-0.44332528,393.33707
22,0.50721437,-18.663334,-0.87134576,808.47723
23,0.50721437,-12.322029,-0.48764974,290.73782
24,0.50721437,-10.834367,-0.36900616,184.07254
25,0.50721437,-9.456964,-0.5861686,251.35088
26,0.50721437,-15.054202,-0.67749786,430.10986
27,0.50721437,-14.231341,-0.803132,385.7306
28,0.50721437,-14.400704,-0.3803576,256.15234
29,0.50721437,-14.400704,-0.75315493,531.28503
30,0.50721437,-16.767933,-0.84028345,743.2506
31,0.5196466,-6.5973883,-0.25359714,77.3409
32,0.5196466,-8.398728,-0.30795464,104.20707
33,0.5196466,-12.711539,-0.42209587,212.69986
34,0.5196466,-5.3724403,-0.39798355,96.07041
35,0.5196466,-13.644204,-0.53567755,358.89163
36,0.5196466,-9.720214,-0.49998674,261.94495
37,0.5196466,-5.860246,-0.2819921,93.61177
38,0.5196466,-22.565638,-0.5428214,681.6402
39,0.5196466,-4.256633,-0.30936748,90.17443
40,0.5196466,-40.039986,-0.63677084,1747.0046
41,0.5819457,-11.618727,-0.27586764,183.88011
42,0.5819457,-12.2590685,-0.37146202,260.96674
43,0.5819457,-20.560707,-0.4680212,483.15964
44,0.5819457,-11.60621,-0.838516,621.16864
45,0.5819457,-8.8738365,-0.581431,297.67978
46,0.5819457,-11.142019,-0.5293623,348.5311
47,0.5819457,-7.530727,-0.6513339,239.9203
48,0.5819457,-5.7643633,-0.36428148,101.7145
49,0.5819457,-5.7643633,-0.40835658,135.22606
50,0.5819457,-9.560635,-0.4492675,189.05255
51,0.58559257,-25.562963,-0.5757157,820.5121
52,0.58559257,-28.659029,-0.7981875,1042.1786
53,0.58559257,-6.424399,-0.37281018,114.6001
54,0.58559257,-9.558659,-0.5257876,259.0734
55,0.58559257,-25.478142,-0.76954514,1039.6587
56,0.58559257,-4.9987917,-0.28058955,73.318634
57,0.58559257,-18.18929,-0.7119086,681.71405
58,0.58559257,-8.941468,-0.536556,219.63065
59,0.58559257,-14.521662,-0.5214652,312.70938
60,0.58559257,-7.413967,-0.46507615,207.51122
61,0.5921423,-8.332758,-0.4120446,220.07565
62,0.5921423,-37.412716,-0.88549733,1635.4294
63,0.5921423,-7.43708,-0.39561713,188.4899
64,0.5921423,-14.852408,-0.45608148,275.9316
65,0.5921423,-16.379057,-0.54314893,456.95676
66,0.5921423,-24.158737,-0.5479557,762.4702
67,0.5921423,-14.69062,-0.42099258,397.83243
68,0.5921423,-30.36583,-0.66144615,1209.6432
69,0.5921423,-3.8844633,-0.19462052,50.925903
70,0.5921423,-30.948896,-0.67474645,1166.6117
71,0.58442986,-14.289216,-0.4757518,407.28925
72,0.58442986,-17.623863,-0.49191573,608.32837
73,0.58442986,-27.37444,-0.6071521,932.2791
74,0.58442986,-14.376094,-0.4376035,366.77405
75,0.58442986,-1.6204644,-0.17784241,31.448933
76,0.58442986,-21.038095,-0.53541845,527.1936
77,0.58442986,-13.693798,-0.38264245,222.85292
78,0.58442986,-10.415327,-0.42114228,227.36493
79,0.58442986,-11.907367,-0.4516621,278.0254
80,0.58442986,-20.990347,-0.7832818,1006.35114
81,0.58442986,-19.420094,-0.4160607,479.24017
82,0.5969597,-23.13241,-0.6060191,795.1495
83,0.5969597,-15.345254,-0.48197448,365.8843
84,0.5969597,-6.0282426,-0.22669327,75.25529
85,0.5969597,-9.1477375,-0.3461171,158.43584
86,0.5969597,-23.436184,-0.9221224,1119.2908
87,0.5969597,-23.436184,-1.1647664,1368.8691
88,0.5969597,-36.45904,-0.7738309,1482.1149
89,0.5969597,-29.594536,-0.86637664,1294.5431
90,0.5969597,-21.730661,-0.8866675,974.01086
91,0.5750242,-26.967747,-0.7654914,948.9196
92,0.5750242,-13.367873,-0.51816714,304.01602
93,0.5750242,-9.577693,-0.4941217,283.63522
94,0.5750242,-19.146324,-0.73984265,680.7635
95,0.5750242,-16.25614,-0.7491615,496.82834
96,0.5750242,-29.430899,-0.8178138,1083.6136
97,0.5750242,-6.2787824,-0.47711796,156.56683
98,0.5750242,-7.306853,-0.4557443,153.97466
99,0.5750242,-38.223854,-0.77894044,1570.6226
100,0.5750242,-25.312712,-0.55814123,765.1433
101,0.5682059,-10.712519,-0.3338278,165.5993
102,0.5682059,-12.434502,-0.4578244,255.01143
103,0.5682059,-12.434502,-0.5409536,288.13177
104,0.5682059,-19.086725,-0.76051706,675.075
105,0.5682059,-29.767654,-0.6452312,956.1143
106,0.5682059,-15.116573,-0.47905853,292.37482
107,0.5682059,-27.731718,-0.6825544,942.10266
108,0.5682059,-3.81141,-0.2644071,56.159386
109,0.5682059,-6.4971986,-0.46422768,142.99062
110,0.5682059,-5.002992,-0.33147958,93.044586
111,0.58478934,-15.638272,-0.8053263,634.055
112,0.58478934,-22.704948,-0.65363425,680.5554
113,0.58478934,-28.316328,-1.1791545,2004.5199
114,0.58478934,-21.449352,-0.6672734,796.9048
115,0.58478934,-10.917933,-0.4707984,215.62877
116,0.58478934,-12.072949,-0.6096105,355.63522
117,0.58478934,-7.881015,-0.24311037,95.26551
118,0.58478934,-7.881015,-0.3491391,143.82617
119,0.58478934,-19.868568,-0.55879575,626.92706
120,0.58478934,-15.240897,-0.68318766,627.84625
121,0.58478934,-5.10153,-0.28573918,80.71012
122,0.5919668,-21.210926,-0.89924204,1142.7887
123,0.5919668,-2.8590295,-0.1744924,35.464157
124,0.5919668,-40.762375,-0.6757281,1762.7725
125,0.5919668,-22.580454,-0.44110355,561.65955
126,0.5919668,-28.183283,-0.6132058,945.1616
127,0.5919668,-9.949342,-0.43598348,191.85747
128,0.5919668,-14.24015,-0.6631082,481.97382
129,0.5919668,-14.24015,-0.48781234,316.64902
130,0.5919668,-14.24015,-0.40273994,287.2752
131,0.5866204,-26.572756,-0.39888135,725.6765
132,0.5866204,-16.996656,-0.53291166,444.81967
133,0.5866204,-11.372098,-0.39180288,258.72803
134,0.5866204,-20.806496,-0.9268245,1225.6744
135,0.5866204,-11.19433,-0.38211918,303.40952
136,0.5866204,-4.8476567,-0.31218785,95.188545
137,0.5866204,-20.365772,-0.6481683,658.26746
138,0.5866204,-14.973385,-0.5336667,390.2204
139,0.5866204,-15.33501,-0.62163746,530.7828
140,0.5866204,-22.230637,-0.8676876,1063.3826
141,0.58748835,-28.632185,-0.8621091,1517.7911
142,0.58748835,-25.411804,-0.61605406,757.5191
143,0.58748835,-12.228962,-0.46396515,262.94684
