Generation,Max fitness,Min fitness,Avg fitness,Variance
1,0.55336285,0.49164307,0.5201117,0.015426838
2,0.54149234,0.31125295,0.34094316,0.39366388
3,0.5207983,0.2956291,0.32607856,0.14776541
4,0.5207983,0.31428823,0.41919243,0.22856162
5,0.47313514,0.31755745,0.35482633,0.10707502
6,0.38901335,0.29579097,0.32540318,0.016260391
7,0.3959532,0.2982689,0.36630476,0.047668558
8,0.41992033,0.2964296,0.35335237,0.06251012
9,0.3858946,0.26940316,0.2932245,0.07123541
10,0.37449694,0.27015185,0.31558278,0.02422693
11,0.42128223,0.28351778,0.3313571,0.016031453
12,0.42128223,0.31653073,0.3400576,0.013079575
13,0.36851677,0.28698328,0.3042092,0.035808053
14,0.37368977,0.28964558,0.327919,0.03671979
15,0.40640885,0.31371918,0.35206524,0.022209998
16,0.3685877,0.3052258,0.32551163,0.036685392
17,0.36756545,0.2515749,0.30099994,0.042171627
18,0.41018695,0.2705562,0.33095378,0.047927614
19,0.43712237,0.30417284,0.34447742,0.012045554
20,0.37175086,0.25320095,0.28817245,0.09460467
