Generation,Max fitness,Min fitness,Avg fitness,Variance
1,0.4756672,0.44684494,0.45957124,0.0033252253
2,0.47024468,0.3241419,0.38177612,0.11746619
3,0.4593658,0.29154965,0.31520635,0.11082639
4,0.40131837,0.29252195,0.36321828,0.051582936
5,0.40753147,0.2969198,0.3670047,0.03736896
6,0.3914329,0.30000123,0.33236283,0.034075048
7,0.38085702,0.30986956,0.33599925,0.042354003
8,0.39279354,0.31273076,0.3502848,0.024661157
9,0.39759442,0.31760287,0.3398252,0.023761962
10,0.4801979,0.3251799,0.4004018,0.067783386
11,0.43814367,0.25484204,0.30001724,0.17284188
12,0.41314998,0.27049115,0.3464602,0.05253534
13,0.40770745,0.28183946,0.37170014,0.028459381
14,0.44689414,0.35871592,0.4107707,0.03423829
15,0.4770043,0.32315657,0.4251352,0.049854755
16,0.45944104,0.2746599,0.3156118,0.21831995
17,0.43629575,0.27888066,0.36865258,0.097852886
18,0.40070668,0.28140214,0.336496,0.058587212
19,0.38263753,0.2799179,0.29908788,0.044483505
20,0.40714478,0.28262275,0.3429921,0.036885202
