fitness,g0,g1,g2,g3,g4,g5
-0.6707938,0.15076666,0.15176378,0.24326554,0.46209577,-0.48755893,0.7564774
-0.9607541,-0.404666,0.5962221,0.0031457287,-0.19941942,4.325778E-4,-0.76703244
-0.7508643,-0.054964755,0.017138004,-0.44849923,0.34047922,-0.60091275,0.6855876
-0.64862597,0.18078597,0.21867208,0.15915175,-0.031913646,0.19253513,-0.17838292
-15.346746,0.16216719,0.06629205,-0.1479073,-0.8904559,0.42841992,0.2741719
0.076437265,-0.093580484,-0.13004576,-0.7087939,0.74100107,-0.08209449,0.16357757
-0.5130423,-0.003917502,0.37906212,-0.107632086,0.48798722,0.6593651,-0.5722828
-0.67385286,-0.78187704,0.48609826,0.27155495,0.09002339,0.2798865,-0.030145645
-0.7007505,-0.88297534,-0.10533285,0.9539019,0.42881492,-0.2609477,0.09433117
-0.81713605,0.52419364,0.6853577,-0.41012892,-0.24492945,0.54872644,-0.23061064
-0.70764387,-0.048944056,0.856306,0.42303824,0.27117562,0.41314095,0.78026456
-2.5687692,-0.89652896,0.56961834,-0.11556893,-0.38910985,-0.6488666,-0.04265203
-0.07962927,-0.3070295,-0.35492328,-0.46799067,0.5901581,-0.26983315,0.33706293
-0.7510701,0.31076202,0.14897032,0.9896157,0.2658695,0.7634455,0.35499823
-0.7010007,-0.54124767,-0.051132273,0.044837628,0.51323456,-0.14127195,0.01841243
-0.63429946,-0.39178884,-0.3478496,-0.19954638,0.22760122,0.8446139,-0.96952766
-0.4957699,-0.363083,-0.19160193,-0.7740437,0.11894343,-0.015639067,0.8517069
-1.0412325,-0.18146348,-0.0027768577,0.0028171027,-0.3961487,0.80024683,-0.85187364
-0.81824136,0.24506758,0.80572486,-0.028885841,0.1260947,-0.6994099,-0.120766334
-0.6991397,-0.69289804,-0.032592006,0.3483893,0.47881863,0.9268558,-0.415865
-0.7191141,-0.19989073,0.040082164,0.21080482,0.34103012,0.93991476,-0.14618063
-0.6109779,-0.037571218,0.8659997,0.8563525,0.19475389,-0.3859781,-0.039275393
-0.10929485,-0.06782973,0.2962197,-0.8666264,0.32605112,0.25698507,-0.49950507
-0.6715693,0.03008099,0.39491832,-0.18897034,0.367875,0.14376423,0.5963151
-0.39562592,0.6005834,0.0029021313,-0.83133525,0.42803538,0.16254011,0.015037775
-0.59047896,0.22667226,-0.744507,-0.49477553,0.836392,0.0066690124,0.6640971
-0.6968068,0.30895007,0.74842256,0.5595991,0.12853244,0.3947344,0.47803622
-0.4091238,-0.25933763,0.38880786,-0.7426067,0.38318315,0.046376824,0.23862644
-0.6916056,0.2582715,-0.19656877,0.11261358,-0.33220345,0.69226974,0.4017735
-1.7392594,-0.47247586,-0.50859535,0.49707335,0.04609275,0.0021633033,-0.6838154
-0.027161164,-0.426447,-0.13311851,-0.8950339,0.702238,-0.11719973,0.30651677
-0.15012756,0.7359254,-0.5546482,-0.77943045,0.9754102,-0.05842068,0.15477636
-0.7622563,-0.17981264,-0.0734546,0.19192632,0.6802967,-0.9606797,0.5393162
-0.7346828,0.67037225,0.092054695,0.85421264,0.19699022,0.64537597,0.46480608
-0.66122985,-0.7639393,-0.28947264,-0.51956224,0.6889026,-0.4149589,0.7928788
-0.55177957,-0.48141527,-0.67999303,-0.3787579,0.2375495,0.4815327,-0.49608794
-1.1828555,0.23727979,0.010115238,-0.42242593,-0.6855257,0.65710473,-0.22327815
-3.357822,-0.23985203,0.011264443,-0.712038,-0.9359694,-0.68110955,0.19260818
-0.6697521,0.28718466,0.2368815,-0.16192923,0.05736804,0.51400554,-0.27618206
-1.2158427,-0.7116626,-0.36610344,-0.12995186,0.38582027,-0.8797778,-0.48811412
-2.2571633,-0.8376615,-0.5923544,0.12150111,0.5662901,-0.8972491,-0.88401896
-1.6372578,0.35983554,0.46612877,-0.089154385,-0.37970272,-0.635749,-0.64965427
-2.974389,0.35209557,-0.31230217,-0.043499596,-0.35352114,-0.20437378,0.30536842
-0.28731382,0.37478536,0.26107958,-0.73448956,0.75473416,-0.44311982,0.60859865
-1.3692503,-0.9127249,-0.32346734,0.48539564,-0.15372275,-0.40446553,0.6601442
-1.7163827,0.19360785,0.090669766,-0.8774764,-0.9039502,-0.032989856,-0.5280956
-6.2280235,0.5765547,-0.63196284,0.5074167,0.502507,0.37226358,-0.78371125
-0.6493553,-0.14919598,-0.07490552,0.087759614,0.20708534,0.29382503,0.044611692
-0.78765273,-0.46422687,-0.119555235,-0.0777394,-0.12074763,0.85957503,-0.13418774
-2.3124566,-0.6166274,-0.8368331,-0.17037256,-0.53780955,0.2565759,0.036429543
-0.7278012,0.18341136,0.27473843,0.24388044,0.43100834,0.7669702,0.4662252
-0.7111351,0.8549141,0.55282557,0.9709311,0.8673137,-0.07127794,0.56566477
0.09442562,-0.2627971,-0.056980584,-0.73786867,0.51178175,0.07284033,0.003237268
-2.5390825,-0.88612777,-0.3933593,-0.18467003,-0.35377267,-0.9531396,0.06602967
-1.4785113,-0.24899082,-0.111224174,-0.27728072,-0.9226951,0.9998988,-0.6011321
-0.9111622,-0.058139652,-0.27304712,-0.73307747,0.009200816,-0.18581374,-0.22561541
-0.7126083,0.32468677,-0.17522211,-0.24659288,0.68459755,-0.87319803,0.8920663
-0.11740242,0.24338649,-0.24149132,-0.96098876,0.30743995,0.14861567,-0.21646339
-1.5406871,-0.8016571,0.21135192,-0.52725464,-0.17419434,-0.95785695,-0.80199754
-0.6658608,0.43291566,0.61610395,-0.16085349,0.56605476,-0.57179195,0.89046115
-0.5402323,0.62121797,0.61529356,-0.08974578,0.21441956,-0.42188463,0.42526495
-0.80980986,-0.8942848,-0.85179234,-0.24971616,-0.09069908,0.27451116,-0.50710243
0.24275301,-0.55425495,0.7167183,-0.77858883,0.8731479,0.108655095,-0.019479454
-0.69494843,-0.0148284435,0.2928136,0.67825705,0.47560653,0.32297993,0.02506357
-0.83210266,0.46766767,-0.0011576414,0.016930597,0.42834458,-0.9978779,-0.034942962
-0.7609637,0.25724295,0.6143428,0.9340673,0.90915143,0.9566811,-0.3359108
-0.7245592,0.5614871,-0.024328358,-0.40912873,-0.09433728,0.5003007,0.19777985
-0.47828147,0.58090836,-0.24971335,0.35457304,0.91619813,-0.7478618,-0.23662357
-0.23446737,0.14867589,-0.30208004,-0.16041924,0.5713676,-0.26634198,0.14402574
-0.68592954,-0.17279729,-0.16095136,0.3174704,0.23002051,0.33965608,0.16538207
-0.612091,-0.060753956,0.8079775,0.26677236,0.2457779,0.8094362,-0.84896123
-1.0497364,-0.031858563,-0.29508767,-0.21458115,0.468181,-0.67697173,0.21775225
-0.52415746,-0.75056314,0.62580985,-0.35698575,0.14494266,0.08562589,-0.19625622
