neur0,input0,neur1,input1
0.9999006,-0.0,0.53940976,0.0
0.99961126,-0.13581216,0.57421106,0.0
0.99861264,-0.26645777,0.60464436,0.0
0.99543875,-0.38701764,0.6312536,0.0
0.9861703,-0.49305555,0.6542601,0.0
0.9618636,-0.5808302,0.67335,0.0
0.9082666,-0.64747506,0.68749624,0.0
0.8213884,-0.6911346,0.69560164,0.0
0.7353358,-0.7110534,0.69841397,0.0
0.6895467,-0.70761216,0.6985558,0.0
0.6760534,-0.6823088,0.6979522,0.0
0.6744976,-0.6376867,0.6972964,0.0
0.6766188,-0.5772125,0.69679284,0.0
0.68023497,-0.50510913,0.6965157,0.0
0.6846789,-0.42615372,0.6964981,0.0
0.6895836,-0.34544802,0.6967508,0.0
0.6946313,-0.2681736,0.69726586,0.0
0.6995123,-0.19934314,0.6980183,0.0
0.70392627,-0.14356,0.6989679,0.0
0.7075914,-0.10479715,0.7000612,0.0
0.7102536,-0.08620629,0.70123464,0.0
0.7116961,-0.08996715,0.702417,0.0
0.7117472,-0.117181756,0.7035327,0.0
0.7102885,-0.16782218,0.7045049,0.0
0.7072619,-0.24073108,0.7052585,0.0
0.7026768,-0.333677,0.7057236,0.0
0.69661456,-0.4434615,0.70583814,0.0
0.6892302,-0.5660714,0.7055509,0.0
0.68074894,-0.69687176,0.70482445,0.0
0.67145646,-0.83082694,0.70363665,0.0
0.66168356,-0.96274257,0.7019826,0.0
0.6517853,-1.0875133,0.69987535,0.0
0.64211917,-1.2003689,0.6973452,0.0
0.63302267,-1.2971001,0.694439,0.0
0.6247947,-1.3742627,0.69121814,0.0
0.61768,-1.4293408,0.6877555,0.0
0.6118585,-1.4608684,0.6841325,0.0
0.6074389,-1.4684975,0.6804348,0.0
0.6044561,-1.4530169,0.6767484,0.0
0.60287166,-1.4163125,0.6731551,0.0
0.6025782,-1.3612764,0.6697284,0.0
0.6034057,-1.2916703,0.66652924,0.0
0.6051307,-1.2119426,0.66360307,0.0
0.60748714,-1.1270155,0.66097707,0.0
0.6101783,-1.0420492,0.6586588,0.0
0.6128908,-0.96219516,0.6566357,0.0
0.61530656,-0.89234686,0.65487564,0.0
0.6171172,-0.8369067,0.6533285,0.0
0.6180356,-0.7995738,0.6519286,0.0
0.6178084,-0.7831677,0.6505977,0.0
0.61622614,-0.78949153,0.6492485,0.0
0.61313426,-0.8192462,0.6477885,0.0
0.60844064,-0.87199634,0.6461242,0.0
0.6021229,-0.94619125,0.6441648,0.0
0.5942328,-1.0392389,0.6418267,0.0
0.58489585,-1.1476305,0.639037,0.0
0.5743083,-1.2671065,0.63573724,0.0
0.5627273,-1.3928632,0.6318862,0.0
0.55045754,-1.5197815,0.62746215,0.0
0.5378343,-1.6426731,0.6224647,0.0
0.5252049,-1.7565265,0.61691487,0.0
0.5129093,-1.85675,0.610855,0.0
0.5012622,-1.9393907,0.60434717,0.0
0.49053863,-2.0013232,0.59747106,0.0
0.4809613,-2.0403993,0.5903201,0.0
0.4726904,-2.055552,0.5829979,0.0
0.46581882,-2.046845,0.5756127,0.0
0.4603679,-2.0154705,0.5682723,0.0
0.4562878,-1.9636924,0.56107813,0.0
0.453461,-1.8947351,0.55412006,0.0
0.45170715,-1.8126322,0.547471,0.0
0.450792,-1.7220311,0.54118264,0.0
0.45043752,-1.62797,0.53528255,0.0
0.4503344,-1.5356371,0.5297721,0.0
0.45015597,-1.4501207,0.5246261,0.0
0.4495717,-1.3761679,0.5197938,0.0
0.44826305,-1.317952,0.5152012,0.0
0.44593632,-1.2788777,0.5107545,0.0
0.4423373,-1.2614151,0.5063444,0.0
0.43726233,-1.2669802,0.50185114,0.0
0.4305693,-1.29587,0.49715054,0.0
0.42218512,-1.3472451,0.49211884,0.0
0.4121101,-1.4191722,0.48663908,0.0
0.40042022,-1.5087157,0.48060632,0.0
0.38726306,-1.612077,0.47393262,0.0
0.37285182,-1.7247806,0.46655148,0.0
0.3574545,-1.8418827,0.4584213,0.0
0.34138015,-1.9582154,0.4495279,0.0
0.3249636,-2.0686264,0.43988603,0.0
0.30854863,-2.1682315,0.4295394,0.0
0.29247105,-2.2526486,0.41855952,0.0
0.27704382,-2.318204,0.40704307,0.0
0.26254186,-2.362111,0.39510792,0.0
0.2491902,-2.3826048,0.382888,0.0
0.23715422,-2.3790238,0.3705269,0.0
0.22653237,-2.3518434,0.3581709,0.0
0.21735144,-2.3026533,0.34596112,0.0
0.20956522,-2.234081,0.3340264,0.0
0.20305695,-2.149664,0.32247597,0.0
0.19764313,-2.053683,0.31139356,0.0
0.1930826,-1.9509573,0.3008325,0.0
0.1890866,-1.8466082,0.29081276,0.0
0.18533228,-1.7458205,0.28131953,0.0
0.18147747,-1.6535912,0.27230373,0.0
0.17717683,-1.5744871,0.26368457,0.0
0.17209797,-1.5124311,0.25535345,0.0
0.16593766,-1.4705104,0.24717934,0.0
0.15843642,-1.4508303,0.23901534,0.0
0.14939135,-1.4544132,0.2307059,0.0
0.13866664,-1.4811487,0.22209452,0.0
0.12620054,-1.5298,0.21303144,0.0
0.11200909,-1.5980623,0.20338112,0.0
0.09618581,-1.6826756,0.19302915,0.0
