fitness,g0,g1,g2,g3,g4,g5
0.380135,-0.3771086,0.5422932,0.8116036,0.13167386,0.09185803,-0.25090194
0.37820905,-0.9969692,0.8150561,-0.9320374,-0.2869963,0.9215602,0.31273934
0.39320585,-0.38444763,0.5716034,0.9815391,0.015081167,0.59744066,0.34600395
0.3685392,0.41876146,-0.32017678,-0.2149598,-0.86870635,0.05678416,-0.20699444
0.37605974,-0.6727177,-0.28805712,0.5024357,0.33445516,0.34747398,0.6702841
0.3693563,0.13530071,0.104273796,0.6459865,-0.6274622,-0.36451358,-0.968751
0.36789694,0.15927212,0.46142057,-0.34921002,0.2588627,0.17930931,-0.59958106
0.46735477,-0.2625449,-0.4578326,-0.91160333,0.028718932,-0.785452,-0.33145598
0.3776266,0.9216636,0.25467908,-0.13602172,0.48455158,0.63357466,0.8529499
0.37316936,0.24854243,-0.38934526,-0.018250829,0.8768875,-0.38436058,-0.0524667
0.3788494,-0.7405963,0.10247741,-0.9211998,-0.25196123,-0.18083781,-0.3820885
0.38298702,-0.78850853,0.7225639,-0.15555581,-0.13168308,0.82964885,-0.18091464
0.3739354,0.71134907,-0.8029391,0.3316435,0.23875324,-0.39357695,-0.16147988
0.37471405,-0.3078527,-0.29239288,0.5864744,0.0046709776,-0.043423027,-0.7313394
0.46623665,0.09087467,0.4685071,-0.92382085,0.03862866,-0.3290817,0.51718336
0.37648252,-0.2539409,0.86997366,0.15137088,0.22152334,0.4972249,0.10185884
0.36893317,-0.18656898,0.7773748,0.38725096,0.27131796,-0.73805434,0.34394532
0.37251416,0.05437763,0.15153944,-0.43590465,-0.4889467,0.969755,0.821053
0.42612523,0.7514014,-0.018881798,-0.4863616,0.635336,-0.32489508,0.95535415
0.3661858,0.6628066,-0.33573174,0.47129056,0.8200876,0.755585,-0.65195286
0.37309438,-0.67718357,0.3527386,-0.4984679,-0.7586374,0.61154675,0.00570687
0.36797553,0.30765274,-0.47554776,0.2701912,-0.34040332,0.12870823,0.24289526
0.37243125,-0.1940397,-0.0147355795,0.26231515,-0.46882486,-0.48163787,-0.8287827
0.3686778,0.5610582,-0.12320012,0.27212104,-0.8791386,-0.12911451,-0.6786822
0.4050581,-0.8022385,-0.4161271,-0.72016627,-0.6682768,0.090659,-0.25071615
0.5084913,-0.86862224,0.04356956,-0.08689028,-0.99308586,-0.65353703,0.060457874
0.3818228,0.8077384,0.10812151,0.5097488,0.6315264,-0.25150853,0.08200902
0.36000404,0.31021035,-0.790008,-0.63257885,0.055745393,0.15716803,-0.5220438
0.37222025,-0.4694794,-0.65011454,-0.062200904,0.5749496,0.48067218,0.33130535
0.3804555,-0.41004726,0.4267908,0.14169143,-0.23388828,0.68267876,-0.26799175
0.4045735,-0.23397757,-0.21274899,-0.71974164,0.44144875,0.94521135,0.04057859
0.42142612,-0.5362996,-0.19904143,-0.7665015,-0.036483392,0.046741884,-0.70125836
0.3655788,-0.52767295,0.32221282,-0.46116093,0.5110342,-0.06486121,0.23064752
0.36729303,-0.24469118,0.16858348,-0.74783444,0.4277158,0.5322844,-0.23302798
0.37459758,-0.8324494,-0.54187506,0.13164297,-0.40468377,-0.5146909,-0.21884973
0.37896308,-0.97455156,-0.17916484,0.038995072,0.36290875,0.42121628,-0.8313593
0.37908968,-0.5668754,-0.41524127,0.59271157,-0.35383832,0.68857396,0.06692271
0.37764612,-0.3830068,-0.01967826,0.34402633,-0.28184128,0.7667256,0.5612936
0.3743591,-0.45077682,-0.2403965,0.6010537,-0.52767783,-0.5101062,-0.19945158
0.48201054,0.2045135,0.16675162,-0.9254631,0.03241265,0.6281171,-0.21766911
0.36564174,0.9450669,-0.39168656,-0.16040635,0.7996417,-0.053771257,0.24998699
0.42592254,-0.91468084,0.040324714,0.6104774,-0.6874926,-0.6062804,-0.53204286
0.37514213,-0.36542508,-0.028523132,-0.67149603,0.5040019,-0.30026892,-0.7207755
0.3707287,0.31021324,0.37194988,0.44888237,-0.29045677,-0.14883123,-0.010788174
0.37647334,-0.064173155,0.6828457,0.44684497,-0.20168804,0.63485616,0.13020976
0.3995569,0.6848935,-0.017144335,-0.17206861,-3.4456913E-4,0.31394368,0.27511764
0.36696243,0.015330918,0.31366855,0.16839413,-0.06014067,-0.29938972,0.7146855
0.32891765,-0.42565286,0.3694795,0.031195356,0.79524165,0.94751924,-0.25445122
0.3710148,-0.32060072,-0.2859537,-0.12787518,-0.25365484,-0.3697486,0.117070764
0.35391074,-0.43422872,-0.4810154,0.83971554,-0.07539277,0.22463587,-0.6683464
0.3764096,-0.24511488,-0.071170434,-0.37754843,-0.17351675,-0.73178536,-0.5309902
0.3721946,-0.89227873,-0.36803687,0.33611345,-0.1602241,-0.26664194,-0.62727326
0.37316543,0.02191186,0.47031707,0.41851285,0.58745986,-0.5534929,-0.0040739574
0.36917487,-0.12530875,0.22491887,-0.6403236,0.13579962,0.6126593,0.62034535
0.40607697,0.9269199,-0.10045923,-0.8893845,-0.38414574,-0.5554749,0.068596534
0.37113437,0.33210114,-0.2939855,-0.30541983,-0.85771894,0.90824413,0.49463984
0.3869843,0.72766334,0.06845408,0.2713247,0.27714205,0.7910105,0.16520941
0.3697054,0.6226011,-0.22891624,0.27023923,0.10338175,-0.36869746,0.8441915
0.3902377,-0.96326435,-0.076613955,-0.5192674,-0.2304276,-0.010210453,0.04297645
0.40762132,-0.38932255,0.12012456,-0.46229613,-0.43160594,0.8682333,0.23727313
0.4071572,0.9495574,0.26164454,-0.97292763,-0.22095644,-0.77735776,0.53416055
0.37653998,-0.90238357,0.46290076,-0.95849663,-0.01677072,0.22685274,0.3368883
0.36814997,-0.36151707,0.00279444,-0.703461,0.40746447,0.21266279,0.081736125
0.37246922,0.3289441,0.45687917,-0.3886907,-0.27497175,0.021896482,-0.43517733
0.38692215,-0.8399266,-0.21231133,-0.37064072,-0.75635904,0.6051542,0.03795373
0.40238768,0.3909135,-0.50254214,-0.46365234,-0.4993649,0.19481954,0.15514837
0.3709678,-0.56946903,-0.9259347,-0.2855027,-0.9825844,-0.16131335,-0.40291882
0.3736908,0.18492782,0.49824968,0.28748575,0.13806275,-0.060768653,-0.64680725
0.4312931,-0.7120874,-0.95598465,-0.8668935,0.041348122,0.4913572,0.71896154
0.36769524,0.17407142,-0.19523947,0.009507656,0.6497892,0.19916205,-0.6887857
0.40392485,-0.10093856,-0.5618468,-0.5303995,-0.4638322,-0.12265434,-0.56750077
0.36706865,0.08198172,0.46962118,0.29566383,-0.87434053,0.5314289,-0.33917478
0.37056947,0.08611354,0.45673192,-0.10953045,-0.4456384,-0.4041966,-0.64630115
0.37446296,-0.5324196,-0.31754178,0.7205468,0.37473014,-0.06756238,0.0024470023
0.38637936,0.9192143,0.041806396,0.36139047,-0.7215957,-0.26769602,-0.77301484
0.40218288,0.40372193,0.2962711,-0.031691078,-0.18487103,-0.14048243,0.23359992
0.44036344,-0.06857332,-0.8041738,0.5791479,0.08501542,-0.13617551,-0.9404871
0.37772122,-0.3920746,0.7616705,0.14559388,-0.39573643,-0.7415629,-0.15287066
0.36983362,-0.055122923,-0.32479647,0.77337337,-0.14508194,-0.25852597,-0.30971202
0.39182225,-0.7984508,-0.117082596,-0.10318816,0.76159286,-0.8739022,0.96894264
0.48980132,0.34361425,-0.17625251,0.15180147,0.46490422,-0.97779405,0.03251097
0.36878788,0.43134853,0.6192078,0.43176675,-0.24909875,-0.1773674,0.53892577
0.37155226,-0.51322377,-0.005531788,0.2203087,-0.36145687,-0.27608305,0.53774774
0.36877775,0.13578199,0.4307696,0.05323851,-0.31957346,0.15603113,-0.41746807
0.4375569,-0.01974639,-0.5028719,-0.061230857,-0.11869324,-0.69097126,-0.19344671
0.37714383,0.54183054,0.053796425,0.49529952,0.0019357204,-0.112668544,-0.545088
0.39585653,0.36814746,-0.6050496,-0.8769423,-0.024666429,0.6423837,0.14088535
0.38230032,0.97284645,-0.96272045,0.17317311,-0.16409814,0.86175454,0.08812712
0.3717473,-0.6360699,-0.80309886,-0.12711887,-0.5226053,0.3485365,0.4118495
0.35926569,0.08739732,-0.5061103,0.105761014,-0.049968462,0.31521574,-0.042301416
0.39019126,0.32762763,0.0780677,0.49895558,0.30433694,-0.890092,-0.010300099
0.5269878,-0.11205499,-0.4038571,-0.95677316,0.039429456,-0.62301564,0.08181315
0.4716967,0.4609687,-0.27996635,-0.017964074,0.28043652,0.9087679,-0.040122554
0.37362555,-0.08812159,0.6226532,-0.31132412,-0.1189442,0.16493519,0.25957578
0.3659931,0.25249764,-0.07078283,-0.13862862,0.08434939,-0.053764205,0.15227497
0.36835754,0.50032246,0.71295065,0.107091665,-0.16161391,0.44847775,-0.6002065
0.36971706,0.06985372,0.40787083,-0.12816061,-0.32238856,-0.060930144,0.5959713
0.3722627,-0.51332325,0.8850132,-0.4440282,-0.191044,0.16613145,0.86190706
0.3934236,0.7968194,0.010265393,0.6487755,0.0064920476,-0.57564795,-0.34807134
0.46242532,0.0859741,0.9455788,-0.31836733,0.90170604,-0.8539412,0.02637446
