neur0,input0,neur1,input1
0.45863464,0.0,0.49589875,0.0
0.42611116,0.039989334,0.5121472,0.0
0.3988761,0.07991469,0.52546453,0.0
0.37642938,0.119712204,0.53644323,0.0
0.35819012,0.15931821,0.54556483,0.0
0.34356937,0.19866931,0.55321795,0.0
0.33201274,0.23770262,0.5597148,0.0
0.3230215,0.27635565,0.56530535,0.0
0.31616023,0.31456655,0.57018954,0.0
0.3110566,0.3522742,0.5745268,0.0
0.30739662,0.38941833,0.5784445,0.0
0.3049182,0.42593947,0.582044,0.0
0.3034042,0.46177918,0.58540595,0.0
0.3026756,0.4968801,0.5885944,0.0
0.3025854,0.5311862,0.5916599,0.0
0.30301297,0.5646424,0.5946425,0.0
0.30385962,0.59719545,0.59757346,0.0
0.30504456,0.628793,0.6004771,0.0
0.3065016,0.65938467,0.60337216,0.0
0.3081765,0.68892145,0.60627294,0.0
0.3100246,0.7173561,0.60919,0.0
0.3120091,0.7446431,0.61213106,0.0
0.3140996,0.7707389,0.61510134,0.0
0.3162708,0.7956016,0.6181043,0.0
0.31850153,0.8191916,0.6211416,0.0
0.32077408,0.84147096,0.6242139,0.0
0.32307336,0.8624042,0.62732065,0.0
0.32538655,0.88195777,0.6304607,0.0
0.32770264,0.90010047,0.63363206,0.0
0.33001208,0.9168031,0.63683224,0.0
0.33230653,0.9320391,0.64005834,0.0
0.33457866,0.94578403,0.64330727,0.0
0.33682188,0.95801586,0.6465755,0.0
0.33903036,0.9687151,0.6498594,0.0
0.34119877,0.9778646,0.65315527,0.0
0.34332237,0.98544973,0.6564591,0.0
0.3453967,0.99145836,0.65976703,0.0
0.34741774,0.99588084,0.6630751,0.0
0.3493818,0.99871016,0.6663793,0.0
0.35128546,0.9999417,0.66967565,0.0
0.35312548,0.9995736,0.6729604,0.0
0.354899,0.9976064,0.67622954,0.0
0.3566032,0.99404323,0.6794793,0.0
0.35823563,0.98888975,0.6827061,0.0
0.3597939,0.9821543,0.68590623,0.0
0.36127594,0.9738476,0.6890762,0.0
0.3626798,0.963983,0.6922125,0.0
0.36400366,0.9525762,0.6953121,0.0
0.36524594,0.93964547,0.69837165,0.0
0.36640522,0.92521155,0.7013882,0.0
0.36748028,0.9092974,0.7043587,0.0
0.36846995,0.8919287,0.7072805,0.0
0.36937338,0.873133,0.710151,0.0
0.37018982,0.85294056,0.7129676,0.0
0.37091863,0.8313835,0.71572787,0.0
0.37155947,0.80849636,0.7184296,0.0
0.37211204,0.78431594,0.72107077,0.0
0.37257627,0.75888073,0.72364926,0.0
0.3729522,0.7322315,0.7261633,0.0
0.3732401,0.70441085,0.72861123,0.0
0.37344036,0.67546326,0.7309913,0.0
0.37355348,0.645435,0.7333022,0.0
0.37358025,0.6143742,0.73554236,0.0
0.37352142,0.58233064,0.7377108,0.0
0.37337804,0.5493555,0.7398062,0.0
0.37315124,0.51550144,0.7418276,0.0
0.37284237,0.48082274,0.7437741,0.0
0.37245277,0.4453748,0.745645,0.0
0.37198403,0.40921414,0.7474395,0.0
0.3714379,0.37239906,0.749157,0.0
0.37081614,0.3349882,0.75079703,0.0
0.37012076,0.29704145,0.75235915,0.0
0.3693538,0.25861946,0.75384307,0.0
0.3685174,0.21978377,0.75524855,0.0
0.3676139,0.18059623,0.7565754,0.0
0.3666457,0.14112,0.7578235,0.0
0.36561525,0.101418026,0.75899297,0.0
0.36452523,0.061553795,0.7600838,0.0
0.36337823,0.02159109,0.7610961,0.0
0.36217704,-0.018406155,0.7620302,0.0
0.36092454,-0.058373954,0.7628862,0.0
0.35962358,-0.0982486,0.7636646,0.0
0.35827717,-0.13796584,0.7643658,0.0
0.35688835,-0.17746235,0.76499015,0.0
0.35546017,-0.21667498,0.76553833,0.0
0.3539958,-0.25554097,0.7660108,0.0
0.35249844,-0.29399815,0.7664083,0.0
0.35097125,-0.3319852,0.7667316,0.0
0.34941748,-0.36944094,0.76698136,0.0
0.34784043,-0.40630564,0.7671585,0.0
0.34624335,-0.44252035,0.7672639,0.0
0.34462956,-0.47802714,0.76729846,0.0
0.34300235,-0.51276916,0.7672633,0.0
0.341365,-0.54669106,0.7671594,0.0
0.33972085,-0.5797382,0.76698804,0.0
0.33807316,-0.61185783,0.76675034,0.0
0.33642522,-0.6429987,0.76644766,0.0
0.33478028,-0.67311084,0.76608133,0.0
0.33314154,-0.7021462,0.7656527,0.0
0.33151218,-0.73005825,0.76516336,0.0
0.3298954,-0.7568025,0.7646148,0.0
0.3282943,-0.7823359,0.7640087,0.0
0.32671198,-0.8066177,0.76334673,0.0
0.32515147,-0.8296091,0.7626307,0.0
