neur0,input0,neur1,input1
0.45884913,0.0,0.48766527,0.0
0.40242445,-0.024513867,0.513708,0.0
0.34996486,-0.04877284,0.5359135,0.0
0.3021103,-0.07252443,0.5548025,0.0
0.2591129,-0.09552096,0.5708552,0.0
0.22093146,-0.117521904,0.5845001,0.0
0.18732876,-0.1382962,0.59610975,0.0
0.1579533,-0.1576244,0.6060036,0.0
0.13240078,-0.1753007,0.614452,0.0
0.1102556,-0.19113505,0.621683,0.0
0.09111695,-0.20495477,0.627888,0.0
0.07461315,-0.21660635,0.6332276,0.0
0.0604084,-0.2259568,0.63783664,0.0
0.048204668,-0.23289493,0.6418286,0.0
0.03774062,-0.2373324,0.6452992,0.0
0.028789012,-0.23920462,0.6483294,0.0
0.021153351,-0.2384713,0.650988,0.0
0.014664348,-0.23511678,0.6533338,0.0
0.009176429,-0.22915035,0.6554171,0.0
0.004564489,-0.22060606,0.65728116,0.0
7.2094647E-4,-0.2095423,0.65896344,0.0
-0.0024468605,-0.19604144,0.6604964,0.0
-0.005018968,-0.1802089,0.6619083,0.0
-0.0070647695,-0.16217229,0.6632239,0.0
-0.008644719,-0.14208004,0.66446483,0.0
-0.009811791,-0.120100096,0.6656501,0.0
-0.010612721,-0.09641838,0.6667964,0.0
-0.011089049,-0.07123691,0.6679184,0.0
-0.011278004,-0.044771925,0.66902894,0.0
-0.011213234,-0.017251894,0.67013925,0.0
-0.01092542,0.011084718,0.67125916,0.0
-0.010442773,0.03999164,0.6723971,0.0
-0.009791445,0.069217205,0.67356014,0.0
-0.008995855,0.09850665,0.67475444,0.0
-0.008078952,0.12760462,0.67598486,0.0
-0.007062412,0.15625748,0.67725533,0.0
-0.005966788,0.18421578,0.67856884,0.0
-0.004811625,0.21123666,0.67992735,0.0
-0.003615529,0.23708604,0.68133223,0.0
-0.0023962136,0.2615409,0.6827838,0.0
-0.0011705188,0.28439146,0.6842817,0.0
4.5585795E-5,0.305443,0.68582493,0.0
0.0012370164,0.32451773,0.6874117,0.0
0.002389602,0.34145677,0.6890398,0.0
0.0034901176,0.35612127,0.69070643,0.0
0.0045263236,0.3683938,0.6924081,0.0
0.005487011,0.37817967,0.69414115,0.0
0.0063620433,0.3854077,0.69590145,0.0
0.007142401,0.39003074,0.69768447,0.0
0.00782022,0.3920264,0.69948554,0.0
0.008388828,0.39139712,0.70129985,0.0
0.008842773,0.38817006,0.70312226,0.0
0.009177849,0.38239694,0.70494777,0.0
0.009391113,0.37415373,0.7067712,0.0
0.009480884,0.3635394,0.70858747,0.0
0.009446752,0.3506756,0.71039164,0.0
0.009289561,0.33570516,0.7121788,0.0
0.009011388,0.31879067,0.7139444,0.0
0.008615515,0.30011326,0.7156839,0.0
0.00810639,0.27987057,0.71739316,0.0
0.0074895737,0.2582751,0.7190684,0.0
0.0067716828,0.235552,0.72070605,0.0
0.0059603197,0.21193703,0.7223029,0.0
0.0050640004,0.18767446,0.7238563,0.0
0.0040920633,0.16301447,0.7253638,0.0
0.0030545818,0.13821106,0.7268235,0.0
0.0019622648,0.11351942,0.728234,0.0
8.263514E-4,0.089193664,0.7295942,0.0
-3.4149643E-4,0.06548435,0.7309034,0.0
-0.0015293075,0.042636115,0.7321616,0.0
-0.0027249155,0.020885423,0.733369,0.0
