fitness,g0,g1,g2,g3,g4,g5
0.349888,-0.48840547,-0.4337842,-0.08589258,0.5755674,-0.11496633,-0.59047616
0.32986566,-0.13119687,-0.31803694,0.21801814,0.982531,-0.46744975,0.3759632
0.35242108,0.56779253,0.44017088,0.5264929,-0.0035594702,-0.87512034,-0.7484872
0.35685775,0.7133834,0.14646691,-0.7255899,-0.35003337,-0.35095882,0.79023445
0.3582746,-0.4787317,-0.053880513,-0.08156717,0.44786495,-0.75752854,-0.46124643
0.33948785,0.3908479,0.9973018,-0.015767455,0.064128555,-0.8231269,-0.5331249
0.34864375,-0.38234666,0.61724865,-0.5610035,-0.36492828,-0.23229419,0.0015290084
0.35916096,-0.92285585,-0.08233213,-0.26187968,-0.642508,0.09515021,-0.2791661
0.35702714,0.9670027,0.2890002,-0.2449927,-0.18813938,-0.38973945,-0.31937456
0.33692256,-0.49765766,0.8836909,4.2824677E-4,-0.44706818,-0.5649834,-0.21516678
0.35154212,0.95943063,0.90425086,-0.123850286,0.27178755,-0.60268265,-0.51467437
0.34377447,-0.6192744,-0.13208014,0.4564308,0.0899621,-0.14175501,0.5479528
0.35141227,0.37236512,-0.43951663,-0.57565594,-0.36313304,-0.8076494,-0.56688654
0.32374316,0.33198702,0.018167878,0.0142203355,0.013530186,0.4412018,-0.6234281
0.3217503,0.25400686,0.6015808,-0.5275366,0.2802208,0.27541548,-0.94646204
0.36374876,0.5920513,0.475661,0.66369474,0.70960367,-0.7508896,-0.087325156
0.35127234,0.663474,-0.20228001,-0.25749812,-0.27763754,-0.73710215,-0.16530548
0.34765267,-0.49381593,0.42327145,-0.20033245,-0.36130595,0.36343917,0.36861596
0.3537758,-0.1649219,-0.21853717,-0.20765407,-0.10033609,-0.6026056,-0.013092314
0.34948692,0.97732526,0.7687352,-0.09789672,0.064543426,0.050613523,0.16373762
0.37777105,-0.52784747,-0.19471131,0.6205698,0.20631982,0.76125574,0.3659109
0.31985098,0.43577978,-0.59835124,0.1012386,-0.13576181,-0.053318717,0.09550414
0.32818872,-0.58848566,0.03676944,-0.5805915,-0.96472704,-0.080106065,-0.03272353
0.34749815,0.1303398,-0.025179284,0.107480444,-0.021739388,0.39356744,0.021026492
0.32953757,-0.22906792,0.036895182,-0.62707156,0.25902537,-0.75721735,-0.5461762
0.3377732,-0.24837959,0.5023905,0.4896415,-0.94264674,0.939395,0.5707626
0.35795078,0.7316917,-0.97131944,0.056785114,0.31492352,-0.3395028,0.4055454
0.34999365,0.9789005,-0.017489389,0.12321222,-0.19424729,0.9858573,0.40592608
0.3475538,-0.26921198,0.2731908,-0.87693226,-0.06118357,0.7855104,0.13421206
0.35992816,-0.37380442,-0.5922972,-0.7777407,-0.12899774,0.49885455,0.22771725
0.3515877,0.23368952,-0.23841798,-0.038357638,-0.35005325,0.49269584,0.09510543
0.35436767,0.8366697,0.5544416,0.42157784,0.78790283,0.78547,0.7228075
0.3277668,-0.17820345,-0.2529874,0.42702854,-0.67006254,-0.42462274,0.2118895
0.38187683,0.99879575,-0.0285651,-0.3231436,-0.7578205,-0.022128131,0.13362986
0.3562878,-0.41561174,-0.046505384,0.566675,0.40348348,0.3264756,0.5679875
0.32934892,-0.12128778,-0.50653064,0.17111938,0.2921828,0.32808304,-0.21776316
0.33868432,-0.4257357,-0.05540643,-0.2962998,-0.50278324,-0.47868392,0.17671895
0.33857796,-0.7515275,-0.22056073,0.06259978,-0.38507238,-0.15650141,-0.50090766
0.35166693,0.22055763,0.16186377,-0.15055834,0.8230264,-0.6336538,-0.36334673
0.34950697,0.06300101,0.18180482,0.039838202,-0.092154436,0.5838309,0.73919624
0.36015412,-0.3872276,-0.14473908,-0.19500232,-0.012596745,-0.8778239,-0.30616722
0.32984647,-0.78886473,0.2932317,0.15750161,-0.1347921,-0.59556687,0.8868077
0.34846795,-0.14709713,-0.15436736,0.5140811,-0.6281375,0.13839033,0.18578196
0.35272568,0.39494264,0.111796275,0.14122963,0.2150753,-0.028985731,0.31468305
0.34998703,0.004430302,-0.25686154,0.65730083,0.37045473,0.15811001,-0.7808397
0.35507727,0.26888624,-0.9313928,-0.15766092,-0.19242403,0.60626864,0.09852343
0.3305254,0.3008632,-0.35844445,0.19659556,-0.5154711,0.81939006,-0.28559238
0.33128306,0.4556008,0.1948464,0.7321123,-0.35945132,-0.38269094,0.7226788
0.34890053,-0.096332826,0.20969537,0.4997668,-0.29450315,-0.8162396,0.04093204
0.38258368,0.9548127,0.25417984,-0.9792205,0.07035592,0.70014966,-0.0072424063
0.3291891,0.23499553,0.34153342,-0.3303858,0.5757195,0.50932944,-0.6813019
0.35977143,0.30484807,0.14800255,0.67810416,0.2363638,-0.5516728,-0.30544004
0.35907727,0.07734504,-0.13296986,0.6330576,0.068590805,-0.3395681,-0.52603346
