Generation,Max fitness,Min fitness,Avg fitness,Variance
1,-0.65021706,-22.621885,-2.6432486,1149.3774
2,-0.65021706,-9.69659,-1.657728,210.85777
3,-0.65021706,-9.69659,-1.6067604,200.49829
4,-0.65021706,-29.944176,-2.027129,1122.275
5,-0.65021706,-14.929408,-1.6926987,348.36917
6,-0.65021706,-8.260889,-1.3916295,124.68635
7,-0.3614585,-15.71802,-1.6650598,534.6781
8,-0.3614585,-17.505007,-1.6192781,627.13043
9,-0.3614585,-17.658735,-1.975416,784.5828
10,-0.3614585,-18.875439,-1.8808255,659.78827
11,-0.5540649,-6.2983813,-1.5236423,99.83286
12,-0.5540649,-16.806496,-1.7965962,533.3191
13,-0.5540649,-33.0969,-2.028082,1167.9606
14,-0.5540649,-20.798847,-1.72374,478.26184
15,-0.5540649,-21.322102,-1.7451843,485.0742
16,-0.5540649,-22.771467,-1.7610546,681.643
17,-0.5540649,-29.697487,-2.4128783,1625.3976
18,-0.5540649,-5.941476,-1.5149456,83.31077
19,-0.5540649,-9.582704,-1.7093488,194.52824
20,-0.5540649,-12.06501,-1.7925403,315.5735
21,-0.4524746,-12.280514,-1.6418941,322.55222
22,-0.4524746,-10.002879,-1.5495282,204.34596
23,-0.26986602,-9.987611,-1.4657187,177.46754
24,-0.26986602,-26.60581,-1.6327629,736.7714
25,-0.26986602,-5.207315,-1.3468251,69.56171
26,-0.26986602,-12.08375,-1.45573,175.54141
27,-0.26986602,-12.08375,-1.6154746,269.1777
28,-0.26986602,-27.86463,-1.5970834,790.83887
29,-0.26986602,-10.442601,-1.4556189,174.22498
30,-0.26986602,-9.012323,-1.4994309,178.75078
31,-0.07780004,-11.691052,-1.4047132,265.10284
32,-0.07780004,-5.5677357,-1.0505366,67.7807
33,-0.07780004,-6.665178,-1.2069889,118.56776
34,-0.07780004,-13.901685,-1.3245474,279.5465
35,-0.07780004,-11.725542,-1.187168,194.88536
36,-0.07780004,-11.725542,-1.2706444,255.64395
37,-0.07780004,-11.413512,-1.3473953,258.97894
38,-0.07780004,-8.205729,-1.2147906,176.53633
39,-0.07780004,-12.12956,-1.5131565,435.41232
40,-0.07780004,-10.267578,-1.4740965,326.43304
41,-0.18299799,-9.985798,-1.702112,328.94296
42,-0.18299799,-6.9718075,-1.4416652,156.95845
43,-0.18299799,-10.990949,-1.5397164,248.80032
44,-0.18299799,-16.113335,-1.6186839,447.66953
45,-0.18299799,-7.9234743,-1.5301032,188.82626
46,-0.18299799,-22.153267,-1.690051,631.471
47,-0.18299799,-7.718554,-1.4325908,168.79036
48,-0.18299799,-13.469357,-1.6611373,409.2959
49,-0.18299799,-20.452717,-1.4501083,464.56854
50,-0.18299799,-30.841042,-1.7078916,995.64136
51,-0.12355826,-10.649825,-1.411943,248.24971
52,-0.12355826,-21.633553,-1.5682977,616.28064
53,-0.12355826,-10.88234,-1.4069678,290.6035
54,-0.07661652,-6.9444966,-1.0858079,76.93243
55,-0.07661652,-16.508776,-1.4744421,557.0463
56,-0.07661652,-7.5490932,-1.2032394,107.104744
57,-0.07661652,-17.205364,-1.2733327,356.4826
58,-0.07661652,-17.205364,-1.3312496,329.72928
59,-0.07661652,-7.71034,-1.2315091,140.8188
60,-0.07661652,-11.703952,-1.521302,307.54993
61,0.077310674,-14.619593,-1.0423969,292.85733
62,0.077310674,-16.820702,-1.0878882,396.83197
63,0.077310674,-16.820702,-1.05319,345.79913
64,0.077310674,-26.97274,-1.4519771,857.8664
65,0.077310674,-7.0090423,-1.0440888,131.10417
66,0.077310674,-17.471365,-1.5353659,633.4495
67,0.077310674,-26.535967,-1.6010991,1141.6307
68,0.077310674,-24.239286,-1.176816,636.53235
69,0.077310674,-19.604176,-1.4940418,911.54584
70,0.077310674,-12.611834,-1.1707718,384.6329
71,0.0733606,-27.925554,-1.5327234,963.858
72,-0.014188344,-27.925554,-2.0409958,1870.4819
73,-0.014188344,-12.599338,-1.5504488,466.30084
74,-0.014188344,-29.773481,-1.937656,1811.6442
75,-0.014188344,-23.230467,-1.7138896,950.46875
76,-0.014188344,-15.590005,-1.9064021,677.0068
77,-0.014188344,-10.843086,-1.3480037,222.99565
78,-0.014188344,-6.8018217,-1.2332008,148.68163
79,-0.014188344,-10.564404,-1.3634179,270.9408
80,-0.014188344,-13.848544,-1.4794225,489.18417
81,-0.12833062,-11.701007,-1.4688346,191.90094
82,-0.12833062,-14.751674,-1.7435677,529.4417
83,-0.12833062,-14.751674,-1.717833,567.9154
84,-0.12833062,-14.751674,-1.8055159,705.4522
85,-0.12833062,-7.526127,-1.2724401,100.79046
86,-0.12833062,-7.9948277,-1.2990195,115.83573
87,-0.12833062,-12.187557,-1.4677526,235.36726
88,-0.12833062,-8.122309,-1.4818383,162.76375
89,-0.12833062,-8.668007,-1.3677907,154.15271
90,-0.12833062,-18.853748,-1.532048,424.1641
91,0.021843271,-6.719513,-1.1863196,123.196175
92,0.021843271,-13.981037,-1.3372287,322.26346
93,0.021843271,-8.277729,-1.1137879,163.06007
94,0.021843271,-18.230766,-1.3577199,596.3192
95,0.021843271,-8.199496,-1.2439716,196.9633
96,0.021843271,-10.497581,-1.2736387,209.92505
97,0.021843271,-11.1314335,-1.3706666,321.62903
98,0.021843271,-10.013756,-1.3436629,269.3046
99,0.021843271,-9.016053,-1.1955297,165.46077
100,0.021843271,-5.8950844,-1.2170323,164.07184
101,-0.0019383287,-16.188007,-1.3406029,351.4098
102,0.0011637222,-25.028736,-1.5891153,914.3477
103,0.0011637222,-8.290125,-1.2789903,158.58817
104,0.0011637222,-12.8367195,-1.3421624,310.84546
105,0.0011637222,-12.8367195,-1.2048,241.81755
106,0.0011637222,-11.118984,-1.3891488,296.47162
107,0.0011637222,-25.723787,-1.8597922,1371.3335
108,0.0011637222,-11.33868,-1.5424225,350.8542
109,0.0011637222,-7.7566915,-1.4255909,210.6995
110,0.0011637222,-12.153273,-1.4701381,315.2071
111,0.03500326,-19.159792,-1.5416329,589.3105
112,0.03500326,-19.703335,-1.7715216,791.9288
113,0.03500326,-20.71015,-1.4457555,702.1318
114,0.03500326,-7.7095037,-1.3239633,215.70793
115,0.03500326,-12.181057,-1.5234267,365.7179
116,0.03500326,-12.181057,-1.544474,448.4437
117,0.03500326,-6.7008348,-1.1766105,126.98574
118,0.03500326,-7.907676,-1.0541654,86.08988
119,0.03500326,-6.7680345,-1.1926764,124.61373
120,0.03500326,-22.015667,-1.6473614,731.5881
121,0.04409032,-11.423401,-1.529952,411.0028
122,0.04409032,-9.536363,-1.2015432,193.19702
123,0.04409032,-10.614771,-1.3538367,321.26016
124,0.04409032,-17.945837,-1.6262834,632.9186
125,0.04409032,-22.673016,-1.4641916,694.06995
126,0.04409032,-10.281455,-1.6342003,322.6602
127,0.04409032,-22.835861,-1.8182701,1071.1953
128,0.04409032,-9.654102,-1.5298929,337.61743
129,0.04409032,-21.416536,-1.6459662,813.6669
130,0.04409032,-9.170649,-1.1681933,173.13335
131,-0.042111665,-28.187506,-1.6862429,913.8835
132,-0.08609623,-9.886825,-1.5362978,284.3605
133,-0.08609623,-7.2172585,-1.3423561,131.10397
134,-0.08609623,-8.358409,-1.6296903,247.04497
135,-0.08609623,-10.583641,-1.5230457,254.91452
136,-0.08609623,-9.655087,-1.3866494,188.4192
137,-0.08609623,-23.584578,-1.6411786,788.3338
138,-0.08609623,-17.738403,-1.5806526,538.4624
139,-0.08609623,-8.06142,-1.4153528,193.50418
140,-0.08609623,-12.040318,-1.7866397,410.1966
141,-0.08609623,-9.808893,-1.5152359,235.50972
142,-0.0690726,-25.214128,-1.5695578,797.46027
143,-0.0690726,-25.214128,-1.5610139,705.3629
144,-0.0690726,-25.214128,-1.6513066,772.9946
145,-0.0690726,-21.24326,-1.4501249,511.21985
146,-0.0690726,-12.518589,-1.3319582,234.96185
147,-0.0690726,-10.163647,-1.4639724,246.90254
148,-0.0690726,-25.033812,-1.7051221,996.6819
149,-0.0690726,-13.408067,-1.3729105,237.23906
150,-0.0690726,-13.408067,-1.3741448,229.89983
151,-0.0690726,-25.896582,-1.9272177,1262.0846
152,-0.1748433,-15.0089245,-1.6297486,372.95908
153,-0.1748433,-7.2955513,-1.5133467,122.85424
154,-0.1748433,-14.744989,-1.5324036,237.92714
155,-0.1748433,-21.731125,-1.9436748,743.57886
156,-0.1748433,-10.419145,-1.7627994,235.79152
157,-0.1748433,-17.360146,-1.8533034,549.1028
158,-0.1748433,-10.485474,-1.5590265,185.51814
159,-0.1748433,-10.626841,-1.6313864,296.95215
160,-0.1748433,-5.332558,-1.4282947,78.526184
161,-0.15533884,-10.754662,-1.5361992,214.58142
162,-0.14941964,-12.219103,-1.6177642,337.51044
163,-0.14941964,-12.219103,-1.5878036,317.48584
164,-0.14941964,-5.78389,-1.4745245,146.57504
165,-0.14941964,-15.835382,-1.8513759,692.7431
166,-0.14941964,-13.990155,-1.6946645,384.62088
167,-0.14941964,-9.535827,-1.6267565,269.56863
168,-0.14941964,-10.752192,-1.5720499,288.69177
169,-0.14941964,-34.58927,-2.0344622,1602.9019
170,-0.14941964,-14.4016285,-1.5886873,397.66116
171,-0.08474153,-20.733929,-1.5590734,513.88666
172,-0.08474153,-16.71868,-1.7145948,478.44662
173,-0.08474153,-8.430543,-1.4444281,173.45422
174,-0.08474153,-41.239532,-1.9001129,1862.7386
175,-0.08474153,-25.974234,-1.8007873,788.75055
176,-0.08474153,-31.192223,-2.2203681,1752.8024
177,-0.08474153,-13.411832,-1.7648005,401.94897
178,-0.08474153,-29.199465,-1.8436016,981.6138
179,-0.08474153,-19.129,-1.6074735,463.09564
180,-0.08474153,-16.624796,-1.7899482,652.0936
181,-0.10549749,-14.290039,-1.6093639,347.40396
182,-0.12609014,-9.444038,-1.7131599,298.74133
183,-0.12609014,-32.57146,-2.3647294,1829.2206
184,-0.12609014,-8.0519,-1.6856235,235.84462
185,-0.12609014,-13.374695,-1.7424741,421.78845
186,-0.12609014,-22.538225,-2.4576478,1494.574
187,-0.12609014,-21.686594,-2.0360568,837.35657
188,-0.12609014,-16.551428,-1.6376877,453.59103
189,-0.12609014,-11.054526,-1.4394138,150.2983
190,-0.12609014,-11.054526,-1.5959332,289.87723
191,-0.1461565,-13.787462,-1.7892013,450.45337
192,-0.18989633,-14.646543,-1.5794187,282.3118
193,-0.18989633,-23.040396,-1.9190403,817.30927
194,-0.18989633,-16.530298,-1.8378913,471.54312
195,-0.18989633,-16.530298,-1.5379273,374.29944
196,-0.18989633,-9.381418,-1.6201059,220.90019
197,-0.18989633,-21.690062,-1.7644393,614.79407
198,-0.18989633,-10.864637,-1.8442043,365.32816
199,-0.18989633,-31.986967,-2.2166781,1496.4209
200,-0.18989633,-9.600249,-1.4643055,148.2898
