neur0,input0,neur1,input1
0.45862344,-0.0,0.48316061,0.0
0.3966267,-0.037906896,0.50765896,0.0
0.33782923,-0.075349316,0.52877986,0.0
0.28320453,-0.11187576,0.5469135,0.0
0.23329574,-0.14706029,0.5624395,0.0
0.18828808,-0.18051445,0.57571054,0.0
0.14810343,-0.21189806,0.58704346,0.0
0.112491496,-0.24092874,0.596717,0.0
0.0811042,-0.26738974,0.6049725,0.0
0.053549908,-0.29113603,0.612017,0.0
0.029429711,-0.31209823,0.618027,0.0
0.008359504,-0.33028457,0.62315255,0.0
-0.010018025,-0.34578067,0.62752134,0.0
-0.026028069,-0.35874695,0.6312417,0.0
-0.039962552,-0.36941412,0.6344056,0.0
-0.052081402,-0.37807697,0.63709176,0.0
-0.062615044,-0.3850855,0.639367,0.0
-0.071767434,-0.39083558,0.64128834,0.0
-0.07971916,-0.39575768,0.64290464,0.0
-0.086630374,-0.4003046,0.6442576,0.0
-0.09264344,-0.40493876,0.64538246,0.0
-0.09788519,-0.41011956,0.6463093,0.0
-0.1024689,-0.41629001,0.6470636,0.0
-0.10649585,-0.4238646,0.6476665,0.0
-0.11005663,-0.43321735,0.64813566,0.0
-0.11323218,-0.44467154,0.6484855,0.0
-0.11609457,-0.4584906,0.64872754,0.0
-0.11870764,-0.47487044,0.648871,0.0
-0.12112754,-0.49393418,0.64892286,0.0
-0.12340304,-0.5157288,0.6488881,0.0
-0.12557594,-0.5402228,0.6487702,0.0
-0.12768126,-0.5673088,0.64857125,0.0
-0.12974761,-0.5968046,0.6482922,0.0
-0.13179746,-0.62845975,0.64793307,0.0
-0.13384734,-0.6619617,0.64749324,0.0
-0.13590832,-0.6969443,0.64697164,0.0
-0.13798633,-0.7329993,0.6463669,0.0
-0.14008261,-0.7696861,0.64567757,0.0
-0.1421942,-0.8065451,0.64490217,0.0
-0.14431445,-0.84311044,0.64403945,0.0
-0.1464337,-0.8789226,0.6430886,0.0
-0.1485397,-0.9135415,0.6420489,0.0
-0.15061845,-0.9465589,0.64092046,0.0
-0.15265469,-0.97760934,0.63970375,0.0
-0.15463263,-1.006381,0.6383999,0.0
-0.15653652,-1.0326241,0.6370105,0.0
-0.1583513,-1.0561571,0.6355379,0.0
-0.1600631,-1.0768733,0.633985,0.0
-0.16165984,-1.0947422,0.632355,0.0
-0.16313149,-1.1098117,0.6306516,0.0
-0.16447066,-1.1222055,0.628879,0.0
-0.16567267,-1.1321205,0.6270415,0.0
-0.16673592,-1.1398208,0.6251436,0.0
-0.16766185,-1.1456304,0.62318975,0.0
-0.16845503,-1.1499238,0.6211844,0.0
-0.16912307,-1.153116,0.6191318,0.0
-0.16967641,-1.1556504,0.61703575,0.0
-0.17012809,-1.1579866,0.61489964,0.0
-0.17049344,-1.1605872,0.6127263,0.0
-0.1707896,-1.1639053,0.610518,0.0
-0.17103514,-1.1683707,0.6082762,0.0
-0.17124952,-1.1743796,0.6060016,0.0
-0.17145255,-1.1822814,0.6036941,0.0
-0.1716639,-1.1923705,0.60135275,0.0
-0.1719025,-1.2048774,0.5989759,0.0
-0.17218597,-1.2199616,0.59656084,0.0
-0.17253031,-1.2377088,0.5941044,0.0
-0.17294921,-1.2581265,0.59160256,0.0
-0.17345388,-1.2811447,0.5890509,0.0
-0.17405258,-1.306618,0.5864442,0.0
-0.17475049,-1.3343292,0.58377725,0.0
-0.17554948,-1.3639957,0.5810444,0.0
-0.17644814,-1.395277,0.5782399,0.0
-0.17744176,-1.4277844,0.5753583,0.0
-0.17852248,-1.4610924,0.572394,0.0
-0.17967954,-1.4947491,0.56934196,0.0
-0.18089953,-1.5282905,0.5661975,0.0
-0.18216684,-1.5612527,0.5629565,0.0
-0.183464,-1.5931845,0.5596155,0.0
-0.18477225,-1.6236606,0.5561718,0.0
-0.18607207,-1.6522936,0.5526235,0.0
-0.18734357,-1.6787437,0.54896957,0.0
-0.1885673,-1.7027301,0.54520977,0.0
-0.18972453,-1.7240367,0.5413448,0.0
-0.19079794,-1.7425197,0.5373762,0.0
-0.191772,-1.7581108,0.5333063,0.0
-0.19263346,-1.7708195,0.529138,0.0
-0.19337164,-1.7807323,0.52487504,0.0
-0.19397877,-1.7880113,0.52052146,0.0
