neur0,input0,neur1,input1
0.9999006,-0.0,0.53940976,0.0
0.9996181,-0.037906896,0.57421154,0.0
0.9986834,-0.075349316,0.6046496,0.0
0.99587905,-0.11187576,0.63128644,0.0
0.98823315,-0.14706029,0.6544151,0.0
0.96953565,-0.18051445,0.67393583,0.0
0.9302698,-0.21189806,0.68926185,0.0
0.8655656,-0.24092874,0.699644,0.0
0.7920323,-0.26738974,0.70525354,0.0
0.7399562,-0.29113603,0.7077093,0.0
0.7163465,-0.31209823,0.7087632,0.0
0.7081297,-0.33028457,0.7093212,0.0
0.7053544,-0.34578067,0.70970094,0.0
0.7042421,-0.35874695,0.7100007,0.0
0.70365864,-0.36941412,0.710253,0.0
0.70328265,-0.37807697,0.71047145,0.0
0.7030161,-0.3850855,0.71066386,0.0
0.70281893,-0.39083558,0.7108352,0.0
0.7026638,-0.39575768,0.71098906,0.0
0.70252466,-0.4003046,0.71112704,0.0
0.7023743,-0.40493876,0.71124953,0.0
0.70218414,-0.41011956,0.7113554,0.0
0.7019252,-0.41629001,0.71144176,0.0
0.7015678,-0.4238646,0.7115045,0.0
0.7010835,-0.43321735,0.71153843,0.0
0.70044535,-0.44467154,0.7115369,0.0
0.6996285,-0.4584906,0.7114924,0.0
0.6986111,-0.47487044,0.7113967,0.0
0.6973749,-0.49393418,0.71124107,0.0
0.6959057,-0.5157288,0.7110163,0.0
0.69419366,-0.5402228,0.7107133,0.0
0.69223404,-0.5673088,0.71032304,0.0
0.6900266,-0.5968046,0.7098369,0.0
0.6875765,-0.62845975,0.70924675,0.0
0.68489337,-0.6619617,0.7085455,0.0
0.6819919,-0.6969443,0.7077269,0.0
0.6788907,-0.7329993,0.706786,0.0
0.6756122,-0.7696861,0.70571893,0.0
0.6721816,-0.8065451,0.7045235,0.0
0.668627,-0.84311044,0.7031989,0.0
0.6649775,-0.8789226,0.7017457,0.0
0.661263,-0.9135415,0.700166,0.0
0.65751284,-0.9465589,0.6984634,0.0
0.6537558,-0.97760934,0.69664276,0.0
0.65001833,-1.006381,0.69471014,0.0
0.64632404,-1.0326241,0.6926726,0.0
0.64269346,-1.0561571,0.6905381,0.0
0.6391428,-1.0768733,0.68831515,0.0
0.6356839,-1.0947422,0.6860126,0.0
0.63232404,-1.1098117,0.6836394,0.0
0.62906516,-1.1222055,0.6812043,0.0
0.62590444,-1.1321205,0.6787155,0.0
0.62283385,-1.1398208,0.67618054,0.0
0.6198407,-1.1456304,0.67360604,0.0
0.6169081,-1.1499238,0.67099726,0.0
0.61401474,-1.153116,0.6683581,0.0
0.6111362,-1.1556504,0.66569084,0.0
0.6082451,-1.1579866,0.66299605,0.0
0.60531217,-1.1605872,0.6602726,0.0
0.60230666,-1.1639053,0.6575175,0.0
0.59919715,-1.1683707,0.6547259,0.0
0.59595287,-1.1743796,0.6518913,0.0
0.59254354,-1.1822814,0.64900553,0.0
0.58894134,-1.1923705,0.6460591,0.0
0.5851207,-1.2048774,0.6430411,0.0
0.5810589,-1.2199616,0.6399398,0.0
0.5767377,-1.2377088,0.6367426,0.0
0.5721429,-1.2581265,0.6334365,0.0
0.56726474,-1.2811447,0.63000834,0.0
0.5620983,-1.306618,0.62644506,0.0
0.55664384,-1.3343292,0.6227341,0.0
0.5509066,-1.3639957,0.61886376,0.0
0.5448962,-1.395277,0.6148232,0.0
0.53862697,-1.4277844,0.610603,0.0
0.5321169,-1.4610924,0.6061951,0.0
0.52538764,-1.4947491,0.6015933,0.0
0.51846355,-1.5282905,0.59679323,0.0
0.51137096,-1.5612527,0.59179246,0.0
0.5041373,-1.5931845,0.5865905,0.0
0.4967903,-1.6236606,0.581189,0.0
0.4893577,-1.6522936,0.57559127,0.0
0.48186535,-1.6787437,0.5698027,0.0
0.47433776,-1.7027301,0.5638302,0.0
0.46679607,-1.7240367,0.55768204,0.0
0.45925844,-1.7425197,0.5513678,0.0
0.45173907,-1.7581108,0.54489774,0.0
0.44424757,-1.7708195,0.5382826,0.0
0.43678904,-1.7807323,0.5315332,0.0
0.42936364,-1.7880113,0.52466017,0.0
0.4219666,-1.7928879,0.5176733,0.0
0.4145881,-1.7956579,0.5105815,0.0
0.40721366,-1.7966722,0.50339204,0.0
0.39982423,-1.7963278,0.49611053,0.0
0.3923969,-1.7950555,0.48874053,0.0
0.38490492,-1.7933092,0.48128337,0.0
0.3773191,-1.7915517,0.4737378,0.0
0.3696076,-1.7902423,0.46610016,0.0
0.36173734,-1.789825,0.45836407,0.0
0.35367447,-1.790714,0.45052072,0.0
0.34538546,-1.7932833,0.4425589,0.0
0.3368377,-1.7978565,0.4344652,0.0
0.3280002,-1.8046969,0.42622423,0.0
0.31884494,-1.8140001,0.41781902,0.0
0.30934674,-1.825889,0.40923142,0.0
0.29948467,-1.8404104,0.40044245,0.0
0.28924188,-1.8575327,0.3914328,0.0
0.27860665,-1.8771485,0.38218328,0.0
0.2675722,-1.899075,0.37267542,0.0
0.25613704,-1.923062,0.36289176,0.0
0.24430482,-1.9487967,0.35281658,0.0
0.23208478,-1.9759139,0.342436,0.0
0.2194905,-2.004004,0.33173868,0.0
0.20654039,-2.0326285,0.32071605,0.0
0.19325699,-2.0613275,0.3093625,0.0
0.17966586,-2.0896351,0.29767564,0.0
0.16579558,-2.117094,0.2856565,0.0
0.15167667,-2.143264,0.2733094,0.0
0.13734077,-2.1677377,0.26064205,0.0
0.12281988,-2.1901515,0.24766518,0.0
0.10814542,-2.2101943,0.23439248,0.0
0.09334755,-2.2276175,0.22084016,0.0
0.078454174,-2.2422416,0.20702663,0.0
0.06349062,-2.2539604,0.19297187,0.0
0.048478294,-2.2627456,0.17869702,0.0
0.033434823,-2.2686465,0.1642238,0.0
0.018373296,-2.2717876,0.14957386,0.0
0.0033017662,-2.2723677,0.13476829,0.0
-0.011776478,-2.270652,0.11982699,0.0
-0.026863374,-2.2669659,0.10476822,0.0
-0.04196555,-2.261685,0.08960814,0.0
-0.057094432,-2.2552254,0.07436044,0.0
-0.0722654,-2.2480314,0.059036087,0.0
-0.08749753,-2.2405632,0.043643147,0.0
-0.102812774,-2.2332847,0.028186746,0.0
-0.11823492,-2.2266488,0.012669132,0.0
-0.13378906,-2.2210865,-0.0029101635,0.0
-0.14950034,-2.2169938,-0.01855403,0.0
-0.16539301,-2.2147212,-0.034267392,0.0
-0.18148936,-2.2145622,-0.050056756,0.0
-0.19780903,-2.216748,-0.06592967,0.0
-0.21436758,-2.2214386,-0.08189413,0.0
-0.23117597,-2.228719,-0.097957954,0.0
-0.24823996,-2.2385967,-0.11412818,0.0
-0.2655592,-2.2510023,-0.13041043,0.0
-0.283127,-2.2657905,-0.14680828,0.0
-0.30093,-2.2827435,-0.16332287,0.0
-0.3189485,-2.3015795,-0.17995228,0.0
-0.33715594,-2.3219583,-0.19669135,0.0
-0.35551992,-2.3434918,-0.21353129,0.0
-0.3740024,-2.3657541,-0.23045968,0.0
-0.39256048,-2.388295,-0.2474604,0.0
-0.4111475,-2.410651,-0.2645138,0.0
-0.42971355,-2.4323585,-0.2815969,0.0
-0.4482074,-2.4529681,-0.2986839,0.0
-0.46657678,-2.4720557,-0.31574655,0.0
-0.48477012,-2.4892344,-0.3327547,0.0
-0.5027378,-2.5041664,-0.349677,0.0
-0.52043295,-2.516572,-0.36648148,0.0
-0.53781265,-2.5262368,-0.38313633,0.0
-0.55483896,-2.533019,-0.3996104,0.0
-0.571479,-2.5368516,-0.41587394,0.0
-0.58770686,-2.5377457,-0.4318992,0.0
-0.6035025,-2.5357895,-0.44766068,0.0
-0.61885285,-2.5311465,-0.4631359,0.0
-0.6337515,-2.5240498,-0.4783053,0.0
-0.6481984,-2.5147967,-0.49315268,0.0
-0.6621995,-2.5037398,-0.5076653,0.0
-0.6757662,-2.491277,-0.52183366,0.0
-0.6889147,-2.4778404,-0.5356516,0.0
-0.70166516,-2.463885,-0.5491163,0.0
-0.7140405,-2.4498744,-0.5622275,0.0
-0.7260657,-2.436269,-0.57498753,0.0
-0.7377669,-2.4235132,-0.5874011,0.0
-0.7491702,-2.412022,-0.5994748,0.0
-0.76030046,-2.4021702,-0.61121637,0.0
-0.771181,-2.3942811,-0.62263495,0.0
-0.78183234,-2.3886187,-0.63374025,0.0
-0.79227185,-2.3853788,-0.6445422,0.0
-0.80251276,-2.3846848,-0.6550508,0.0
-0.812564,-2.386583,-0.6652758,0.0
-0.8224302,-2.391043,-0.6752263,0.0
-0.8321112,-2.3979566,-0.6849105,0.0
-0.84160256,-2.407142,-0.6943359,0.0
-0.8508957,-2.418349,-0.7035089,0.0
-0.85997814,-2.4312654,-0.71243495,0.0
-0.8688347,-2.4455256,-0.7211183,0.0
-0.87744755,-2.4607227,-0.72956216,0.0
-0.8857975,-2.4764166,-0.7377691,0.0
-0.89386445,-2.492149,-0.7457409,0.0
-0.9016288,-2.5074565,-0.75347847,0.0
-0.9090716,-2.5218806,-0.76098263,0.0
-0.91617614,-2.5349836,-0.7682537,0.0
-0.922928,-2.5463593,-0.77529216,0.0
-0.9293158,-2.5556455,-0.7820986,0.0
-0.935332,-2.5625327,-0.78867364,0.0
-0.9409727,-2.5667737,-0.79501855,0.0
-0.9462378,-2.5681906,-0.80113494,0.0
-0.95113134,-2.5666797,-0.8070252,0.0
-0.9556608,-2.562214,-0.81269205,0.0
-0.95983726,-2.554844,-0.81813914,0.0
-0.9636745,-2.5446966,-0.82337064,0.0
-0.9671887,-2.531972,-0.82839125,0.0
-0.970398,-2.5169375,-0.8332063,0.0
-0.9733219,-2.4999187,-0.83782154,0.0
-0.97598046,-2.4812946,-0.84224325,0.0
-0.97839415,-2.4614816,-0.8464779,0.0
-0.98058313,-2.4409244,-0.8505323,0.0
-0.9825671,-2.4200861,-0.8544133,0.0
-0.98436475,-2.39943,-0.85812795,0.0
-0.98599374,-2.379411,-0.8616833,0.0
-0.9874702,-2.3604603,-0.8650863,0.0
-0.9888091,-2.3429737,-0.86834383,0.0
-0.99002373,-2.3273034,-0.8714626,0.0
-0.99112594,-2.3137436,-0.87444896,0.0
-0.99212635,-2.3025246,-0.8773094,0.0
-0.99303395,-2.2938075,-0.88004977,0.0
-0.9938568,-2.287677,-0.882676,0.0
-0.9946017,-2.2841415,-0.8851935,0.0
-0.99527484,-2.2831318,-0.8876076,0.0
-0.9958813,-2.284502,-0.8899231,0.0
-0.99642587,-2.2880359,-0.89214486,0.0
-0.99691284,-2.2934515,-0.8942773,0.0
-0.99734616,-2.3004088,-0.8963246,0.0
-0.9977297,-2.3085213,-0.8982908,0.0
-0.99806726,-2.3173623,-0.9001797,0.0
-0.9983624,-2.3264835,-0.90199494,0.0
-0.99861884,-2.3354223,-0.90373987,0.0
-0.99884015,-2.343716,-0.9054178,0.0
-0.9990299,-2.350916,-0.90703183,0.0
-0.99919146,-2.3566,-0.90858495,0.0
-0.99932826,-2.360382,-0.91007996,0.0
-0.9994433,-2.3619268,-0.9115196,0.0
-0.9995396,-2.3609555,-0.9129063,0.0
-0.9996197,-2.3572557,-0.9142426,0.0
-0.9996862,-2.3506868,-0.9155309,0.0
-0.999741,-2.341184,-0.9167734,0.0
-0.99978614,-2.3287597,-0.917972,0.0
-0.9998232,-2.3135042,-0.919129,0.0
-0.9998536,-2.295583,-0.9202461,0.0
-0.9998785,-2.2752306,-0.92132527,0.0
-0.9998989,-2.2527456,-0.92236805,0.0
-0.9999156,-2.2284822,-0.9233762,0.0
-0.9999293,-2.2028396,-0.92435116,0.0
-0.9999406,-2.1762514,-0.92529446,0.0
-0.9999499,-2.1491735,-0.9262075,0.0
-0.9999575,-2.1220713,-0.9270914,0.0
-0.9999639,-2.0954049,-0.9279477,0.0
-0.9999692,-2.0696204,-0.92877734,0.0
-0.9999736,-2.0451324,-0.92958146,0.0
-0.9999773,-2.022317,-0.9303612,0.0
-0.99998045,-2.0014982,-0.93111753,0.0
-0.99998313,-1.9829398,-0.9318514,0.0
-0.9999854,-1.966838,-0.93256366,0.0
-0.9999873,-1.9533163,-0.9332552,0.0
-0.999989,-1.9424213,-0.9339268,0.0
-0.9999904,-1.9341229,-0.9345793,0.0
-0.99999166,-1.9283131,-0.93521345,0.0
-0.9999928,-1.9248104,-0.9358298,0.0
-0.9999937,-1.923365,-0.93642914,0.0
-0.9999945,-1.9236643,-0.9370121,0.0
-0.99999523,-1.9253445,-0.93757915,0.0
-0.9999959,-1.9279983,-0.93813103,0.0
-0.9999964,-1.9311864,-0.9386682,0.0
-0.9999969,-1.934452,-0.9391912,0.0
-0.9999973,-1.9373318,-0.93970054,0.0
-0.9999977,-1.9393681,-0.9401967,0.0
-0.999998,-1.9401253,-0.9406801,0.0
-0.9999983,-1.9391989,-0.94115114,0.0
-0.9999985,-1.9362265,-0.94161034,0.0
-0.9999987,-1.9309009,-0.942058,0.0
-0.99999887,-1.9229771,-0.94249463,0.0
-0.99999905,-1.9122775,-0.94292045,0.0
-0.99999917,-1.8987007,-0.9433359,0.0
-0.9999993,-1.8822216,-0.94374126,0.0
-0.99999934,-1.8628917,-0.94413686,0.0
-0.9999994,-1.8408403,-0.94452304,0.0
-0.99999946,-1.8162688,-0.9449001,0.0
-0.9999995,-1.7894453,-0.9452683,0.0
-0.9999996,-1.7606983,-0.94562787,0.0
-0.99999964,-1.7304069,-0.9459791,0.0
-0.9999997,-1.6989889,-0.9463223,0.0
-0.9999997,-1.6668906,-0.9466577,0.0
-0.9999997,-1.6345758,-0.9469855,0.0
-0.99999976,-1.6025081,-0.94730586,0.0
-0.99999976,-1.5711434,-0.9476191,0.0
-0.99999976,-1.5409136,-0.9479253,0.0
-0.9999998,-1.5122159,-0.94822484,0.0
-0.9999998,-1.4854007,-0.94851786,0.0
-0.9999998,-1.4607633,-0.94880444,0.0
-0.9999998,-1.4385353,-0.9490848,0.0
-0.9999998,-1.4188765,-0.9493592,0.0
-0.9999998,-1.4018729,-0.94962764,0.0
-0.9999999,-1.387532,-0.94989043,0.0
-0.9999999,-1.3757845,-0.95014775,0.0
-0.9999999,-1.3664851,-0.9503996,0.0
-0.9999999,-1.3594178,-0.9506462,0.0
-0.9999999,-1.3543007,-0.9508877,0.0
-0.9999999,-1.350794,-0.9511242,0.0
-0.9999999,-1.3485105,-0.9513559,0.0
-0.9999999,-1.3470266,-0.95158285,0.0
-0.9999999,-1.3458918,-0.95180523,0.0
-0.9999999,-1.3446453,-0.9520231,0.0
-0.9999999,-1.342826,-0.9522366,0.0
-0.9999999,-1.3399854,-0.95244586,0.0
-0.99999994,-1.3357017,-0.95265096,0.0
-0.99999994,-1.3295918,-0.952852,0.0
-0.99999994,-1.3213195,-0.9530491,0.0
-0.99999994,-1.3106091,-0.95324236,0.0
