neur0,input0,neur1,input1
0.45910314,0.0,0.49853298,0.0
0.42078266,0.039989334,0.52558744,0.0
0.3863971,0.07991469,0.548601,0.0
0.35594723,0.119712204,0.5682313,0.0
0.32928327,0.15931821,0.5850431,0.0
0.306159,0.19866931,0.5995145,0.0
0.2862752,0.23770262,0.61204654,0.0
0.26931134,0.27635565,0.62297374,0.0
0.254947,0.31456655,0.63257426,0.0
0.24287571,0.3522742,0.64107895,0.0
0.23281252,0.38941833,0.64867944,0.0
0.22449802,0.42593947,0.6555346,0.0
0.2176993,0.46177918,0.66177654,0.0
0.21220951,0.4968801,0.66751474,0.0
0.20784634,0.5311862,0.6728401,0.0
0.20445001,0.5646424,0.67782825,0.0
0.20188111,0.59719545,0.68254185,0.0
0.20001832,0.628793,0.6870327,0.0
0.19875635,0.65938467,0.69134384,0.0
0.19800396,0.68892145,0.6955106,0.0
0.19768211,0.7173561,0.6995621,0.0
0.19772243,0.7446431,0.70352197,0.0
0.19806573,0.7707389,0.7074095,0.0
0.19866078,0.7956016,0.71124005,0.0
0.19946323,0.8191916,0.715026,0.0
0.20043464,0.84147096,0.71877694,0.0
0.20154166,0.8624042,0.7225,0.0
0.20275532,0.88195777,0.7262008,0.0
0.20405042,0.90010047,0.729883,0.0
0.20540504,0.9168031,0.7335491,0.0
0.20680003,0.9320391,0.73720044,0.0
0.20821865,0.94578403,0.7408374,0.0
0.20964627,0.95801586,0.7444597,0.0
0.21107005,0.9687151,0.74806625,0.0
0.21247868,0.9778646,0.7516556,0.0
0.21386227,0.98544973,0.7552259,0.0
0.21521205,0.99145836,0.7587749,0.0
0.2165203,0.99588084,0.7623001,0.0
0.21778019,0.99871016,0.76579887,0.0
0.2189857,0.9999417,0.7692686,0.0
0.22013155,0.9995736,0.7727064,0.0
0.22121303,0.9976064,0.77610934,0.0
0.222226,0.99404323,0.77947474,0.0
0.22316681,0.98888975,0.7827996,0.0
0.2240323,0.9821543,0.7860814,0.0
0.2248197,0.9738476,0.7893172,0.0
0.22552662,0.963983,0.79250467,0.0
0.226151,0.9525762,0.79564124,0.0
0.22669113,0.93964547,0.7987246,0.0
0.22714558,0.92521155,0.80175257,0.0
0.22751321,0.9092974,0.8047231,0.0
0.22779314,0.8919287,0.8076341,0.0
0.22798476,0.873133,0.81048405,0.0
0.22808763,0.85294056,0.8132711,0.0
0.22810164,0.8313835,0.81599396,0.0
0.22802679,0.80849636,0.81865114,0.0
0.22786339,0.78431594,0.8212415,0.0
0.22761187,0.75888073,0.82376397,0.0
0.2272729,0.7322315,0.8262177,0.0
0.22684732,0.70441085,0.8286018,0.0
0.22633615,0.67546326,0.83091563,0.0
0.22574058,0.645435,0.8331586,0.0
0.22506198,0.6143742,0.8353304,0.0
0.22430189,0.58233064,0.8374307,0.0
0.22346197,0.5493555,0.83945924,0.0
0.22254409,0.51550144,0.8414159,0.0
0.2215502,0.48082274,0.84330064,0.0
0.22048242,0.4453748,0.84511364,0.0
0.21934304,0.40921414,0.8468549,0.0
0.21813442,0.37239906,0.8485248,0.0
0.21685907,0.3349882,0.8501235,0.0
0.21551962,0.29704145,0.85165143,0.0
0.21411881,0.25861946,0.853109,0.0
0.21265948,0.21978377,0.85449666,0.0
0.21114457,0.18059623,0.85581493,0.0
0.2095771,0.14112,0.8570644,0.0
0.20796022,0.101418026,0.8582457,0.0
0.20629711,0.061553795,0.8593593,0.0
0.20459107,0.02159109,0.86040616,0.0
0.20284541,-0.018406155,0.8613868,0.0
0.20106353,-0.058373954,0.8623019,0.0
0.1992489,-0.0982486,0.8631524,0.0
0.19740503,-0.13796584,0.863939,0.0
0.19553542,-0.17746235,0.86466247,0.0
0.1936437,-0.21667498,0.86532366,0.0
0.19173342,-0.25554097,0.8659235,0.0
0.18980822,-0.29399815,0.8664628,0.0
0.18787171,-0.3319852,0.86694247,0.0
0.18592755,-0.36944094,0.86736333,0.0
0.18397936,-0.40630564,0.8677264,0.0
0.18203077,-0.44252035,0.8680326,0.0
0.1800854,-0.47802714,0.8682828,0.0
0.17814684,-0.51276916,0.8684781,0.0
0.17621866,-0.54669106,0.86861944,0.0
0.1743044,-0.5797382,0.8687079,0.0
0.17240755,-0.61185783,0.86874443,0.0
0.17053159,-0.6429987,0.8687301,0.0
0.16867988,-0.67311084,0.8686662,0.0
0.1668558,-0.7021462,0.86855364,0.0
0.16506262,-0.73005825,0.86839366,0.0
0.16330358,-0.7568025,0.8681874,0.0
0.16158184,-0.7823359,0.8679362,0.0
0.15990047,-0.8066177,0.86764127,0.0
0.15826246,-0.8296091,0.86730385,0.0
0.15667073,-0.8512733,0.86692536,0.0
0.15512812,-0.87157565,0.8665071,0.0
0.15363733,-0.8904837,0.86605066,0.0
0.15220106,-0.90796715,0.86555743,0.0
0.1508218,-0.92399806,0.865029,0.0
0.14950201,-0.9385509,0.86446685,0.0
0.14824402,-0.9516021,0.8638727,0.0
0.14705005,-0.96313095,0.8632482,0.0
0.14592224,-0.97311896,0.86259526,0.0
0.14486258,-0.9815503,0.8619155,0.0
0.14387295,-0.98841125,0.8612109,0.0
0.14295511,-0.99369097,0.8604834,0.0
0.14211074,-0.99738103,0.85973495,0.0
0.14134133,-0.99947554,0.85896766,0.0
0.14064835,-0.99997103,0.8581836,0.0
0.14003302,-0.9988668,0.857385,0.0
0.13949655,-0.9961646,0.856574,0.0
0.13903993,-0.9918688,0.855753,0.0
0.13866411,-0.9859861,0.85492426,0.0
0.13836983,-0.9785261,0.8540902,0.0
0.13815777,-0.96950066,0.8532533,0.0
0.13802844,-0.9589243,0.852416,0.0
0.13798225,-0.94681376,0.8515808,0.0
0.13801946,-0.9331886,0.8507503,0.0
0.13814019,-0.9180705,0.8499271,0.0
0.13834448,-0.9014837,0.8491139,0.0
0.1386322,-0.88345474,0.8483132,0.0
0.13900311,-0.8640124,0.84752774,0.0
0.13945684,-0.84318787,0.84676015,0.0
0.13999288,-0.8210144,0.84601307,0.0
0.14061062,-0.7975275,0.8452891,0.0
0.14130929,-0.77276444,0.844591,0.0
0.14208804,-0.7467654,0.8439213,0.0
0.14294589,-0.71957165,0.84328264,0.0
0.14388168,-0.6912268,0.8426774,0.0
0.1448942,-0.6617761,0.84210825,0.0
0.14598212,-0.6312667,0.84157753,0.0
0.14714392,-0.5997474,0.8410876,0.0
0.14837804,-0.56726867,0.8406407,0.0
0.14968282,-0.53388244,0.8402391,0.0
0.1510564,-0.4996421,0.8398849,0.0
0.15249689,-0.46460244,0.83957994,0.0
0.15400225,-0.4288195,0.83932626,0.0
0.15557037,-0.39235055,0.8391256,0.0
0.15719903,-0.3552535,0.8389795,0.0
0.15888588,-0.31758854,0.83888954,0.0
0.16062851,-0.2794155,0.8388571,0.0
0.16242442,-0.24079546,0.83888334,0.0
0.16427098,-0.2017902,0.83896923,0.0
0.16616552,-0.16246213,0.8391158,0.0
0.16810526,-0.12287415,0.8393237,0.0
0.17008737,-0.08308959,0.8395935,0.0
0.1721089,-0.043172114,0.8399257,0.0
0.17416689,-0.0031855688,0.84032035,0.0
0.17625827,0.036806073,0.8407775,0.0
0.1783799,0.076738834,0.84129715,0.0
0.18052861,0.11654883,0.8418789,0.0
0.18270117,0.15617284,0.84252226,0.0
0.18489434,0.19554654,0.8432266,0.0
0.18710473,0.2346074,0.8439911,0.0
