neur0,input0,neur1,input1,neur2,input2
0.458834,0.0,0.4996704,0.0,0.54529035,0.0
0.28905034,0.008218075,0.43194756,0.0,0.6555784,0.0
0.1168434,0.01643615,0.33809075,0.0,0.73774076,0.0
-0.037429526,0.024654226,0.22226152,0.0,0.79565394,0.0
-0.16206543,0.0328723,0.09293092,0.0,0.83517236,0.0
-0.25499567,0.041090377,-0.039342217,0.0,0.8616922,0.0
-0.3198214,0.049308453,-0.16515173,0.0,0.8793155,0.0
-0.36196262,0.057526525,-0.27837804,0.0,0.8908867,0.0
-0.38660088,0.0657446,-0.37641576,0.0,0.8982979,0.0
-0.39798847,0.07396268,-0.45921308,0.0,0.9027923,0.0
-0.39941275,0.08218075,-0.52811414,0.0,0.90519124,0.0
-0.39337537,0.09039883,-0.58500266,0.0,0.906047,0.0
-0.3817936,0.098616906,-0.63181204,0.0,0.9057392,0.0
-0.3661617,0.10683498,-0.67029786,0.0,0.9045365,0.0
-0.34766442,0.11505305,-0.70196074,0.0,0.9026338,0.0
-0.32725218,0.12327114,-0.7280431,0.0,0.9001765,0.0
-0.30569038,0.1314892,-0.74955577,0.0,0.8972755,0.0
-0.28359237,0.13970728,-0.767314,0.0,0.8940169,0.0
-0.2614432,0.14792536,-0.7819731,0.0,0.8904684,0.0
-0.23961858,0.15614343,-0.7940589,0.0,0.88668394,0.0
-0.21840124,0.1643615,-0.8039942,0.0,0.88270664,0.0
-0.19799565,0.17257959,-0.8121193,0.0,0.8785712,0.0
-0.17854154,0.18079767,-0.81870925,0.0,0.8743054,0.0
-0.16012625,0.18901573,-0.8239868,0.0,0.8699319,0.0
-0.14279565,0.19723381,-0.82813334,0.0,0.86546874,0.0
-0.1265637,0.20545188,-0.831297,0.0,0.86093086,0.0
-0.11142044,0.21366996,-0.8335991,0.0,0.8563305,0.0
-0.09733869,0.22188804,-0.83513975,0.0,0.8516777,0.0
-0.08427944,0.2301061,-0.83600193,0.0,0.84698117,0.0
-0.07219604,0.23832418,-0.83625466,0.0,0.8422484,0.0
-0.06103756,0.24654227,-0.8359557,0.0,0.8374862,0.0
-0.05075128,0.25476032,-0.83515394,0.0,0.8327009,0.0
-0.04128444,0.2629784,-0.8338911,0.0,0.8278986,0.0
-0.032585576,0.27119648,-0.8322029,0.0,0.8230855,0.0
-0.024605418,0.27941456,-0.8301207,0.0,0.8182677,0.0
-0.01729742,0.28763264,-0.82767206,0.0,0.81345165,0.0
-0.010618111,0.29585072,-0.8248819,0.0,0.808644,0.0
-0.004527184,0.30406877,-0.82177305,0.0,0.8038519,0.0
0.001012473,0.31228685,-0.8183668,0.0,0.7990827,0.0
0.006034921,0.32050496,-0.8146833,0.0,0.7943441,0.0
0.010571299,0.328723,-0.8107424,0.0,0.78964436,0.0
0.014650095,0.3369411,-0.8065633,0.0,0.78499174,0.0
0.018297369,0.34515917,-0.80216557,0.0,0.780395,0.0
0.02153702,0.35337722,-0.7975687,0.0,0.77586263,0.0
0.024391133,0.36159533,-0.7927926,0.0,0.7714037,0.0
0.026752315,0.3544575,-0.7878633,0.0,0.7670221,0.0
0.028649684,0.34623942,-0.7828068,0.0,0.76272136,0.0
0.030120237,0.33802134,-0.7776487,0.0,0.7585044,0.0
0.031198781,0.32980326,-0.772414,0.0,0.75437343,0.0
0.031918272,0.32158518,-0.76712716,0.0,0.7503301,0.0
0.032310024,0.31336713,-0.761812,0.0,0.7463751,0.0
0.032404043,0.30514905,-0.756491,0.0,0.7425085,0.0
0.032229073,0.29693097,-0.751186,0.0,0.73872936,0.0
0.031812835,0.2887129,-0.7459172,0.0,0.735036,0.0
0.031182056,0.2804948,-0.7407032,0.0,0.73142576,0.0
0.030362528,0.2722767,-0.73556125,0.0,0.7278952,0.0
0.029379174,0.26405868,-0.73050636,0.0,0.72444004,0.0
0.028255971,0.2558406,-0.72555184,0.0,0.72105527,0.0
0.027015995,0.2476225,-0.72070885,0.0,0.71773505,0.0
0.025681324,0.23940443,-0.7159863,0.0,0.7144732,0.0
0.024272976,0.23118635,-0.7113912,0.0,0.71126276,0.0
0.022810875,0.22296827,-0.7069282,0.0,0.70809656,0.0
0.021313747,0.21475022,-0.7026001,0.0,0.704967,0.0
0.0197991,0.20653214,-0.69840753,0.0,0.7018663,0.0
0.018283105,0.19831406,-0.6943493,0.0,0.6987865,0.0
0.016780613,0.19009598,-0.6904225,0.0,0.6957196,0.0
0.015305084,0.1818779,-0.68662244,0.0,0.6926578,0.0
0.013868522,0.1736598,-0.68294334,0.0,0.68959343,0.0
0.012481548,0.16544177,-0.679378,0.0,0.6865189,0.0
0.01115334,0.15722369,-0.675918,0.0,0.6834269,0.0
0.009891702,0.1490056,-0.67255425,0.0,0.68031067,0.0
0.008703053,0.14078751,-0.669277,0.0,0.67716366,0.0
0.0075925095,0.13256943,-0.66607577,0.0,0.6739797,0.0
0.0065639163,0.12435135,-0.66293997,0.0,0.6707533,0.0
0.005619974,0.11613331,-0.6598586,0.0,0.66747916,0.0
0.0047622146,0.10791523,-0.65682065,0.0,0.66415274,0.0
0.003991171,0.09969715,-0.6538154,0.0,0.6607697,0.0
0.0033064573,0.09147906,-0.6508321,0.0,0.65732646,0.0
0.0027068157,0.08326098,-0.6478603,0.0,0.65381974,0.0
0.0021902348,0.075042896,-0.64488995,0.0,0.6502468,0.0
0.0017540288,0.06682486,-0.6419115,0.0,0.6466054,0.0
0.0013949536,0.058606777,-0.6389159,0.0,0.6428937,0.0
0.0011092514,0.050388694,-0.6358946,0.0,0.63911015,0.0
8.928142E-4,0.04217061,-0.63283974,0.0,0.63525397,0.0
7.4115477E-4,0.03395253,-0.629744,0.0,0.6313244,0.0
6.49569E-4,0.025734445,-0.62660074,0.0,0.6273212,0.0
6.131695E-4,0.017516406,-0.62340397,0.0,0.62324435,0.0
6.2696636E-4,0.009298324,-0.62014836,0.0,0.6190943,0.0
6.8591593E-4,0.0010802406,-0.6168292,0.0,0.61487174,0.0
9.039239E-4,0.007137799,-0.613434,0.0,0.61058426,0.0
0.0012756909,0.015355882,-0.6099518,0.0,0.60624135,0.0
0.0017759979,0.023573965,-0.60637456,0.0,0.60185343,0.0
0.00238071,0.03179205,-0.60269725,0.0,0.5974313,0.0
0.0030669582,0.040010132,-0.5989176,0.0,0.5929862,0.0
0.0038132872,0.04822821,-0.5950357,0.0,0.5885299,0.0
0.0045996606,0.056446295,-0.59105396,0.0,0.58407396,0.0
0.005407648,0.06466438,-0.586977,0.0,0.5796303,0.0
0.0062203705,0.07288246,-0.5828114,0.0,0.5752106,0.0
0.0070226486,0.081100546,-0.57856536,0.0,0.5708263,0.0
0.00780094,0.089318626,-0.57424843,0.0,0.56648844,0.0
0.008543389,0.09753662,-0.5698717,0.0,0.56220776,0.0
0.0092398375,0.1057547,-0.5654471,0.0,0.55799425,0.0
0.009881738,0.11397279,-0.5609874,0.0,0.5538572,0.0
0.010462178,0.12219087,-0.556506,0.0,0.5498053,0.0
0.010975817,0.13040896,-0.55201656,0.0,0.5458462,0.0
0.011418811,0.13862704,-0.547533,0.0,0.5419869,0.0
0.011788747,0.14684512,-0.543069,0.0,0.5382332,0.0
0.012084559,0.1550632,-0.5386382,0.0,0.53459024,0.0
0.012306421,0.16328129,-0.53425354,0.0,0.53106195,0.0
0.012455665,0.17149937,-0.52992755,0.0,0.5276515,0.0
0.012534621,0.17971745,-0.5256718,0.0,0.5243609,0.0
0.012546554,0.18793553,-0.521497,0.0,0.5211914,0.0
0.012495488,0.19615354,-0.517413,0.0,0.51814353,0.0
0.012386109,0.20437162,-0.51342845,0.0,0.5152167,0.0
